analysis_id,dimension,human_manuscript_content,human_manuscript_location,human_code_content,human_code_location,human_match_judgement,codebot_brief_description,codebot_manuscript_content,codebot_manuscript_location,codebot_code_content,codebot_code_location,codebot_match_judgement,codebot_human_agreement
1,model specification,"Behavioral performance measures—including RT, accuracy, and IES—were analyzed separately for each of the four conditions (4L, 8L, FD, MS) and for both age groups (younger and older adults). Subsequently, we performed mixed-design repeated-measures analyses of variances with a 2 (age group: younger vs. older) × 4 (condition: 4L, 8L, FD, MS) design on each task performance measure. [...]  Importantly, in the main text, we reported only the IES results, as this metric integrates both RT and accuracy, accounting for potential performance trade-offs between the two groups. [...] A 2×4 mixed-design repeated-measures analyses of variance revealed a significant main effect of condition, F(3, 210)=45.68, p<.001, [...] The interaction effect between age group and conditions was also significant,
",0,,difficulty_analysis.Rmd,0,"Mixed-design repeated-measures ANOVA on inverse efficiency scores (IES) with a 2 (age group: younger vs. older) × 4 (condition: 4L, 8L, FD, MS) design. There was a significant main effect of condition, F(3, 210) = 45.68, p < .001, η²p = 0.40, a significant main effect of age group, F(1, 70) = 49.09, p < .001, η²p = 0.41, and a significant age group × condition interaction, F(3, 210) = 21.62, p < .001, η²p = 0.24, indicating that task demand affected IES differently across age groups.","{""paper_value"": ""Subsequently, we performed mixed-design repeated-mea\-sures analyses of variances with a 2 (age group: younger vs. older) × 4 (condition: 4L, 8L, FD, MS) design on each task performance measure."", ""evidence"": {""paper_span"": ""Behavioral performance measures—including RT, accuracy, and IES—were analyzed separately for each of the four conditions (4L, 8L, FD, MS) and for both age groups (younger and older adults). Subsequently, we performed mixed-design repeated-mea\-sures analyses of variances with a 2 (age group: younger vs. older) × 4 (condition: 4L, 8L, FD, MS) design on each task performance measure.\n\nFigure 2 presents the IES scores for the four conditions across the two age groups. A 2 × 4 mixed-design repeated-measures analyses of variance revealed a signiﬁcant main effect of condition, F(3, 210) = 45.68, p < .001, η2p = 0.40."", ""location"": ""Design and Statistical Analysis – Behavioral Data: Task Performance Analysis Between the Two Age Groups, p. 851; Results – Behavioral Data for the Visual Discrimination Task for Two Age Groups, p. 852–853""}}",,,,,
1,variable specification,"Behavioral performance measures—including RT, accuracy, and IES—were analyzed separately for each of the four conditions (4L, 8L, FD, MS) and for both age groups (younger and older adults). Subsequently, we performed mixed-design repeated-measures analyses of variances with a 2 (age group: younger vs. older) × 4 (condition: 4L, 8L, FD, MS) design on each task performance measure. [...]  Importantly, in the main text, we reported only the IES results, as this metric integrates both RT and accuracy, accounting for potential performance trade-offs between the two groups. [...] A 2×4 mixed-design repeated-measures analyses of variance revealed a significant main effect of condition, F(3, 210)=45.68, p<.001, [...] The interaction effect between age group and conditions was also significant,
",0,,difficulty_analysis.Rmd,0,"Mixed-design repeated-measures ANOVA on inverse efficiency scores (IES) with a 2 (age group: younger vs. older) × 4 (condition: 4L, 8L, FD, MS) design. There was a significant main effect of condition, F(3, 210) = 45.68, p < .001, η²p = 0.40, a significant main effect of age group, F(1, 70) = 49.09, p < .001, η²p = 0.41, and a significant age group × condition interaction, F(3, 210) = 21.62, p < .001, η²p = 0.24, indicating that task demand affected IES differently across age groups.","Behavioral performance measures—including RT, accuracy, and IES—were analyzed separately for each of the four conditions (4L, 8L, FD, MS) and for both age groups (younger and older adults). Subsequently, we performed mixed-design repeated-measures analyses of variances with a 2 (age group: younger vs. older) × 4 (condition: 4L, 8L, FD, MS) design on each task performance measure. Importantly, in the main text, we reported only the IES results, as this metric integrates both RT and accuracy, accounting for potential performance trade-offs between the two groups. Figure 2 presents the IES scores for the four conditions across the two age groups.",,,,,
1,transformation,"The final reaction time (RT) and accuracy will be used to calculate the inverse efficiency score (IES; Bruyer&Brysbaert, 2011; Townsend & Ashby, 1978, 1983), which serves as a corrected behavioral measure that integrates both speed and accuracy (see Equation 1). IES = RT / accuracy",0,,difficulty_analysis.Rmd,0,"Mixed-design repeated-measures ANOVA on inverse efficiency scores (IES) with a 2 (age group: younger vs. older) × 4 (condition: 4L, 8L, FD, MS) design. There was a significant main effect of condition, F(3, 210) = 45.68, p < .001, η²p = 0.40, a significant main effect of age group, F(1, 70) = 49.09, p < .001, η²p = 0.41, and a significant age group × condition interaction, F(3, 210) = 21.62, p < .001, η²p = 0.24, indicating that task demand affected IES differently across age groups.","The final reaction time (RT) and accuracy will be used to calculate the inverse efﬁciency score (IES;Bruyer & Brysbaert, 2011; Townsend & Ashby, 1978, 1983), which serves as a corrected behavioral measure that integrates both speed and accuracy (see Equation 1).

IES = RT
accuracy: (1)",,,,,
1,variable specification,"Behavioral performance measures—including RT, accuracy, and IES—were analyzed separately for each of the four conditions (4L, 8L, FD, MS) and for both age groups (younger and older adults). Subsequently, we performed mixed-design repeated-measures analyses of variances with a 2 (age group: younger vs. older) × 4 (condition: 4L, 8L, FD, MS) design on each task performance measure. [...]  Importantly, in the main text, we reported only the IES results, as this metric integrates both RT and accuracy, accounting for potential performance trade-offs between the two groups. [...] A 2×4 mixed-design repeated-measures analyses of variance revealed a significant main effect of condition, F(3, 210)=45.68, p<.001, [...] The interaction effect between age group and conditions was also significant,
",0,,difficulty_analysis.Rmd,0,"Mixed-design repeated-measures ANOVA on inverse efficiency scores (IES) with a 2 (age group: younger vs. older) × 4 (condition: 4L, 8L, FD, MS) design. There was a significant main effect of condition, F(3, 210) = 45.68, p < .001, η²p = 0.40, a significant main effect of age group, F(1, 70) = 49.09, p < .001, η²p = 0.41, and a significant age group × condition interaction, F(3, 210) = 21.62, p < .001, η²p = 0.24, indicating that task demand affected IES differently across age groups.","Behavioral performance measures—including RT, accuracy, and IES—were analyzed separately for each of the four conditions (4L, 8L, FD, MS) and for both age groups (younger and older adults). Subsequently, we performed mixed-design repeated-measures analyses of variances with a 2 (age group: younger vs. older) × 4 (condition: 4L, 8L, FD, MS) design on each task performance measure. Importantly, in the main text, we reported only the IES results, as this metric integrates both RT and accuracy, accounting for potential performance trade-offs between the two groups. Figure 2 presents the IES scores for the four conditions across the two age groups.",,,,,
1,transformation,,,,,,"Mixed-design repeated-measures ANOVA on inverse efficiency scores (IES) with a 2 (age group: younger vs. older) × 4 (condition: 4L, 8L, FD, MS) design. There was a significant main effect of condition, F(3, 210) = 45.68, p < .001, η²p = 0.40, a significant main effect of age group, F(1, 70) = 49.09, p < .001, η²p = 0.41, and a significant age group × condition interaction, F(3, 210) = 21.62, p < .001, η²p = 0.24, indicating that task demand affected IES differently across age groups.","The final reaction time (RT) and accuracy will be used to calculate the inverse efﬁciency score (IES;Bruyer & Brysbaert, 2011; Townsend & Ashby, 1978, 1983), which serves as a corrected behavioral measure that integrates both speed and accuracy (see Equation 1).

IES = RT
accuracy: (1)",,,,,
1,inference criterion,"NA
","NA
","NA
",NA:NA,,"Mixed-design repeated-measures ANOVA on inverse efficiency scores (IES) with a 2 (age group: younger vs. older) × 4 (condition: 4L, 8L, FD, MS) design. There was a significant main effect of condition, F(3, 210) = 45.68, p < .001, η²p = 0.40, a significant main effect of age group, F(1, 70) = 49.09, p < .001, η²p = 0.41, and a significant age group × condition interaction, F(3, 210) = 21.62, p < .001, η²p = 0.24, indicating that task demand affected IES differently across age groups.","A power analysis was conducted using G *Power 3.1.9.7 ( Faul et al., 2007), with parameters set for a power of 0.95, effect size f = 0.25, α = .05, and a within-between subjects design, assuming a correlation of 0.5 among repeated measures.

Post hoc comparisons were then conducted using the Holm correction to further explore and compare signi ﬁcant differences between conditions.",,,,,
2,model specification,"Behavioral performance measures—including RT, accuracy, and IES—were analyzed separately for each of the four conditions (4L, 8L, FD, MS) and for both age groups (younger and older adults). Subsequently, we performed mixed-design repeated-measures analyses of variances with a 2 (age group: younger vs. older) × 4 (condition: 4L, 8L, FD, MS) design on each task performance measure. [...]  Importantly, in the main text, we reported only the IES results, as this metric integrates both RT and accuracy, accounting for potential performance trade-offs between the two groups. [...] Post hoc comparisons were then conducted using the Holm correction to further explore and compare significant differences between conditions [...] Post hoc tests, adjusted using the Holm correction for multiple comparisons, identified specific differences among the conditions. The 4L condition significantly differed from the MS condition, t(71) =-10.66, p<.001, Cohen’s d = 1.68, the 8L condition also significantly differed from the MS condition, t(71) = -8.72, p<.001, Cohen’s d = -1.37, and the FD condition also significantly differed from the MS condition, t(71) = -8.78, p <.001,Cohen’s d = -1.38.
",0,,difficulty_analysis.Rmd,0,"Post hoc paired comparison (within-subjects) of IES between the 4L and MS conditions collapsed across age groups, following the significant main effect of condition. A t test showed substantially higher IES in the MS condition compared to 4L, t(71) = −10.66, p < .001, Cohen’s d = −1.68, confirming that MS was behaviorally much more demanding.","Behavioral performance measures—including RT, accuracy, and IES—were analyzed separately for each of the four conditions (4L, 8L, FD, MS) and for both age groups (younger and older adults). Subsequently, we performed mixed-design repeated-measures analyses of variances with a 2 (age group: younger vs. older) × 4 (condition: 4L, 8L, FD, MS) design on each task performance measure. Post hoc comparisons were then conducted using the Holm correction to further explore and compare significant differences between conditions.

The 4L condition significantly differed from the MS condition, t(71) = −10.66, p < .001, Cohen’s d = −1.68, the 8L condition also significantly differed from the MS condition, t(71) = −8.72, p < .001, Cohen’s d = −1.37, and the FD condition also significantly differed from the MS condition, t(71) = −8.78, p < .001, Cohen’s d = −1.38.",,,,,
2,variable specification,"Behavioral performance measures—including RT, accuracy, and IES—were analyzed separately for each of the four conditions (4L, 8L, FD, MS) and for both age groups (younger and older adults). Subsequently, we performed mixed-design repeated-measures analyses of variances with a 2 (age group: younger vs. older) × 4 (condition: 4L, 8L, FD, MS) design on each task performance measure. [...]  Importantly, in the main text, we reported only the IES results, as this metric integrates both RT and accuracy, accounting for potential performance trade-offs between the two groups. [...] Post hoc comparisons were then conducted using the Holm correction to further explore and compare significant differences between conditions [...] Post hoc tests, adjusted using the Holm correction for multiple comparisons, identified specific differences among the conditions. The 4L condition significantly differed from the MS condition, t(71) =-10.66, p<.001, Cohen’s d = 1.68, the 8L condition also significantly differed from the MS condition, t(71) = -8.72, p<.001, Cohen’s d = -1.37, and the FD condition also significantly differed from the MS condition, t(71) = -8.78, p <.001,Cohen’s d = -1.38.
",0,,difficulty_analysis.Rmd,0,"Post hoc paired comparison (within-subjects) of IES between the 4L and MS conditions collapsed across age groups, following the significant main effect of condition. A t test showed substantially higher IES in the MS condition compared to 4L, t(71) = −10.66, p < .001, Cohen’s d = −1.68, confirming that MS was behaviorally much more demanding.","Figure 2 presents the IES scores for the four conditions across the two age groups. A 2 × 4 mixed-design repeated-measures analyses of variance revealed a signiﬁcant main effect of condition, F(3, 210) = 45.68, p < .001, η2p = 0.40. Post hoc tests, adjusted using the Holm correction for multiple comparisons, identiﬁed speciﬁc differences among the conditions. The 4L condition signiﬁcantly differed from the MS condition, t(71) = −10.66, p < .001, Cohen’s d = −1.68, the 8L condition also signiﬁcantly differed from the MS condition, t(71) = −8.72, p < .001, Cohen’s d = −1.37, and the FD condition also signiﬁcantly differed from the MS condition, t(71) = −8.78, p < .001, Cohen’s d = −1.38.",,,,,
2,transformation,"The final reaction time (RT) and accuracy will be used to calculate the inverse efficiency score (IES; Bruyer&Brysbaert, 2011; Townsend & Ashby, 1978, 1983), which serves as a corrected behavioral measure that integrates both speed and accuracy (see Equation 1). IES = RT / accuracy",0,,difficulty_analysis.Rmd,0,"Post hoc paired comparison (within-subjects) of IES between the 4L and MS conditions collapsed across age groups, following the significant main effect of condition. A t test showed substantially higher IES in the MS condition compared to 4L, t(71) = −10.66, p < .001, Cohen’s d = −1.68, confirming that MS was behaviorally much more demanding.","The final reaction time (RT) and accuracy will be used to calculate the inverse efficiency score (IES; Bruyer & Brysbaert, 2011; Townsend & Ashby, 1978, 1983), which serves as a corrected behavioral measure that integrates both speed and accuracy (see Equation 1).

IES = RT
accuracy: (1)",,,,,
2,variable specification,"Behavioral performance measures—including RT, accuracy, and IES—were analyzed separately for each of the four conditions (4L, 8L, FD, MS) and for both age groups (younger and older adults). Subsequently, we performed mixed-design repeated-measures analyses of variances with a 2 (age group: younger vs. older) × 4 (condition: 4L, 8L, FD, MS) design on each task performance measure. [...]  Importantly, in the main text, we reported only the IES results, as this metric integrates both RT and accuracy, accounting for potential performance trade-offs between the two groups. [...] Post hoc comparisons were then conducted using the Holm correction to further explore and compare significant differences between conditions [...] Post hoc tests, adjusted using the Holm correction for multiple comparisons, identified specific differences among the conditions. The 4L condition significantly differed from the MS condition, t(71) =-10.66, p<.001, Cohen’s d = 1.68, the 8L condition also significantly differed from the MS condition, t(71) = -8.72, p<.001, Cohen’s d = -1.37, and the FD condition also significantly differed from the MS condition, t(71) = -8.78, p <.001,Cohen’s d = -1.38.
",0,,difficulty_analysis.Rmd,0,"Post hoc paired comparison (within-subjects) of IES between the 4L and MS conditions collapsed across age groups, following the significant main effect of condition. A t test showed substantially higher IES in the MS condition compared to 4L, t(71) = −10.66, p < .001, Cohen’s d = −1.68, confirming that MS was behaviorally much more demanding.","Figure 2 presents the IES scores for the four conditions across the two age groups. A 2 × 4 mixed-design repeated-measures analyses of variance revealed a signiﬁcant main effect of condition, F(3, 210) = 45.68, p < .001, η2p = 0.40. Post hoc tests, adjusted using the Holm correction for multiple comparisons, identiﬁed speciﬁc differences among the conditions. The 4L condition signiﬁcantly differed from the MS condition, t(71) = −10.66, p < .001, Cohen’s d = −1.68, the 8L condition also signiﬁcantly differed from the MS condition, t(71) = −8.72, p < .001, Cohen’s d = −1.37, and the FD condition also signiﬁcantly differed from the MS condition, t(71) = −8.78, p < .001, Cohen’s d = −1.38.",,,,,
2,transformation,,,,,,"Post hoc paired comparison (within-subjects) of IES between the 4L and MS conditions collapsed across age groups, following the significant main effect of condition. A t test showed substantially higher IES in the MS condition compared to 4L, t(71) = −10.66, p < .001, Cohen’s d = −1.68, confirming that MS was behaviorally much more demanding.","The final reaction time (RT) and accuracy will be used to calculate the inverse efficiency score (IES; Bruyer & Brysbaert, 2011; Townsend & Ashby, 1978, 1983), which serves as a corrected behavioral measure that integrates both speed and accuracy (see Equation 1).

IES = RT
accuracy: (1)",,,,,
2,inference criterion,"NA
","NA
","NA
",NA:NA,,"Post hoc paired comparison (within-subjects) of IES between the 4L and MS conditions collapsed across age groups, following the significant main effect of condition. A t test showed substantially higher IES in the MS condition compared to 4L, t(71) = −10.66, p < .001, Cohen’s d = −1.68, confirming that MS was behaviorally much more demanding.","Post hoc tests, adjusted using the Holm correction for multiple comparisons, identified specific differences among the conditions. The 4L condition significantly differed from the MS condition, t(71) = −10.66, p < .001, Cohen’s d = −1.68, the 8L condition also significantly differed from the MS condition, t(71) = −8.72, p < .001, Cohen’s d = −1.37, and the FD condition also significantly differed from the MS condition, t(71) = −8.78, p < .001, Cohen’s d = −1.38.",,,,,
3,model specification,"Behavioral performance measures—including RT, accuracy, and IES—were analyzed separately for each of the four conditions (4L, 8L, FD, MS) and for both age groups (younger and older adults). Subsequently, we performed mixed-design repeated-measures analyses of variances with a 2 (age group: younger vs. older) × 4 (condition: 4L, 8L, FD, MS) design on each task performance measure. [...]  Importantly, in the main text, we reported only the IES results, as this metric integrates both RT and accuracy, accounting for potential performance trade-offs between the two groups. [...] Post hoc comparisons were then conducted using the Holm correction to further explore and compare significant differences between conditions [...] Post hoc tests, adjusted using the Holm correction for multiple comparisons, identified specific differences among the conditions. The 4L condition significantly differed from the MS condition, t(71) =-10.66, p<.001, Cohen’s d = 1.68, the 8L condition also significantly differed from the MS condition, t(71) = -8.72, p<.001, Cohen’s d = -1.37, and the FD condition also significantly differed from the MS condition, t(71) = -8.78, p <.001,Cohen’s d = -1.38.
",0,,difficulty_analysis.Rmd,0,,,,,,,
3,variable specification,"Behavioral performance measures—including RT, accuracy, and IES—were analyzed separately for each of the four conditions (4L, 8L, FD, MS) and for both age groups (younger and older adults). Subsequently, we performed mixed-design repeated-measures analyses of variances with a 2 (age group: younger vs. older) × 4 (condition: 4L, 8L, FD, MS) design on each task performance measure. [...]  Importantly, in the main text, we reported only the IES results, as this metric integrates both RT and accuracy, accounting for potential performance trade-offs between the two groups. [...] Post hoc comparisons were then conducted using the Holm correction to further explore and compare significant differences between conditions [...] Post hoc tests, adjusted using the Holm correction for multiple comparisons, identified specific differences among the conditions. The 4L condition significantly differed from the MS condition, t(71) =-10.66, p<.001, Cohen’s d = 1.68, the 8L condition also significantly differed from the MS condition, t(71) = -8.72, p<.001, Cohen’s d = -1.37, and the FD condition also significantly differed from the MS condition, t(71) = -8.78, p <.001,Cohen’s d = -1.38.
",0,,difficulty_analysis.Rmd,0,,,,,,,
3,transformation,"The final reaction time (RT) and accuracy will be used to calculate the inverse efficiency score (IES; Bruyer&Brysbaert, 2011; Townsend & Ashby, 1978, 1983), which serves as a corrected behavioral measure that integrates both speed and accuracy (see Equation 1). IES = RT / accuracy",0,,difficulty_analysis.Rmd,0,,,,,,,
3,variable specification,"Behavioral performance measures—including RT, accuracy, and IES—were analyzed separately for each of the four conditions (4L, 8L, FD, MS) and for both age groups (younger and older adults). Subsequently, we performed mixed-design repeated-measures analyses of variances with a 2 (age group: younger vs. older) × 4 (condition: 4L, 8L, FD, MS) design on each task performance measure. [...]  Importantly, in the main text, we reported only the IES results, as this metric integrates both RT and accuracy, accounting for potential performance trade-offs between the two groups. [...] Post hoc comparisons were then conducted using the Holm correction to further explore and compare significant differences between conditions [...] Post hoc tests, adjusted using the Holm correction for multiple comparisons, identified specific differences among the conditions. The 4L condition significantly differed from the MS condition, t(71) =-10.66, p<.001, Cohen’s d = 1.68, the 8L condition also significantly differed from the MS condition, t(71) = -8.72, p<.001, Cohen’s d = -1.37, and the FD condition also significantly differed from the MS condition, t(71) = -8.78, p <.001,Cohen’s d = -1.38.
",0,,difficulty_analysis.Rmd,0,,,,,,,
3,transformation,,,,,,,,,,,,
3,inference criterion,"NA
","NA
","NA
",NA:NA,,,,,,,,
4,model specification,"Behavioral performance measures—including RT, accuracy, and IES—were analyzed separately for each of the four conditions (4L, 8L, FD, MS) and for both age groups (younger and older adults). Subsequently, we performed mixed-design repeated-measures analyses of variances with a 2 (age group: younger vs. older) × 4 (condition: 4L, 8L, FD, MS) design on each task performance measure. [...]  Importantly, in the main text, we reported only the IES results, as this metric integrates both RT and accuracy, accounting for potential performance trade-offs between the two groups. [...] Post hoc comparisons were then conducted using the Holm correction to further explore and compare significant differences between conditions [...] Post hoc tests, adjusted using the Holm correction for multiple comparisons, identified specific differences among the conditions. The 4L condition significantly differed from the MS condition, t(71) =-10.66, p<.001, Cohen’s d = 1.68, the 8L condition also significantly differed from the MS condition, t(71) = -8.72, p<.001, Cohen’s d = -1.37, and the FD condition also significantly differed from the MS condition, t(71) = -8.78, p <.001,Cohen’s d = -1.38.
",0,,difficulty_analysis.Rmd,0,,,,,,,
4,variable specification,"Behavioral performance measures—including RT, accuracy, and IES—were analyzed separately for each of the four conditions (4L, 8L, FD, MS) and for both age groups (younger and older adults). Subsequently, we performed mixed-design repeated-measures analyses of variances with a 2 (age group: younger vs. older) × 4 (condition: 4L, 8L, FD, MS) design on each task performance measure. [...]  Importantly, in the main text, we reported only the IES results, as this metric integrates both RT and accuracy, accounting for potential performance trade-offs between the two groups. [...] Post hoc comparisons were then conducted using the Holm correction to further explore and compare significant differences between conditions [...] Post hoc tests, adjusted using the Holm correction for multiple comparisons, identified specific differences among the conditions. The 4L condition significantly differed from the MS condition, t(71) =-10.66, p<.001, Cohen’s d = 1.68, the 8L condition also significantly differed from the MS condition, t(71) = -8.72, p<.001, Cohen’s d = -1.37, and the FD condition also significantly differed from the MS condition, t(71) = -8.78, p <.001,Cohen’s d = -1.38.
",0,,difficulty_analysis.Rmd,0,,,,,,,
4,transformation,"The final reaction time (RT) and accuracy will be used to calculate the inverse efficiency score (IES; Bruyer&Brysbaert, 2011; Townsend & Ashby, 1978, 1983), which serves as a corrected behavioral measure that integrates both speed and accuracy (see Equation 1). IES = RT / accuracy",0,,difficulty_analysis.Rmd,0,,,,,,,
