paper_id,analysis_id,brief_description,dimension,paper_value,code_value,match_status,explanation,paper_evidence,code_evidence
avilles,1,"Chi-square test comparing the overall prevalence of singles between the earlier-born cohort (Wave 1; 2008–2009) and the later-born cohort (Wave 11; 2018–2019), using relationship status at T1. The test evaluated whether the proportion single differed between cohorts, finding a higher proportion of singles in the later-born cohort (47%) than in the earlier-born cohort (42%), χ²(1) = 52.73, p < .001.",Model Specification,We tested differences between the later-born and earlier-born cohort in the prevalence of singles (Hypothesis 1) using a chi-square test and computed Spearman’s rank correlations to assess the association between the prevalence of singles and satisfaction at T1 (Hypothesis 2).,"# H1
chisq.test(table(prev$relt1, prev$histcoh))",match,"The paper reports using a chi-square test to compare prevalence of singles between cohorts, and the code implements a chi-square test on the contingency table of relationship status by cohort. This aligns with the specified model (chi-square test) for Hypothesis 1.",,
avilles,1,"Chi-square test comparing the overall prevalence of singles between the earlier-born cohort (Wave 1; 2008–2009) and the later-born cohort (Wave 11; 2018–2019), using relationship status at T1. The test evaluated whether the proportion single differed between cohorts, finding a higher proportion of singles in the later-born cohort (47%) than in the earlier-born cohort (42%), χ²(1) = 52.73, p < .001.",Variable Specification,"To test the prevalence hypotheses (Hypotheses 1 and 2), we used a sample of 17,697 individuals from Wave 1 (2008-2009) as the earlier-born cohort, and from Wave 11 (2018-2019) as the later-born cohort, who provided information on their relationship status. [...] Second, we calculated the proportion of singles at T1 (Wave 1 for earlier-born cohort and Wave 11 for later-born cohort), which was done with the prevalence sample of N = 17,697 participants. Higher values indicated a greater share of singles at T1 in the respective cohort.","prev <- read.table(""data_prevalences.txt"")

# across age groups
prev %>% group_by(histcoh) %>%
  summarize(n_single = sum(relt1 == 0), 
            n = n())

# separated by age group
prev %>% group_by(histcoh, agegroup) %>%
  summarize(n_single = sum(relt1 == 0), 
            n = n())

# H1
chisq.test(table(prev$relt1, prev$histcoh))

round(prop.table(table(prev[which(prev$histcoh == ""earlier-born""), ""relt1""])), 3)
round(prop.table(table(prev[which(prev$histcoh == ""later-born""), ""relt1""])), 3)",match,"The code uses relationship status at T1 (relt1) and cohort membership (histcoh: earlier-born vs later-born) as the variables in a chi-square test, which matches the paper’s description of comparing the proportion of singles between earlier-born (Wave 1) and later-born (Wave 11) cohorts at T1. The designation of relt1 as single vs not and histcoh as cohort aligns with the variable use implied in the paper’s prevalence analysis.",,
avilles,1,"Chi-square test comparing the overall prevalence of singles between the earlier-born cohort (Wave 1; 2008–2009) and the later-born cohort (Wave 11; 2018–2019), using relationship status at T1. The test evaluated whether the proportion single differed between cohorts, finding a higher proportion of singles in the later-born cohort (47%) than in the earlier-born cohort (42%), χ²(1) = 52.73, p < .001.",Transformation Specification,"To prepare the data for the analyses, we created two additional variables: intraindividual change over time and prevalence of singles. ... Second, we calculated the proportion of singles at T1 (Wave 1 for earlier-born cohort and Wave 11 for later-born cohort), which was done with the prevalence sample of N = 17,697 participants. Higher values indicated a greater share of singles at T1 in the respective cohort.","{""code_value"":""### Participants from wave 1 ###\nanchor1 <- anchor1 %>% select(id, sex_gen, ethni, cohort, age, sd3, np, sat6, sat2) %>%\n  rename(sex = sex_gen,\n         aget1 = age,\n         relt1 = sd3,\n         prevrel = np,\n         lifesatt1 = sat6,\n         sinsatt1 = sat2) %>%\n  replace(((.) < 0), NA) %>%\n  mutate(sex = sex - 1,\n         relt1 = ifelse(relt1 == 2, 0, relt1))\n...\n### Participants from wave 11 ###\nanchor11 <- anchor11 %>% select(id, sex_gen, ethni, cohort, age, relstat, np, sat6, sat2, starts_with(\""per3i\"")) %>%\n  rename(sex = sex_gen,\n         aget1 = age,\n         lifesatt1 = sat6,\n         sinsatt1 = sat2,\n         prevrel = np) %>%\n  mutate(relt1 = ifelse(relstat == 1 |\n                           relstat == 6 |\n                           relstat == 9, 0, 1),\n         sex = sex - 1) %>% \n  replace(((.) < 0), NA) %>%\n  mutate_at(c(10:30), as.numeric) %>%\n  mutate_at(c(\""per3i1\"", \""per3i11\"", \""per3i9\"", \""per3i2\"", \""per3i12\"", \""per3i17\"", \""per3i8\"", \""per3i21\""),\n            ~ recode(., \""1\"" = 5, \""2\"" = 4, \""3\"" = 3, \n                     \""4\"" = 2, \""5\"" = 1)) %>%\n  rowwise() %>%\n  mutate(extra_M = round(mean(c(per3i1, per3i6, per3i11, per3i16), na.rm = TRUE), 2),\n         neuro_M = round(mean(c(per3i4, per3i9, per3i14, per3i19), na.rm = TRUE), 2),\n         agree_M = round(mean(c(per3i2, per3i7, per3i12, per3i17), na.rm = TRUE), 2),\n         consc_M = round(mean(c(per3i3, per3i8, per3i13, per3i18), na.rm = TRUE), 2),\n         open_M = round(mean(c(per3i5, per3i10, per3i15, per3i20, per3i21), na.rm = TRUE), 2)) %>%\n  select(id, sex, ethni, cohort, aget1, relt1, prevrel, lifesatt1, sinsatt1, extra_M, neuro_M, agree_M, consc_M, open_M)\n...\n### create prevalence data\n\ndata <- data %>% group_by(cohort, histcoh) %>%\n  mutate(prevalence = round(length(which(relt1 == 0)) / (length(which(relt1 == 0)) + length(which(relt1 == 1))), 3))\n\n\data_prevalence <- data %>% select(id, sex, histcoh, agegroup, aget1, relt1, prevalence, sinsatt1, sinsatt2, sinsatt3, lifesatt1, lifesatt2, lifesatt3)\n\n# only participants with information on their relationship duration\n\data_prevalence <- data_prevalence %>% filter(!is.na(relt1))\n\n# only participants who did not participate twice\n\data_prevalence <- data_prevalence %>% group_by(id) %>%\n  mutate(total = sum(n()),\n         unique = ifelse(total == 1, 1, 0)) %>%\n  select(-total) %>% arrange(id) %>% slice_head()\n# write.table(data_prevalences.txt, \""data_prevalences.txt\"")"",""evidence"":{""code_path"":""/Users/jamie/git/codebot-for-psychology/data/raw/main/codebot/materials/codebot_pairs/avilles/0_clean_data.R"",""code_lines"":""### Participants from wave 1 ###\nanchor1 <- anchor1 %>% select(id, sex_gen, ethni, cohort, age, sd3, np, sat6, sat2) %>%\n  rename(sex = sex_gen,\n         aget1 = age,\n         relt1 = sd3,\n         prevrel = np,\n         lifesatt1 = sat6,\n         sinsatt1 = sat2) %>%\n  replace(((.) < 0), NA) %>%\n  mutate(sex = sex - 1,\n         relt1 = ifelse(relt1 == 2, 0, relt1))\n\n...\n\n### Participants from wave 11 ###\nanchor11 <- anchor11 %>% select(id, sex_gen, ethni, cohort, age, relstat, np, sat6, sat2, starts_with(\""per3i\"")) %>%\n  rename(sex = sex_gen,\n         aget1 = age,\n         lifesatt1 = sat6,\n         sinsatt1 = sat2,\n         prevrel = np) %>%\n  mutate(relt1 = ifelse(relstat == 1 |\n                           relstat == 6 |\n                           relstat == 9, 0, 1),\n         sex = sex - 1) %>% \n  replace(((.) < 0), NA) %>%\n  mutate_at(c(10:30), as.numeric) %>%\n  mutate_at(c(\""per3i1\"", \""per3i11\"", \""per3i9\"", \""per3i2\"", \""per3i12\"", \""per3i17\"", \""per3i8\"", \""per3i21\""),\n            ~ recode(., \""1\"" = 5, \""2\"" = 4, \""3\"" = 3, \n                     \""4\"" = 2, \""5\"" = 1)) %>%\n  rowwise() %>%\n  mutate(extra_M = round(mean(c(per3i1, per3i6, per3i11, per3i16), na.rm = TRUE), 2),\n         neuro_M = round(mean(c(per3i4, per3i9, per3i14, per3i19), na.rm = TRUE), 2),\n         agree_M = round(mean(c(per3i2, per3i7, per3i12, per3i17), na.rm = TRUE), 2),\n         consc_M = round(mean(c(per3i3, per3i8, per3i13, per3i18), na.rm = TRUE), 2),\n         open_M = round(mean(c(per3i5, per3i10, per3i15, per3i20, per3i21), na.rm = TRUE), 2)) %>%\n  select(id, sex, ethni, cohort, aget1, relt1, prevrel, lifesatt1, sinsatt1, extra_M, neuro_M, agree_M, consc_M, open_M)\n\n...\n\n### create prevalence data\n\ndata <- data %>% group_by(cohort, histcoh) %>%\n  mutate(prevalence = round(length(which(relt1 == 0)) / (length(which(relt1 == 0)) + length(which(relt1 == 1))), 3))\n\n\data_prevalence <- data %>% select(id, sex, histcoh, agegroup, aget1, relt1, prevalence, sinsatt1, sinsatt2, sinsatt3, lifesatt1, lifesatt2, lifesatt3)\n\n# only participants with information on their relationship duration\n\data_prevalence <- data_prevalence %>% filter(!is.na(relt1))\n\n# only participants who did not participate twice\n\data_prevalence <- data_prevalence %>% group_by(id) %>%\n  mutate(total = sum(n()),\n         unique = ifelse(total == 1, 1, 0)) %>%\n  select(-total) %>% arrange(id) %>% slice_head()\n# write.table(data_prevalences.txt, \""data_prevalences.txt\"")""}}",match,"The paper states that a prevalence-of-singles variable was created as the proportion of singles at T1 in each cohort, and the code computes a 'prevalence' variable as the share of relt1-coded singles within each cohort/historical cohort group. This matches the described transformation of calculating the proportion of singles at T1, with higher values indicating a greater share of singles.",,
avilles,1,"Chi-square test comparing the overall prevalence of singles between the earlier-born cohort (Wave 1; 2008–2009) and the later-born cohort (Wave 11; 2018–2019), using relationship status at T1. The test evaluated whether the proportion single differed between cohorts, finding a higher proportion of singles in the later-born cohort (47%) than in the earlier-born cohort (42%), χ²(1) = 52.73, p < .001.",Inference Specification,"An a-priori power analysis based on Monte Carlo simulations (1,000 simulations, .80% power, intraclass correlation coefficient [ICC] = .50, α = .01, two-tailed test) using the package SIMR (Green & MacLeod, 2016) in R (R Core Team, 2020) suggested that the sample size was sufficiently large (N > 1,600) to detect small (b = .10) Level 1 (time) and Level 2 (e.g., cohort) main effects as well as medium (b = .30) cross-level interaction effects (e.g., time × age).
...
Given the number of statistical models, we evaluated significance of the multilevel growth-curve models at α level of .01 to address potentially inflated Type 1 error rates.","# H1
chisq.test(table(prev$relt1, prev$histcoh))",unknown,"The paper’s stated α = .01 criterion is tied specifically to multilevel growth-curve models, while the chi-square prevalence test does not have an explicit alpha threshold described, and the code only runs chisq.test without encoding any alpha-based decision rule. It is therefore unclear whether the inference criterion used for this chi-square test in practice matches any pre-specified alpha level in the paper.",,
avilles,2,"Chi-square test comparing the prevalence of singles among adolescents between cohorts, specifically adolescents born in 1991–1993 (earlier-born) vs. 2001–2003 (later-born). The analysis tested whether adolescent singles were more common in the later-born cohort and found a significantly higher proportion single in 2001–2003 (77%) than in 1991–1993 (74%), χ²(1) = 5.42, p = .020.",Model Specification,We tested differences between the later-born and earlier-born cohort in the prevalence of singles (Hypothesis 1) using a chi-square test and computed Spear‑man’s rank correlations to assess the association between the prevalence of singles and satisfaction at T1 (Hypothesis 2).,"#Prevalences by age group
adolescents <- prev %>% filter(agegroup == ""adolescents"")

# Differences in later- vs. earlier-born cohorts by age group

# Adolescents
chisq.test(table(adolescents$relt1, adolescents$histcoh))",match,"The paper reports using a chi-square test to compare prevalence of singles between later-born and earlier-born adolescent cohorts, and the code applies a chi-square test to the contingency table of relationship status by cohort within the adolescent subsample. Thus, the implemented model specification aligns with the described analysis.",,
avilles,2,"Chi-square test comparing the prevalence of singles among adolescents between cohorts, specifically adolescents born in 1991–1993 (earlier-born) vs. 2001–2003 (later-born). The analysis tested whether adolescent singles were more common in the later-born cohort and found a significantly higher proportion single in 2001–2003 (77%) than in 1991–1993 (74%), χ²(1) = 5.42, p = .020.",Variable Specification,"However, as the proportion of singles greatly differed between the age groups (17% in established adulthood, 31% in emerging adulthood, and 75% in adolescence) and participants of the later-born cohort were, on average, significantly younger (M = 24.73, SD = 8.69) than participants of the earlier-born cohort (M = 25.87, SD = 8.34, t(9,768) = −8.10, p < .001), we conducted non-preregistered supplemental analyses and tested Hypothesis 1 also within age groups. We observed significant cohort-related differences for adolescents: Adolescents born in 2001 to 2003 were significantly more often single (77%) than adolescents born in 1991 to 1993 (74%; χ2(1) = 5.42, p = .020). Second, we calculated the proportion of singles at T1 (Wave 1 for earlier-born cohort and Wave 11 for later-born cohort), which was done with the prevalence sample of N = 17,697 participants. Higher values indicated a greater share of singles at T1 in the respective cohort. Single individuals/cohort describes the proportion of single individuals in each cohort at T1 (Wave 1 for earlier-born cohort and Wave 11 for later-born cohort).","### Prevalences #############

prev <- read.table(""data_prevalences.txt"")

# across age groups
prev %>% group_by(histcoh) %>%
  summarize(n_single = sum(relt1 == 0), 
            n = n())

# separated by age group
prev %>% group_by(histcoh, agegroup) %>%
  summarize(n_single = sum(relt1 == 0), 
            n = n())
...
#Prevalences by age group
adolescents <- prev %>% filter(agegroup == ""adolescents"")
emerging <- prev %>% filter(agegroup == ""emerging"")
established <- prev %>% filter(agegroup == ""established"")

round(prop.table(table(adolescents$relt1)), 2) 
round(prop.table(table(emerging$relt1)), 2) 
round(prop.table(table(established$relt1)), 2) 
  
# Differences in later- vs. earlier-born cohorts by age group

# Adolescents
chisq.test(table(adolescents$relt1, adolescents$histcoh))

round(prop.table(table(adolescents[which(adolescents$histcoh == ""earlier-born""), ""relt1""])), 2)
round(prop.table(table(adolescents[which(adolescents$histcoh == ""later-born""), ""relt1""])), 2)",match,"The code uses relationship status at T1 (relt1, with singles coded as 0) and cohort (histcoh: earlier-born vs later-born) within the adolescent age group to perform a chi-square test of cohort differences in the prevalence of being single, which matches the paper’s description of the variables used in this analysis.",,
avilles,2,"Chi-square test comparing the prevalence of singles among adolescents between cohorts, specifically adolescents born in 1991–1993 (earlier-born) vs. 2001–2003 (later-born). The analysis tested whether adolescent singles were more common in the later-born cohort and found a significantly higher proportion single in 2001–2003 (77%) than in 1991–1993 (74%), χ²(1) = 5.42, p = .020.",Transformation Specification,"To prepare the data for the analyses, we created two additional variables: intraindividual change over time and prevalence of singles. ... Second, we calculated the proportion of singles at T1 (Wave 1 for earlier-born cohort and Wave 11 for later-born cohort), which was done with the prevalence sample of N = 17,697 participants. Higher values indicated a greater share of singles at T1 in the respective cohort.","### construct age groups ###

data <- data %>% group_by(cohort, histcoh) %>%
  mutate(agegroup = ifelse(histcoh == ""earlier-born"" & cohort == 1 | histcoh == ""later-born"" & cohort == 4, ""adolescents"", NA),
         agegroup = ifelse(histcoh == ""earlier-born"" & cohort == 2 | histcoh == ""later-born"" & cohort == 1, ""emerging"", agegroup),
         agegroup = ifelse(histcoh == ""earlier-born"" & cohort == 3 | histcoh == ""later-born"" & cohort == 2, ""established"", agegroup))

######################### FILTER PARTICIPANTS ##############################

### relevant cohorts (earlier-born: 1, 2, 3; later-born: 4,1,2)
data <- data %>% filter(histcoh == ""earlier-born"" & (cohort == 1 | cohort == 2 | cohort == 3) |
                        histcoh == ""later-born"" & (cohort == 4 | cohort == 1 | cohort == 2)) # N = 20,212

n_distinct(data$id) # N = 17,730 unique participants
data_all <- data # save for attrition analysis

### create prevalence data

data <- data %>% group_by(cohort, histcoh) %>%
  mutate(prevalence = round(length(which(relt1 == 0)) / (length(which(relt1 == 0)) + length(which(relt1 == 1))), 3))

data_prevalence <- data %>% select(id, sex, histcoh, agegroup, aget1, relt1, prevalence, sinsatt1, sinsatt2, sinsatt3, lifesatt1, lifesatt2, lifesatt3)

# only participants with information on their relationship duration
data_prevalence <- data_prevalence %>% filter(!is.na(relt1))

# only participants who did not participate twice
data_prevalence <- data_prevalence %>% group_by(id) %>%
  mutate(total = sum(n()),
         unique = ifelse(total == 1, 1, 0)) %>%
  select(-total) %>% arrange(id) %>% slice_head()",match,"The code creates a cohort-level 'prevalence' variable as the proportion of singles at T1 based on relationship status, consistent with the paper’s description of calculating the proportion of singles at T1 for each cohort. Subsequent filtering to those with non-missing T1 relationship data and unique participants is also consistent with forming a prevalence sample as described.",,
avilles,2,"Chi-square test comparing the prevalence of singles among adolescents between cohorts, specifically adolescents born in 1991–1993 (earlier-born) vs. 2001–2003 (later-born). The analysis tested whether adolescent singles were more common in the later-born cohort and found a significantly higher proportion single in 2001–2003 (77%) than in 1991–1993 (74%), χ²(1) = 5.42, p = .020.",Inference Specification,"We observed significant cohort-related differences for adolescents: Adolescents born in 2001 to 2003 were significantly more often single (77%) than adolescents born in 1991 to 1993 (74%; χ2(1) = 5.42, p = .020).","# Adolescents
chisq.test(table(adolescents$relt1, adolescents$histcoh))",match,"The paper reports a standard chi-square test with a p-value interpreted as significant (implicitly using a conventional alpha such as 0.05), and the code conducts the corresponding chi-square test without specifying any nonstandard inference criteria. There is no indication of any discrepancy between the inferential approach described in the paper and the default inferential behavior of chisq.test in the code.",,
avilles,3,"Chi-square test comparing the prevalence of singles among emerging adults between cohorts, contrasting those born 1981–1983 vs. 1991–1993. The test examined whether the share of singles differed historically in emerging adulthood; no significant difference in prevalence was detected (31% vs. 30%, ps ≥ .339).",Model Specification,We tested differences between the later-born and earlier-born cohort in the prevalence of singles (Hypothesis 1) using a chi-square test and computed Spearman’s rank correlations to assess the association between the prevalence of singles and satisfaction at T1 (Hypothesis 2).,"#Prevalences by age group
adolescents <- prev %>% filter(agegroup == ""adolescents"")
emerging <- prev %>% filter(agegroup == ""emerging"")
established <- prev %>% filter(agegroup == ""established"")
...
# Emerging adults
chisq.test(table(emerging$relt1, emerging$histcoh))",match,"The paper specifies using a chi-square test to compare prevalence of singles between cohorts among emerging adults, and the code applies a chi-square test to the contingency table of relationship status by historical cohort within the emerging adult subgroup.",,
avilles,3,"Chi-square test comparing the prevalence of singles among emerging adults between cohorts, contrasting those born 1981–1983 vs. 1991–1993. The test examined whether the share of singles differed historically in emerging adulthood; no significant difference in prevalence was detected (31% vs. 30%, ps ≥ .339).",Variable Specification,"We observed significant cohort-related differences for adolescents: Adolescents born in 2001 to 2003 were significantly more often single (77%) than adolescents born in 1991 to 1993 (74%; χ2(1) = 5.42, p = .020). The proportion of singles did neither differ between emerging adults born in 1981 to 1983 (31%) and 1991 to 1993 (30%) nor differ between established adults born in 1981 to 1983 (16%) and 1971 to 1973 (17%), both ps ≥ .339.","#Prevalences by age group
adolescents <- prev %>% filter(agegroup == ""adolescents"")
emerging <- prev %>% filter(agegroup == ""emerging"")
established <- prev %>% filter(agegroup == ""established"")

# Emerging adults
chisq.test(table(emerging$relt1, emerging$histcoh))

round(prop.table(table(emerging[which(emerging$histcoh == ""earlier-born""), ""relt1""])), 3)
round(prop.table(table(emerging[which(emerging$histcoh == ""later-born""), ""relt1""])), 3)",match,"The paper compares prevalence of singles versus non-singles across emerging adult birth cohorts, and the code does exactly this by cross-tabulating relationship status (relt1) with historical cohort (histcoh) within the emerging age group. The variables used and their roles (outcome: single status; predictor: cohort) are consistent between the paper and the code.",,
