paper_id,analysis_id,brief_description,dimension,paper_value,code_value,match_status,explanation,paper_evidence,code_evidence
akan,1,"A two-way between-subjects ANOVA tested effects of Face Race (Black vs. White face set) and Perceiver Race (Black vs. White participants) on each participant’s mean similarity rating across all rated pairs. The analysis yielded no main effect of face race, a significant main effect of perceiver race (White perceivers gave higher similarity ratings overall), and a non-significant interaction, with F(1, 351) = 1.49, p = .223 for face race, F(1, 351) = 66.50, p < .0001 for perceiver race, and F(1, 351) = 1.58, p = .209 for the interaction. These results were used to argue that any face-race effect on raw similarity ratings was very small.",Model Specification,"To formally analyze these data, we conducted a two-way (Face Race × Perceiver Race) between-subjects analysis of variance.","anova_result <- aov(mean_rating ~ face_race * sub_race, data = sub_ratings)

summary(anova_result)",match,"The code specifies a two-way ANOVA with Face Race and Perceiver Race as factors predicting mean similarity rating, matching the described analysis. This aligns with the paper’s description of a two-way (Face Race × Perceiver Race) between-subjects ANOVA on participants’ mean ratings.",,
akan,1,"A two-way between-subjects ANOVA tested effects of Face Race (Black vs. White face set) and Perceiver Race (Black vs. White participants) on each participant’s mean similarity rating across all rated pairs. The analysis yielded no main effect of face race, a significant main effect of perceiver race (White perceivers gave higher similarity ratings overall), and a non-significant interaction, with F(1, 351) = 1.49, p = .223 for face race, F(1, 351) = 66.50, p < .0001 for perceiver race, and F(1, 351) = 1.58, p = .209 for the interaction. These results were used to argue that any face-race effect on raw similarity ratings was very small.",Variable Specification,"We computed the mean similarity rating provided by each participant across all the face pairs they rated on experimental trials. To formally analyze these data, we conducted a two-way (Face Race × Perceiver Race) between-subjects analysis of variance.","rating_data <- data_allS%>%
  filter(s_trial_type==""rating"")%>%
  select(""run_id"",""run_id_2"",""sub_race"", ""face_race"",""trial_index"",""rt"",""response"",""s_face_1"", ""s_face_2"",""s_pair_id"",""s_left_right"")%>%
  filter(!str_detect(s_pair_id, 'a'))%>% #get rid of attention check trials (a1, a2, ...)
  mutate_at(c('trial_index', 'rt', 'response','s_pair_id'), as.numeric)%>%
  mutate(rating = response+1)

#mean rating across 250 trials by each participant
sub_ratings<- rating_data%>%
  group_by(run_id_2)%>%
  summarise(mean_rating = mean(rating), .groups = 'drop')%>%
      left_join(
        rating_data%>%
          select(run_id_2, face_race, sub_race)%>%
          distinct(run_id_2, .keep_all = TRUE),
          by = ""run_id_2"")

anova_result <- aov(mean_rating ~ face_race * sub_race, data = sub_ratings)",match,"The code uses participants’ mean similarity rating as the outcome and includes face_race and sub_race (perceiver race) as the two between-subjects factors, matching the variables described in the paper’s ANOVA. No additional or omitted variables appear that would change the specified analysis structure.",,
akan,1,"A two-way between-subjects ANOVA tested effects of Face Race (Black vs. White face set) and Perceiver Race (Black vs. White participants) on each participant’s mean similarity rating across all rated pairs. The analysis yielded no main effect of face race, a significant main effect of perceiver race (White perceivers gave higher similarity ratings overall), and a non-significant interaction, with F(1, 351) = 1.49, p = .223 for face race, F(1, 351) = 66.50, p < .0001 for perceiver race, and F(1, 351) = 1.58, p = .209 for the interaction. These results were used to argue that any face-race effect on raw similarity ratings was very small.",Transformation Specification,We computed the mean similarity rating provided by each participant across all the face pairs they rated on experimental trials.,"rating_data <- data_allS%>%
  filter(s_trial_type==""rating"")%>%
  select(""run_id"",""run_id_2"",""sub_race"", ""face_race"",""trial_index"",""rt"",""response"",""s_face_1"", ""s_face_2"",""s_pair_id"",""s_left_right"")%>%
  filter(!str_detect(s_pair_id, 'a'))%>% #get rid of attention check trials (a1, a2, ...)
  mutate_at(c('trial_index', 'rt', 'response','s_pair_id'), as.numeric)%>%
  mutate(rating = response+1)

#mean rating across 250 trials by each participant
sub_ratings<- rating_data%>%
  group_by(run_id_2)%>%
  summarise(mean_rating = mean(rating), .groups = 'drop')%>%
      left_join(
        rating_data%>%
          select(run_id_2, face_race, sub_race)%>%
          distinct(run_id_2, .keep_all = TRUE),
          by = ""run_id_2"")

anova_result <- aov(mean_rating ~ face_race * sub_race, data = sub_ratings)",match,"The code computes each participant’s mean similarity rating across all experimental (non-attention-check) rating trials, consistent with the paper’s description of averaging ratings across all face pairs rated on experimental trials.",,
akan,1,"A two-way between-subjects ANOVA tested effects of Face Race (Black vs. White face set) and Perceiver Race (Black vs. White participants) on each participant’s mean similarity rating across all rated pairs. The analysis yielded no main effect of face race, a significant main effect of perceiver race (White perceivers gave higher similarity ratings overall), and a non-significant interaction, with F(1, 351) = 1.49, p = .223 for face race, F(1, 351) = 66.50, p < .0001 for perceiver race, and F(1, 351) = 1.58, p = .209 for the interaction. These results were used to argue that any face-race effect on raw similarity ratings was very small.",Inference Specification,"The race of the faces did not have a significant effect on ratings of similarity, F(1, 351) = 1.49, p = .223, with a mean difference (White − Black) of 0.11 (95% confidence interval, CI [−0.08, 0.28]). The CI indicates that any potential effect is likely to be quite small, given that all population effect sizes greater than 0.28 are rejected by the sample with α = .05. ... The difference was 0.22 (95% CI [−0.12, 0.56]), which ruled out large or moderate interaction effects at the α = .05 level and was consistent with a null or negligibly small interaction effect.","anova_result <- aov(mean_rating ~ face_race * sub_race, data = sub_ratings)

summary(anova_result)

mse <- 0.67  # MSE from ANOVA
df_residual <- 351  # Residual degrees of freedom

n_bfbs <- 88  
n_bfws <- 91
n_wfbs <- 88
n_wfws <- 88
#means
m_bfbs<-2.1942
m_bfws<-2.7935
m_wfbs<-2.1959
m_wfws<-3.0135

t_crit <- qt(0.975, df = df_residual)
se<- sqrt((mse / n_bfbs) + (mse / n_bfws) + (mse / n_wfbs) + (mse / n_wfws))

#CI for face race
t.test(mean_rating ~ face_race, var.equal = TRUE, data = sub_ratings)
#CI for sub race
t.test(mean_rating ~ sub_race, var.equal = TRUE, data = sub_ratings)
#CI for interaction
interaction_diff <- (m_wfws - m_bfws) - (m_wfbs - m_bfbs)
lower_ci <- interaction_diff - t_crit * se
upper_ci <- interaction_diff + t_crit * se",match,"The code constructs 95% confidence intervals and tests consistent with an alpha level of .05, matching the paper’s stated inference criteria for using 95% CIs to rule out larger effects. There is no indication of a different alpha level or CI specification in the code.",,
akan,3,"A second PROTEST compared the MDS face spaces for White faces derived from Black versus White perceivers to evaluate cross-race agreement in perceived similarity structure. The Procrustes correlation after alignment was 0.78, also significant with p < .001 under randomization, again indicating that Black and White participants showed highly similar relative similarity relationships among White faces.",Model Specification,"We formally assessed consistency in face spaces of same-race and cross-race perceivers in two ways. The PROcrustean Randomization TEST ( Jackson, 1995 ) assesses whether the consistency between two MDS spaces is greater than would be expected by chance (see Appendix C for details). The observed Procrustes correlation between the face spaces of White and Black perceivers was 0.77 for the Black face set and 0.78 for the White face set; both are significantly greater than expected by chance ( ps < .001).",,unknown,"The paper specifies use of a PROcrustean Randomization TEST comparing MDS spaces, but no corresponding code implementation is provided for evaluation.",,
akan,3,"A second PROTEST compared the MDS face spaces for White faces derived from Black versus White perceivers to evaluate cross-race agreement in perceived similarity structure. The Procrustes correlation after alignment was 0.78, also significant with p < .001 under randomization, again indicating that Black and White participants showed highly similar relative similarity relationships among White faces.",Variable Specification,"We formally assessed consistency in face spaces of same-race and cross-race perceivers in two ways. The PROcrustean Randomization TEST (Jackson, 1995) assesses whether the consistency between two MDS spaces is greater than would be expected by chance (see Appendix C for details). The observed Procrustes correlation between the face spaces of White and Black perceivers was 0.77 for the Black face set and 0.78 for the White face set; both are significantly greater than expected by chance (ps < .001).","{""code_value"":""# WHITE FACES // BLACK SS\nrating_data_wb = rating_data%>%\n  filter(face_race == \""White Face Set\"")%>%\n  filter(sub_race == \""Black Perceivers\"")\n\npairs_data_wb = as.data.frame(matrix(NA,4371, 13))\n\nnames(pairs_data_wb) = c(\""pair_id\"",\""face_1\"", \""face_2\"",\""count\"", \""rating_1\"", \""rating_2\"", \""rating_3\"", \""rating_4\"", \""rating_5\"",\""rating_6\"",\""mean_rating_wfbs\"", \""s1mean_wb\"", \""s2mean_wb\"")\n\nfor (i in 1:4371){  \n  \n  pairs_data_wb[i,1] = i\n  pairs_data_wb[i,2] = as.numeric(rating_data_wb[rating_data_wb$s_pair_id==i,\""s_face_1\""][1,1])\n  pairs_data_wb[i,3] = as.numeric(rating_data_wb[rating_data_wb$s_pair_id==i,\""s_face_2\""][1,1])\n  \n  cur_ratings = as.vector(rating_data_wb[rating_data_wb$s_pair_id==i,\""rating\""])$rating\n  cur_count = length(cur_ratings)\n  inds = 1:cur_count\n  \n  pairs_data_wb[i,\""count\""] = cur_count\n  mean_cur_ratings = mean(cur_ratings)\n  pairs_data_wb[i,\""mean_rating_wfbs\""] = mean_cur_ratings\n  \n  if(cur_count ==0 ){\n    next\n  }else{\n    pairs_data_wb[i,5:(4+cur_count)]= cur_ratings\n  }\n  ...\n}\n\n# WHITE FACES // WHITE SS\nrating_data_ww = rating_data%>%\n  filter(face_race == \""White Face Set\"")%>%\n  filter(sub_race == \""White Perceivers\"")\n\npairs_data_ww = as.data.frame(matrix(NA,4371, 13))\n\nnames(pairs_data_ww) = c(\""pair_id\"",\""face_1\"", \""face_2\"",\""count\"", \""rating_1\"", \""rating_2\"", \""rating_3\"", \""rating_4\"", \""rating_5\"",\""rating_6\"",\""mean_rating_wfws\"", \""s1mean_ww\"", \""s2mean_ww\"")\n\nfor (i in 1:4371){  \n  \n  pairs_data_ww[i,1] = i\n  pairs_data_ww[i,2] = as.numeric(rating_data_ww[rating_data_ww$s_pair_id==i,\""s_face_1\""][1,1])\n  pairs_data_ww[i,3] = as.numeric(rating_data_ww[rating_data_ww$s_pair_id==i,\""s_face_2\""][1,1])\n  \n  cur_ratings = as.vector(rating_data_ww[rating_data_ww$s_pair_id==i,\""rating\""])$rating\n  cur_count = length(cur_ratings)\n  pairs_data_ww[i,\""count\""] = cur_count\n  inds = 1:cur_count\n  \n  mean_cur_ratings = mean(cur_ratings)\n  pairs_data_ww[i,\""mean_rating_wfws\""] = mean_cur_ratings\n  \n  if(cur_count ==0 ){\n    next\n  }else{\n    pairs_data_ww[i,5:(4+cur_count)]= cur_ratings\n  }\n  ...\n}\n\n# put in dissim matrix format to get ready for MDS for WHITE Faces\n\ndissim_mat_wb <- pairs_data_wb%>% \n  select(pair_id,face_1, face_2, mean_rating_wfbs)%>%\n  group_by(face_1, face_2)%>%\n  summarize(avg_dissim = mean(8-mean_rating_wfbs, na.rm = T), .groups = \""drop\"")%>%\n  arrange(face_1, face_2)%>%\n  pivot_wider(names_from=face_1, values_from = avg_dissim)%>%\n  .[,-1]%>%\n  as.matrix()%>%\n  rbind(NA,.)%>%\n  cbind(.,NA)\n\n\ndissim_mat_ww <- pairs_data_ww%>% \n  select(pair_id,face_1, face_2, mean_rating_wfws)%>%\n  group_by(face_1, face_2)%>%\n  summarize(avg_dissim = mean(8-mean_rating_wfws, na.rm = T), .groups = \""drop\"")%>%\n  arrange(face_1, face_2)%>%\n  pivot_wider(names_from=face_1, values_from = avg_dissim)%>%\n  .[,-1]%>%\n  as.matrix()%>%\n  rbind(NA,.)%>%\n  cbind(.,NA)\n"",""evidence"":{""code_path"":""/Users/jamie/git/codebot-for-psychology/data/raw/main/codebot/materials/codebot_pairs/akan/similarity_analysis_o.Rmd"",""code_lines"":""# WHITE FACES // BLACK SS\nrating_data_wb = rating_data%>%\n  filter(face_race == \""White Face Set\"")%>%\n  filter(sub_race == \""Black Perceivers\"")\n\npairs_data_wb = as.data.frame(matrix(NA,4371, 13))\n\nnames(pairs_data_wb) = c(\""pair_id\"",\""face_1\"", \""face_2\"",\""count\"", \""rating_1\"", \""rating_2\"", \""rating_3\"", \""rating_4\"", \""rating_5\"",\""rating_6\"",\""mean_rating_wfbs\"", \""s1mean_wb\"", \""s2mean_wb\"")\n\nfor (i in 1:4371){  \n  \n  pairs_data_wb[i,1] = i\n  pairs_data_wb[i,2] = as.numeric(rating_data_wb[rating_data_wb$s_pair_id==i,\""s_face_1\""][1,1])\n  pairs_data_wb[i,3] = as.numeric(rating_data_wb[rating_data_wb$s_pair_id==i,\""s_face_2\""][1,1])\n  \n  cur_ratings = as.vector(rating_data_wb[rating_data_wb$s_pair_id==i,\""rating\""])$rating\n  cur_count = length(cur_ratings)\n  inds = 1:cur_count\n  \n  pairs_data_wb[i,\""count\""] = cur_count\n  mean_cur_ratings = mean(cur_ratings)\n  pairs_data_wb[i,\""mean_rating_wfbs\""] = mean_cur_ratings\n  \n  if(cur_count ==0 ){\n    next\n  }else{\n    pairs_data_wb[i,5:(4+cur_count)]= cur_ratings\n  }\n  \n  if (cur_count %% 2 == 0){\n    ind_s1 <- sample(inds, (cur_count/2), replace = FALSE)\n  }else {\n    if (runif(1)>0.5){\n      ind_s1 <- sample(inds, (cur_count-1)/2, replace = FALSE)\n    }else {\n      ind_s1 <- sample(inds, (cur_count+1)/2, replace = FALSE)\n    }\n  }\n  \n  ind_s2 = setdiff(inds, ind_s1)\n  \n  s1<- cur_ratings[ind_s1]\n  s2<- cur_ratings[ind_s2]\n  \n  pairs_data_wb$s1mean_wb[i] = mean(s1)\n  pairs_data_wb$s2mean_wb[i] = mean(s2)\n}\n\n\n\n\n\n# WHITE FACES // WHITE SS\nrating_data_ww = rating_data%>%\n  filter(face_race == \""White Face Set\"")%>%\n  filter(sub_race == \""White Perceivers\"")\n\npairs_data_ww = as.data.frame(matrix(NA,4371, 13))\n\nnames(pairs_data_ww) = c(\""pair_id\"",\""face_1\"", \""face_2\"",\""count\"", \""rating_1\"", \""rating_2\"", \""rating_3\"", \""rating_4\"", \""rating_5\"",\""rating_6\"",\""mean_rating_wfws\"", \""s1mean_ww\"", \""s2mean_ww\"")\n\nfor (i in 1:4371){  \n  \n  pairs_data_ww[i,1] = i\n  pairs_data_ww[i,2] = as.numeric(rating_data_ww[rating_data_ww$s_pair_id==i,\""s_face_1\""][1,1])\n  pairs_data_ww[i,3] = as.numeric(rating_data_ww[rating_data_ww$s_pair_id==i,\""s_face_2\""][1,1])\n  \n  cur_ratings = as.vector(rating_data_ww[rating_data_ww$s_pair_id==i,\""rating\""])$rating\n  cur_count = length(cur_ratings)\n  pairs_data_ww[i,\""count\""] = cur_count\n  inds = 1:cur_count\n  \n  mean_cur_ratings = mean(cur_ratings)\n  pairs_data_ww[i,\""mean_rating_wfws\""] = mean_cur_ratings\n  \n  if(cur_count ==0 ){\n    next\n  }else{\n    pairs_data_ww[i,5:(4+cur_count)]= cur_ratings\n  }\n  \n  \n  if (cur_count %% 2 == 0){\n    ind_s1 <- sample(inds, (cur_count/2), replace = FALSE)\n  }else {\n    if (runif(1)>0.5){\n      ind_s1 <- sample(inds, (cur_count-1)/2, replace = FALSE)\n    }else {\n      ind_s1 <- sample(inds, (cur_count+1)/2, replace = FALSE)\n    }\n  }\n  \n  ind_s2 = setdiff(inds, ind_s1)\n  \n  s1<- cur_ratings[ind_s1]\n  s2<- cur_ratings[ind_s2]\n  \n  pairs_data_ww$s1mean_ww[i] = mean(s1)\n  pairs_data_ww$s2mean_ww[i] = mean(s2)\n  \n}\n  \n\n\nput in dissim matrix format to get ready for MDS for WHITE Faces\n\n```{r}\n\ndissim_mat_wb <- pairs_data_wb%>% \n  select(pair_id,face_1, face_2, mean_rating_wfbs)%>%\n  group_by(face_1, face_2)%>%\n  summarize(avg_dissim = mean(8-mean_rating_wfbs, na.rm = T), .groups = \""drop\"")%>%\n  arrange(face_1, face_2)%>%\n  pivot_wider(names_from=face_1, values_from = avg_dissim)%>%\n  .[,-1]%>%\n  as.matrix()%>%\n  rbind(NA,.)%>%\n  cbind(.,NA)\n\n\ndissim_mat_ww <- pairs_data_ww%>% \n  select(pair_id,face_1, face_2, mean_rating_wfws)%>%\n  group_by(face_1, face_2)%>%\n  summarize(avg_dissim = mean(8-mean_rating_wfws, na.rm = T), .groups = \""drop\"")%>%\n  arrange(face_1, face_2)%>%\n  pivot_wider(names_from=face_1, values_from = avg_dissim)%>%\n  .[,-1]%>%\n  as.matrix()%>%\n  rbind(NA,.)%>%\n  cbind(.,NA)\n\n#write.csv(dissim_mat_wb, file = \""dissim_mat_wb.csv\"", row.names = FALSE)\n\n#write.csv(dissim_mat_ww, file = \""dissim_mat_ww.csv\"", row.names = FALSE)\n```""}}}",match,"The code uses pairwise similarity ratings of White faces from Black versus White perceivers to construct dissimilarity matrices for MDS, matching the paper’s description of comparing MDS face spaces of White faces derived from Black vs. White participants.",,
akan,3,"A second PROTEST compared the MDS face spaces for White faces derived from Black versus White perceivers to evaluate cross-race agreement in perceived similarity structure. The Procrustes correlation after alignment was 0.78, also significant with p < .001 under randomization, again indicating that Black and White participants showed highly similar relative similarity relationships among White faces.",Transformation Specification,"Based on the similarity ratings given by each racial group for each face set, we derived perceptual spaces using ordinal (nonmetric) MDS. In these spaces, Euclidean distances between faces represent perceived similarity. That is, faces perceived as more similar are spatially located closer together, while faces perceived as less similar are spatially located further apart.

The dimensionality of the face spaces was set to 6. This value was determined by evaluating lack of fit as a function of increasing dimensionality and by drawing on prior research that used similarity ratings to derive face spaces (e.g., Busey, 1998 ; Byatt & Rhodes, 2004; see Appendix B for details). In an ordinal MDS face space, the relative distance between faces reflects relative perceived similarities. All other aspects of the face space—namely, scale, rotation, and origin—can be changed without affecting relative distances, and are not in any way constrained by the observed similarity ratings. Therefore, to compare two different perceptual spaces, we must first bring the two spaces into alignment. We aligned the two spaces via a Procrustes transformation by scaling, rotating, and translating the face space of White perceivers to minimize the sum of squared distances of the location of each face to its associated location in the face space of Black perceivers.","rating_data <- data_allS%>%
  filter(s_trial_type==""rating"")%>%
  select(""run_id"",""run_id_2"",""sub_race"", ""face_race"",""trial_index"",""rt"",""response"",""s_face_1"", ""s_face_2"",""s_pair_id"",""s_left_right"")%>%
  filter(!str_detect(s_pair_id, 'a'))%>% #get rid of attention check trials (a1, a2, ...)
  mutate_at(c('trial_index', 'rt', 'response','s_pair_id'), as.numeric)%>%
  mutate(rating = response+1)
...
# WHITE FACES // BLACK SS
rating_data_wb = rating_data%>%
  filter(face_race == ""White Face Set"")%>%
  filter(sub_race == ""Black Perceivers"")

pairs_data_wb = as.data.frame(matrix(NA,4371, 13))

names(pairs_data_wb) = c(""pair_id"",""face_1"", ""face_2"",""count"", ""rating_1"", ""rating_2"", ""rating_3"", ""rating_4"", ""rating_5"",""rating_6"",""mean_rating_wfbs"", ""s1mean_wb"", ""s2mean_wb"")

for (i in 1:4371){  
  
  pairs_data_wb[i,1] = i
  pairs_data_wb[i,2] = as.numeric(rating_data_wb[rating_data_wb$s_pair_id==i,""s_face_1""][1,1])
  pairs_data_wb[i,3] = as.numeric(rating_data_wb[rating_data_wb$s_pair_id==i,""s_face_2""][1,1])
  
  cur_ratings = as.vector(rating_data_wb[rating_data_wb$s_pair_id==i,""rating""])$rating
  cur_count = length(cur_ratings)
  inds = 1:cur_count
  
  pairs_data_wb[i,""count""] = cur_count
  mean_cur_ratings = mean(cur_ratings)
  pairs_data_wb[i,""mean_rating_wfbs""] = mean_cur_ratings
  
  if(cur_count ==0 ){
    next
  }else{
    pairs_data_wb[i,5:(4+cur_count)]= cur_ratings
  }
  
  if (cur_count %% 2 == 0){
    ind_s1 <- sample(inds, (cur_count/2), replace = FALSE)
  }else {
    if (runif(1)>0.5){
      ind_s1 <- sample(inds, (cur_count-1)/2, replace = FALSE)
    }else {
      ind_s1 <- sample(inds, (cur_count+1)/2, replace = FALSE)
    }
  }
  
  ind_s2 = setdiff(inds, ind_s1)
  
  s1<- cur_ratings[ind_s1]
  s2<- cur_ratings[ind_s2]
  
  pairs_data_wb$s1mean_wb[i] = mean(s1)
  pairs_data_wb$s2mean_wb[i] = mean(s2)
}
...
# WHITE FACES // WHITE SS
rating_data_ww = rating_data%>%
  filter(face_race == ""White Face Set"")%>%
  filter(sub_race == ""White Perceivers"")

pairs_data_ww = as.data.frame(matrix(NA,4371, 13))

names(pairs_data_ww) = c(""pair_id"",""face_1"", ""face_2"",""count"", ""rating_1"", ""rating_2"", ""rating_3"", ""rating_4"", ""rating_5"",""rating_6"",""mean_rating_wfws"", ""s1mean_ww"", ""s2mean_ww"")

for (i in 1:4371){  
  
  pairs_data_ww[i,1] = i
  pairs_data_ww[i,2] = as.numeric(rating_data_ww[rating_data_ww$s_pair_id==i,""s_face_1""][1,1])
  pairs_data_ww[i,3] = as.numeric(rating_data_ww[rating_data_ww$s_pair_id==i,""s_face_2""][1,1])
  
  cur_ratings = as.vector(rating_data_ww[rating_data_ww$s_pair_id==i,""rating""])$rating
  cur_count = length(cur_ratings)
  pairs_data_ww[i,""count""] = cur_count
  inds = 1:cur_count
  
  mean_cur_ratings = mean(cur_ratings)
  pairs_data_ww[i,""mean_rating_wfws""] = mean_cur_ratings
  
  if(cur_count ==0 ){
    next
  }else{
    pairs_data_ww[i,5:(4+cur_count)]= cur_ratings
  }
  
  
  if (cur_count %% 2 == 0){
    ind_s1 <- sample(inds, (cur_count/2), replace = FALSE)
  }else {
    if (runif(1)>0.5){
      ind_s1 <- sample(inds, (cur_count-1)/2, replace = FALSE)
    }else {
      ind_s1 <- sample(inds, (cur_count+1)/2, replace = FALSE)
    }
  }
  
  ind_s2 = setdiff(inds, ind_s1)
  
  s1<- cur_ratings[ind_s1]
  s2<- cur_ratings[ind_s2]
  
  pairs_data_ww$s1mean_ww[i] = mean(s1)
  pairs_data_ww$s2mean_ww[i] = mean(s2)
  
}
...
# put in dissim matrix format to get ready for MDS for WHITE Faces

dissim_mat_wb <- pairs_data_wb%>% 
  select(pair_id,face_1, face_2, mean_rating_wfbs)%>%
  group_by(face_1, face_2)%>%
  summarize(avg_dissim = mean(8-mean_rating_wfbs, na.rm = T), .groups = ""drop"")%>%
  arrange(face_1, face_2)%>%
  pivot_wider(names_from=face_1, values_from = avg_dissim)%>%
  .[,-1]%>%
  as.matrix()%>%
  rbind(NA,.)%>%
  cbind(.,NA)


dissim_mat_ww <- pairs_data_ww%>% 
  select(pair_id,face_1, face_2, mean_rating_wfws)%>%
  group_by(face_1, face_2)%>%
  summarize(avg_dissim = mean(8-mean_rating_wfws, na.rm = T), .groups = ""drop"")%>%
  arrange(face_1, face_2)%>%
  pivot_wider(names_from=face_1, values_from = avg_dissim)%>%
  .[,-1]%>%
  as.matrix()%>%
  rbind(NA,.)%>%
  cbind(.,NA)
",unknown,"The paper describes using ordinal MDS and a Procrustes transformation to align White- and Black-perceiver face spaces, but the provided code excerpt only shows construction and transformation of dissimilarity matrices and does not include the MDS or Procrustes alignment steps. Because the key described transformation (Procrustes alignment) is not visible in the code snippet, it is unclear whether the implementation matches the paper’s transformation description.",,
akan,3,"A second PROTEST compared the MDS face spaces for White faces derived from Black versus White perceivers to evaluate cross-race agreement in perceived similarity structure. The Procrustes correlation after alignment was 0.78, also significant with p < .001 under randomization, again indicating that Black and White participants showed highly similar relative similarity relationships among White faces.",Inference Specification,The observed Procrustes correlation between the face spaces of White and Black perceivers was 0.77 for the Black face set and 0.78 for the White face set; both are significantly greater than expected by chance (ps < .001).,,unknown,"There is no code provided related to how the Procrustes correlation significance (p < .001) was assessed, so it is not possible to determine whether the inferential procedure in the code matches the paper’s description. Without this information, alignment between the reported p-values and any implemented randomization or significance testing cannot be evaluated.",,
akan,4,"A rank-order correlation analysis quantified the agreement in pairwise distances between the Black-perceiver and White-perceiver MDS spaces for the Black face set. Using all unique face–face pairs, the Spearman-type correlation between ranked distances was r(4,369) = .68, p < .0001, showing strong correspondence in how Black and White observers judge relative similarity among Black faces.",Model Specification,"For this analysis, we first computed the correlation between the ranked distances in the face spaces of White and Black perceivers. For both face sets, the rank-order correlations between the face spaces of the two perceiver groups were notably high: For the Black face set, the correlation was r(4369) = .68, p < .0001, and for the White face set, it was r(4369) = .66, p < .0001.",,unknown,"No relevant code implementing the rank-order (Spearman-type) correlation analysis is provided, so it is not possible to assess whether the implementation matches the described model specification in the paper.",,
akan,4,"A rank-order correlation analysis quantified the agreement in pairwise distances between the Black-perceiver and White-perceiver MDS spaces for the Black face set. Using all unique face–face pairs, the Spearman-type correlation between ranked distances was r(4,369) = .68, p < .0001, showing strong correspondence in how Black and White observers judge relative similarity among Black faces.",Variable Specification,"We also examined the consistency in the face spaces of same-race and cross-race perceivers with a bootstrap analysis to determine whether the correlations between the face spaces of same- and cross-race perceivers are in alignment with the level of correlation that would be expected from the estimation variability within each perceiver group. For this analysis, we first computed the correlation between the ranked distances in the face spaces of White and Black perceivers. For both face sets, the rank-order correlations between the face spaces of the two perceiver groups were notably high: For the Black face set, the correlation was r(4369) = .68, p < .0001, and for the White face set, it was r(4369) = .66, p < .0001.",,unknown,There is not enough information about the code to determine whether the variables used in the rank-order correlation analysis match the paper’s description.,,
