paper_id,analysis_id,brief_description,dimension,paper_value,code_value,match_status,explanation,paper_evidence,code_evidence
nguyen,1,"In Study 1, the authors ran a simple linear regression predicting perceived impact of antagonistic behaviors on getting things done from participants’ competitive worldview (CWV) scores. Higher CWV significantly predicted higher impact ratings for antagonistic behaviors, indicating that more competitive worldviews are associated with seeing antagonism as more instrumentally effective.",Model Specification,Linear regressions were conducted predicting impact ratings with participant CWV.,"# linear regressions ####
warm <- lm(warm ~ CWV_ctr, toe_data); summary(warm)
cold <- lm(cold ~ CWV_ctr, toe_data); summary(cold)
bell <- lm(bell ~ CWV_ctr, toe_data); summary(bell)",match,"The paper states that linear regressions were conducted predicting impact ratings from CWV, and the code implements linear models regressing rating variables on centered CWV. Thus, the model specification in the code aligns with the description in the paper.",,
nguyen,1,"In Study 1, the authors ran a simple linear regression predicting perceived impact of antagonistic behaviors on getting things done from participants’ competitive worldview (CWV) scores. Higher CWV significantly predicted higher impact ratings for antagonistic behaviors, indicating that more competitive worldviews are associated with seeing antagonism as more instrumentally effective.",Variable Specification,"Linear regressions were conducted predicting impact ratings with participant CWV.

""Participants were presented with 16 behaviors and indicated the 'typical impact' of each behavior 'on a person’s ability to get things done when they’re interacting and working with other people,' using a 5-point scale (1 = would greatly decrease their ability to get things done, 5 = would greatly increase their ability to get things done). The list of behavior items was informed by behavioral descriptions from the literature on warmth (e.g., Fiske et al., 2007) and assertiveness (e.g., Ames & Flynn, 2007). Our main analyses concerned 10 antagonistic behaviors (e.g., 'being abrasive and blunt toward others,' 'calling out and blaming people,' 'making threats or ultimatums'; α = .92).""

""Participants completed a 10-item measure of CWV (e.g., 'It is a dog-eat-dog world where you have to be ruthless at times,' 'My knowledge and experience tell me that the social world we live in is basically a competitive “jungle” in which the fittest survive and succeed, in which power, wealth, and winning are everything, and might is right,' 'Life is not governed by the “survival of the fittest.” We should let compassion and moral laws be our guide,' reverse-scored; Perry et al., 2013).""","# calculate mean CWV ####
# R=2,5,7,9,10
psych::alpha(select(toe_data, c(CWV_1:CWV_10)), check.keys=T) #0.84
toe_data <- toe_data %>% rowwise() %>%
  mutate(CWV = mean(c(CWV_1,8-CWV_2,CWV_3,CWV_4,8-CWV_5,
                      CWV_6,8-CWV_7,CWV_8,8-CWV_9,8-CWV_10))) %>%
  ungroup()

# behaviors ####
psych::alpha(select(toe_data, starts_with('warm_')), check.keys=T) #0.76
psych::alpha(select(toe_data, starts_with('cold_')), check.keys=T) #0.66
psych::alpha(select(toe_data, starts_with('bell_')), check.keys=T) #0.92
toe_data <- toe_data %>% rowwise() %>%
  mutate(warm = mean(c_across(starts_with('warm'))),
         cold = mean(c_across(starts_with('cold'))),
         bell = mean(c_across(starts_with('bell')))) %>%
  ungroup()

# center predictors ####
toe_data <- toe_data %>%
  mutate(across(c(CWV, SDO, RWA, DWV, ILT, coerc_TOP, collab_TOP, cynicism,
                  coop_primal, confl_temp_best, confl_temp_worst, ZSB, gen_trust), ~scale(., scale=F), .names='{.col}_ctr'))

# linear regressions ####
warm <- lm(warm ~ CWV_ctr, toe_data); summary(warm)
cold <- lm(cold ~ CWV_ctr, toe_data); summary(cold)
bell <- lm(bell ~ CWV_ctr, toe_data); summary(bell)
stargazer::stargazer(bell, cold, warm,
                     type='html', out='study1_results.doc',
                     star.cutoffs=c(.05,.01,.001), dep.var.caption='', omit.stat=c('LL','ser','f','n','rsq'), digit.separator='', digits=2, intercept.bottom=F, notes.align='l', no.space=T, single.row=T, notes='Standard errors in parentheses.')",match,"The regression in the code uses participants’ CWV scores as the predictor and the mean of the antagonistic behavior impact ratings (the 'bell' composite) as the outcome, which aligns with the paper’s description. The CWV composite is correctly constructed from the 10 CWV items (with appropriate reverse-scoring), and the antagonistic behaviors composite (α = .92) is used as the dependent variable.",,
nguyen,1,"In Study 1, the authors ran a simple linear regression predicting perceived impact of antagonistic behaviors on getting things done from participants’ competitive worldview (CWV) scores. Higher CWV significantly predicted higher impact ratings for antagonistic behaviors, indicating that more competitive worldviews are associated with seeing antagonism as more instrumentally effective.",Transformation Specification,"Participants were presented with 16 behaviors and indicated the ""typical impact"" of each behavior ""on a person’s ability to get things done when they’re interacting and working with other people,"" using a 5-point scale (1 = would greatly decrease their ability to get things done, 5 = would greatly increase their ability to get things done). The list of behavior items was informed by behavioral descriptions from the literature on warmth (e.g., Fiske et al., 2007) and assertiveness (e.g., Ames & Flynn, 2007). Our main analyses concerned 10 antagonistic behaviors (e.g., ""being abrasive and blunt toward others,"" ""calling out and blaming people,"" ""making threats or ultimatums""; α = .92).

For our secondary analyses, we also included three affiliative behaviors (e.g., ""acting in a nice, caring way""; α = .76). Finally, for our exploratory analyses, we included three cold and passive behaviors (e.g., ""acting in a cold, unfriendly way toward others""; α = .66).","# drop incomplete cases ####
toe_data <- toe_data %>% filter(Finished==1)
...
# drop cases that fail any of attention checks ####
# nrow(toe_data) #400
toe_data <- toe_data %>%
  filter(entered_connectID_anon==connectID_anon &
           attencheck_1==2 & attencheck_2==2 & attencheck_3==6 &
           attencheck_4==7 & attencheck_5==3)
# nrow(toe_data) #350

# calculate mean CWV ####
# R=2,5,7,9,10
psych::alpha(select(toe_data, c(CWV_1:CWV_10)), check.keys=T) #0.84
toe_data <- toe_data %>% rowwise() %>%
  mutate(CWV = mean(c(CWV_1,8-CWV_2,CWV_3,CWV_4,8-CWV_5,
                      CWV_6,8-CWV_7,CWV_8,8-CWV_9,8-CWV_10))) %>%
  ungroup()

# behaviors ####
psych::alpha(select(toe_data, starts_with('warm_')), check.keys=T) #0.76
psych::alpha(select(toe_data, starts_with('cold_')), check.keys=T) #0.66
psych::alpha(select(toe_data, starts_with('bell_')), check.keys=T) #0.92
toe_data <- toe_data %>% rowwise() %>%
  mutate(warm = mean(c_across(starts_with('warm'))),
         cold = mean(c_across(starts_with('cold'))),
         bell = mean(c_across(starts_with('bell')))) %>%
  ungroup()

# center predictors ####
toe_data <- toe_data %>%
  mutate(across(c(CWV, SDO, RWA, DWV, ILT, coerc_TOP, collab_TOP, cynicism,
                  coop_primal, confl_temp_best, confl_temp_worst, ZSB, gen_trust), ~scale(., scale=F), .names='{.col}_ctr'))

# linear regressions ####
warm <- lm(warm ~ CWV_ctr, toe_data); summary(warm)
cold <- lm(cold ~ CWV_ctr, toe_data); summary(cold)
bell <- lm(bell ~ CWV_ctr, toe_data); summary(bell)",match,"The code aggregates the 10 antagonistic, 3 affiliative, and 3 cold/passive behavior items into mean scales with the same internal consistencies reported in the paper, matching the transformation implied by the text. Additional steps like centering predictors and dropping attention-check failures are extra preprocessing choices that do not conflict with the described transformation of behavior items into composite scales.",,
nguyen,1,"In Study 1, the authors ran a simple linear regression predicting perceived impact of antagonistic behaviors on getting things done from participants’ competitive worldview (CWV) scores. Higher CWV significantly predicted higher impact ratings for antagonistic behaviors, indicating that more competitive worldviews are associated with seeing antagonism as more instrumentally effective.",Inference Specification,"An effective sample size of 292 was determined by a power analysis of a linear multiple regression with a small-to-medium effect size f2 = 0.08, α = .05, power = .90, and 13 predictors (participant CWV and 12 other constructs, described below).
...
All studies’ hypotheses, designs, and analysis plans were preregistered.","warm <- lm(warm ~ CWV_ctr, toe_data); summary(warm)
cold <- lm(cold ~ CWV_ctr, toe_data); summary(cold)
bell <- lm(bell ~ CWV_ctr, toe_data); summary(bell)
stargazer::stargazer(bell, cold, warm,
                     type='html', out='study1_results.doc',
                     star.cutoffs=c(.05,.01,.001), dep.var.caption='', omit.stat=c('LL','ser','f','n','rsq'), digit.separator='', digits=2, intercept.bottom=F, notes.align='l', no.space=T, single.row=T, notes='Standard errors in parentheses.')",match,"The paper specifies an alpha level of .05 and preregistered analysis plans, and the code uses conventional significance thresholds with a primary cutoff at .05, consistent with that inference specification. There is no evidence of a different or conflicting inference criterion in the code for this analysis.",,
nguyen,2,"In Study 1, a simple linear regression tested whether CWV predicted perceived impact of affiliative behaviors. CWV was a significant negative predictor, such that participants with more competitive worldviews rated affiliative behaviors as less helpful for getting things done.",Model Specification,"Linear regressions were conducted predicting impact ratings with participant CWV. ... As secondary analyses, we also examined the relationship between participant CWV and ratings of the impact of affiliative behaviors. CWV negatively covaried with impact ratings of affiliative behaviors (see Figure 2 and Table 2).","# linear regressions ####
warm <- lm(warm ~ CWV_ctr, toe_data); summary(warm)
cold <- lm(cold ~ CWV_ctr, toe_data); summary(cold)
bell <- lm(bell ~ CWV_ctr, toe_data); summary(bell)
stargazer::stargazer(bell, cold, warm,
                     type='html', out='study1_results.doc',
                     star.cutoffs=c(.05,.01,.001), dep.var.caption='', omit.stat=c('LL','ser','f','n','rsq'), digit.separator='', digits=2, intercept.bottom=F, notes.align='l', no.space=T, single.row=T, notes='Standard errors in parentheses.')",match,"The paper describes using linear regression to predict impact ratings from CWV, and the code implements linear models (lm) with CWV as predictor of impact-related variables. Thus, the model specification in the code aligns with the description in the paper.",,
nguyen,2,"In Study 1, a simple linear regression tested whether CWV predicted perceived impact of affiliative behaviors. CWV was a significant negative predictor, such that participants with more competitive worldviews rated affiliative behaviors as less helpful for getting things done.",Variable Specification,"Linear regressions were conducted predicting impact ratings with participant CWV. ... As secondary analyses, we also examined the relationship between participant CWV and ratings of the impact of affiliative behaviors. CWV negatively covaried with impact ratings of affiliative behaviors (see Figure 2 and Table 2).","psych::alpha(select(toe_data, starts_with('warm_')), check.keys=T) #0.76
...
toe_data <- toe_data %>% rowwise() %>%
  mutate(warm = mean(c_across(starts_with('warm'))),
         cold = mean(c_across(starts_with('cold'))),
         bell = mean(c_across(starts_with('bell')))) %>%
  ungroup()
...
psych::alpha(select(toe_data, c(CWV_1:CWV_10)), check.keys=T) #0.84
toe_data <- toe_data %>% rowwise() %>%
  mutate(CWV = mean(c(CWV_1,8-CWV_2,CWV_3,CWV_4,8-CWV_5,
                      CWV_6,8-CWV_7,CWV_8,8-CWV_9,8-CWV_10))) %>%
  ungroup()
...
# center predictors ####
toe_data <- toe_data %>%
  mutate(across(c(CWV, SDO, RWA, DWV, ILT, coerc_TOP, collab_TOP, cynicism,
                  coop_primal, confl_temp_best, confl_temp_worst, ZSB, gen_trust), ~scale(., scale=F), .names='{.col}_ctr'))
...
# linear regressions ####
warm <- lm(warm ~ CWV_ctr, toe_data); summary(warm)
cold <- lm(cold ~ CWV_ctr, toe_data); summary(cold)
bell <- lm(bell ~ CWV_ctr, toe_data); summary(bell)
stargazer::stargazer(bell, cold, warm,
                     type='html', out='study1_results.doc',
                     star.cutoffs=c(.05,.01,.001), dep.var.caption='', omit.stat=c('LL','ser','f','n','rsq'), digit.separator='', digits=2, intercept.bottom=F, notes.align='l', no.space=T, single.row=T, notes='Standard errors in parentheses.')",match,"The code uses participants’ CWV scores as the predictor and the mean of affiliative (warm) impact ratings as the outcome in a simple linear regression, which aligns with the paper’s description. Centering CWV before regression does not alter the variable roles specified in the paper.",,
nguyen,2,"In Study 1, a simple linear regression tested whether CWV predicted perceived impact of affiliative behaviors. CWV was a significant negative predictor, such that participants with more competitive worldviews rated affiliative behaviors as less helpful for getting things done.",Transformation Specification,"For our secondary analyses, we also included three affiliative behaviors (e.g., ""acting in a nice, caring way""; α = .76).","# drop incomplete cases ####

sum(toe_data$Finished==1) #400
sum(toe_data$Finished!=1) #25
toe_data <- toe_data %>% filter(Finished==1)

...

# drop cases that fail any of attention checks ####
# nrow(toe_data) #400
toe_data <- toe_data %>%
  filter(entered_connectID_anon==connectID_anon &
           attencheck_1==2 & attencheck_2==2 & attencheck_3==6 &
           attencheck_4==7 & attencheck_5==3)
# nrow(toe_data) #350

# calculate mean CWV ####
# R=2,5,7,9,10
psych::alpha(select(toe_data, c(CWV_1:CWV_10)), check.keys=T) #0.84
toe_data <- toe_data %>% rowwise() %>%
  mutate(CWV = mean(c(CWV_1,8-CWV_2,CWV_3,CWV_4,8-CWV_5,
                      CWV_6,8-CWV_7,CWV_8,8-CWV_9,8-CWV_10))) %>%
  ungroup()

# categorical CWV ####
lowCWV <- mean(toe_data$CWV)-sd(toe_data$CWV) #1.8
highCWV <- mean(toe_data$CWV)+sd(toe_data$CWV) #3.7
toe_data <- toe_data %>%
  mutate(cat_CWV = factor(ifelse(CWV<lowCWV,'low',
                                    ifelse(CWV>=highCWV,'high','med')),
                          levels=c('low','med','high')))

# behaviors ####
psych::alpha(select(toe_data, starts_with('warm_')), check.keys=T) #0.76
psych::alpha(select(toe_data, starts_with('cold_')), check.keys=T) #0.66
psych::alpha(select(toe_data, starts_with('bell_')), check.keys=T) #0.92
toe_data <- toe_data %>% rowwise() %>%
  mutate(warm = mean(c_across(starts_with('warm'))),
         cold = mean(c_across(starts_with('cold'))),
         bell = mean(c_across(starts_with('bell')))) %>%
  ungroup()

# constructing other constructs ####
...

# center predictors ####
toe_data <- toe_data %>%
  mutate(across(c(CWV, SDO, RWA, DWV, ILT, coerc_TOP, collab_TOP, cynicism,
                  coop_primal, confl_temp_best, confl_temp_worst, ZSB, gen_trust), ~scale(., scale=F), .names='{.col}_ctr'))",match,"The code forms a mean composite of three affiliative (warm) behavior items with reliability α = .76 and then centers CWV, which is consistent with the paper’s description of creating an affiliative behavior scale and using CWV as a predictor. No conflicting or omitted transformations relevant to this analysis are apparent.",,
nguyen,2,"In Study 1, a simple linear regression tested whether CWV predicted perceived impact of affiliative behaviors. CWV was a significant negative predictor, such that participants with more competitive worldviews rated affiliative behaviors as less helpful for getting things done.",Inference Specification,"An effective sample size of 292 was determined by a power analysis of a linear multiple regression with a small-to-medium effect size f2 = 0.08, α = .05, power = .90, and 13 predictors (participant CWV and 12 other constructs, described below).

Table 2
Rated Impact of Each Behavior Type as a Function of Participant
CWV (Study 1)
...
Note. Standard errors in parentheses. CWV = competitive worldview.
*** p < .001.

Table 3
Rated Impact of Each Behavior Type as a Function of Participant
CWV and Related Constructs (Study 1)
...
Note. Standard errors in parentheses. CWV = competitive worldview;
ZSB = zero-sum beliefs; SDO = social dominance orientation; RWA = right-wing
authoritarianism; DWV = dangerous worldview; ILT = implicit leadership theories; TOP = theories of power.
† p < .1. ** p < .01. *** p < .001.","warm <- lm(warm ~ CWV_ctr, toe_data); summary(warm)
...
stargazer::stargazer(bell, cold, warm,
                     type='html', out='study1_results.doc',
                     star.cutoffs=c(.05,.01,.001), dep.var.caption='', omit.stat=c('LL','ser','f','n','rsq'), digit.separator='', digits=2, intercept.bottom=F, notes.align='l', no.space=T, single.row=T, notes='Standard errors in parentheses.')",match,"The code uses conventional p-value cutoffs of .05, .01, and .001 for significance stars, which is consistent with the inferential thresholds described and implied in the paper for this regression analysis.",,
nguyen,3,"The authors conducted a paired-samples t-test in Study 1 comparing mean impact ratings for affiliative versus antagonistic behaviors. Affiliative behaviors were rated as substantially more effective than antagonistic behaviors, evidencing a strong overall antagonism penalty (t(349) = 39.87, p < .001).",Model Specification,"Notably, there was also a substantial main effect of behavior type, such that affiliative behaviors were rated more effective ( M = 4.31, SD = 0.64) than antagonistic behaviors, M = 1.75, SD = 0.71; t(349) = 39.87, p < .001 (see Figure 2 ).","t.test(toe_data$warm, toe_data$bell, paired=T)",match,"The paper describes a paired-samples t-test comparing affiliative and antagonistic behavior ratings, and the code implements a paired t-test on two related variables. Thus, the model specification in the code aligns with the description in the paper.",,
nguyen,3,"The authors conducted a paired-samples t-test in Study 1 comparing mean impact ratings for affiliative versus antagonistic behaviors. Affiliative behaviors were rated as substantially more effective than antagonistic behaviors, evidencing a strong overall antagonism penalty (t(349) = 39.87, p < .001).",Variable Specification,"Notably, there was also a substantial main effect of behavior type, such that affiliative behaviors were rated more effective (M = 4.31, SD = 0.64) than antagonistic behaviors, M = 1.75, SD = 0.71; t(349) = 39.87, p < .001 (see Figure 2 ).","# behaviors ####
psych::alpha(select(toe_data, starts_with('warm_')), check.keys=T) #0.76
psych::alpha(select(toe_data, starts_with('cold_')), check.keys=T) #0.66
psych::alpha(select(toe_data, starts_with('bell_')), check.keys=T) #0.92
toe_data <- toe_data %>% rowwise() %>%
  mutate(warm = mean(c_across(starts_with('warm'))),
         cold = mean(c_across(starts_with('cold'))),
         bell = mean(c_across(starts_with('bell')))) %>%
  ungroup()
...
# main effect of behavior type ####
toe_data %>%
  summarise(across(c(warm, cold, bell), list(mean, sd)))
t.test(toe_data$warm, toe_data$bell, paired=T)",match,"The code uses two composite variables, 'warm' and 'bell', as the paired measures for the main effect of behavior type, which correspond to affiliative and antagonistic behaviors described in the paper. Thus, the variables in the t-test implementation align with the affiliative versus antagonistic behavior comparison reported in the results.",,
