analysis_id,dimension,human_manuscript_content,human_manuscript_location,human_code_content,human_code_location,human_match_judgement,codebot_brief_description,codebot_manuscript_content,codebot_manuscript_location,codebot_code_content,codebot_code_location,codebot_match_judgement
A1.1,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.1,variable specification,"""2. Significance to media psychology 1""",table,"# NOTE: Self-reported familiarity not included in shareable file cor(datafile[,5:11])","pilot_paper/elson_2020/analysis_code.R:117, 118",,,,,,,
A1.1,variable specification,"""2. Significance to media psychology 1""",table,"cor(datafile[,5:11])","pilot_paper/elson_2020/analysis_code.R:117, 118",,,,,,,
A1.1,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.1,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.1,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.2,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.2,variable specification,"""3. quality of writing 1""",table,"# NOTE: Self-reported familiarity not included in shareable file cor(datafile[,5:11])","pilot_paper/elson_2020/analysis_code.R:117, 118",,,,,,,
A1.2,variable specification,"""3. quality of writing 1""",table,"cor(datafile[,5:11])","pilot_paper/elson_2020/analysis_code.R:117, 118",,,,,,,
A1.2,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.2,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.2,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.3,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.3,variable specification,""" 4. Sophistication of theory 1""",table,"# NOTE: Self-reported familiarity not included in shareable file cor(datafile[,5:11])","pilot_paper/elson_2020/analysis_code.R:117, 118",,,,,,,
A1.3,variable specification,""" 4. Sophistication of theory 1""",table,"cor(datafile[,5:11])","pilot_paper/elson_2020/analysis_code.R:117, 118",,,,,,,
A1.3,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.3,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.3,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.4,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.4,variable specification,"""5. Appropriateness of methods and design 1""",table,"# NOTE: Self-reported familiarity not included in shareable file cor(datafile[,5:11])","pilot_paper/elson_2020/analysis_code.R:117, 118",,,,,,,
A1.4,variable specification,"""5. Appropriateness of methods and design 1""",table,"cor(datafile[,5:11])","pilot_paper/elson_2020/analysis_code.R:117, 118",,,,,,,
A1.4,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.4,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.4,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.5,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.5,variable specification,"""6. Presentation and discussion of results 1""",table,"# NOTE: Self-reported familiarity not included in shareable file cor(datafile[,5:11])","pilot_paper/elson_2020/analysis_code.R:117, 118",,,,,,,
A1.5,variable specification,"""6. Presentation and discussion of results 1""",table,"cor(datafile[,5:11])","pilot_paper/elson_2020/analysis_code.R:117, 118",,,,,,,
A1.5,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.5,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.5,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.6,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
A1.6,variable specification,"""7. Overall recommendation 1""",table,"# NOTE: Self-reported familiarity not included in shareable file cor(datafile[,5:11])","pilot_paper/elson_2020/analysis_code.R:117, 118",,,,,,,
A1.6,variable specification,"""7. Overall recommendation 1""",table,"cor(datafile[,5:11])","pilot_paper/elson_2020/analysis_code.R:117, 118",,,,,,,
A1.6,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.6,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.6,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A1.7,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R:118,1,,,,,,
