paper_id,analysis_id,brief_description,dimension,paper_value,code_value,match_status,explanation,paper_evidence,code_evidence
radtke,2,"In the same online pre-selection, a paired t-test compared perceived boredom between the easy and hard color Stroop versions. The dependent variable was mean boredom rating, and the within-subject factor was Stroop difficulty (easy vs. hard). The resulting effect size (d = 0.34) was used as the basis for the power analysis for the main study.",Model Specification,"Given that the effect size observed in the calculated t-tests was larger for task difficulty (d = 0.92) than for boredom (d = 0.34), our power analysis focused on the effect size of the difference in boredom between the easy and the hard color Stroop. Thus, we adopted a conservative approach in calculating the required sample size. The power analysis for a one-tailed paired t-test was calculated based on this effect size.","# 2.2. Boredom ----------------------------------------------------------------

# Hypothesis: Easy Stroop greater overall boredom than hard Stroop 

# Analysis: paired t-test (overall boredom = mean of probes)


# Calculate mean boredom

df_bor <- df |> 
  group_by(participant, task) |> 
  summarize(
    mean_boredom = mean(boredom, na.rm = TRUE),
    sd_boredom = sd(boredom, na.rm = TRUE)
  )

(df_bor |> 
  group_by(task) |> 
  get_summary_stats(mean_boredom, type = ""mean_sd""))



# T-Test
t_test_result <- t.test(mean_boredom ~ task, data = df_bor, 
                        paired = TRUE)
t_test_result #t = 6.8111, df = 94, p-value = 9.08e-10


# Calculate Cohen's d
cohen_d_result <- cohens_d(mean_boredom ~ task, data = df_bor, paired = TRUE)
cohen_d_result #0.70",match,"Both the paper and the code use a paired t-test to compare mean boredom between the easy and hard Stroop conditions, aligning on the specified model type.",,
radtke,2,"In the same online pre-selection, a paired t-test compared perceived boredom between the easy and hard color Stroop versions. The dependent variable was mean boredom rating, and the within-subject factor was Stroop difficulty (easy vs. hard). The resulting effect size (d = 0.34) was used as the basis for the power analysis for the main study.",Variable Specification,"Given that the effect size observed in the calculated t-tests was larger for task difficulty (d = 0.92) than for boredom (d = 0.34), our power analysis focused on the effect size of the difference in boredom between the easy and the hard color Stroop.","# 2.2. Boredom ----------------------------------------------------------------

# Calculate mean boredom

df_bor <- df |> 
  group_by(participant, task) |> 
  summarize(
    mean_boredom = mean(boredom, na.rm = TRUE),
    sd_boredom = sd(boredom, na.rm = TRUE)
  )

df_bor |> 
  group_by(task) |> 
  get_summary_stats(mean_boredom, type = ""mean_sd"")



# T-Test
t_test_result <- t.test(mean_boredom ~ task, data = df_bor, 
                        paired = TRUE)
t_test_result #t = 6.8111, df = 94, p-value = 9.08e-10


# Calculate Cohen's d
cohen_d_result <- cohens_d(mean_boredom ~ task, data = df_bor, paired = TRUE)
cohen_d_result #0.70",match,"The code uses mean boredom as the dependent variable and Stroop task (difficulty) as the within-subject factor, matching the paper’s description of variables for the paired t-test. Differences in reported effect size do not affect the variable specification match.",,
radtke,2,"In the same online pre-selection, a paired t-test compared perceived boredom between the easy and hard color Stroop versions. The dependent variable was mean boredom rating, and the within-subject factor was Stroop difficulty (easy vs. hard). The resulting effect size (d = 0.34) was used as the basis for the power analysis for the main study.",Transformation Specification,"To ensure a significant difference in the difficulty level and the potential for boredom induction by our tasks, we conducted an online study that included four Stroop task versions (easy and hard versions of color Stroop and numerical Stroop, see Appendix A). Based on the results, we concluded that the color Stroop task was the most suitable variant for our study. To determine the required sample size for the present study, we conducted a G*Power Analysis (Faul et al., 2007). Given that the effect size observed in the calculated t-tests was larger for task difficulty (d = 0.92) than for boredom (d = 0.34), our power analysis focused on the effect size of the difference in boredom between the easy and the hard color Stroop. Thus, we adopted a conservative approach in calculating the required sample size. The power analysis for a one-tailed paired t-test was calculated based on this effect size.","# 2.2. Boredom ----------------------------------------------------------------

# Hypothesis: Easy Stroop greater overall boredom than hard Stroop 

# Analysis: paired t-test (overall boredom = mean of probes)


# Calculate mean boredom

df_bor <- df |> 
  group_by(participant, task) |> 
  summarize(
    mean_boredom = mean(boredom, na.rm = TRUE),
    sd_boredom = sd(boredom, na.rm = TRUE)
  )

df_bor |> 
  group_by(task) |> 
  get_summary_stats(mean_boredom, type = ""mean_sd"")



# T-Test
t_test_result <- t.test(mean_boredom ~ task, data = df_bor, 
                        paired = TRUE)
t_test_result #t = 6.8111, df = 94, p-value = 9.08e-10


# Calculate Cohen's d
cohen_d_result <- cohens_d(mean_boredom ~ task, data = df_bor, paired = TRUE)
cohen_d_result #0.70",match,Both paper and code use the mean boredom rating per participant and condition as the dependent variable for the paired t-test. The code’s averaging of repeated boredom probes into a mean score aligns with the paper’s description of using mean boredom ratings.,,
radtke,2,"In the same online pre-selection, a paired t-test compared perceived boredom between the easy and hard color Stroop versions. The dependent variable was mean boredom rating, and the within-subject factor was Stroop difficulty (easy vs. hard). The resulting effect size (d = 0.34) was used as the basis for the power analysis for the main study.",Inference Specification,The power analysis for a one-tailed paired t-test was calculated based on this effect size. The analysis indicated that 95 participants were necessary to detect a difference in boredom between the tasks with a power of 95% at an alpha level of 0.05.,"# 2.2. Boredom ----------------------------------------------------------------

# Hypothesis: Easy Stroop greater overall boredom than hard Stroop 

# Analysis: paired t-test (overall boredom = mean of probes)


# Calculate mean boredom

df_bor <- df |> 
  group_by(participant, task) |> 
  summarize(
    mean_boredom = mean(boredom, na.rm = TRUE),
    sd_boredom = sd(boredom, na.rm = TRUE)
  )

df_bor |> 
  group_by(task) |> 
  get_summary_stats(mean_boredom, type = ""mean_sd"")



# T-Test
 t_test_result <- t.test(mean_boredom ~ task, data = df_bor, 
                         paired = TRUE)
 t_test_result #t = 6.8111, df = 94, p-value = 9.08e-10


# Calculate Cohen's d
cohen_d_result <- cohens_d(mean_boredom ~ task, data = df_bor, paired = TRUE)
cohen_d_result #0.70
",mismatch,"The paper specifies a one-tailed paired t-test with alpha = 0.05 for the power analysis, but the code runs a default (two-sided) paired t-test and does not implement or document the one-tailed alpha-based inference criterion. Thus, the implemented inferential test does not match the pre-specified inference used for the power analysis.",,
radtke,4,"A t-test compared trait self-control (Brief Self-Control Scale scores) between included and excluded participants. The dependent variable was BSCS total score, and the independent variable was inclusion status (included vs. excluded). A significant group difference in trait self-control was reported.",Model Specification,A statistical comparison between included participants and participants that were excluded due to low performance or attendance of only one session is presented in Appendix D (Participant Characteristics).,,unknown,"The paper describes a statistical comparison (reported as a t-test in the analysis description), but no corresponding code for this comparison is provided, so the model specification in the code cannot be assessed.",,
radtke,4,"A t-test compared trait self-control (Brief Self-Control Scale scores) between included and excluded participants. The dependent variable was BSCS total score, and the independent variable was inclusion status (included vs. excluded). A significant group difference in trait self-control was reported.",Variable Specification,"A statistical comparison between included participants and participants that were excluded due to low performance or attendance of only one session is presented in Appendix D (Participant Characteristics). Participants differed significantly in age and trait self-control, but not in gender, boredom-proneness and depression scores.

""the Brief Self-control Scale (BSCS; Tangney et al., 2018; German version by Bertrams & Dickhäuser, 2009).""",,unknown,"The paper clearly specifies a comparison of BSCS total scores between included and excluded participants, but no corresponding code or variable specification is provided to verify how this was implemented. Without code, it is impossible to determine whether the variables and their roles in the analysis match the description.",,
radtke,4,"A t-test compared trait self-control (Brief Self-Control Scale scores) between included and excluded participants. The dependent variable was BSCS total score, and the independent variable was inclusion status (included vs. excluded). A significant group difference in trait self-control was reported.",Transformation Specification,"A statistical comparison between included participants and participants that were excluded due to low performance or attendance of only one session is presented in Appendix D (Participant Characteristics). Participants differed significantly in age and trait self-control, but not in gender, boredom-proneness and depression scores.

In addition to the measures needed to investigate the core research question of this paper we implemented supplementary measures to provide a more comprehensive description of the sample and to enhance our understanding of experiencing boredom and related characteristics. For this purpose, participants completed three questionnaires before taking part in the experiment, the Short Boredom Proneness Scale (SBPS; Struk et al., 2017; German version by Martarelli et al., 2021), the Beck Depression Inventory II (BDI-II, Beck et al., 1996; German version by Kühner et al., 2007), and the Brief Self-control Scale (BSCS; Tangney et al., 2018; German version by Bertrams & Dickhäuser, 2009).",,unknown,"There is no code provided for this specific t-test or any transformations applied to the BSCS scores, so it is not possible to determine whether the implementation matches the paper's description.",,
radtke,4,"A t-test compared trait self-control (Brief Self-Control Scale scores) between included and excluded participants. The dependent variable was BSCS total score, and the independent variable was inclusion status (included vs. excluded). A significant group difference in trait self-control was reported.",Inference Specification,Statistical significance for all analyses was evaluated at α = .05 (two-sided)⁴.,,unknown,"The paper specifies an alpha level of .05 (two-sided), but no corresponding code or output is provided to verify how significance was determined in the implementation. Therefore, it is unclear whether the code applies the same inference criteria as described in the paper.",,
radtke,12,"A linear mixed-effects model examined temporal changes in perceived task difficulty across probes and task versions. Task difficulty ratings were the outcome, with fixed effects of task (easy vs. hard), time (probe 1–11), and their interaction, and random intercepts plus random slopes for time by participant. The model showed a significant task × time interaction (γ03 = -0.15, t = -12.04, p < .001) indicating a stronger decrease in perceived difficulty over time in the hard Stroop, as well as main effects of time and task.",Model Specification,"Changes over time concerning those variables were ana-lyzed conducting six linear mixed models including the per-ception of boredom, boredom related effort, task difficulty and task difficulty related effort, overall effort and fatigue as outcome variables, task (easy, hard) and time (probe one to eleven) as fixed effects accounting for differences among participants by including random intercepts and different effects of time on the outcome variables by including ran-dom slopes for time.","# 3. Variables over time ------------------------------------------------------


# Analysis: Linear Mixed Models
# using optimizer = ""bobyqa"" if problems with convergence


modelD = lmer(difficulty ~ task + block + task * block + (1 + block|participant), data = df) # random effect would be only (1|participant). This is with random effect and random slope
summary(modelD)
confint(modelD) # confidence intervals


modelDE = lmer(effort_difficulty ~ task + block + task * block +  (1 + block|participant), data = df)
summary(modelDE)
confint(modelDE) # confidence intervals

modelB = lmer(boredom ~ task + block + task * block + (1 + block|participant), data = df)
summary(modelB)
confint(modelB) # confidence intervals

modelBE = lmer(effort_boredom ~ task + block + task * block + (1 + block|participant), data = df)
summary(modelBE)
confint(modelBE) # confidence intervals


modelE = lmer(effort ~ task + block + task * block + (1 + block|participant), data = df)
summary(modelE)
confint(modelE) # confidence intervals


modelF = lmer(fatigue ~ task + block + task * block + (1 + block|participant), data = df)
modelF = lmer(fatigue ~ task + block + task * block + (1 + block|participant), data = df,
              control = lmerControl(optimizer = ""bobyqa""))
summary(modelF)
confint(modelF) # confidence intervals
",match,"The code implements a linear mixed-effects model with task, time, and their interaction as fixed effects and random intercepts plus random slopes for time by participant, matching the model specification described in the paper.",,
radtke,12,"A linear mixed-effects model examined temporal changes in perceived task difficulty across probes and task versions. Task difficulty ratings were the outcome, with fixed effects of task (easy vs. hard), time (probe 1–11), and their interaction, and random intercepts plus random slopes for time by participant. The model showed a significant task × time interaction (γ03 = -0.15, t = -12.04, p < .001) indicating a stronger decrease in perceived difficulty over time in the hard Stroop, as well as main effects of time and task.",Variable Specification,"Changes over time concerning those variables were analyzed conducting six linear mixed models including the perception of boredom, boredom related effort, task difficulty and task difficulty related effort, overall effort and fatigue as outcome variables, task (easy, hard) and time (probe one to eleven) as fixed effects accounting for differences among participants by including random intercepts and different effects of time on the outcome variables by including random slopes for time.","modelD = lmer(difficulty ~ task + block + task * block + (1 + block|participant), data = df) # random effect would be only (1|participant). This is with random effect and random slope",match,"The code uses task difficulty as the outcome and includes task, time (block), and their interaction as fixed effects with random intercepts and random slopes for time by participant, as described in the paper.",,
