paper_id,analysis_id,brief_description,dimension,paper_value,code_value,match_status,explanation,paper_evidence,code_evidence
hussey,1,"The author conducted a Chi-square test of independence to examine whether the presence of any Data Availability Statement (vs. no statement) in an article was associated with the likelihood that authors actually shared their data upon request. Using a 2 (Data Availability Statement: present vs. absent) by 2 (data shared upon request: yes vs. no) contingency table across the 52 IRAP articles, the test indicated no significant association between statement presence and data sharing, χ²(1) = 0.35, p = .55.",Model Specification,"A Chi- squared test suggested that the presence of a Data Avail- ability Statement was not associated with a higher rate of actual data sharing upon request, χ(1) = 0.35, p = .55.","tab_results <- counts |>
  filter(data_sharing_statement_type != ""actual"") |>
  dplyr::select(n_total, n_positive) |>
  as.matrix()

chisq.test(tab_results, correct = FALSE) |>
  broom::tidy() |>
  kable() |>
  kable_classic(full_width = FALSE)",match,"Both the paper and the code indicate the use of a Chi-square test of independence on a contingency table relating data availability statements to data sharing. The code explicitly calls chisq.test on the contingency matrix, matching the described analysis.",,
hussey,1,"The author conducted a Chi-square test of independence to examine whether the presence of any Data Availability Statement (vs. no statement) in an article was associated with the likelihood that authors actually shared their data upon request. Using a 2 (Data Availability Statement: present vs. absent) by 2 (data shared upon request: yes vs. no) contingency table across the 52 IRAP articles, the test indicated no significant association between statement presence and data sharing, χ²(1) = 0.35, p = .55.",Variable Specification,"Of the 31 articles without a Data Availability Statement, 8 shared data upon request (25.8%, 95% CI [11.9, 44.6]). Of the 18 articles with a promissory Data Availability Statement, 3 shared data upon request (16.7%, 95% CI [3.6, 41.4]). That is, data sharing was descriptively lower in articles with a promissory data sharing statement than no statement at all. A Chi-squared test suggested that the presence of a Data Availability Statement was not associated with a higher rate of actual data sharing upon request, χ(1) = 0.35, p = .55.","counts <- data_requests |>
  select(shared_data, data_sharing_statement_type) |>
  group_by(data_sharing_statement_type) |>
  summarize(n_total = n(),
            n_positive = sum(shared_data)) |>
  rowwise() |>
  mutate(proportion = n_positive/n_total,
         ci_lower = ufs::confIntProp(n_positive, n_total)[1],
         ci_upper = ufs::confIntProp(n_positive, n_total)[2]) |>
  mutate_if(is.numeric, janitor::round_half_up, digits = 3)

counts |>
  kable() |>
  kable_classic(full_width = FALSE)



## Are promissory data availability statements associated with greater sharing upon request?

Ie excluding cases with data sharing statements stating actual sharing upon publication. 

Chi square test



tab_results <- counts |>
  filter(data_sharing_statement_type != ""actual"") |>
  dplyr::select(n_total, n_positive) |>
  as.matrix()

chisq.test(tab_results, correct = FALSE) |>
  broom::tidy() |>
  kable() |>
  kable_classic(full_width = FALSE)
",match,"The code uses the same two conceptual variables as the paper: type/presence of a (promissory) Data Availability Statement versus none, and whether data were actually shared upon request. The chi-square is then computed on these variables after excluding 'actual' DAS cases, which aligns with the paper’s focus on promissory statements versus no statement.",,
hussey,1,"The author conducted a Chi-square test of independence to examine whether the presence of any Data Availability Statement (vs. no statement) in an article was associated with the likelihood that authors actually shared their data upon request. Using a 2 (Data Availability Statement: present vs. absent) by 2 (data shared upon request: yes vs. no) contingency table across the 52 IRAP articles, the test indicated no significant association between statement presence and data sharing, χ²(1) = 0.35, p = .55.",Transformation Specification,"It is useful to consider data sharing in the subsets of different types of Data Availability Statements. I make a distinction between statements of actual sharing at the time of publication (e.g., a URL included in the article that links to a data repository containing the data for the study, or reference to supplementary materials published alongside the article) and promissory data sharing (e.g., a statement that data is available upon request, or upon 'reasonable' request).","data_requests <- 
  read_excel(""../data/results of data sharing requests - blinded and shuffled.xlsx"", sheet = ""contacted"") |>
  janitor::clean_names() |>
  mutate(data_sharing_statement = ifelse(data_sharing_statement == ""NA"", NA, data_sharing_statement),
         data_sharing_statement_adhered_to = ifelse(data_sharing_statement_adhered_to == ""NA"", NA, data_sharing_statement_adhered_to),
         data_sharing_statement_type = ifelse(data_sharing_statement_type == ""NA"", ""No data availability statement"", data_sharing_statement_type))

counts <- data_requests |>
  select(shared_data, data_sharing_statement_type) |>
  group_by(data_sharing_statement_type) |>
  summarize(n_total = n(),
            n_positive = sum(shared_data)) |>
  rowwise() |>
  mutate(proportion = n_positive/n_total,
         ci_lower = ufs::confIntProp(n_positive, n_total)[1],
         ci_upper = ufs::confIntProp(n_positive, n_total)[2]) |>
  mutate_if(is.numeric, janitor::round_half_up, digits = 3)



 tab_results <- counts |>
  filter(data_sharing_statement_type != ""actual"") |>
  dplyr::select(n_total, n_positive) |>
  as.matrix()",mismatch,"The paper describes comparing articles with any Data Availability Statement to those with no statement, whereas the code explicitly excludes articles with an 'actual' data sharing statement when constructing the contingency table. This means the transformation of the data availability variable in the code does not align with the paper’s described presence-versus-absence contrast.",,
hussey,1,"The author conducted a Chi-square test of independence to examine whether the presence of any Data Availability Statement (vs. no statement) in an article was associated with the likelihood that authors actually shared their data upon request. Using a 2 (Data Availability Statement: present vs. absent) by 2 (data shared upon request: yes vs. no) contingency table across the 52 IRAP articles, the test indicated no significant association between statement presence and data sharing, χ²(1) = 0.35, p = .55.",Inference Specification,"A Chi-squared test suggested that the presence of a Data Availability Statement was not associated with a higher rate of actual data sharing upon request, χ(1) = 0.35, p = .55.","chisq.test(tab_results, correct = FALSE) |>
  broom::tidy() |>
  kable() |>
  kable_classic(full_width = FALSE)
",unknown,"The paper reports a chi-square test result and p-value but does not state an explicit inference criterion (e.g., alpha level), and the code similarly only computes and tidies the chi-square test without encoding any decision rule. Because no explicit inferential threshold is visible in either source, it is unclear whether any pre-specified inference criteria were implemented to match the description.",,
bloy,1,"In Study 1, a paired-samples t-test compared the standard deviation of item responses between gibberish scales and content scales for the same respondents. The test evaluated whether response variability (within-person SD across items) was lower on gibberish items (M = 0.5) than on meaningful content items (M = 2.0), as an indicator of careless responding patterns. Results showed a large, statistically significant difference, t(619) = -41.1, p < .001, Cohen’s d = -2.23.",Model Specification,"Second, we ran paired-samples t tests comparing these careless-responses-index scores among the content items with the gibberish items. … Table 1 presents the results of the paired-samples t test, indicating significant differences for all examined metrics.","# Deleting two respondents who do not have both types of scales,
# so that we can do a paired samples t-test
counts <- table(data_study_1$Participant_ID)
single_row_ids <- names(counts[counts < 2])
filtered_data <- data_study_1[!data_study_1$Participant_ID %in% single_row_ids, ]
filtered_data <- filtered_data %>%
  arrange(Participant_ID, condition)

# Paired t-tests between gibberish and content
t.test(data = filtered_data, sd ~ condition, paired = TRUE)
cohen.d(data = filtered_data, sd ~ condition, paired = TRUE)",match,"The paper describes using paired-samples t-tests to compare variability between gibberish and content items, and the code implements a paired t-test on standard deviations by condition for participants with both scale types. This aligns the statistical model used in the analysis with the paper’s description.",,
bloy,1,"In Study 1, a paired-samples t-test compared the standard deviation of item responses between gibberish scales and content scales for the same respondents. The test evaluated whether response variability (within-person SD across items) was lower on gibberish items (M = 0.5) than on meaningful content items (M = 2.0), as an indicator of careless responding patterns. Results showed a large, statistically significant difference, t(619) = -41.1, p < .001, Cohen’s d = -2.23.",Variable Specification,"Second, we ran paired-samples t tests comparing these careless-responses-index scores among the content items with the gibberish items.

Table 1.  Comparison of Classification Metrics Between Gibberish and Content Responses Using Paired-Samples t  Test
Method M gibberish M content Difference 95% CI t(df = 619) p value Cohen’s d
Standard deviation 0.5 2.0 −1.5 [−1.6, −1.4] −41.1 < .001 −2.23","# Calculation of within-subject indices to identify careless responses 
# (indices also based on the responses of all respondents in the sample 
# will be calculated later, after splitting the data into training and testing)
data_study_1$sd <- careless::irv(data_study_1[,1:16])
...
# Deleting two respondents who do not have both types of scales,
# so that we can do a paired samples t-test
counts <- table(data_study_1$Participant_ID)
single_row_ids <- names(counts[counts < 2])
filtered_data <- data_study_1[!data_study_1$Participant_ID %in% single_row_ids, ]
filtered_data <- filtered_data %>%
  arrange(Participant_ID, condition)

# Paired t-tests between gibberish and content
t.test(data = filtered_data, sd ~ condition, paired = TRUE)
cohen.d(data = filtered_data, sd ~ condition, paired = TRUE)",match,"The code uses within-person standard deviation (irv) as the careless-response index and compares this index between gibberish and content conditions with a paired-samples t-test, matching the paper’s description. The variables’ roles (SD as outcome, condition as within-subject factor) align with the reported analysis.",,
bloy,1,"In Study 1, a paired-samples t-test compared the standard deviation of item responses between gibberish scales and content scales for the same respondents. The test evaluated whether response variability (within-person SD across items) was lower on gibberish items (M = 0.5) than on meaningful content items (M = 2.0), as an indicator of careless responding patterns. Results showed a large, statistically significant difference, t(619) = -41.1, p < .001, Cohen’s d = -2.23.",Transformation Specification,"IRV is the standard deviation of each person’s responses. This measure examines the extent to which respondents are self-similar. If IRV is either exceptionally small or large, it may indicate careless responding.

The data set originally contained 32 columns comprising two types of scales: 16 columns with gibberish questions and 16 columns with content questions. We transformed the data into long format by stacking the 32 columns into 16 columns representing the questions and adding a 17th column to indicate whether each row originated from the gibberish or content scale. The analysis included six steps. First, we calculated six indexes of careless responses for each row: long string, standard deviation, the correlation between two half scales, Mahalanobis distance by the R package careless (Yentes & Wilhelm, 2021), and two person-fit indices by the R package PerFit (Tendeiro et al., 2016). Second, we ran paired-samples t tests comparing these careless-responses-index scores among the content items with the gibberish items.

Table 1.  Comparison of Classification Metrics Between Gibberish and Content Responses Using Paired-Samples t  Test
Method M gibberish M content Difference 95% CI t(df = 619) p value Cohen’s d
Standard deviation 0.5 2.0 −1.5 [−1.6, −1.4] −41.1 < .001 −2.23","# Calculation of within-subject indices to identify careless responses 
# (indices also based on the responses of all respondents in the sample 
# will be calculated later, after splitting the data into training and testing)
data_study_1$sd <- careless::irv(data_study_1[,1:16])
data_study_1$longstring <- longstring(data_study_1[,1:16])
data_study_1$personal_relialibity <- careless::evenodd(data_study_1[,1:16], factors = c(4,4,8))
data_study_1$personal_relialibity <- ifelse(is.na(data_study_1$personal_relialibity), 1, data_study_1$personal_relialibity) 
...
# Deleting two respondents who do not have both types of scales,
# so that we can do a paired samples t-test
counts <- table(data_study_1$Participant_ID)
single_row_ids <- names(counts[counts < 2])
filtered_data <- data_study_1[!data_study_1$Participant_ID %in% single_row_ids, ]
filtered_data <- filtered_data %>%
  arrange(Participant_ID, condition)

# Paired t-tests between gibberish and content
t.test(data = filtered_data, sd ~ condition, paired = TRUE)
cohen.d(data = filtered_data, sd ~ condition, paired = TRUE)",match,"The code computes IRV as the within-person standard deviation across the 16 item responses for each row (scale instance) and then uses these values in a paired t-test comparing gibberish vs. content conditions, matching the paper’s description of transformations. The long-format structure with one row per scale type per participant and an indicator for gibberish/content is consistent between the narrative and the code.",,
bloy,1,"In Study 1, a paired-samples t-test compared the standard deviation of item responses between gibberish scales and content scales for the same respondents. The test evaluated whether response variability (within-person SD across items) was lower on gibberish items (M = 0.5) than on meaningful content items (M = 2.0), as an indicator of careless responding patterns. Results showed a large, statistically significant difference, t(619) = -41.1, p < .001, Cohen’s d = -2.23.",Inference Specification,"Table 1.  Comparison of Classification Metrics Between Gibberish and Content Responses Using Paired-Samples t  Test
Method M gibberish M content Difference 95% CI t(df = 619) p value Cohen’s d
Standard deviation 0.5 2.0 −1.5 [−1.6, −1.4] −41.1 < .001 −2.23","# Paired t-tests between gibberish and content
t.test(data = filtered_data, sd ~ condition, paired = TRUE)
cohen.d(data = filtered_data, sd ~ condition, paired = TRUE)",match,"The code uses a paired t-test with default 95% confidence interval and computes Cohen’s d, matching the inferential outputs (t, p, 95% CI, Cohen’s d) reported in the table for this analysis.",,
bloy,2,"In Study 1, a paired-samples t-test compared the long-string index (maximum run of identical responses) between gibberish and content scales within respondents. The analysis tested whether gibberish scales had longer stretches of identical responses (M = 12.5) than content scales (M = 5.0), consistent with straightlining as a form of carelessness. The difference was statistically significant and large, t(619) = 36.6, p < .001, Cohen’s d = 2.02.",Model Specification,"Second, we ran paired-samples t tests comparing these careless-responses-index scores among the content items with the gibberish items.","# Paired t-tests between gibberish and content
t.test(data = filtered_data, sd ~ condition, paired = TRUE)
cohen.d(data = filtered_data, sd ~ condition, paired = TRUE)
t.test(data = filtered_data, longstring ~ condition)#, paired = TRUE)
cohen.d(data = filtered_data, longstring ~ condition, paired = TRUE)",mismatch,"The paper describes a paired-samples t-test for the long-string index, but the corresponding code runs an unpaired t-test for the longstring variable. Thus, the implemented model specification does not fully align with the described analysis.",,
bloy,2,"In Study 1, a paired-samples t-test compared the long-string index (maximum run of identical responses) between gibberish and content scales within respondents. The analysis tested whether gibberish scales had longer stretches of identical responses (M = 12.5) than content scales (M = 5.0), consistent with straightlining as a form of carelessness. The difference was statistically significant and large, t(619) = 36.6, p < .001, Cohen’s d = 2.02.",Variable Specification,"First, we calculated six indexes of careless responses for each row: long string, standard deviation, the correlation between two half scales, Mahalanobis distance by the R package careless (Yentes & Wilhelm, 2021), and two person-fit indices by the  R package PerFit (Tendeiro et al., 2016). Second, we ran paired-samples t tests comparing these careless-responses-index scores among the content items with the gibberish items.
...
Table 1.  Comparison of Classification Metrics Between Gibberish and Content Responses Using Paired-Samples t  Test
Method M gibberish M content Difference 95% CI t(df = 619) p value Cohen’s d
...
Long string 12.5 5.0 7.5 [7.1, 7.9] 36.6 < .001 2.02","# Calculation of within-subject indices to identify careless responses 
# (indices also based on the responses of all respondents in the sample 
# will be calculated later, after splitting the data into training and testing)
data_study_1$sd <- careless::irv(data_study_1[,1:16])
data_study_1$longstring <- longstring(data_study_1[,1:16])
...
# Deleting two respondents who do not have both types of scales,
# so that we can do a paired samples t-test
counts <- table(data_study_1$Participant_ID)
single_row_ids <- names(counts[counts < 2])
filtered_data <- data_study_1[!data_study_1$Participant_ID %in% single_row_ids, ]
filtered_data <- filtered_data %>%
  arrange(Participant_ID, condition)

# Paired t-tests between gibberish and content
...
t.test(data = filtered_data, longstring ~ condition)#, paired = TRUE)
cohen.d(data = filtered_data, longstring ~ condition, paired = TRUE)",match,"The code uses the longstring index as the outcome and the gibberish vs. content condition as the within-subject grouping variable, matching the paper’s description of comparing long-string indices between gibberish and content scales via paired tests. Although the paired flag is commented out in the t-test, the variable roles themselves align with the paper’s specified analysis.",,
