paper_id,human_analysis_id,human_uid,codebot_analysis_id,codebot_uid,link_type,confidence,rationale,retrieval_best_cosine,codebot_brief_description
elson_2020,A1.25,elson_2020::A1.25,7,elson_2020::7,exact,0.96,"The human bundle refers to the zero-order correlations in Table 3 and the total score construction, directly matching Candidate 1’s focus on the same zero-order correlation block computed via cor(datafile[,5:11]) and the same manuscript text; the human notes about methods are a minor addition but do not broaden the scope beyond this CodeBot analysis.",0.23312021923103585,Correlation between reviewers’ self-reported familiarity with the topic and the computed total score for the abstract.
elson_2020,A3.12,elson_2020::A3.12,61,elson_2020::61,exact,0.96,"The human bundle describes the two-tailed equivalence test on overall recommendation comparing significant vs. nonsignificant results with bounds d = -0.5, 0.5 and alpha = .05, which matches Candidate 57’s TOSTtwo call for overall recommendation between significant and nonsignificant conditions using those exact parameters.",0.645059658570953,Two-sided equivalence test comparing overall recommendation ratings between significant-results vs. nonsignificant-results conditions.
elson_2020,A3.14,elson_2020::A3.14,63,elson_2020::63,exact,0.96,"The human bundle describes the TOST equivalence test on total scores comparing significant vs. nonsignificant results with bounds d = -0.5, 0.5 and alpha = .05; Candidate 1 is precisely this same TOSTtwo call for total score in the significant vs. nonsignificant comparison, matching both the manuscript description and the specific code line.",0.6664445822764214,Two-sided equivalence test comparing total scores between significant-results vs. nonsignificant-results conditions.
elson_2020,A3.8,elson_2020::A3.8,57,elson_2020::57,exact,0.96,"Both the human bundle and Candidate 1 describe the same TOSTtwo equivalence test on appropriateness of methods/research design comparing significant vs. nonsignificant results, with identical bounds (d = ±0.50) and alpha = 0.05, matching the specific code line and manuscript description.",0.5274246239065637,Two-sided equivalence test comparing ratings of appropriateness of methods and design between significant-results vs. nonsignificant-results conditions.
elson_2020,A2.6,elson_2020::A2.6,46,elson_2020::46,exact,0.93,"The human bundle refers to ANOVA output for overall recommendation using a_overall with originality and statistical significance factors, which matches Candidate 4’s analysis of the interaction between originality and statistical significance on overall recommendation from the same code segment and table.",0.26837388516650873,ANOVA F-test for the interaction between originality and statistical significance of results on overall recommendation.
elson_2020,A3.6,elson_2020::A3.6,55,elson_2020::55,exact,0.93,"The human bundle describes the TOST equivalence test for sophistication of theory/conceptualization comparing significant vs. nonsignificant results with bounds d = -0.5 and 0.5 and alpha = .05; Candidate 50 covers this exact test, variable, and contrast, including the same TOSTtwo call and manuscript context.",0.5527211526222763,Two-sided equivalence test comparing ratings of sophistication of theory between significant-results vs. nonsignificant-results conditions.
elson_2020,A3.9,elson_2020::A3.9,58,elson_2020::58,exact,0.93,"The human bundle describes the TOST equivalence test with bounds d = -0.50 and 0.50 and alpha = .05 for the main effect on quality of presentation and discussion of results, matching the specific TOSTtwo call and variable context in Candidate 1.",0.559657185144396,Two-sided equivalence test comparing ratings of the presentation and discussion of results between original vs. replication conditions.
elson_2020,A1.1,elson_2020::A1.1,1,elson_2020::1,exact,0.9,"The human bundle links the general statement about zero-order correlations in Table 3 and the note about self-reported familiarity to the single cor(datafile[,5:11]) call; Candidate 0 is the corresponding CodeBot analysis that covers this same overall zero-order correlation matrix, including the familiarity and significance variables, at the same code location.",0.267339351571261,Correlation between reviewers’ self-reported familiarity with the topic of the fictitious abstract and their rating of the abstract’s significance to media psychology.
elson_2020,A1.14,elson_2020::A1.14,14,elson_2020::14,exact,0.9,"The human bundle refers to the zero-order correlations in Table 3 and specifically to the variable 'Sophistication of theory 3 = quality of writing', which matches Candidate 5’s analysis of the zero-order correlations computed via cor(datafile[,5:11]) and the same table. The scope and code line correspond directly, so this is an exact match rather than a fragment or composite.",0.13499066407655289,Correlation between the rating of quality of writing and the rating of sophistication of theory.
elson_2020,A1.19,elson_2020::A1.19,19,elson_2020::19,exact,0.9,"The human bundle refers generally to the zero-order correlations in Table 3 and specifically to variables 4 (sophistication of theory) and 5 (appropriateness of methods and design), which matches Candidate 10’s focus on the same table, text, and the cor(datafile[,5:11]) computation. The scope and code line correspond directly, so this is an exact match rather than a fragment or composite.",0.1599522189629962,Correlation between the rating of sophistication of theory and conceptualization and the rating of appropriateness of methods and design.
elson_2020,A1.2,elson_2020::A1.2,2,elson_2020::2,fragment_of,0.9,"The human bundle refers generally to Table 3 zero-order correlations and specifically notes variable 1 as self-reported familiarity and 3 as quality of writing, matching Candidate 11’s focus on the same zero-order correlation matrix code block. The human description is a fragment of the broader zero-order correlations analysis represented in Candidate 11.",0.27181341139352205,Correlation between reviewers’ self-reported familiarity with the topic and their rating of the quality of the writing in the abstract.
elson_2020,A1.20,elson_2020::A1.20,16,elson_2020::16,exact,0.9,"The human bundle links the generic statement about zero-order correlations in Table 3 directly to the cor(datafile[,5:11]) call, which is exactly the same code segment and manuscript linkage captured in Candidate 7; the added note about sophistication of theory is contextual, not changing the core mapping.",0.1444200725331463,Correlation between the rating of quality of writing and the rating of the presentation and discussion of results.
elson_2020,A1.21,elson_2020::A1.21,21,elson_2020::21,exact,0.9,"The human bundle links the zero-order correlations in Table 3, specifically between sophistication of theory (4) and overall recommendation (7), to cor(datafile[,5:11]); Candidate 13 describes this same correlation context and code, matching scope and content.",0.140960455700977,Correlation between the rating of sophistication of theory and conceptualization and the overall recommendation.
elson_2020,A1.26,elson_2020::A1.26,17,elson_2020::17,exact,0.9,"The human bundle refers generally to the zero-order correlations reported in Table 3 and the corresponding cor(datafile[,5:11]) call; Candidate 8 is the generic zero-order correlations analysis block matching this code and manuscript text, so the scope and content align directly.",0.1405151586204005,Correlation between the rating of quality of writing and the overall recommendation.
elson_2020,A1.3,elson_2020::A1.3,3,elson_2020::3,exact,0.9,"Both the human bundle and Candidate 1 refer to the same zero-order correlations in Table 3 computed via cor(datafile[,5:11]), including the note about self-reported familiarity not being in the shared file and the specific variable 'Sophistication of theory 1'.",0.2559070609598152,Correlation between reviewers’ self-reported familiarity with the topic and their rating of the sophistication of the theory and conceptualization.
