paper_id,analysis_id,brief_description,dimension,paper_value,code_value,match_status,explanation,paper_evidence,code_evidence
cha,1,"Pearson correlation between the cumulative stress index and the Perceived Stress Scale scores was computed to evaluate convergent validity of the cumulative stress construct. The result showed a positive, moderate association (r = .44, p < .001), indicating that higher cumulative stress scores were strongly associated with higher perceived stress.",Model Specification,"The cumulative stress index demonstrated good convergent valid-
ity, as evidenced by its positive and significant correlations with well-
established measures of stress and emotional distress, including the
Perceived Stress Scale ( r = .44, p , .001; S. Cohen et al., 1983 ) and
the Center for Epidemiologic Studies Depression Scale
(r = .40, p , .001; Radloff, 1977).",,unknown,"The paper describes computing a correlation (r = .44) between the cumulative stress index and the Perceived Stress Scale, but no corresponding code is provided to verify the specific statistical test used.",,
cha,1,"Pearson correlation between the cumulative stress index and the Perceived Stress Scale scores was computed to evaluate convergent validity of the cumulative stress construct. The result showed a positive, moderate association (r = .44, p < .001), indicating that higher cumulative stress scores were strongly associated with higher perceived stress.",Variable Specification,"The cumulative stress index demonstrated good convergent valid-
ity, as evidenced by its positive and significant correlations with well-
established measures of stress and emotional distress, including the
Perceived Stress Scale (r = .44, p , .001; S. Cohen et al., 1983)
and the Center for Epidemiologic Studies Depression Scale
(r = .40, p , .001; Radloff, 1977).",,unknown,"There is no code provided to verify which variables were used in the correlation analysis, so alignment with the paper’s description cannot be assessed.",,
cha,1,"Pearson correlation between the cumulative stress index and the Perceived Stress Scale scores was computed to evaluate convergent validity of the cumulative stress construct. The result showed a positive, moderate association (r = .44, p < .001), indicating that higher cumulative stress scores were strongly associated with higher perceived stress.",Transformation Specification,"If a life stress measure was irrelevant to a participant due to their demographic characteristics, missing data were substituted with the lowest possible value, and cumulative stressor value was not computed if participants did not respond to one or more of the 11 stressor domains. All values for 11 domains were standardized and summed to make a single index of cumulative stressors (for more details on the constructs, see the online supplemental materials, pp. 2–4).",,unknown,"There is not enough information about the actual code implementation to determine whether the described standardization, summation, and handling of missing/irrelevant life stress items were applied as in the paper.",,
cha,1,"Pearson correlation between the cumulative stress index and the Perceived Stress Scale scores was computed to evaluate convergent validity of the cumulative stress construct. The result showed a positive, moderate association (r = .44, p < .001), indicating that higher cumulative stress scores were strongly associated with higher perceived stress.",Inference Specification,"The cumulative stress index demonstrated good convergent valid-
ity, as evidenced by its positive and significant correlations with well-
established measures of stress and emotional distress, including the
Perceived Stress Scale ( r = .44, p , .001; S. Cohen et al., 1983 )
and the Center for Epidemiologic Studies Depression Scale
(r = .40, p , .001; Radloff, 1977).",,unknown,"The paper reports significance criteria (e.g., p < .001 for the correlation), but no corresponding code or inferential settings (e.g., alpha level, p-value calculation) are provided for comparison.",,
cha,2,"Pearson correlation between the cumulative stress index and the Center for Epidemiologic Studies Depression Scale (CES-D) scores was used to further assess convergent validity. The association was positive and moderate (r = .40, p < .001), suggesting that greater cumulative stress was linked to more depressive symptoms.",Model Specification,"The cumulative stress index demonstrated good convergent valid-
ity, as evidenced by its positive and signiﬁcant correlations with well-
established measures of stress and emotional distress, including the
Perceived Stress Scale ( r = .44, p , .001; S. Cohen et al., 1983 )
and the Center for Epidemiologic Studies Depression Scale
(r = .40, p , .001; Radloff, 1977).",,unknown,No relevant code is provided to verify whether a Pearson correlation was implemented as described in the paper.,,
cha,2,"Pearson correlation between the cumulative stress index and the Center for Epidemiologic Studies Depression Scale (CES-D) scores was used to further assess convergent validity. The association was positive and moderate (r = .40, p < .001), suggesting that greater cumulative stress was linked to more depressive symptoms.",Variable Specification,"The cumulative stress index demonstrated good convergent validity, as evidenced by its positive and significant correlations with well-established measures of stress and emotional distress, including the Perceived Stress Scale ( r = .44, p , .001; S. Cohen et al., 1983 ) and the Center for Epidemiologic Studies Depression Scale (r = .40, p , .001; Radloff, 1977).",,unknown,"The paper specifies a correlation between the cumulative stress index and CES-D scores, but no corresponding code is provided to verify how these variables are implemented or labeled. Without code details, it is impossible to assess whether the variable specification in the implementation matches the paper description.",,
cha,2,"Pearson correlation between the cumulative stress index and the Center for Epidemiologic Studies Depression Scale (CES-D) scores was used to further assess convergent validity. The association was positive and moderate (r = .40, p < .001), suggesting that greater cumulative stress was linked to more depressive symptoms.",Transformation Specification,"If a life stress measure was irrelevant to a participant due to their demographic characteristics, missing data were substituted with the lowest possible value, and cumulative stressor value was not computed if participants did not respond to one or more of the 11 stressor domains. All values for 11 domains were standardized and summed to make a single index of cumulative stressors (for more details on the constructs, see the online supplemental materials, pp. 2–4).",,unknown,"It is not possible to determine whether the code implements the described standardization and summation procedure for the 11 stressor domains because no relevant code was provided. Without seeing how missing data and standardization are handled in code, alignment with the paper’s transformation description cannot be assessed.",,
cha,2,"Pearson correlation between the cumulative stress index and the Center for Epidemiologic Studies Depression Scale (CES-D) scores was used to further assess convergent validity. The association was positive and moderate (r = .40, p < .001), suggesting that greater cumulative stress was linked to more depressive symptoms.",Inference Specification,"The cumulative stress index demonstrated good convergent validity, as evidenced by its positive and significant correlations with well-established measures of stress and emotional distress, including the Perceived Stress Scale (r = .44, p , .001; S. Cohen et al., 1983) and the Center for Epidemiologic Studies Depression Scale (r = .40, p , .001; Radloff, 1977).",,unknown,"The paper reports that the correlation is statistically significant (p < .001), but there is no corresponding code provided to verify how significance or alpha were implemented. Without relevant inferential code, it is impossible to determine if the implementation matches the paper’s inference description.",,
cha,3,"A Pearson correlation tested the relationship between the cumulative stress index and independent self-construal scores (Singelis scale) to evaluate discriminant validity. The association was essentially null (r = .01, p = .84), indicating that cumulative stress was unrelated to independent self-construal as expected.",Model Specification,"The cumulative stress index demonstrated good convergent validity, as evidenced by its positive and significant correlations with well-established measures of stress and emotional distress, including the Perceived Stress Scale ( r = .44, p , .001; S. Cohen et al., 1983 ) and the Center for Epidemiologic Studies Depression Scale (r = .40, p , .001; Radloff, 1977). In addition, the index exhibited discriminant validity, demonstrating low correlations with constructs that are theoretically distinct from stress. Specifically, the cumulative stress index was unrelated to the self-construal scale (Singelis, 1994) for both independent self-construal ( r = .01, p = .84) and weakly related to interdependent self-construal ( r =− .10, p , .01).",,unknown,"There is not enough information about the code implementation to determine whether the specified Pearson correlation model was used. The paper clearly describes correlations, but no corresponding code snippet is provided for verification.",,
cha,3,"A Pearson correlation tested the relationship between the cumulative stress index and independent self-construal scores (Singelis scale) to evaluate discriminant validity. The association was essentially null (r = .01, p = .84), indicating that cumulative stress was unrelated to independent self-construal as expected.",Variable Specification,"In addition, the index exhibited discriminant validity, demonstrating low correlations with constructs that are theoretically distinct from stress. Specifically, the cumulative stress index was unrelated to the self-construal scale (Singelis, 1994) for both independent self-construal (r = .01, p = .84) and weakly related to interdependent self-construal (r =− .10, p , .01).",,unknown,"The variables are clearly described in the paper (cumulative stress index and independent self-construal), but no corresponding code is provided to verify how these variables are specified in the implementation.",,
