paper_id,analysis_id,brief_description,dimension,paper_value,code_value,match_status,explanation,paper_evidence,code_evidence
mancassola,1,"A one-way ANOVA compared French and German participants' personal (standard-instruction) political system justification scores, with country (France vs. Germany) as the independent variable and mean political system justification as the dependent variable. The analysis showed substantially higher political system justification in Germany (M = 3.96, SD = 1.15) than in France (M = 2.82, SD = 1.14), F(1, 377) = 94.82, p < .001, η² = .201.",Model Specification,We first performed a one-way ANOVA to compare French and German participants’ level of political system justification with a standard instruction.,,unknown,"The paper specifies a one-way ANOVA, but no corresponding code or model specification is provided to verify whether the implementation matches this description.",,
mancassola,1,"A one-way ANOVA compared French and German participants' personal (standard-instruction) political system justification scores, with country (France vs. Germany) as the independent variable and mean political system justification as the dependent variable. The analysis showed substantially higher political system justification in Germany (M = 3.96, SD = 1.15) than in France (M = 2.82, SD = 1.14), F(1, 377) = 94.82, p < .001, η² = .201.",Variable Specification,We first performed a one-way ANOVA to compare French and German participants’ level of political system justification with a standard instruction.,,unknown,It is not possible to determine whether the code’s variable specification matches the paper’s description because no relevant code excerpts were provided.,,
mancassola,1,"A one-way ANOVA compared French and German participants' personal (standard-instruction) political system justification scores, with country (France vs. Germany) as the independent variable and mean political system justification as the dependent variable. The analysis showed substantially higher political system justification in Germany (M = 3.96, SD = 1.15) than in France (M = 2.82, SD = 1.14), F(1, 377) = 94.82, p < .001, η² = .201.",Transformation Specification,We calculated composite scores for political system justification in the self-presentation and standard condition (all Cronbach’s αs > .80). Table 1 shows mean system justification for each condition in each country.,,unknown,"The paper states that composite scores for political system justification were calculated, but no corresponding code is provided to verify how (or whether) this transformation was implemented. Without code, it is impossible to assess alignment between the described transformation and the implementation.",,
mancassola,1,"A one-way ANOVA compared French and German participants' personal (standard-instruction) political system justification scores, with country (France vs. Germany) as the independent variable and mean political system justification as the dependent variable. The analysis showed substantially higher political system justification in Germany (M = 3.96, SD = 1.15) than in France (M = 2.82, SD = 1.14), F(1, 377) = 94.82, p < .001, η² = .201.",Inference Specification,"We first performed a one-way ANOVA to compare French and German participants ’ level of political system justification with a standard instruction. As expected, political system justification was substantially higher in Germany (Mean =3 . 9 6 ,SD = 1.15) than in France (Mean =2 . 8 2 , SD = 1.14), F(1, 377) = 94.82, p <. 0 0 1 , η
2 =. 2 0 1 .",,unknown,"The paper reports an F-test with p < .001 but does not state explicit inference criteria (e.g., alpha), and no relevant code is provided to compare how inference was implemented.",,
mancassola,2,"A 2 (self-presentation instruction: normative vs. counter-normative) × 2 (context: social utility vs. social desirability) × 2 (country: France vs. Germany) between-participants ANOVA was conducted on political system justification scores given under the self-presentation instruction. The analysis tested main effects and interactions of instruction, context, and country on self-presentational political system justification; it found no main effect of instruction, F(1, 371) = 0.00, p = .950, ηp² < .001, but significant instruction × context, F(1, 371) = 22.18, p < .001, ηp² = .056, and instruction × country interactions, F(1, 371) = 45.33, p < .001, ηp² = .109, while the three-way interaction was nonsignificant, F(1, 371) = 0.07, p = .783, ηp² = .001.",Model Specification,"We then performed an overall 2 (self-presentation
instruction) × 2 (context) × 2 (country) ANOVA to check for
differences in self-presentation strategies.",,unknown,"There is no code provided for this analysis-dimension pairing, so it is impossible to determine whether the implemented model specification matches the described 2×2×2 ANOVA in the paper.",,
mancassola,2,"A 2 (self-presentation instruction: normative vs. counter-normative) × 2 (context: social utility vs. social desirability) × 2 (country: France vs. Germany) between-participants ANOVA was conducted on political system justification scores given under the self-presentation instruction. The analysis tested main effects and interactions of instruction, context, and country on self-presentational political system justification; it found no main effect of instruction, F(1, 371) = 0.00, p = .950, ηp² < .001, but significant instruction × context, F(1, 371) = 22.18, p < .001, ηp² = .056, and instruction × country interactions, F(1, 371) = 45.33, p < .001, ηp² = .109, while the three-way interaction was nonsignificant, F(1, 371) = 0.07, p = .783, ηp² = .001.",Variable Specification,We calculated composite scores for political system justification in the self-presentation and standard condition (all Cronbach’s αs > .80). … We then performed an overall 2 (self-presentation instruction) × 2 (context) × 2 (country) ANOVA to check for differences in self-presentation strategies.,,unknown,There is insufficient information about the code to determine whether the variables and their roles in the ANOVA match the description in the paper.,,
mancassola,2,"A 2 (self-presentation instruction: normative vs. counter-normative) × 2 (context: social utility vs. social desirability) × 2 (country: France vs. Germany) between-participants ANOVA was conducted on political system justification scores given under the self-presentation instruction. The analysis tested main effects and interactions of instruction, context, and country on self-presentational political system justification; it found no main effect of instruction, F(1, 371) = 0.00, p = .950, ηp² < .001, but significant instruction × context, F(1, 371) = 22.18, p < .001, ηp² = .056, and instruction × country interactions, F(1, 371) = 45.33, p < .001, ηp² = .109, while the three-way interaction was nonsignificant, F(1, 371) = 0.07, p = .783, ηp² = .001.",Transformation Specification,We calculated composite scores for political system justification in the self-presentation and standard condition (all Cronbach’s αs > .80).,,unknown,"The paper states that composite scores were calculated for political system justification, but no relevant code implementing or contradicting this transformation is provided for comparison.",,
mancassola,2,"A 2 (self-presentation instruction: normative vs. counter-normative) × 2 (context: social utility vs. social desirability) × 2 (country: France vs. Germany) between-participants ANOVA was conducted on political system justification scores given under the self-presentation instruction. The analysis tested main effects and interactions of instruction, context, and country on self-presentational political system justification; it found no main effect of instruction, F(1, 371) = 0.00, p = .950, ηp² < .001, but significant instruction × context, F(1, 371) = 22.18, p < .001, ηp² = .056, and instruction × country interactions, F(1, 371) = 45.33, p < .001, ηp² = .109, while the three-way interaction was nonsignificant, F(1, 371) = 0.07, p = .783, ηp² = .001.",Inference Specification,"We then performed an overall 2 (self-presentation
instruction) × 2 (context) × 2 (country) ANOVA to check for
differences in self-presentation strategies. Results revealed
no main effect of self-presentation instruction, F(1, 371) =
0.00, p =. 9 5 0 ,ηp
2 < .001. However, we found two inter-
actions, first a significant self-presentation instruction ×
context interaction, F(1, 371) = 22.18, p <. 0 0 1 ,ηp
2 =. 0 5 6 .
Post hoc comparisons (Tukey) indicated that system justi-
fication was lower in the normative condition than in the
counter-normative condition in a social desirability context,
t =3 . 2 7 ,p = .006, whereas the reverse pattern appeared in a
social utility context, t = /C03.38, p =. 0 0 4 .

Second, we found a significant self-presentation
instruction × country interaction, F(1, 371) = 45.33, p <
.001, η
p
2 = .109. … The three-way interaction (Self-presentation
instruction × Context × Country) was not significant,
F(1, 371) = 0.07, p = .783, η
p
2 = .001.",,unknown,"The paper describes inferential results and post hoc tests, but no corresponding code is provided to verify how inference criteria (e.g., alpha level, post hoc procedures) were implemented. Without code, it is impossible to determine whether the inferential procedures match the paper’s description.",,
mancassola,3,"As part of decomposing the self-presentation instruction × context interaction in the overall 2 × 2 × 2 ANOVA (collapsing across countries), a Tukey post hoc t-test compared normative vs. counter-normative self-presentation conditions within the social desirability context. Political system justification was lower in the normative condition than in the counter-normative condition in a social desirability context, t = 3.27, p = .006.",Model Specification,"Post hoc comparisons (Tukey) indicated that system justification was lower in the normative condition than in the counter-normative condition in a social desirability context, t =3 . 2 7 ,p = .006, whereas the reverse pattern appeared in a social utility context, t = /C03.38, p =. 0 0 4 .",,unknown,"The paper specifies a Tukey post hoc t-test, but no corresponding code is provided to verify the statistical test used.",,
mancassola,3,"As part of decomposing the self-presentation instruction × context interaction in the overall 2 × 2 × 2 ANOVA (collapsing across countries), a Tukey post hoc t-test compared normative vs. counter-normative self-presentation conditions within the social desirability context. Political system justification was lower in the normative condition than in the counter-normative condition in a social desirability context, t = 3.27, p = .006.",Variable Specification,"We then performed an overall 2 (self-presentation instruction) × 2 (context) × 2 (country) ANOVA to check for differences in self-presentation strategies. Post hoc comparisons (Tukey) indicated that system justification was lower in the normative condition than in the counter-normative condition in a social desirability context, t =3 . 2 7 ,p = .006, whereas the reverse pattern appeared in a social utility context, t = /C03.38, p =. 0 0 4 .",,unknown,There is no relevant code provided to assess whether the variables used in the implementation match those described in the paper for this analysis.,,
