analysis_id,dimension,human_manuscript_content,human_manuscript_location,human_code_content,human_code_location,human_match_judgement,codebot_brief_description,codebot_manuscript_content,codebot_manuscript_location,codebot_code_content,codebot_code_location,codebot_match_judgement,codebot_human_agreement
1,model specification,"To examinewhether peoplewere more accurate at identifying a perpetrator of their race than a perpetrator of another race, we conducted a binary logistic regression on identification accuracy (correct vs. incorrect) with participant race (White, Black), lineup race (White, Black), and the interaction between participant race and lineup race as predictors.",0.0,"# binary logistic regression - target race and participant race only
acc_glm = glm(Accuracy ~ Target_race*Participant_race, family = ""binomial"", data = df)",RaceinEvaluationsofMemory_MockCrimeScript.R:86-87,1,"Binary logistic regression in the mock crime study testing identification accuracy (correct vs. incorrect) as a function of participant race (White, Black), lineup race (White, Black), and their interaction. Using the full N=209 sample, the participant race × lineup race interaction was significant (B=1.38, SE=0.63, Wald=4.84, p=.03, OR=3.97), indicating a cross-race effect primarily for White participants.","To examine whether people were more accurate at identifying a perpetrator of their race than a perpetrator of another race, we conducted a binary logistic regression on identification accuracy (correct vs. incorrect) with participant race (White, Black), lineup race (White, Black), and the interaction between participant race and lineup race as predictors.",,"## ACCURACY ANALYSES
# binary logistic regression - target race and participant race only
acc_glm = glm(Accuracy ~ Target_race*Participant_race, family = ""binomial"", data = df)
summary(acc_glm)
exp(cbind(coef(acc_glm), confint(acc_glm)))",,1,1
1,variable specification,"To examinewhether peoplewere more accurate at identifying a perpetrator of their race than a perpetrator of another race, we conducted a binary logistic regression on identification accuracy (correct vs. incorrect) with participant race (White, Black), lineup race (White, Black), and the interaction between participant race and lineup race as predictors.",1.0,"# binary logistic regression - target race and participant race only
acc_glm = glm(Accuracy ~ Target_race*Participant_race, family = ""binomial"", data = df)",RaceinEvaluationsofMemory_MockCrimeScript.R:86-88,1,"Binary logistic regression in the mock crime study testing identification accuracy (correct vs. incorrect) as a function of participant race (White, Black), lineup race (White, Black), and their interaction. Using the full N=209 sample, the participant race × lineup race interaction was significant (B=1.38, SE=0.63, Wald=4.84, p=.03, OR=3.97), indicating a cross-race effect primarily for White participants.","To examine whether people were more accurate at identifying a perpetrator of their race than a perpetrator of another race, we conducted a binary logistic regression on identification accuracy (correct vs. incorrect) with participant race (White, Black), lineup race (White, Black), and the interaction between participant race and lineup race as predictors.",,"# set factors
df$Participant_race = ifelse(df$Participant_race == 1, ""White"", ""Black"")
df$Participant_race = as.factor(df$Participant_race)
df = within(df, Participant_race <- relevel(Participant_race, ref = ""White""))
...
df$Target_race = as.factor(df$Target_race)
df = within(df, Target_race <- relevel(Target_race, ref = ""White""))
...
## ACCURACY ANALYSES
# binary logistic regression - target race and participant race only
acc_glm = glm(Accuracy ~ Target_race*Participant_race, family = ""binomial"", data = df)
summary(acc_glm)
exp(cbind(coef(acc_glm), confint(acc_glm)))

# target race
glm_tr = wald.test(Sigma = vcov(acc_glm), b = coef(acc_glm), Terms = 2) 
glm_tr

# participant race x target race
glm_ptr = wald.test(Sigma = vcov(acc_glm), b = coef(acc_glm), Terms = 4) 
round(glm_ptr$result$chi2, 3)
(emmeans(acc_glm, ~ pairwise ~ Target_race | Participant_race, type = ""response""))",,1,1
1,transformation,,,,,,"Binary logistic regression in the mock crime study testing identification accuracy (correct vs. incorrect) as a function of participant race (White, Black), lineup race (White, Black), and their interaction. Using the full N=209 sample, the participant race × lineup race interaction was significant (B=1.38, SE=0.63, Wald=4.84, p=.03, OR=3.97), indicating a cross-race effect primarily for White participants.","To examine whether people were more accurate at identifying a perpetrator of their race than a perpetrator of another race, we conducted a binary logistic regression on identification accuracy (correct vs. incorrect) with participant race (White, Black), lineup race (White, Black), and the interaction between participant race and lineup race as predictors. ... We ran the analysis on our entire sample, and a reduced sample with equal sample sizes for White and Black participants (i.e., 61 participants in each group).",,"# data
df = read.csv(""RaceinEvaluationsofMemory_UnderlyingStimuli_FullDataset.csv"")
df_red = read.csv(""RaceinEvaluationsofMemory_UnderlyingStimuli_Experiment1Set.csv"")

# set factors
df$Participant_race = ifelse(df$Participant_race == 1, ""White"", ""Black"")
df$Participant_race = as.factor(df$Participant_race)
df = within(df, Participant_race <- relevel(Participant_race, ref = ""White""))
df %>% group_by(Participant_race) %>% tally() %>% ungroup()


df$Target_race = as.factor(df$Target_race)
df = within(df, Target_race <- relevel(Target_race, ref = ""White""))

df$Lineup_type = ifelse(df$Participant_race == df$Target_race, ""Own-race"", ""Cross-race"")


# full vs reduced sample
df_red$Participant_race = ifelse(df_red$Participant_race == 1, ""White"", ""Black"")

make_cre_summary = function(data){
  data %>% group_by(Target_race, Participant_race) %>% 
    summarise(correct = length(which(Accuracy == 1)), total_n = length(Accuracy), acc = (BinomCI(correct, total_n)[1])*100, lowCI = (BinomCI(correct, total_n)[2])*100, highCI = (BinomCI(correct, total_n)[3])*100, confidence = mean(ConfidenceinPick))
}


## ACCURACY ANALYSES
# binary logistic regression - target race and participant race only
acc_glm = glm(Accuracy ~ Target_race*Participant_race, family = ""binomial"", data = df)
summary(acc_glm)
exp(cbind(coef(acc_glm), confint(acc_glm)))",,1,
1,variable specification,"To examinewhether peoplewere more accurate at identifying a perpetrator of their race than a perpetrator of another race, we conducted a binary logistic regression on identification accuracy (correct vs. incorrect) with participant race (White, Black), lineup race (White, Black), and the interaction between participant race and lineup race as predictors.",1.0,"# binary logistic regression - target race and participant race only
acc_glm = glm(Accuracy ~ Target_race*Participant_race, family = ""binomial"", data = df)",RaceinEvaluationsofMemory_MockCrimeScript.R:86-88,1,"Binary logistic regression in the mock crime study testing identification accuracy (correct vs. incorrect) as a function of participant race (White, Black), lineup race (White, Black), and their interaction. Using the full N=209 sample, the participant race × lineup race interaction was significant (B=1.38, SE=0.63, Wald=4.84, p=.03, OR=3.97), indicating a cross-race effect primarily for White participants.","To examine whether people were more accurate at identifying a perpetrator of their race than a perpetrator of another race, we conducted a binary logistic regression on identification accuracy (correct vs. incorrect) with participant race (White, Black), lineup race (White, Black), and the interaction between participant race and lineup race as predictors.",,"# set factors
df$Participant_race = ifelse(df$Participant_race == 1, ""White"", ""Black"")
df$Participant_race = as.factor(df$Participant_race)
df = within(df, Participant_race <- relevel(Participant_race, ref = ""White""))
...
df$Target_race = as.factor(df$Target_race)
df = within(df, Target_race <- relevel(Target_race, ref = ""White""))
...
## ACCURACY ANALYSES
# binary logistic regression - target race and participant race only
acc_glm = glm(Accuracy ~ Target_race*Participant_race, family = ""binomial"", data = df)
summary(acc_glm)
exp(cbind(coef(acc_glm), confint(acc_glm)))

# target race
glm_tr = wald.test(Sigma = vcov(acc_glm), b = coef(acc_glm), Terms = 2) 
glm_tr

# participant race x target race
glm_ptr = wald.test(Sigma = vcov(acc_glm), b = coef(acc_glm), Terms = 4) 
round(glm_ptr$result$chi2, 3)
(emmeans(acc_glm, ~ pairwise ~ Target_race | Participant_race, type = ""response""))",,1,1
1,transformation,,,,,,"Binary logistic regression in the mock crime study testing identification accuracy (correct vs. incorrect) as a function of participant race (White, Black), lineup race (White, Black), and their interaction. Using the full N=209 sample, the participant race × lineup race interaction was significant (B=1.38, SE=0.63, Wald=4.84, p=.03, OR=3.97), indicating a cross-race effect primarily for White participants.","To examine whether people were more accurate at identifying a perpetrator of their race than a perpetrator of another race, we conducted a binary logistic regression on identification accuracy (correct vs. incorrect) with participant race (White, Black), lineup race (White, Black), and the interaction between participant race and lineup race as predictors. ... We ran the analysis on our entire sample, and a reduced sample with equal sample sizes for White and Black participants (i.e., 61 participants in each group).",,"# data
df = read.csv(""RaceinEvaluationsofMemory_UnderlyingStimuli_FullDataset.csv"")
df_red = read.csv(""RaceinEvaluationsofMemory_UnderlyingStimuli_Experiment1Set.csv"")

# set factors
df$Participant_race = ifelse(df$Participant_race == 1, ""White"", ""Black"")
df$Participant_race = as.factor(df$Participant_race)
df = within(df, Participant_race <- relevel(Participant_race, ref = ""White""))
df %>% group_by(Participant_race) %>% tally() %>% ungroup()


df$Target_race = as.factor(df$Target_race)
df = within(df, Target_race <- relevel(Target_race, ref = ""White""))

df$Lineup_type = ifelse(df$Participant_race == df$Target_race, ""Own-race"", ""Cross-race"")


# full vs reduced sample
df_red$Participant_race = ifelse(df_red$Participant_race == 1, ""White"", ""Black"")

make_cre_summary = function(data){
  data %>% group_by(Target_race, Participant_race) %>% 
    summarise(correct = length(which(Accuracy == 1)), total_n = length(Accuracy), acc = (BinomCI(correct, total_n)[1])*100, lowCI = (BinomCI(correct, total_n)[2])*100, highCI = (BinomCI(correct, total_n)[3])*100, confidence = mean(ConfidenceinPick))
}


## ACCURACY ANALYSES
# binary logistic regression - target race and participant race only
acc_glm = glm(Accuracy ~ Target_race*Participant_race, family = ""binomial"", data = df)
summary(acc_glm)
exp(cbind(coef(acc_glm), confint(acc_glm)))",,1,
1,inference criterion,"The model revealed a significant interaction between participant race and lineup race (B = 1.38, SE = 0.63, Wald = 4.84, p = .03, odds ratio, OR = 3.97, 95% confidence interval [CI] [1.16,13.65]).",0.0,"# binary logistic regression - target race and participant race only
acc_glm = glm(Accuracy ~ Target_race*Participant_race, family = ""binomial"", data = df)
summary(acc_glm)
exp(cbind(coef(acc_glm), confint(acc_glm)))",RaceinEvaluationsofMemory_MockCrimeScript.R:86-89,1,"Binary logistic regression in the mock crime study testing identification accuracy (correct vs. incorrect) as a function of participant race (White, Black), lineup race (White, Black), and their interaction. Using the full N=209 sample, the participant race × lineup race interaction was significant (B=1.38, SE=0.63, Wald=4.84, p=.03, OR=3.97), indicating a cross-race effect primarily for White participants.","The model revealed a significant interaction between participant race and lineup race (B = 1.38, SE = 0.63, Wald = 4.84, p = .03, odds ratio, OR = 3.97, 95% confidence interval [CI] [1.16, 13.65])... No other effects were significant (p > .05).",,"## ACCURACY ANALYSES
# binary logistic regression - target race and participant race only
acc_glm = glm(Accuracy ~ Target_race*Participant_race, family = ""binomial"", data = df)
summary(acc_glm)
exp(cbind(coef(acc_glm), confint(acc_glm)))

# target race
glm_tr = wald.test(Sigma = vcov(acc_glm), b = coef(acc_glm), Terms = 2) 
glm_tr

# participant race x target race
glm_ptr = wald.test(Sigma = vcov(acc_glm), b = coef(acc_glm), Terms = 4) 
round(glm_ptr$result$chi2, 3)
(emmeans(acc_glm, ~ pairwise ~ Target_race | Participant_race, type = ""response""))",,1,1
2,model specification,"First, in order to examine how assessor perceptions were influenced by race, and whether findings from existing mock jury work replicated in our data, we conducted an analysis of variance (ANOVA) using witness race (White, Black), lineup race (White, Black), and assessor race (White, Black) to predict the assessor rating of the likelihood an identification was correct",0.0,"df <- read.csv(""RaceinEvaluationsofMemory_Experiment1Data.csv"") [...] ## initial ANOVA on likelihood correct with race variables only
a1 = ezANOVA(data = df, wid = ResponseId, dv = Likelihood_correct, between = c(Juror_race, Witness_race, Target_race), detailed = TRUE, return_aov = TRUE)",RaceinEvaluationsofMemory_Experiment1Script.R:16; 38-39,1,"One-way ANOVA in Experiment 1 predicting assessors’ continuous ratings of the likelihood that an identification was correct (0–100) from witness race (White vs. Black), lineup race (White vs. Black), and assessor race (White vs. Black). The analysis found no significant witness race × lineup race interaction (F(1,1136)=0.00, p=.95), but revealed a significant main effect of witness race (Black witnesses’ decisions rated more accurate) and a significant assessor race × lineup race interaction where only Black assessors differentiated between White and Black lineups.","First, in order to examine how assessor perceptions were influenced by race, and whether findings from existing mock jury work replicated in our data, we conducted an analysis of variance (ANOVA) using witness race (White, Black), lineup race (White, Black), and assessor race (White, Black) to predict the assessor rating of the likelihood an identification was correct.",,"## initial ANOVA on likelihood correct with race variables only
a1 = ezANOVA(data = df, wid = ResponseId, dv = Likelihood_correct, between = c(Juror_race, Witness_race, Target_race), detailed = TRUE, return_aov = TRUE)
a1_summary = data.frame(unclass(a1$ANOVA)) %>% mutate(F.value = round(F, 2), eta.sq.partial = round(ges, 3), mse = round(SSn, 2), p.value = round(p, 3)) %>% dplyr::select(Effect, DFn, DFd, F.value, p.value, mse, eta.sq.partial)
a1_summary",,1,1
2,variable specification,"First, in order to examine how assessor perceptions were influenced by race, and whether findings from existing mock jury work replicated in our data, we conducted an analysis of variance (ANOVA) using witness race (White, Black), lineup race (White, Black), and assessor race (White, Black) to predict the assessor rating of the likelihood an identification was correct",0.0,"df <- read.csv(""RaceinEvaluationsofMemory_Experiment1Data.csv"") [...] ## initial ANOVA on likelihood correct with race variables only
a1 = ezANOVA(data = df, wid = ResponseId, dv = Likelihood_correct, between = c(Juror_race, Witness_race, Target_race), detailed = TRUE, return_aov = TRUE)",RaceinEvaluationsofMemory_Experiment1Script.R:16; 38-39,1,"One-way ANOVA in Experiment 1 predicting assessors’ continuous ratings of the likelihood that an identification was correct (0–100) from witness race (White vs. Black), lineup race (White vs. Black), and assessor race (White vs. Black). The analysis found no significant witness race × lineup race interaction (F(1,1136)=0.00, p=.95), but revealed a significant main effect of witness race (Black witnesses’ decisions rated more accurate) and a significant assessor race × lineup race interaction where only Black assessors differentiated between White and Black lineups.","First, in order to examine how assessor perceptions were influenced by race, and whether findings from existing mock jury work replicated in our data, we conducted an analysis of variance (ANOVA) using witness race (White, Black), lineup race (White, Black), and assessor race (White, Black) to predict the assessor rating of the likelihood an identification was correct.",,"# Set factors
df$Juror_race = as.factor(df$Juror_race)
df$Witness_race = as.factor(df$Witness_race)
df$Target_race = as.factor(df$Target_race)
...
## initial ANOVA on likelihood correct with race variables only
a1 = ezANOVA(data = df, wid = ResponseId, dv = Likelihood_correct, between = c(Juror_race, Witness_race, Target_race), detailed = TRUE, return_aov = TRUE)
...
a1b = ezANOVA(data = b_jurors, wid = ResponseId, dv = Likelihood_correct, between = c(Target_race), detailed = TRUE, return_aov = TRUE)
...
a1w = ezANOVA(data = w_jurors, wid = ResponseId, dv = Likelihood_correct, between = c(Target_race), detailed = TRUE, return_aov = TRUE)",,1,1
2,transformation,,,,,,"One-way ANOVA in Experiment 1 predicting assessors’ continuous ratings of the likelihood that an identification was correct (0–100) from witness race (White vs. Black), lineup race (White vs. Black), and assessor race (White vs. Black). The analysis found no significant witness race × lineup race interaction (F(1,1136)=0.00, p=.95), but revealed a significant main effect of witness race (Black witnesses’ decisions rated more accurate) and a significant assessor race × lineup race interaction where only Black assessors differentiated between White and Black lineups.","First, in order to examine how assessor perceptions were in ﬂu- enced by race, and whether ﬁndings from existing mock jury work replicated in our data, we conducted an analysis of variance (ANOV A) using witness race (White, Black), lineup race (White, Black), and assessor race (White, Black) to predict the assessor rat- ing of the likelihood an identi ﬁcation was correct. ... We also conducted a supplementary analysis identical to the ANOV A described above but with equal sample sizes of Black and White participants (including the ﬁrst 369 White participants when ranked alphabetically by Qualtrics response ID).",,"df <- read.csv(""RaceinEvaluationsofMemory_Experiment1Data.csv"")
w_jurors = df %>% filter(Juror_race == ""White"")
b_jurors = df %>% filter(Juror_race == ""Black"")

# Set factors

df$Juror_race = as.factor(df$Juror_race)
df$Witness_race = as.factor(df$Witness_race)
df$Target_race = as.factor(df$Target_race)
df$Videos_seen = as.factor(df$Videos_seen)
df$Witness_decision = as.factor(df$Witness_decision)
df$Target_presence = as.factor(df$Target_presence)


### MAIN ANALYSES ###

## initial ANOVA on likelihood correct with race variables only

a1 = ezANOVA(data = df, wid = ResponseId, dv = Likelihood_correct, between = c(Juror_race, Witness_race, Target_race), detailed = TRUE, return_aov = TRUE)

a1b = ezANOVA(data = b_jurors, wid = ResponseId, dv = Likelihood_correct, between = c(Target_race), detailed = TRUE, return_aov = TRUE)

a1w = ezANOVA(data = w_jurors, wid = ResponseId, dv = Likelihood_correct, between = c(Target_race), detailed = TRUE, return_aov = TRUE)",,,
2,variable specification,"First, in order to examine how assessor perceptions were influenced by race, and whether findings from existing mock jury work replicated in our data, we conducted an analysis of variance (ANOVA) using witness race (White, Black), lineup race (White, Black), and assessor race (White, Black) to predict the assessor rating of the likelihood an identification was correct",0.0,"df <- read.csv(""RaceinEvaluationsofMemory_Experiment1Data.csv"") [...] ## initial ANOVA on likelihood correct with race variables only
a1 = ezANOVA(data = df, wid = ResponseId, dv = Likelihood_correct, between = c(Juror_race, Witness_race, Target_race), detailed = TRUE, return_aov = TRUE)",RaceinEvaluationsofMemory_Experiment1Script.R:16; 38-39,1,"One-way ANOVA in Experiment 1 predicting assessors’ continuous ratings of the likelihood that an identification was correct (0–100) from witness race (White vs. Black), lineup race (White vs. Black), and assessor race (White vs. Black). The analysis found no significant witness race × lineup race interaction (F(1,1136)=0.00, p=.95), but revealed a significant main effect of witness race (Black witnesses’ decisions rated more accurate) and a significant assessor race × lineup race interaction where only Black assessors differentiated between White and Black lineups.","First, in order to examine how assessor perceptions were influenced by race, and whether findings from existing mock jury work replicated in our data, we conducted an analysis of variance (ANOVA) using witness race (White, Black), lineup race (White, Black), and assessor race (White, Black) to predict the assessor rating of the likelihood an identification was correct.",,"# Set factors
df$Juror_race = as.factor(df$Juror_race)
df$Witness_race = as.factor(df$Witness_race)
df$Target_race = as.factor(df$Target_race)
...
## initial ANOVA on likelihood correct with race variables only
a1 = ezANOVA(data = df, wid = ResponseId, dv = Likelihood_correct, between = c(Juror_race, Witness_race, Target_race), detailed = TRUE, return_aov = TRUE)
...
a1b = ezANOVA(data = b_jurors, wid = ResponseId, dv = Likelihood_correct, between = c(Target_race), detailed = TRUE, return_aov = TRUE)
...
a1w = ezANOVA(data = w_jurors, wid = ResponseId, dv = Likelihood_correct, between = c(Target_race), detailed = TRUE, return_aov = TRUE)",,1,1
