paper_id,analysis_id,brief_description,dimension,paper_value,code_value,match_status,explanation,paper_evidence,code_evidence
carvalho,1,"A two-sample t-test compared overall pretest accuracy (proportion of 12 items correct, including critical and catch items) between children in the Generating Predictions condition and those in the Retrieve condition to verify baseline equivalence of prior knowledge. The test evaluated whether the mean proportion correct differed between conditions before the lesson.",Model Specification,"To investigate these differences, we used a two-sample t-test for null hypothesis significance testing, and an equivalence test, via two one-sided tests with α-level of .05.","t.test(data$Pre.test.overall[data$Condition==""GENERATE""],data$Pre.test.overall[data$Condition==""RETRIEVE""],var.equal = T)
library(effsize)
cohen.d(data$Pre.test.overall[data$Condition==""GENERATE""],data$Pre.test.overall[data$Condition==""RETRIEVE""])",match,"The code performs a two-sample t-test comparing pretest overall accuracy between the GENERATE and RETRIEVE conditions, which matches the paper’s described use of a two-sample t-test; the presence or absence of the equivalence test cannot be evaluated from this snippet but does not contradict the stated model specification.",,
carvalho,1,"A two-sample t-test compared overall pretest accuracy (proportion of 12 items correct, including critical and catch items) between children in the Generating Predictions condition and those in the Retrieve condition to verify baseline equivalence of prior knowledge. The test evaluated whether the mean proportion correct differed between conditions before the lesson.",Variable Specification,"Children in the Generating Predictions group correctly answered on average eight out of 12 questions at pretest (M = 0.64, 95% CI [0.62, 0.66]). Similarly, children in the Retrieve group also correctly answered on average eight out of 12 questions at pretest (M = 0.64, 95% CI [0.62, 0.66]). To investigate these differences, we used a two-sample t-test for null hypothesis significance testing, and an equivalence test, via two one-sided tests with α-level of .05.","t.test(data$Pre.test.overall[data$Condition==""GENERATE""],data$Pre.test.overall[data$Condition==""RETRIEVE""],var.equal = T)
library(effsize)
cohen.d(data$Pre.test.overall[data$Condition==""GENERATE""],data$Pre.test.overall[data$Condition==""RETRIEVE""])

# age effects?
m_pre_age <- lm(Pre.test.overall~Condition*FIXED.GRADE.LEVEL,data=data)
summary(m_pre_age)",match,"The code uses overall pretest accuracy as the outcome and condition (GENERATE vs RETRIEVE) as the grouping variable, matching the variables described in the paper for the two-sample t-test comparison. No additional variables are included in the t-test beyond what is specified in the paper.",,
carvalho,1,"A two-sample t-test compared overall pretest accuracy (proportion of 12 items correct, including critical and catch items) between children in the Generating Predictions condition and those in the Retrieve condition to verify baseline equivalence of prior knowledge. The test evaluated whether the mean proportion correct differed between conditions before the lesson.",Transformation Specification,"Children in the Generating Predictions group correctly answered on average eight out of 12 questions at pretest (M = 0.64, 95% CI [0.62, 0.66]). Similarly, children in the Retrieve group also correctly answered on average eight out of 12 questions at pretest (M = 0.64, 95% CI [0.62, 0.66]). … Accuracy by question type and a total score was calculated. Participants who had 50% or less accuracy on the catch trials were excluded from the analyses (n = 2, one participant from each condition).","data <- read.csv(""Generate vs. Retrieve Study Data.csv"")
data <- data[which(data$Pretest.Catch>.60),]

t.test(data$Pre.test.overall[data$Condition==""GENERATE""],data$Pre.test.overall[data$Condition==""RETRIEVE""],var.equal = T)",mismatch,"The code excludes participants with pretest catch accuracy ≤60%, whereas the paper states that only participants with 50% or less catch accuracy were excluded. This discrepancy means the transformation (participant exclusion criterion) implemented in code does not match the description in the paper.",,
carvalho,1,"A two-sample t-test compared overall pretest accuracy (proportion of 12 items correct, including critical and catch items) between children in the Generating Predictions condition and those in the Retrieve condition to verify baseline equivalence of prior knowledge. The test evaluated whether the mean proportion correct differed between conditions before the lesson.",Inference Specification,"To investigate these differences, we used a two-sample t-test for null hypothesis significance testing, and an equivalence test, via two one-sided tests with α-level of .05. These tested the null hypotheses that true mean difference is equal to 0 (null hypothesis significance testing), and true mean difference is more extreme than −0.1667 and 0.1667, equivalent to one question difference in the pretest, on average, between the two conditions (two one-sided tests).","t.test(data$Pre.test.overall[data$Condition==""GENERATE""],data$Pre.test.overall[data$Condition==""RETRIEVE""],var.equal = T)",mismatch,"The paper specifies using both a null hypothesis t-test and an equivalence test via two one-sided tests with α = .05, but the code only runs a standard two-sample t-test without implementing the equivalence (TOST) procedure or explicitly setting the α-level. Therefore, the inference procedures described in the paper are not fully reflected in the provided code.",,
carvalho,2,An equivalence test using two one-sided t-tests (TOST) assessed whether pretest total accuracy was statistically equivalent between the Generating Predictions and Retrieve conditions within a margin of ±0.1667 (equivalent to one item difference out of 12). This analysis tested whether any condition difference in pretest proportion correct was smaller than this predefined smallest effect size of interest.,Model Specification,"To investigate these differences, we used a two-sample t-test for null hypothesis significance testing, and an equivalence test, via two one-sided tests with α-level of .05. These tested the null hypotheses that true mean difference is equal to 0 (null hypothesis significance testing), and true mean difference is more extreme than −0.1667 and 0.1667, equivalent to one question difference in the pretest, on average, between the two conditions (two one-sided tests).",,unknown,"No relevant code implementing the equivalence test or two-sample t-test is provided, so it is not possible to determine whether the implemented model specification matches the paper’s description.",,
carvalho,2,An equivalence test using two one-sided t-tests (TOST) assessed whether pretest total accuracy was statistically equivalent between the Generating Predictions and Retrieve conditions within a margin of ±0.1667 (equivalent to one item difference out of 12). This analysis tested whether any condition difference in pretest proportion correct was smaller than this predefined smallest effect size of interest.,Variable Specification,"Children in the Generating Predictions group correctly answered on average eight out of 12 questions at pretest (M = 0.64, 95% CI [0.62, 0.66]). Similarly, children in the Retrieve group also correctly answered on average eight out of 12 questions at pretest (M = 0.64, 95% CI [0.62, 0.66]). To investigate these differences, we used a two-sample t-test for null hypothesis significance testing, and an equivalence test, via two one-sided tests with α-level of .05. These tested the null hypotheses that true mean difference is equal to 0 (null hypothesis significance testing), and true mean difference is more extreme than −0.1667 and 0.1667, equivalent to one question difference in the pretest, on average, between the two conditions (two one-sided tests).","t.test(data$Pre.test.overall[data$Condition==""GENERATE""],data$Pre.test.overall[data$Condition==""RETRIEVE""],var.equal = T)
library(effsize)
cohen.d(data$Pre.test.overall[data$Condition==""GENERATE""],data$Pre.test.overall[data$Condition==""RETRIEVE""])

# age effects?
m_pre_age <- lm(Pre.test.overall~Condition*FIXED.GRADE.LEVEL,data=data)
summary(m_pre_age)",match,"The code and paper both use pretest overall accuracy as the outcome and experimental condition (Generating vs. Retrieve) as the grouping variable for between-group comparison, consistent with the variable roles described for the equivalence-related pretest analysis. Although the TOST implementation itself is not shown, the variables involved in the t-test that underlies it match the description in the paper.",,
carvalho,2,An equivalence test using two one-sided t-tests (TOST) assessed whether pretest total accuracy was statistically equivalent between the Generating Predictions and Retrieve conditions within a margin of ±0.1667 (equivalent to one item difference out of 12). This analysis tested whether any condition difference in pretest proportion correct was smaller than this predefined smallest effect size of interest.,Transformation Specification,"Children in the Generating Predictions group correctly answered on average eight out of 12 questions at pretest ( M = 0.64, 95% CI [0.62, 0.66]). Similarly, children in the Retrieve group also correctly answered on average eight out of 12 questions at pretest ( M = 0.64, 95% CI [0.62, 0.66]). To investigate these differences, we used a two-sample t-test for null hypothesis significance testing, and an equivalence test, via two one-sided tests with α-level of .05. These tested the null hypotheses that true mean difference is equal to 0 (null hypothesis significance testing), and true mean difference is more extreme than −0.1667 and 0.1667, equivalent to one question difference in the pretest, on average, between the two conditions (two one-sided tests).",,unknown,"The paper clearly describes the transformation (proportion correct out of 12 items), but no corresponding code related to this analysis or its data transformations is provided for comparison.",,
carvalho,2,An equivalence test using two one-sided t-tests (TOST) assessed whether pretest total accuracy was statistically equivalent between the Generating Predictions and Retrieve conditions within a margin of ±0.1667 (equivalent to one item difference out of 12). This analysis tested whether any condition difference in pretest proportion correct was smaller than this predefined smallest effect size of interest.,Inference Specification,"To investigate these differences, we used a two-sample t-test for null hypothesis significance testing, and an equivalence test, via two one-sided tests with α-level of .05. These tested the null hypotheses that true mean difference is equal to 0 (null hypothesis significance testing), and true mean difference is more extreme than −0.1667 and 0.1667, equivalent to one question difference in the pretest, on average, between the two conditions (two one-sided tests).",,unknown,"There is no code provided for this analysis-dimension pairing, so it is not possible to determine whether the inference specification in the code matches the description in the paper.",,
carvalho,3,"A TOST equivalence test was conducted on pretest catch-trial accuracy (proportion correct on 5 catch items) to determine whether performance on these easier control items was equivalent between the Generating Predictions and Retrieve conditions. Equivalence bounds were set at ±0.2 (approximately one item difference), and the test evaluated if the mean difference in catch accuracy fell within this range.",Model Specification,"To investigate these differences, we used a two-sample t-test for null hypothesis significance testing, and an equivalence test, via two one-sided tests with α-level of .05. ... To test this equivalence, we used a true mean difference between−0.2 and 0.2 (equivalent to one question accuracy difference between the groups).",,unknown,"The paper clearly specifies a two-sample t-test and TOST equivalence test, but no corresponding code implementation was provided to verify the model specification.",,
carvalho,3,"A TOST equivalence test was conducted on pretest catch-trial accuracy (proportion correct on 5 catch items) to determine whether performance on these easier control items was equivalent between the Generating Predictions and Retrieve conditions. Equivalence bounds were set at ±0.2 (approximately one item difference), and the test evaluated if the mean difference in catch accuracy fell within this range.",Variable Specification,"Across both groups, children were also highly and equally accurate on the catch trials at pretest for both the Generating Predictions, M = 0.96, 95% CI [0.95, 0.98], and Retrieve groups, M = 0.96, 95% CI [0.95, 0.98]. To test this equivalence, we used a true mean difference between−0.2 and 0.2 (equivalent to one question accuracy difference between the groups). We found that performance was statistically equivalent between the two groups,t(86) = −12, p < .01, mean difference = 0, 90% CI [ −0.028, 0.028]; Hedges’ g(av) = 0, 90% CI [ −0.359, 0.359].",,unknown,"The paper clearly specifies the variables (pretest catch-trial accuracy by condition), but no corresponding code or variable definitions are provided to verify how these were implemented. Without code, it is impossible to determine whether the variables used in the implementation match the paper description.",,
