paper_id,analysis_id,brief_description,dimension,paper_value,code_value,match_status,explanation,paper_evidence,code_evidence
bloy,1,"In Study 1, a paired-samples t-test compared the standard deviation of item responses between gibberish scales and content scales for the same respondents. The test evaluated whether response variability (within-person SD across items) was lower on gibberish items (M = 0.5) than on meaningful content items (M = 2.0), as an indicator of careless responding patterns. Results showed a large, statistically significant difference, t(619) = -41.1, p < .001, Cohen’s d = -2.23.",Model Specification,"Second, we ran paired-samples t tests comparing these careless-responses-index scores among the content items with the gibberish items. … Table 1 presents the results of the paired-samples t test, indicating significant differences for all examined metrics.","# Deleting two respondents who do not have both types of scales,
# so that we can do a paired samples t-test
counts <- table(data_study_1$Participant_ID)
single_row_ids <- names(counts[counts < 2])
filtered_data <- data_study_1[!data_study_1$Participant_ID %in% single_row_ids, ]
filtered_data <- filtered_data %>%
  arrange(Participant_ID, condition)

# Paired t-tests between gibberish and content
t.test(data = filtered_data, sd ~ condition, paired = TRUE)
cohen.d(data = filtered_data, sd ~ condition, paired = TRUE)",match,"The paper describes using paired-samples t-tests to compare variability between gibberish and content items, and the code implements a paired t-test on standard deviations by condition for participants with both scale types. This aligns the statistical model used in the analysis with the paper’s description.",,
bloy,1,"In Study 1, a paired-samples t-test compared the standard deviation of item responses between gibberish scales and content scales for the same respondents. The test evaluated whether response variability (within-person SD across items) was lower on gibberish items (M = 0.5) than on meaningful content items (M = 2.0), as an indicator of careless responding patterns. Results showed a large, statistically significant difference, t(619) = -41.1, p < .001, Cohen’s d = -2.23.",Variable Specification,"Second, we ran paired-samples t tests comparing these careless-responses-index scores among the content items with the gibberish items.

Table 1.  Comparison of Classification Metrics Between Gibberish and Content Responses Using Paired-Samples t  Test
Method M gibberish M content Difference 95% CI t(df = 619) p value Cohen’s d
Standard deviation 0.5 2.0 −1.5 [−1.6, −1.4] −41.1 < .001 −2.23","# Calculation of within-subject indices to identify careless responses 
# (indices also based on the responses of all respondents in the sample 
# will be calculated later, after splitting the data into training and testing)
data_study_1$sd <- careless::irv(data_study_1[,1:16])
...
# Deleting two respondents who do not have both types of scales,
# so that we can do a paired samples t-test
counts <- table(data_study_1$Participant_ID)
single_row_ids <- names(counts[counts < 2])
filtered_data <- data_study_1[!data_study_1$Participant_ID %in% single_row_ids, ]
filtered_data <- filtered_data %>%
  arrange(Participant_ID, condition)

# Paired t-tests between gibberish and content
t.test(data = filtered_data, sd ~ condition, paired = TRUE)
cohen.d(data = filtered_data, sd ~ condition, paired = TRUE)",match,"The code uses within-person standard deviation (irv) as the careless-response index and compares this index between gibberish and content conditions with a paired-samples t-test, matching the paper’s description. The variables’ roles (SD as outcome, condition as within-subject factor) align with the reported analysis.",,
bloy,1,"In Study 1, a paired-samples t-test compared the standard deviation of item responses between gibberish scales and content scales for the same respondents. The test evaluated whether response variability (within-person SD across items) was lower on gibberish items (M = 0.5) than on meaningful content items (M = 2.0), as an indicator of careless responding patterns. Results showed a large, statistically significant difference, t(619) = -41.1, p < .001, Cohen’s d = -2.23.",Transformation Specification,"IRV is the standard deviation of each person’s responses. This measure examines the extent to which respondents are self-similar. If IRV is either exceptionally small or large, it may indicate careless responding.

The data set originally contained 32 columns comprising two types of scales: 16 columns with gibberish questions and 16 columns with content questions. We transformed the data into long format by stacking the 32 columns into 16 columns representing the questions and adding a 17th column to indicate whether each row originated from the gibberish or content scale. The analysis included six steps. First, we calculated six indexes of careless responses for each row: long string, standard deviation, the correlation between two half scales, Mahalanobis distance by the R package careless (Yentes & Wilhelm, 2021), and two person-fit indices by the R package PerFit (Tendeiro et al., 2016). Second, we ran paired-samples t tests comparing these careless-responses-index scores among the content items with the gibberish items.

Table 1.  Comparison of Classification Metrics Between Gibberish and Content Responses Using Paired-Samples t  Test
Method M gibberish M content Difference 95% CI t(df = 619) p value Cohen’s d
Standard deviation 0.5 2.0 −1.5 [−1.6, −1.4] −41.1 < .001 −2.23","# Calculation of within-subject indices to identify careless responses 
# (indices also based on the responses of all respondents in the sample 
# will be calculated later, after splitting the data into training and testing)
data_study_1$sd <- careless::irv(data_study_1[,1:16])
data_study_1$longstring <- longstring(data_study_1[,1:16])
data_study_1$personal_relialibity <- careless::evenodd(data_study_1[,1:16], factors = c(4,4,8))
data_study_1$personal_relialibity <- ifelse(is.na(data_study_1$personal_relialibity), 1, data_study_1$personal_relialibity) 
...
# Deleting two respondents who do not have both types of scales,
# so that we can do a paired samples t-test
counts <- table(data_study_1$Participant_ID)
single_row_ids <- names(counts[counts < 2])
filtered_data <- data_study_1[!data_study_1$Participant_ID %in% single_row_ids, ]
filtered_data <- filtered_data %>%
  arrange(Participant_ID, condition)

# Paired t-tests between gibberish and content
t.test(data = filtered_data, sd ~ condition, paired = TRUE)
cohen.d(data = filtered_data, sd ~ condition, paired = TRUE)",match,"The code computes IRV as the within-person standard deviation across the 16 item responses for each row (scale instance) and then uses these values in a paired t-test comparing gibberish vs. content conditions, matching the paper’s description of transformations. The long-format structure with one row per scale type per participant and an indicator for gibberish/content is consistent between the narrative and the code.",,
bloy,1,"In Study 1, a paired-samples t-test compared the standard deviation of item responses between gibberish scales and content scales for the same respondents. The test evaluated whether response variability (within-person SD across items) was lower on gibberish items (M = 0.5) than on meaningful content items (M = 2.0), as an indicator of careless responding patterns. Results showed a large, statistically significant difference, t(619) = -41.1, p < .001, Cohen’s d = -2.23.",Inference Specification,"Table 1.  Comparison of Classification Metrics Between Gibberish and Content Responses Using Paired-Samples t  Test
Method M gibberish M content Difference 95% CI t(df = 619) p value Cohen’s d
Standard deviation 0.5 2.0 −1.5 [−1.6, −1.4] −41.1 < .001 −2.23","# Paired t-tests between gibberish and content
t.test(data = filtered_data, sd ~ condition, paired = TRUE)
cohen.d(data = filtered_data, sd ~ condition, paired = TRUE)",match,"The code uses a paired t-test with default 95% confidence interval and computes Cohen’s d, matching the inferential outputs (t, p, 95% CI, Cohen’s d) reported in the table for this analysis.",,
bloy,2,"In Study 1, a paired-samples t-test compared the long-string index (maximum run of identical responses) between gibberish and content scales within respondents. The analysis tested whether gibberish scales had longer stretches of identical responses (M = 12.5) than content scales (M = 5.0), consistent with straightlining as a form of carelessness. The difference was statistically significant and large, t(619) = 36.6, p < .001, Cohen’s d = 2.02.",Model Specification,"Second, we ran paired-samples t tests comparing these careless-responses-index scores among the content items with the gibberish items.","# Paired t-tests between gibberish and content
t.test(data = filtered_data, sd ~ condition, paired = TRUE)
cohen.d(data = filtered_data, sd ~ condition, paired = TRUE)
t.test(data = filtered_data, longstring ~ condition)#, paired = TRUE)
cohen.d(data = filtered_data, longstring ~ condition, paired = TRUE)",mismatch,"The paper describes a paired-samples t-test for the long-string index, but the corresponding code runs an unpaired t-test for the longstring variable. Thus, the implemented model specification does not fully align with the described analysis.",,
bloy,2,"In Study 1, a paired-samples t-test compared the long-string index (maximum run of identical responses) between gibberish and content scales within respondents. The analysis tested whether gibberish scales had longer stretches of identical responses (M = 12.5) than content scales (M = 5.0), consistent with straightlining as a form of carelessness. The difference was statistically significant and large, t(619) = 36.6, p < .001, Cohen’s d = 2.02.",Variable Specification,"First, we calculated six indexes of careless responses for each row: long string, standard deviation, the correlation between two half scales, Mahalanobis distance by the R package careless (Yentes & Wilhelm, 2021), and two person-fit indices by the  R package PerFit (Tendeiro et al., 2016). Second, we ran paired-samples t tests comparing these careless-responses-index scores among the content items with the gibberish items.
...
Table 1.  Comparison of Classification Metrics Between Gibberish and Content Responses Using Paired-Samples t  Test
Method M gibberish M content Difference 95% CI t(df = 619) p value Cohen’s d
...
Long string 12.5 5.0 7.5 [7.1, 7.9] 36.6 < .001 2.02","# Calculation of within-subject indices to identify careless responses 
# (indices also based on the responses of all respondents in the sample 
# will be calculated later, after splitting the data into training and testing)
data_study_1$sd <- careless::irv(data_study_1[,1:16])
data_study_1$longstring <- longstring(data_study_1[,1:16])
...
# Deleting two respondents who do not have both types of scales,
# so that we can do a paired samples t-test
counts <- table(data_study_1$Participant_ID)
single_row_ids <- names(counts[counts < 2])
filtered_data <- data_study_1[!data_study_1$Participant_ID %in% single_row_ids, ]
filtered_data <- filtered_data %>%
  arrange(Participant_ID, condition)

# Paired t-tests between gibberish and content
...
t.test(data = filtered_data, longstring ~ condition)#, paired = TRUE)
cohen.d(data = filtered_data, longstring ~ condition, paired = TRUE)",match,"The code uses the longstring index as the outcome and the gibberish vs. content condition as the within-subject grouping variable, matching the paper’s description of comparing long-string indices between gibberish and content scales via paired tests. Although the paired flag is commented out in the t-test, the variable roles themselves align with the paper’s specified analysis.",,
bloy,2,"In Study 1, a paired-samples t-test compared the long-string index (maximum run of identical responses) between gibberish and content scales within respondents. The analysis tested whether gibberish scales had longer stretches of identical responses (M = 12.5) than content scales (M = 5.0), consistent with straightlining as a form of carelessness. The difference was statistically significant and large, t(619) = 36.6, p < .001, Cohen’s d = 2.02.",Transformation Specification,"The data set originally contained 32 columns comprising two types of scales: 16 columns with gibberish questions and 16 columns with content questions. We transformed the data into long format by stacking the 32 columns into 16 columns representing the questions and adding a 17th column to indicate whether each row originated from the gibberish or content scale. ... Before conducting these t tests, we removed two respondents who did not have both content and gibberish responses to ensure the analysis included only complete data from all participants.","# Calculation of within-subject indices to identify careless responses 
# (indices also based on the responses of all respondents in the sample 
# will be calculated later, after splitting the data into training and testing)
data_study_1$sd <- careless::irv(data_study_1[,1:16])
data_study_1$longstring <- longstring(data_study_1[,1:16])
data_study_1$personal_relialibity <- careless::evenodd(data_study_1[,1:16], factors = c(4,4,8))
data_study_1$personal_relialibity <- ifelse(is.na(data_study_1$personal_relialibity), 1, data_study_1$personal_relialibity) 
...
# Deleting two respondents who do not have both types of scales,
# so that we can do a paired samples t-test
counts <- table(data_study_1$Participant_ID)
single_row_ids <- names(counts[counts < 2])
filtered_data <- data_study_1[!data_study_1$Participant_ID %in% single_row_ids, ]
filtered_data <- filtered_data %>%
  arrange(Participant_ID, condition)",match,"The code operates on a long-format dataset with 16 item columns and a condition variable and explicitly removes respondents lacking both scale types, consistent with the described transformations in the paper.",,
bloy,2,"In Study 1, a paired-samples t-test compared the long-string index (maximum run of identical responses) between gibberish and content scales within respondents. The analysis tested whether gibberish scales had longer stretches of identical responses (M = 12.5) than content scales (M = 5.0), consistent with straightlining as a form of carelessness. The difference was statistically significant and large, t(619) = 36.6, p < .001, Cohen’s d = 2.02.",Inference Specification,"Table 1.  Comparison of Classification Metrics Between Gibberish and Content Responses Using Paired-Samples t  Test

Method M gibberish M content Difference 95% CI t(df = 619) p value Cohen’s d
...
Long string 12.5 5.0 7.5 [7.1, 7.9] 36.6 < .001 2.02
...

""To evaluate Hypothesis 1, we compared the means of gibberish and content scales across various classification metrics. Table 1 presents the results of the paired-samples t test, indicating significant differences for all examined metrics. Consistent with Hypothesis 1, all measures were significantly different between the gibberish and content scales.""","# Deleting two respondents who do not have both types of scales,
# so that we can do a paired samples t-test
counts <- table(data_study_1$Participant_ID)
single_row_ids <- names(counts[counts < 2])
filtered_data <- data_study_1[!data_study_1$Participant_ID %in% single_row_ids, ]
filtered_data <- filtered_data %>%
  arrange(Participant_ID, condition)

# Paired t-tests between gibberish and content
...
t.test(data = filtered_data, longstring ~ condition)#, paired = TRUE)
cohen.d(data = filtered_data, longstring ~ condition, paired = TRUE)",match,"The paper reports 95% confidence intervals and p-values for a t-test, and the code uses R’s default t.test settings, which produce two-sided p-values and 95% CIs, aligning with those inference criteria. No conflicting alpha level or CI specification appears in either source.",,
bloy,3,"In Study 1, a paired-samples t-test examined differences in Mahalanobis distance between gibberish and content responses for each participant. The goal was to assess whether gibberish responses were, on average, closer or farther from the multivariate mean response pattern than content responses (M_gibberish = 7.5, M_content = 24.5). The test showed that gibberish responses had significantly smaller Mahalanobis distances, t(619) = -21.6, p < .001, Cohen’s d = -1.13.",Model Specification,"Second, we ran paired-samples t tests comparing these careless-responses-index scores among the content items with the gibberish items.

Table 1 presents the results of the paired-samples t test, indicating significant differences for all examined metrics.

Mahalanobis distance 7.5 24.5 −17.0 [−18.6, −15.5] −21.6 < .001 −1.13","# Deleting two respondents who do not have both types of scales,
# so that we can do a paired samples t-test
counts <- table(data_study_1$Participant_ID)
single_row_ids <- names(counts[counts < 2])
filtered_data <- data_study_1[!data_study_1$Participant_ID %in% single_row_ids, ]
filtered_data <- filtered_data %>%
  arrange(Participant_ID, condition)

# Paired t-tests between gibberish and content
t.test(data = filtered_data, sd ~ condition, paired = TRUE)
cohen.d(data = filtered_data, sd ~ condition, paired = TRUE)
t.test(data = filtered_data, longstring ~ condition)#, paired = TRUE)
cohen.d(data = filtered_data, longstring ~ condition, paired = TRUE)
t.test(data = filtered_data, mahalanobis_d ~ condition, paired = TRUE)
cohen.d(data = filtered_data, mahalanobis_d ~ condition, paired = TRUE)
filtered_data$gpoly <- unlist(filtered_data$gpoly); filtered_data$lzpoly <- unlist(filtered_data$lzpoly)
t.test(data = filtered_data, gpoly ~ condition, paired = TRUE)
cohen.d(data = filtered_data, gpoly ~ condition, paired = TRUE)
t.test(data = filtered_data, lzpoly ~ condition, paired = TRUE)
cohen.d(data = filtered_data, lzpoly ~ condition, paired = TRUE)",match,"The code uses a paired-samples t-test to compare Mahalanobis distance between gibberish and content conditions, which aligns with the model specification described in the paper.",,
bloy,3,"In Study 1, a paired-samples t-test examined differences in Mahalanobis distance between gibberish and content responses for each participant. The goal was to assess whether gibberish responses were, on average, closer or farther from the multivariate mean response pattern than content responses (M_gibberish = 7.5, M_content = 24.5). The test showed that gibberish responses had significantly smaller Mahalanobis distances, t(619) = -21.6, p < .001, Cohen’s d = -1.13.",Variable Specification,"“First, we calculated six indexes of careless responses for each row: long string, standard deviation, the correlation between two half scales, Mahalanobis distance by the R package careless (Yentes & Wilhelm, 2021), and two person-fit indices by the R package PerFit (Tendeiro et al., 2016). Second, we ran paired-samples t tests comparing these careless-responses-index scores among the content items with the gibberish items.”

“To evaluate Hypothesis 1, we compared the means of gibberish and content scales across various classification metrics. Table 1 presents the results of the paired-samples t test, indicating significant differences for all examined metrics.”","# Calculating the metrics that were calculated only on the training and test sets again, on the full data

data_study_1$mahalanobis_d <- mahad(data_study_1[, 1:7])
...
# Deleting two respondents who do not have both types of scales,
# so that we can do a paired samples t-test
counts <- table(data_study_1$Participant_ID)
single_row_ids <- names(counts[counts < 2])
filtered_data <- data_study_1[!data_study_1$Participant_ID %in% single_row_ids, ]
filtered_data <- filtered_data %>%
  arrange(Participant_ID, condition)

# Paired t-tests between gibberish and content
...
t.test(data = filtered_data, mahalanobis_d ~ condition, paired = TRUE)
cohen.d(data = filtered_data, mahalanobis_d ~ condition, paired = TRUE)",match,"The code uses Mahalanobis distance as the dependent variable and condition (gibberish vs. content) as the within-subject factor in a paired t-test, consistent with the paper’s description. Thus, the variable roles and specification align between the paper and the implementation.",,
