paper_id,analysis_id,brief_description,dimension,paper_value,code_value,match_status,explanation,paper_evidence,code_evidence
besken,1,"In Experiment 1, a single-factor repeated-measures ANOVA tested whether mean JOL ratings differed across four image pair types (identical, similar, related, unrelated). JOLs varied significantly by pair type, F(3,69) = 24.38, MSE = 133.20, p < .001, ηp² = .51, indicating that participants’ memory predictions were sensitive to the type of relationship between pictures.",Model Specification,"Table 1 shows the mean JOL ratings across the four pair types (identical, similar, related, and unrelated). These means were submitted to a single-factor repeated measures ANOVA and revealed significantly different JOLs for each pair type, F(3, 69) = 24.38, MSE = 133.20, p < .001, ηp2 = .51.","#-------------------------------E1 JOL--------------------------------------------------
...

b1<- ezANOVA(data = s1,
             dv = mean_conf,
             wid = Subject,
             within = .(type_correct),
             #between = .(bias),
             type = 2,
             return_aov = FALSE,
             detailed = T) %>%
  get_pes() %>% select(Effect,DFn,DFd,SSd,F,p,pes) %>% filter(Effect!='(Intercept)') %>%
  mutate_if(is.double,round,4) %>% pastey() %>% print()",match,"The code implements a single-factor repeated-measures ANOVA on JOLs across image pair types, consistent with the paper’s description.",,
besken,1,"In Experiment 1, a single-factor repeated-measures ANOVA tested whether mean JOL ratings differed across four image pair types (identical, similar, related, unrelated). JOLs varied significantly by pair type, F(3,69) = 24.38, MSE = 133.20, p < .001, ηp² = .51, indicating that participants’ memory predictions were sensitive to the type of relationship between pictures.",Variable Specification,"The experiment was designed as a within-subject study with four levels of pair types: identical, similar, related, and unrelated.

Table 1 shows the mean JOL ratings across the four pair types (identical, similar, related, and unrelated). These means were submitted to a single-factor repeated measures ANOVA and revealed significantly different JOLs for each pair type, F(3, 69) = 24.38, MSE = 133.20, p < .001, ηp2 = .51.","#-------------------------------E1 JOL--------------------------------------------------
##	Exclude: Incorrect encoding trials,No response in JOLs, Response out of 1-100 range
####data cleaning
initial_trials <- nrow(d1)  # Initial total number of trials

d1 <- d1%>% filter(confidence.RESP!="""")
excluded_trials1 <- initial_trials - nrow(d1)  # Excluded trials after removing NA responses
#there is no trials to exclude


b1<- ezANOVA(data = s1,
             dv = mean_conf,
             wid = Subject,
             within = .(type_correct),
             #between = .(bias),
             type = 2,
             return_aov = FALSE,
             detailed = T) %>%
  get_pes() %>% select(Effect,DFn,DFd,SSd,F,p,pes) %>% filter(Effect!='(Intercept)') %>%
  mutate_if(is.double,round,4) %>% pastey() %>% print()
",match,"The code uses mean_conf as the dependent variable and type_correct as the within-subject factor, matching the paper’s description of mean JOL ratings analyzed across four within-subject pair types. Subject is specified as the repeated-measures identifier, consistent with the within-subject ANOVA reported in the paper.",,
besken,1,"In Experiment 1, a single-factor repeated-measures ANOVA tested whether mean JOL ratings differed across four image pair types (identical, similar, related, unrelated). JOLs varied significantly by pair type, F(3,69) = 24.38, MSE = 133.20, p < .001, ηp² = .51, indicating that participants’ memory predictions were sensitive to the type of relationship between pictures.",Transformation Specification,"Table 1 shows the mean JOL ratings across the four pair types (identical, similar, related, and unrelated). These means were submitted to a single-factor repeated measures ANOVA and revealed significantly different JOLs for each pair type, F(3, 69) = 24.38, MSE = 133.20, p < .001, ηp2 = .51.","d1<- read.csv(file='identical-exp1.csv')
d1<- d1[, c(-13)]

##Experiment 1
# ANOVA ANALYSES #

###-----------------------Test Accuracy------------------------------
#---------------
s1<- d1 %>% group_by(Subject,type_correct) %>%
  summarise(mean_test_acc=mean(test_Slide2.ACC == 1), mean_conf = mean(confidence.RESP))

#-------------------------------E1 JOL--------------------------------------------------
##	Exclude: Incorrect encoding trials,No response in JOLs, Response out of 1-100 range
####data cleaning
initial_trials <- nrow(d1)  # Initial total number of trials

d1 <- d1%>% filter(confidence.RESP!="""")
excluded_trials1 <- initial_trials - nrow(d1)  # Excluded trials after removing NA responses
#there is no trials to exclude


b1<- ezANOVA(data = s1,
             dv = mean_conf,
             wid = Subject,
             within = .(type_correct),
             #between = .(bias),
             type = 2,
             return_aov = FALSE,
             detailed = T) %>%
  get_pes() %>% select(Effect,DFn,DFd,SSd,F,p,pes) %>% filter(Effect!='(Intercept)') %>%
  mutate_if(is.double,round,4) %>% pastey() %>% print()",unknown,,,
besken,1,"In Experiment 1, a single-factor repeated-measures ANOVA tested whether mean JOL ratings differed across four image pair types (identical, similar, related, unrelated). JOLs varied significantly by pair type, F(3,69) = 24.38, MSE = 133.20, p < .001, ηp² = .51, indicating that participants’ memory predictions were sensitive to the type of relationship between pictures.",Inference Specification,"For all analyses, the alpha level was set at .05. For all pairwise comparisons, Bonferroni correction was used.","#-------------------------------E1 JOL--------------------------------------------------
##	Exclude: Incorrect encoding trials,No response in JOLs, Response out of 1-100 range
####data cleaning
initial_trials <- nrow(d1)  # Initial total number of trials

d1 <- d1%>% filter(confidence.RESP!="""")
excluded_trials1 <- initial_trials - nrow(d1)  # Excluded trials after removing NA responses
#there is no trials to exclude


b1<- ezANOVA(data = s1,
             dv = mean_conf,
             wid = Subject,
             within = .(type_correct),
             #between = .(bias),
             type = 2,
             return_aov = FALSE,
             detailed = T) %>%
  get_pes() %>% select(Effect,DFn,DFd,SSd,F,p,pes) %>% filter(Effect!='(Intercept)') %>%
  mutate_if(is.double,round,4) %>% pastey() %>% print()

mse1 = b1$SSd/b1$DFd

mse1


s1 %>% ungroup () %>%
  t_test(mean_conf~type_correct,paired = T,var.equal = T , 
         p.adjust.method = ""bonferroni"") %>% print()",match,"The paper specifies α = .05 and Bonferroni correction for pairwise comparisons, and the code implements an ANOVA with standard p-values and paired t-tests using Bonferroni-adjusted p-values, consistent with this inference specification. There is no conflicting alpha specification in the code.",,
besken,2,"In Experiment 1, a Bonferroni-corrected paired-samples t-test compared mean JOLs for identical versus similar image pairs. Identical pairs received significantly higher JOLs than similar pairs, t(23) = 5.18, d = 1.06, p < .001, indicating an identical-effect-like inflation of predicted memory relative to similar exemplars.",Model Specification,"Pairwise comparisons for each pair type demonstrated that identical pairs received significantly higher JOL ratings than similar and unrelated pairs [ identical versus similar: t(23) = 5.18, d = 1.06, p < .001; identical versus unrelated: t(23) = 5.74,d= 1.17,p < .001], but did not significantly differ from related pairs, t(23) = 2.51, d = 0.51, p = .116.","#-------------------------------E1 JOL--------------------------------------------------
...

b1<- ezANOVA(data = s1,
             dv = mean_conf,
             wid = Subject,
             within = .(type_correct),
             #between = .(bias),
             type = 2,
             return_aov = FALSE,
             detailed = T) %>%
  get_pes() %>% select(Effect,DFn,DFd,SSd,F,p,pes) %>% filter(Effect!='(Intercept)') %>%
  mutate_if(is.double,round,4) %>% pastey() %>% print()
...

s1 %>% ungroup () %>%
  t_test(mean_conf~type_correct,paired = T,var.equal = T , 
         p.adjust.method = ""bonferroni"") %>% print()",match,"The paper describes Bonferroni-corrected paired-samples t-tests comparing JOLs across pair types, and the code implements paired t-tests with Bonferroni adjustment for the same factors. This aligns with the specified model type for the analysis-dimension pairing.",,
besken,2,"In Experiment 1, a Bonferroni-corrected paired-samples t-test compared mean JOLs for identical versus similar image pairs. Identical pairs received significantly higher JOLs than similar pairs, t(23) = 5.18, d = 1.06, p < .001, indicating an identical-effect-like inflation of predicted memory relative to similar exemplars.",Variable Specification,"Table 1 shows the mean JOL ratings across the four pair types (identical, similar, related, and unrelated). These means were submitted to a single-factor repeated measures ANOVA and revealed significantly different JOLs for each pair type, F(3, 69) = 24.38, MSE = 133.20, p < .001, ηp2 = .51. Pairwise comparisons for each pair type demonstrated that identical pairs received significantly higher JOL ratings than similar and unrelated pairs [ identical versus similar: t (23) = 5.18, d = 1.06, p < .001; identical versus unrelated: t(23) = 5.74,d= 1.17,p < .001], but did not significantly differ from related pairs, t(23) = 2.51, d = 0.51, p = .116. JOLs for similar and related pairs did not significantly differ from each other, t(23) = 2.67, d = 0.55, p = .082.","s1<- d1 %>% group_by(Subject,type_correct) %>%
  summarise(mean_test_acc=mean(test_Slide2.ACC == 1), mean_conf = mean(confidence.RESP))
...

#-------------------------------E1 JOL--------------------------------------------------
...

b1<- ezANOVA(data = s1,
             dv = mean_conf,
             wid = Subject,
             within = .(type_correct),
             #between = .(bias),
             type = 2,
             return_aov = FALSE,
             detailed = T) %>%
  get_pes() %>% select(Effect,DFn,DFd,SSd,F,p,pes) %>% filter(Effect!='(Intercept)') %>%
  mutate_if(is.double,round,4) %>% pastey() %>% print()
...

s1 %>% ungroup () %>%
  t_test(mean_conf~type_correct,paired = T,var.equal = T , 
         p.adjust.method = ""bonferroni"") %>% print()

s1 %>% ungroup () %>%
  cohens_d(mean_conf~type_correct,paired = T,
           var.equal = T) %>% print()",match,"The code uses mean_conf (mean confidence/JOL rating) as the dependent variable and type_correct (pair type) as the within-subject factor, consistent with the paper’s analysis of JOL ratings across identical vs. similar (and other) pair types. Thus, the variables and their roles in the analysis align between the paper and the code.",,
besken,2,"In Experiment 1, a Bonferroni-corrected paired-samples t-test compared mean JOLs for identical versus similar image pairs. Identical pairs received significantly higher JOLs than similar pairs, t(23) = 5.18, d = 1.06, p < .001, indicating an identical-effect-like inflation of predicted memory relative to similar exemplars.",Transformation Specification,"Table 1 shows the mean JOL ratings across the four pair types (identical, similar, related, and unrelated). These means were submitted to a single-factor repeated measures ANOVA and revealed significantly different JOLs for each pair type, F(3, 69) = 24.38, MSE = 133.20, p < .001, ηp2 = .51. Pairwise comparisons for each pair type demonstrated that identical pairs received significantly higher JOL ratings than similar and unrelated pairs [ identical versus similar: t (23) = 5.18, d = 1.06, p < .001; identical versus unrelated: t(23) = 5.74,d= 1.17,p < .001] ...","s1<- d1 %>% group_by(Subject,type_correct) %>%
  summarise(mean_test_acc=mean(test_Slide2.ACC == 1), mean_conf = mean(confidence.RESP))

#-------------------------------E1 JOL--------------------------------------------------
##	Exclude: Incorrect encoding trials,No response in JOLs, Response out of 1-100 range
####data cleaning
initial_trials <- nrow(d1)  # Initial total number of trials


d1 <- d1%>% filter(confidence.RESP!="""")
excluded_trials1 <- initial_trials - nrow(d1)  # Excluded trials after removing NA responses
#there is no trials to exclude


b1<- ezANOVA(data = s1,
             dv = mean_conf,
             wid = Subject,
             within = .(type_correct),
             #between = .(bias),
             type = 2,
             return_aov = FALSE,
             detailed = T) %>%
  get_pes() %>% select(Effect,DFn,DFd,SSd,F,p,pes) %>% filter(Effect!='(Intercept)') %>%
  mutate_if(is.double,round,4) %>% pastey() %>% print()

mse1 = b1$SSd/b1$DFd

mse1


s1 %>% ungroup () %>%
  t_test(mean_conf~type_correct,paired = T,var.equal = T , 
         p.adjust.method = ""bonferroni"") %>% print()

s1 %>% ungroup () %>%
  cohens_d(mean_conf~type_correct,paired = T,
           var.equal = T) %>% print()",match,"The code computes per-subject mean JOL ratings by pair type and then uses these means in a Bonferroni-corrected paired-samples t-test, which aligns with the paper’s description of comparing mean JOLs for identical versus similar image pairs. Although the code comments mention additional exclusions, the implemented transformation (averaging JOLs by subject and pair type) matches the transformation implied in the paper for this analysis.",,
besken,2,"In Experiment 1, a Bonferroni-corrected paired-samples t-test compared mean JOLs for identical versus similar image pairs. Identical pairs received significantly higher JOLs than similar pairs, t(23) = 5.18, d = 1.06, p < .001, indicating an identical-effect-like inflation of predicted memory relative to similar exemplars.",Inference Specification,"For all analyses, the alpha level was set at .05. For all pairwise comparisons, Bonferroni correction was used.","s1 %>% ungroup () %>%
  t_test(mean_conf~type_correct,paired = T,var.equal = T , 
         p.adjust.method = ""bonferroni"") %>% print()",match,"The code conducts a paired-samples t-test with Bonferroni correction, consistent with the paper’s stated use of Bonferroni-corrected pairwise comparisons at alpha .05. No conflicting inference criteria are evident between the paper and code for this analysis.",,
besken,3,"In Experiment 1, a Bonferroni-corrected paired-samples t-test compared JOLs for identical versus unrelated image pairs. Identical pairs elicited significantly higher JOLs than unrelated pairs, t(23) = 5.74, d = 1.17, p < .001, showing that participants strongly expected better memory for identical images than for conceptually and perceptually dissimilar ones.",Model Specification,"Table 1 shows the mean JOL ratings across the four pair types (identical, similar, related, and unrelated). These means were submitted to a single-factor repeated measures ANOVA and revealed significantly different JOLs for each pair type, F(3, 69) = 24.38, MSE = 133.20, p < .001, ηp2 = .51. Pairwise comparisons for each pair type demonstrated that identical pairs received significantly higher JOL ratings than similar and unrelated pairs [ identical versus similar: t (23) = 5.18, d = 1.06, p < .001; identical versus unrelated: t(23) = 5.74,d= 1.17,p < .001], but did not significantly differ from related pairs, t(23) = 2.51, d = 0.51, p = .116.","b1<- ezANOVA(data = s1,
             dv = mean_conf,
             wid = Subject,
             within = .(type_correct),
             #between = .(bias),
             type = 2,
             return_aov = FALSE,
             detailed = T) %>%
  get_pes() %>% select(Effect,DFn,DFd,SSd,F,p,pes) %>% filter(Effect!='(Intercept)') %>%
  mutate_if(is.double,round,4) %>% pastey() %>% print()
...

s1 %>% ungroup () %>%
  t_test(mean_conf~type_correct,paired = T,var.equal = T , 
         p.adjust.method = ""bonferroni"") %>% print()",match,"The code implements a single-factor repeated-measures ANOVA followed by Bonferroni-corrected paired t-tests, which matches the model specification described in the paper for comparing JOLs across pair types, including identical vs. unrelated pairs.",,
besken,3,"In Experiment 1, a Bonferroni-corrected paired-samples t-test compared JOLs for identical versus unrelated image pairs. Identical pairs elicited significantly higher JOLs than unrelated pairs, t(23) = 5.74, d = 1.17, p < .001, showing that participants strongly expected better memory for identical images than for conceptually and perceptually dissimilar ones.",Variable Specification,"Table 1 shows the mean JOL ratings across the four pair types (identical, similar, related, and unrelated). These means were submitted to a single-factor repeated measures ANOVA and revealed significantly different JOLs for each pair type, F(3, 69) = 24.38, MSE = 133.20, p < .001, ηp2 = .51. Pairwise comparisons for each pair type demonstrated that identical pairs received significantly higher JOL ratings than similar and unrelated pairs [ identical versus similar: t (23) = 5.18, d = 1.06, p < .001; identical versus unrelated: t(23) = 5.74, d = 1.17, p < .001], but did not significantly differ from related pairs, t(23) = 2.51, d = 0.51, p = .116.","s1<- d1 %>% group_by(Subject,type_correct) %>%
  summarise(mean_test_acc=mean(test_Slide2.ACC == 1), mean_conf = mean(confidence.RESP))
...

b1<- ezANOVA(data = s1,
             dv = mean_conf,
             wid = Subject,
             within = .(type_correct),
             #between = .(bias),
             type = 2,
             return_aov = FALSE,
             detailed = T) %>%
  get_pes() %>% select(Effect,DFn,DFd,SSd,F,p,pes) %>% filter(Effect!='(Intercept)') %>%
  mutate_if(is.double,round,4) %>% pastey() %>% print()
...

s1 %>% ungroup () %>%
  t_test(mean_conf~type_correct,paired = T,var.equal = T , 
         p.adjust.method = ""bonferroni"") %>% print()",match,"The paper describes JOL ratings as the dependent variable and pair type (identical, similar, related, unrelated) as a within-subject factor, and the code uses mean_conf (from confidence.RESP) as the dependent variable and type_correct as the within-subject factor for the ANOVA and paired t-tests. Thus, the variables and their roles in the analysis correspond between the paper and the code.",,
