analysis_id,dimension,human_manuscript_content,human_manuscript_location,human_code_content,human_code_location,human_match_judgement,codebot_brief_description,codebot_manuscript_content,codebot_manuscript_location,codebot_code_content,codebot_code_location,codebot_match_judgement,codebot_human_agreement
1,model specification,"The relationship between imagery abilities
and trauma outcome was assessed using a linear
regression with object (OSIQ Object [OSIQ-O] subscale)
and spatial imagery (OSIQ Spatial [OSIQ-S] subscale) as
mean-centered predictors and PTSD symptoms (IES-R) as
the outcome. We controlled for depression symptoms
(PHQ-9; mean-centered) and gender because of their
well-known associations with both imagery (Holmes et al.,
2016; Ji et al., 2019) and PTSD symptoms (Olff et al.,
2007). We included interaction terms with gender to assess
the degree to which gender moderates the relationship
between imagery and PTSD symptoms (n = 792 because
14 participants declined to indicate gender).",0,"### full model
mod_ies_phq_osivq_gender <- 
  df_master_mod %>% 
  lm(ies_recent_total ~ phq_total_cen + gender_flup_clean +
       osiq_o_cen*gender_flup_clean + osiq_s_cen*gender_flup_clean,
     data = .)",OSIQ-PTSD_Study1_Rev1_OSF.qmd:987-992,1,"In Study 1, a multiple linear regression was run with PTSD symptoms (IES-R total) as the dependent variable and mean-centered depression symptoms (PHQ-9), gender (men vs. women), trait object imagery (OSIQ-O), trait spatial imagery (OSIQ-S), and the OSIQ-O × gender and OSIQ-S × gender interaction terms as predictors (n = 792). Object imagery showed a significant positive association (B = 4.05, β = 0.18, p = .004), spatial imagery showed a significant negative association (B = −3.21, β = −0.13, p = .04), PHQ-9 was strongly positive (B = 1.07, β = 0.36, p < .001), and the model explained 18% of the variance in PTSD symptoms (R² = .18).",The relationship between imagery abilities and trauma outcome was assessed using a linear regression with object (OSIQ Object [OSIQ-O] subscale) and spatial imagery (OSIQ Spatial [OSIQ-S] subscale) as mean-centered predictors and PTSD symptoms (IES-R) as the outcome.,,"### null model
mod_null <-
  df_master_mod %>% 
  lm(ies_recent_total ~ 1,
     data = .)

### full model
mod_ies_phq_osivq_gender <- 
  df_master_mod %>% 
  lm(ies_recent_total ~ phq_total_cen + gender_flup_clean +
       osiq_o_cen*gender_flup_clean + osiq_s_cen*gender_flup_clean,
     data = .)

### regression table
tab_model(
  mod_ies_phq_osivq_gender,
  show.std = TRUE, show.se = TRUE, 
  p.style = ""numeric_stars""
  )",,1,1
1,variable specification,"The relationship between imagery abilities
and trauma outcome was assessed using a linear
regression with object (OSIQ Object [OSIQ-O] subscale)
and spatial imagery (OSIQ Spatial [OSIQ-S] subscale) as
mean-centered predictors and PTSD symptoms (IES-R) as
the outcome. We controlled for depression symptoms
(PHQ-9; mean-centered) and gender because of their
well-known associations with both imagery (Holmes et al.,
2016; Ji et al., 2019) and PTSD symptoms (Olff et al.,
2007). We included interaction terms with gender to assess
the degree to which gender moderates the relationship
between imagery and PTSD symptoms (n = 792 because
14 participants declined to indicate gender).",0,"### full model
mod_ies_phq_osivq_gender <- 
  df_master_mod %>% 
  lm(ies_recent_total ~ phq_total_cen + gender_flup_clean +
       osiq_o_cen*gender_flup_clean + osiq_s_cen*gender_flup_clean,
     data = .)",OSIQ-PTSD_Study1_Rev1_OSF.qmd:987-992,1,"In Study 1, a multiple linear regression was run with PTSD symptoms (IES-R total) as the dependent variable and mean-centered depression symptoms (PHQ-9), gender (men vs. women), trait object imagery (OSIQ-O), trait spatial imagery (OSIQ-S), and the OSIQ-O × gender and OSIQ-S × gender interaction terms as predictors (n = 792). Object imagery showed a significant positive association (B = 4.05, β = 0.18, p = .004), spatial imagery showed a significant negative association (B = −3.21, β = −0.13, p = .04), PHQ-9 was strongly positive (B = 1.07, β = 0.36, p < .001), and the model explained 18% of the variance in PTSD symptoms (R² = .18).","Data analysis. The relationship between imagery abilities and trauma outcome was assessed using a linear regression with object (OSIQ Object [OSIQ-O] subscale) and spatial imagery (OSIQ Spatial [OSIQ-S] subscale) as mean-centered predictors and PTSD symptoms (IES-R) as the outcome. We controlled for depression symptoms (PHQ-9; mean-centered) and gender because of their well-known associations with both imagery (Holmes et al., 2016; Ji et al., 2019) and PTSD symptoms (Olff et al., 2007). We included interaction terms with gender to assess the degree to which gender moderates the relationship between imagery and PTSD symptoms (n = 792 because 14 participants declined to indicate gender).",,"### subset with ies-r, phq, osiq, and gender (men or women) data
df_master_mod <-
  df_master %>% 
  filter(
    !is.na(ies_recent_total), !is.na(phq_total_cen),
    !is.na(osiq_o_cen), !is.na(osiq_s_cen),
    !gender_flup_clean == ""Other/Prefer not to answer"",
    )

### null model
mod_null <-
  df_master_mod %>% 
  lm(ies_recent_total ~ 1,
     data = .)

### full model
mod_ies_phq_osivq_gender <- 
  df_master_mod %>% 
  lm(ies_recent_total ~ phq_total_cen + gender_flup_clean +
       osiq_o_cen*gender_flup_clean + osiq_s_cen*gender_flup_clean,
     data = .)",,1,1
1,transformation,"The relationship between imagery abilities
and trauma outcome was assessed using a linear
regression with object (OSIQ Object [OSIQ-O] subscale)
and spatial imagery (OSIQ Spatial [OSIQ-S] subscale) as
mean-centered predictors and PTSD symptoms (IES-R) as
the outcome. We controlled for depression symptoms
(PHQ-9; mean-centered) and gender because of their
well-known associations with both imagery (Holmes et al.,
2016; Ji et al., 2019) and PTSD symptoms (Olff et al.,
2007). We included interaction terms with gender to assess
the degree to which gender moderates the relationship
between imagery and PTSD symptoms (n = 792 because
14 participants declined to indicate gender).",0,"df_master <-
  df_master %>% 
  mutate(
    ### osiq_o
    osiq_o_cen = scale(osiq_o, scale = FALSE),",OSIQ-PTSD_Study1_Rev1_OSF.qmd:411-415,1,"In Study 1, a multiple linear regression was run with PTSD symptoms (IES-R total) as the dependent variable and mean-centered depression symptoms (PHQ-9), gender (men vs. women), trait object imagery (OSIQ-O), trait spatial imagery (OSIQ-S), and the OSIQ-O × gender and OSIQ-S × gender interaction terms as predictors (n = 792). Object imagery showed a significant positive association (B = 4.05, β = 0.18, p = .004), spatial imagery showed a significant negative association (B = −3.21, β = −0.13, p = .04), PHQ-9 was strongly positive (B = 1.07, β = 0.36, p < .001), and the model explained 18% of the variance in PTSD symptoms (R² = .18).","The relationship between imagery abilities and trauma outcome was assessed using a linear regression with object (OSIQ Object [OSIQ-O] subscale) and spatial imagery (OSIQ Spatial [OSIQ-S] subscale) as mean-centered predictors and PTSD symptoms (IES-R) as the outcome. ... We controlled for depression symptoms (PHQ-9; mean-centered) and gender because of their well-known associations with both imagery (Holmes et al., 2016; Ji et al., 2019) and PTSD symptoms (Olff et al., 2007). ... Note: Outcome is Impact of Event Scale–Revised score. R2 = .18, n = 792. Continuous predictors (PHQ-9, OSIQ-O, OSIQ-S) were mean-centered.",,"### center numeric predictors in later regression models
df_master <-
  df_master %>% 
  mutate(
    ### osiq_o
    osiq_o_cen = scale(osiq_o, scale = FALSE),
    osiq_o_drop_cen = scale(osiq_o_drop, scale = FALSE),
    ### osiq_s
    osiq_s_cen = scale(osiq_s, scale = FALSE),
    ### osivq_v
    osivq_v_cen = scale(osivq_v, scale = FALSE),
    ### phq_total
    phq_total_cen = scale(phq_total, scale = FALSE),
    ### osiq diff score
    osiq_diff_o_s_cen = scale(osiq_diff_o_s, scale = FALSE),
    ### age
    age_flup_cen = scale(age_flup, scale = FALSE),
    ### pte_exposure_count
    pte_exposure_count_cen = scale(pte_exposure_count, scale = FALSE),
    ### grammatical reasoning
    final_score_raw_gr_cen = scale(final_score_raw_gr, scale = FALSE),
    ### odd-one-out
    final_score_raw_oo_cen = scale(final_score_raw_oo, scale = FALSE),
    ### paired associates
    avg_score_raw_pa_cen = scale(avg_score_raw_pa, scale = FALSE),
    ### mental rotation
    final_score_raw_ro_cen = scale(final_score_raw_ro, scale = FALSE),
    ### education
    edu_flup_cen = scale(edu_flup, scale = FALSE),
    )",,1,1
1,variable specification,"The relationship between imagery abilities
and trauma outcome was assessed using a linear
regression with object (OSIQ Object [OSIQ-O] subscale)
and spatial imagery (OSIQ Spatial [OSIQ-S] subscale) as
mean-centered predictors and PTSD symptoms (IES-R) as
the outcome. We controlled for depression symptoms
(PHQ-9; mean-centered) and gender because of their
well-known associations with both imagery (Holmes et al.,
2016; Ji et al., 2019) and PTSD symptoms (Olff et al.,
2007). We included interaction terms with gender to assess
the degree to which gender moderates the relationship
between imagery and PTSD symptoms (n = 792 because
14 participants declined to indicate gender).",0,"### full model
mod_ies_phq_osivq_gender <- 
  df_master_mod %>% 
  lm(ies_recent_total ~ phq_total_cen + gender_flup_clean +
       osiq_o_cen*gender_flup_clean + osiq_s_cen*gender_flup_clean,
     data = .)",OSIQ-PTSD_Study1_Rev1_OSF.qmd:987-992,1,"In Study 1, a multiple linear regression was run with PTSD symptoms (IES-R total) as the dependent variable and mean-centered depression symptoms (PHQ-9), gender (men vs. women), trait object imagery (OSIQ-O), trait spatial imagery (OSIQ-S), and the OSIQ-O × gender and OSIQ-S × gender interaction terms as predictors (n = 792). Object imagery showed a significant positive association (B = 4.05, β = 0.18, p = .004), spatial imagery showed a significant negative association (B = −3.21, β = −0.13, p = .04), PHQ-9 was strongly positive (B = 1.07, β = 0.36, p < .001), and the model explained 18% of the variance in PTSD symptoms (R² = .18).","Data analysis. The relationship between imagery abilities and trauma outcome was assessed using a linear regression with object (OSIQ Object [OSIQ-O] subscale) and spatial imagery (OSIQ Spatial [OSIQ-S] subscale) as mean-centered predictors and PTSD symptoms (IES-R) as the outcome. We controlled for depression symptoms (PHQ-9; mean-centered) and gender because of their well-known associations with both imagery (Holmes et al., 2016; Ji et al., 2019) and PTSD symptoms (Olff et al., 2007). We included interaction terms with gender to assess the degree to which gender moderates the relationship between imagery and PTSD symptoms (n = 792 because 14 participants declined to indicate gender).",,"### subset with ies-r, phq, osiq, and gender (men or women) data
df_master_mod <-
  df_master %>% 
  filter(
    !is.na(ies_recent_total), !is.na(phq_total_cen),
    !is.na(osiq_o_cen), !is.na(osiq_s_cen),
    !gender_flup_clean == ""Other/Prefer not to answer"",
    )

### null model
mod_null <-
  df_master_mod %>% 
  lm(ies_recent_total ~ 1,
     data = .)

### full model
mod_ies_phq_osivq_gender <- 
  df_master_mod %>% 
  lm(ies_recent_total ~ phq_total_cen + gender_flup_clean +
       osiq_o_cen*gender_flup_clean + osiq_s_cen*gender_flup_clean,
     data = .)",,1,1
1,transformation,"The relationship between imagery abilities
and trauma outcome was assessed using a linear
regression with object (OSIQ Object [OSIQ-O] subscale)
and spatial imagery (OSIQ Spatial [OSIQ-S] subscale) as
mean-centered predictors and PTSD symptoms (IES-R) as
the outcome. We controlled for depression symptoms
(PHQ-9; mean-centered) and gender because of their
well-known associations with both imagery (Holmes et al.,
2016; Ji et al., 2019) and PTSD symptoms (Olff et al.,
2007). We included interaction terms with gender to assess
the degree to which gender moderates the relationship
between imagery and PTSD symptoms (n = 792 because
14 participants declined to indicate gender).",0,"df_master <-
  df_master %>% 
  mutate(
    ### osiq_o
    osiq_o_cen = scale(osiq_o, scale = FALSE),
    osiq_o_drop_cen = scale(osiq_o_drop, scale = FALSE),
    ### osiq_s
    osiq_s_cen = scale(osiq_s, scale = FALSE),",OSIQ-PTSD_Study1_Rev1_OSF.qmd:411-418,1,"In Study 1, a multiple linear regression was run with PTSD symptoms (IES-R total) as the dependent variable and mean-centered depression symptoms (PHQ-9), gender (men vs. women), trait object imagery (OSIQ-O), trait spatial imagery (OSIQ-S), and the OSIQ-O × gender and OSIQ-S × gender interaction terms as predictors (n = 792). Object imagery showed a significant positive association (B = 4.05, β = 0.18, p = .004), spatial imagery showed a significant negative association (B = −3.21, β = −0.13, p = .04), PHQ-9 was strongly positive (B = 1.07, β = 0.36, p < .001), and the model explained 18% of the variance in PTSD symptoms (R² = .18).","The relationship between imagery abilities and trauma outcome was assessed using a linear regression with object (OSIQ Object [OSIQ-O] subscale) and spatial imagery (OSIQ Spatial [OSIQ-S] subscale) as mean-centered predictors and PTSD symptoms (IES-R) as the outcome. ... We controlled for depression symptoms (PHQ-9; mean-centered) and gender because of their well-known associations with both imagery (Holmes et al., 2016; Ji et al., 2019) and PTSD symptoms (Olff et al., 2007). ... Note: Outcome is Impact of Event Scale–Revised score. R2 = .18, n = 792. Continuous predictors (PHQ-9, OSIQ-O, OSIQ-S) were mean-centered.",,"### center numeric predictors in later regression models
df_master <-
  df_master %>% 
  mutate(
    ### osiq_o
    osiq_o_cen = scale(osiq_o, scale = FALSE),
    osiq_o_drop_cen = scale(osiq_o_drop, scale = FALSE),
    ### osiq_s
    osiq_s_cen = scale(osiq_s, scale = FALSE),
    ### osivq_v
    osivq_v_cen = scale(osivq_v, scale = FALSE),
    ### phq_total
    phq_total_cen = scale(phq_total, scale = FALSE),
    ### osiq diff score
    osiq_diff_o_s_cen = scale(osiq_diff_o_s, scale = FALSE),
    ### age
    age_flup_cen = scale(age_flup, scale = FALSE),
    ### pte_exposure_count
    pte_exposure_count_cen = scale(pte_exposure_count, scale = FALSE),
    ### grammatical reasoning
    final_score_raw_gr_cen = scale(final_score_raw_gr, scale = FALSE),
    ### odd-one-out
    final_score_raw_oo_cen = scale(final_score_raw_oo, scale = FALSE),
    ### paired associates
    avg_score_raw_pa_cen = scale(avg_score_raw_pa, scale = FALSE),
    ### mental rotation
    final_score_raw_ro_cen = scale(final_score_raw_ro, scale = FALSE),
    ### education
    edu_flup_cen = scale(edu_flup, scale = FALSE),
    )",,1,1
1,variable specification,"The relationship between imagery abilities
and trauma outcome was assessed using a linear
regression with object (OSIQ Object [OSIQ-O] subscale)
and spatial imagery (OSIQ Spatial [OSIQ-S] subscale) as
mean-centered predictors and PTSD symptoms (IES-R) as
the outcome. We controlled for depression symptoms
(PHQ-9; mean-centered) and gender because of their
well-known associations with both imagery (Holmes et al.,
2016; Ji et al., 2019) and PTSD symptoms (Olff et al.,
2007). We included interaction terms with gender to assess
the degree to which gender moderates the relationship
between imagery and PTSD symptoms (n = 792 because
14 participants declined to indicate gender).",0,"### full model
mod_ies_phq_osivq_gender <- 
  df_master_mod %>% 
  lm(ies_recent_total ~ phq_total_cen + gender_flup_clean +
       osiq_o_cen*gender_flup_clean + osiq_s_cen*gender_flup_clean,
     data = .)",OSIQ-PTSD_Study1_Rev1_OSF.qmd:987-992,0,"In Study 1, a multiple linear regression was run with PTSD symptoms (IES-R total) as the dependent variable and mean-centered depression symptoms (PHQ-9), gender (men vs. women), trait object imagery (OSIQ-O), trait spatial imagery (OSIQ-S), and the OSIQ-O × gender and OSIQ-S × gender interaction terms as predictors (n = 792). Object imagery showed a significant positive association (B = 4.05, β = 0.18, p = .004), spatial imagery showed a significant negative association (B = −3.21, β = −0.13, p = .04), PHQ-9 was strongly positive (B = 1.07, β = 0.36, p < .001), and the model explained 18% of the variance in PTSD symptoms (R² = .18).","Data analysis. The relationship between imagery abilities and trauma outcome was assessed using a linear regression with object (OSIQ Object [OSIQ-O] subscale) and spatial imagery (OSIQ Spatial [OSIQ-S] subscale) as mean-centered predictors and PTSD symptoms (IES-R) as the outcome. We controlled for depression symptoms (PHQ-9; mean-centered) and gender because of their well-known associations with both imagery (Holmes et al., 2016; Ji et al., 2019) and PTSD symptoms (Olff et al., 2007). We included interaction terms with gender to assess the degree to which gender moderates the relationship between imagery and PTSD symptoms (n = 792 because 14 participants declined to indicate gender).",,"### subset with ies-r, phq, osiq, and gender (men or women) data
df_master_mod <-
  df_master %>% 
  filter(
    !is.na(ies_recent_total), !is.na(phq_total_cen),
    !is.na(osiq_o_cen), !is.na(osiq_s_cen),
    !gender_flup_clean == ""Other/Prefer not to answer"",
    )

### null model
mod_null <-
  df_master_mod %>% 
  lm(ies_recent_total ~ 1,
     data = .)

### full model
mod_ies_phq_osivq_gender <- 
  df_master_mod %>% 
  lm(ies_recent_total ~ phq_total_cen + gender_flup_clean +
       osiq_o_cen*gender_flup_clean + osiq_s_cen*gender_flup_clean,
     data = .)",,1,0
1,transformation,,,,,,"In Study 1, a multiple linear regression was run with PTSD symptoms (IES-R total) as the dependent variable and mean-centered depression symptoms (PHQ-9), gender (men vs. women), trait object imagery (OSIQ-O), trait spatial imagery (OSIQ-S), and the OSIQ-O × gender and OSIQ-S × gender interaction terms as predictors (n = 792). Object imagery showed a significant positive association (B = 4.05, β = 0.18, p = .004), spatial imagery showed a significant negative association (B = −3.21, β = −0.13, p = .04), PHQ-9 was strongly positive (B = 1.07, β = 0.36, p < .001), and the model explained 18% of the variance in PTSD symptoms (R² = .18).","The relationship between imagery abilities and trauma outcome was assessed using a linear regression with object (OSIQ Object [OSIQ-O] subscale) and spatial imagery (OSIQ Spatial [OSIQ-S] subscale) as mean-centered predictors and PTSD symptoms (IES-R) as the outcome. ... We controlled for depression symptoms (PHQ-9; mean-centered) and gender because of their well-known associations with both imagery (Holmes et al., 2016; Ji et al., 2019) and PTSD symptoms (Olff et al., 2007). ... Note: Outcome is Impact of Event Scale–Revised score. R2 = .18, n = 792. Continuous predictors (PHQ-9, OSIQ-O, OSIQ-S) were mean-centered.",,"### center numeric predictors in later regression models
df_master <-
  df_master %>% 
  mutate(
    ### osiq_o
    osiq_o_cen = scale(osiq_o, scale = FALSE),
    osiq_o_drop_cen = scale(osiq_o_drop, scale = FALSE),
    ### osiq_s
    osiq_s_cen = scale(osiq_s, scale = FALSE),
    ### osivq_v
    osivq_v_cen = scale(osivq_v, scale = FALSE),
    ### phq_total
    phq_total_cen = scale(phq_total, scale = FALSE),
    ### osiq diff score
    osiq_diff_o_s_cen = scale(osiq_diff_o_s, scale = FALSE),
    ### age
    age_flup_cen = scale(age_flup, scale = FALSE),
    ### pte_exposure_count
    pte_exposure_count_cen = scale(pte_exposure_count, scale = FALSE),
    ### grammatical reasoning
    final_score_raw_gr_cen = scale(final_score_raw_gr, scale = FALSE),
    ### odd-one-out
    final_score_raw_oo_cen = scale(final_score_raw_oo, scale = FALSE),
    ### paired associates
    avg_score_raw_pa_cen = scale(avg_score_raw_pa, scale = FALSE),
    ### mental rotation
    final_score_raw_ro_cen = scale(final_score_raw_ro, scale = FALSE),
    ### education
    edu_flup_cen = scale(edu_flup, scale = FALSE),
    )",,1,
1,variable specification,"The relationship between imagery abilities
and trauma outcome was assessed using a linear
regression with object (OSIQ Object [OSIQ-O] subscale)
and spatial imagery (OSIQ Spatial [OSIQ-S] subscale) as
mean-centered predictors and PTSD symptoms (IES-R) as
the outcome. We controlled for depression symptoms
(PHQ-9; mean-centered) and gender because of their
well-known associations with both imagery (Holmes et al.,
2016; Ji et al., 2019) and PTSD symptoms (Olff et al.,
2007). We included interaction terms with gender to assess
the degree to which gender moderates the relationship
between imagery and PTSD symptoms (n = 792 because
14 participants declined to indicate gender).",0,"### full model
mod_ies_phq_osivq_gender <- 
  df_master_mod %>% 
  lm(ies_recent_total ~ phq_total_cen + gender_flup_clean +
       osiq_o_cen*gender_flup_clean + osiq_s_cen*gender_flup_clean,
     data = .)",OSIQ-PTSD_Study1_Rev1_OSF.qmd:987-992,1,"In Study 1, a multiple linear regression was run with PTSD symptoms (IES-R total) as the dependent variable and mean-centered depression symptoms (PHQ-9), gender (men vs. women), trait object imagery (OSIQ-O), trait spatial imagery (OSIQ-S), and the OSIQ-O × gender and OSIQ-S × gender interaction terms as predictors (n = 792). Object imagery showed a significant positive association (B = 4.05, β = 0.18, p = .004), spatial imagery showed a significant negative association (B = −3.21, β = −0.13, p = .04), PHQ-9 was strongly positive (B = 1.07, β = 0.36, p < .001), and the model explained 18% of the variance in PTSD symptoms (R² = .18).","Data analysis. The relationship between imagery abilities and trauma outcome was assessed using a linear regression with object (OSIQ Object [OSIQ-O] subscale) and spatial imagery (OSIQ Spatial [OSIQ-S] subscale) as mean-centered predictors and PTSD symptoms (IES-R) as the outcome. We controlled for depression symptoms (PHQ-9; mean-centered) and gender because of their well-known associations with both imagery (Holmes et al., 2016; Ji et al., 2019) and PTSD symptoms (Olff et al., 2007). We included interaction terms with gender to assess the degree to which gender moderates the relationship between imagery and PTSD symptoms (n = 792 because 14 participants declined to indicate gender).",,"### subset with ies-r, phq, osiq, and gender (men or women) data
df_master_mod <-
  df_master %>% 
  filter(
    !is.na(ies_recent_total), !is.na(phq_total_cen),
    !is.na(osiq_o_cen), !is.na(osiq_s_cen),
    !gender_flup_clean == ""Other/Prefer not to answer"",
    )

### null model
mod_null <-
  df_master_mod %>% 
  lm(ies_recent_total ~ 1,
     data = .)

### full model
mod_ies_phq_osivq_gender <- 
  df_master_mod %>% 
  lm(ies_recent_total ~ phq_total_cen + gender_flup_clean +
       osiq_o_cen*gender_flup_clean + osiq_s_cen*gender_flup_clean,
     data = .)",,1,1
1,transformation,"The relationship between imagery abilities
and trauma outcome was assessed using a linear
regression with object (OSIQ Object [OSIQ-O] subscale)
and spatial imagery (OSIQ Spatial [OSIQ-S] subscale) as
mean-centered predictors and PTSD symptoms (IES-R) as
the outcome. We controlled for depression symptoms
(PHQ-9; mean-centered) and gender because of their
well-known associations with both imagery (Holmes et al.,
2016; Ji et al., 2019) and PTSD symptoms (Olff et al.,
2007). We included interaction terms with gender to assess
the degree to which gender moderates the relationship
between imagery and PTSD symptoms (n = 792 because
14 participants declined to indicate gender).",0,"df_master <-
  df_master %>% 
  mutate(
    ### osiq_o
    osiq_o_cen = scale(osiq_o, scale = FALSE),
    osiq_o_drop_cen = scale(osiq_o_drop, scale = FALSE),
    ### osiq_s
    osiq_s_cen = scale(osiq_s, scale = FALSE),
    ### osivq_v
    osivq_v_cen = scale(osivq_v, scale = FALSE),
    ### phq_total
    phq_total_cen = scale(phq_total, scale = FALSE),",OSIQ-PTSD_Study1_Rev1_OSF.qmd:411-422,1,"In Study 1, a multiple linear regression was run with PTSD symptoms (IES-R total) as the dependent variable and mean-centered depression symptoms (PHQ-9), gender (men vs. women), trait object imagery (OSIQ-O), trait spatial imagery (OSIQ-S), and the OSIQ-O × gender and OSIQ-S × gender interaction terms as predictors (n = 792). Object imagery showed a significant positive association (B = 4.05, β = 0.18, p = .004), spatial imagery showed a significant negative association (B = −3.21, β = −0.13, p = .04), PHQ-9 was strongly positive (B = 1.07, β = 0.36, p < .001), and the model explained 18% of the variance in PTSD symptoms (R² = .18).","The relationship between imagery abilities and trauma outcome was assessed using a linear regression with object (OSIQ Object [OSIQ-O] subscale) and spatial imagery (OSIQ Spatial [OSIQ-S] subscale) as mean-centered predictors and PTSD symptoms (IES-R) as the outcome. ... We controlled for depression symptoms (PHQ-9; mean-centered) and gender because of their well-known associations with both imagery (Holmes et al., 2016; Ji et al., 2019) and PTSD symptoms (Olff et al., 2007). ... Note: Outcome is Impact of Event Scale–Revised score. R2 = .18, n = 792. Continuous predictors (PHQ-9, OSIQ-O, OSIQ-S) were mean-centered.",,"### center numeric predictors in later regression models
df_master <-
  df_master %>% 
  mutate(
    ### osiq_o
    osiq_o_cen = scale(osiq_o, scale = FALSE),
    osiq_o_drop_cen = scale(osiq_o_drop, scale = FALSE),
    ### osiq_s
    osiq_s_cen = scale(osiq_s, scale = FALSE),
    ### osivq_v
    osivq_v_cen = scale(osivq_v, scale = FALSE),
    ### phq_total
    phq_total_cen = scale(phq_total, scale = FALSE),
    ### osiq diff score
    osiq_diff_o_s_cen = scale(osiq_diff_o_s, scale = FALSE),
    ### age
    age_flup_cen = scale(age_flup, scale = FALSE),
    ### pte_exposure_count
    pte_exposure_count_cen = scale(pte_exposure_count, scale = FALSE),
    ### grammatical reasoning
    final_score_raw_gr_cen = scale(final_score_raw_gr, scale = FALSE),
    ### odd-one-out
    final_score_raw_oo_cen = scale(final_score_raw_oo, scale = FALSE),
    ### paired associates
    avg_score_raw_pa_cen = scale(avg_score_raw_pa, scale = FALSE),
    ### mental rotation
    final_score_raw_ro_cen = scale(final_score_raw_ro, scale = FALSE),
    ### education
    edu_flup_cen = scale(edu_flup, scale = FALSE),
    )",,1,1
1,variable specification,"The relationship between imagery abilities
and trauma outcome was assessed using a linear
regression with object (OSIQ Object [OSIQ-O] subscale)
and spatial imagery (OSIQ Spatial [OSIQ-S] subscale) as
mean-centered predictors and PTSD symptoms (IES-R) as
the outcome. We controlled for depression symptoms
(PHQ-9; mean-centered) and gender because of their
well-known associations with both imagery (Holmes et al.,
2016; Ji et al., 2019) and PTSD symptoms (Olff et al.,
2007). We included interaction terms with gender to assess
the degree to which gender moderates the relationship
between imagery and PTSD symptoms (n = 792 because
14 participants declined to indicate gender).",0,"### full model
mod_ies_phq_osivq_gender <- 
  df_master_mod %>% 
  lm(ies_recent_total ~ phq_total_cen + gender_flup_clean +
       osiq_o_cen*gender_flup_clean + osiq_s_cen*gender_flup_clean,
     data = .)",OSIQ-PTSD_Study1_Rev1_OSF.qmd:987-992,1,"In Study 1, a multiple linear regression was run with PTSD symptoms (IES-R total) as the dependent variable and mean-centered depression symptoms (PHQ-9), gender (men vs. women), trait object imagery (OSIQ-O), trait spatial imagery (OSIQ-S), and the OSIQ-O × gender and OSIQ-S × gender interaction terms as predictors (n = 792). Object imagery showed a significant positive association (B = 4.05, β = 0.18, p = .004), spatial imagery showed a significant negative association (B = −3.21, β = −0.13, p = .04), PHQ-9 was strongly positive (B = 1.07, β = 0.36, p < .001), and the model explained 18% of the variance in PTSD symptoms (R² = .18).","Data analysis. The relationship between imagery abilities and trauma outcome was assessed using a linear regression with object (OSIQ Object [OSIQ-O] subscale) and spatial imagery (OSIQ Spatial [OSIQ-S] subscale) as mean-centered predictors and PTSD symptoms (IES-R) as the outcome. We controlled for depression symptoms (PHQ-9; mean-centered) and gender because of their well-known associations with both imagery (Holmes et al., 2016; Ji et al., 2019) and PTSD symptoms (Olff et al., 2007). We included interaction terms with gender to assess the degree to which gender moderates the relationship between imagery and PTSD symptoms (n = 792 because 14 participants declined to indicate gender).",,"### subset with ies-r, phq, osiq, and gender (men or women) data
df_master_mod <-
  df_master %>% 
  filter(
    !is.na(ies_recent_total), !is.na(phq_total_cen),
    !is.na(osiq_o_cen), !is.na(osiq_s_cen),
    !gender_flup_clean == ""Other/Prefer not to answer"",
    )

### null model
mod_null <-
  df_master_mod %>% 
  lm(ies_recent_total ~ 1,
     data = .)

### full model
mod_ies_phq_osivq_gender <- 
  df_master_mod %>% 
  lm(ies_recent_total ~ phq_total_cen + gender_flup_clean +
       osiq_o_cen*gender_flup_clean + osiq_s_cen*gender_flup_clean,
     data = .)",,1,1
