analysis_id,dimension,human_manuscript_content,human_manuscript_location,human_code_content,human_code_location,human_match_judgement,codebot_brief_description,codebot_manuscript_content,codebot_manuscript_location,codebot_code_content,codebot_code_location,codebot_match_judgement,codebot_human_agreement
1,model specification,"See Table 1 for means and correlations among these measures. [...] Correlations for Individual Difference Measures (Study 1) [...] Note. 
               Computed correlation used Pearson method with pairwise deletion",0;2,"# correlations ####
toe_data %>%
  select(CWV, DWV, cynicism, coop_primal, confl_temp_best, confl_temp_worst,
         ZSB, gen_trust, SDO, RWA, ILT, coerc_TOP, collab_TOP) %>%
  sjPlot::tab_corr(na.deletion='pairwise', triangle='lower', digits=2, string.diag=rep('-',13),
                   file='study1_kitchensink_corr.doc')",Savvy study1.R:139-144,1,,,,,,,
1,variable specification,CVW,2,# read in anonymized data ####,Savvy study1.R:40-41;139-144,1,,,,,,,
1,transformation,"CWV. Participants completed a 10-item measure ofCWV(e.g.,
“It is a dog-eat-dog world where you have to be ruthless at times,”
“My knowledge and experience tell me that the social world we live
in is basically a competitive ‘jungle’ in which the fittest survive and
succeed, in which power, wealth, and winning are everything, and
might is right,” “Life is not governed by the ‘survival of the fittest.’
We should let compassion and moral laws be our guide,” reverse-scored;
Perry et al., 2013).4",0,"toe_data <- toe_data %>% rowwise() %>%
  mutate(CWV = mean(c(CWV_1,8-CWV_2,CWV_3,CWV_4,8-CWV_5,
                      CWV_6,8-CWV_7,CWV_8,8-CWV_9,8-CWV_10))) %>%
  ungroup() […] # center predictors ####
toe_data <- toe_data %>%
  mutate(across(c(CWV, SDO, RWA, DWV, ILT, coerc_TOP, collab_TOP, cynicism,
                  coop_primal, confl_temp_best, confl_temp_worst, ZSB, gen_trust), ~scale(., scale=F), .names='{.col}_ctr'))",Savvy study1.R:74-57;107-110,1,,,,,,,
1,variable specification,Cynicism,2,"# read in anonymized data ####
toe_data <- read.csv('study1_anon.csv') [...] # correlations ####
toe_data %>%
  select(CWV, DWV, cynicism, coop_primal, confl_temp_best, confl_temp_worst,
         ZSB, gen_trust, SDO, RWA, ILT, coerc_TOP, collab_TOP) %>%
  sjPlot::tab_corr(na.deletion='pairwise', triangle='lower', digits=2, string.diag=rep('-',13),
                   file='study1_kitchensink_corr.doc')",Savvy study1.R:40-41;139-144,1,,,,,,,
1,transformation,,,,,,,,,,,,
1,inference criterion,*p<.05. **p<.01. ***p<.001.,2,"# correlations ####
toe_data %>%
  select(CWV, DWV, cynicism, coop_primal, confl_temp_best, confl_temp_worst,
         ZSB, gen_trust, SDO, RWA, ILT, coerc_TOP, collab_TOP) %>%
  sjPlot::tab_corr(na.deletion='pairwise', triangle='lower', digits=2, string.diag=rep('-',13),
                   file='study1_kitchensink_corr.doc')",Savvy study1.R:139-144,1,,,,,,,
2,model specification,"See Table 1 for means and correlations among these measures. [...] Correlations for Individual Difference Measures (Study 1) [...] Note. 
               Computed correlation used Pearson method with pairwise deletion",0;2,"# correlations ####
toe_data %>%
  select(CWV, DWV, cynicism, coop_primal, confl_temp_best, confl_temp_worst,
         ZSB, gen_trust, SDO, RWA, ILT, coerc_TOP, collab_TOP) %>%
  sjPlot::tab_corr(na.deletion='pairwise', triangle='lower', digits=2, string.diag=rep('-',13),
                   file='study1_kitchensink_corr.doc')",Savvy study1.R:139-144,1,"The authors correlated CWV with generalized trust in Study 1 to examine whether competitive worldviews relate to lower trust in others. CWV was strongly negatively associated with generalized trust (r = −.50, p < .001).","Table 1
Correlations for Individual Difference Measures (Study 1)
...
Note. Computed correlation used Pearson method with pairwise deletion.",,"toe_data %>%
  select(CWV, DWV, cynicism, coop_primal, confl_temp_best, confl_temp_worst,
         ZSB, gen_trust, SDO, RWA, ILT, coerc_TOP, collab_TOP) %>%
  sjPlot::tab_corr(na.deletion='pairwise', triangle='lower', digits=2, string.diag=rep('-',13),
                   file='study1_kitchensink_corr.doc')",,1,1
2,variable specification,CVW,2,"# read in anonymized data ####
toe_data <- read.csv('study1_anon.csv') [...] # correlations ####
toe_data %>%
  select(CWV, DWV, cynicism, coop_primal, confl_temp_best, confl_temp_worst,
         ZSB, gen_trust, SDO, RWA, ILT, coerc_TOP, collab_TOP) %>%
  sjPlot::tab_corr(na.deletion='pairwise', triangle='lower', digits=2, string.diag=rep('-',13),
                   file='study1_kitchensink_corr.doc')",Savvy study1.R:40-41;139-144,1,"The authors correlated CWV with generalized trust in Study 1 to examine whether competitive worldviews relate to lower trust in others. CWV was strongly negatively associated with generalized trust (r = −.50, p < .001).",Table 1 Correlations for Individual Difference Measures (Study 1) ... 3. Generalized trust 3.70 1.66 −.50*** −.69*** —,,"toe_data <- toe_data %>% rowwise() %>%
  mutate(SDO = mean(c(SDO_1,SDO_2,8-SDO_3,8-SDO_4,
                      SDO_5,SDO_6,8-SDO_7,8-SDO_8)),
         RWA = mean(c(RWA_1,8-RWA_2,RWA_3,8-RWA_4,RWA_5,
                      8-RWA_6,RWA_7,8-RWA_8,RWA_9,8-RWA_10,
                      RWA_11,8-RWA_12,RWA_13,8-RWA_14,RWA_5)),
         DWV = mean(c(8-DWV_1,DWV_2,DWV_3,8-DWV_4,8-DWV_5,
                      DWV_6,8-DWV_7,DWV_8,8-DWV_9,DWV_10)),
         ILT = mean(c_across(num_range('ILT_',1:6))),
         coerc_TOP = mean(c_across(num_range('TOP_',1:4))),
         collab_TOP = mean(c_across(num_range('TOP_',5:8))),
         cynicism = mean(c_across(num_range('cynicism_',1:8))),
         coop_primal = mean(c(8-coop_primal_1,8-coop_primal_2,
                              8-coop_primal_3,coop_primal_4)),
         ZSB = mean(c(ZSB_1,ZSB_2,ZSB_3,ZSB_4,ZSB_5,
                      ZSB_6,ZSB_7,ZSB_8,8-ZSB_9,8-ZSB_10,
                      8-ZSB_11,8-ZSB_12)),
         gen_trust = 8-gen_trust) %>%
  ungroup()
...
toe_data %>%
  select(CWV, DWV, cynicism, coop_primal, confl_temp_best, confl_temp_worst,
         ZSB, gen_trust, SDO, RWA, ILT, coerc_TOP, collab_TOP) %>%
  sjPlot::tab_corr(na.deletion='pairwise', triangle='lower', digits=2, string.diag=rep('-',13),
                   file='study1_kitchensink_corr.doc')",,1,1
2,transformation,"CWV. Participants completed a 10-item measure ofCWV(e.g.,
“It is a dog-eat-dog world where you have to be ruthless at times,”
“My knowledge and experience tell me that the social world we live
in is basically a competitive ‘jungle’ in which the fittest survive and
succeed, in which power, wealth, and winning are everything, and
might is right,” “Life is not governed by the ‘survival of the fittest.’
We should let compassion and moral laws be our guide,” reverse-scored;
Perry et al., 2013).4",0,"toe_data <- toe_data %>% rowwise() %>%
  mutate(CWV = mean(c(CWV_1,8-CWV_2,CWV_3,CWV_4,8-CWV_5,
                      CWV_6,8-CWV_7,CWV_8,8-CWV_9,8-CWV_10))) %>%
  ungroup() […] # center predictors ####
toe_data <- toe_data %>%
  mutate(across(c(CWV, SDO, RWA, DWV, ILT, coerc_TOP, collab_TOP, cynicism,
                  coop_primal, confl_temp_best, confl_temp_worst, ZSB, gen_trust), ~scale(., scale=F), .names='{.col}_ctr'))",Savvy study1.R:74-57;107-110,1,"The authors correlated CWV with generalized trust in Study 1 to examine whether competitive worldviews relate to lower trust in others. CWV was strongly negatively associated with generalized trust (r = −.50, p < .001).","Participants completed a 10-item measure of CWV (e.g., “It is a dog-eat-dog world where you have to be ruthless at times,” “My knowledge and experience tell me that the social world we live in is basically a competitive ‘jungle’ in which the fittest survive and succeed, in which power, wealth, and winning are everything, and might is right,” “Life is not governed by the ‘survival of the fittest.’ We should let compassion and moral laws be our guide,” reverse-scored; Perry et al., 2013). Participants responded on a 7-point scale (1 = strongly disagree, 7 = strongly agree; α = .84; M = 2.74, SD = 0.96).",,"# calculate mean CWV ####
# R=2,5,7,9,10
psych::alpha(select(toe_data, c(CWV_1:CWV_10)), check.keys=T) #0.84
toe_data <- toe_data %>% rowwise() %>%
  mutate(CWV = mean(c(CWV_1,8-CWV_2,CWV_3,CWV_4,8-CWV_5,
                      CWV_6,8-CWV_7,CWV_8,8-CWV_9,8-CWV_10))) %>%
  ungroup()
...
         ZSB = mean(c(ZSB_1,ZSB_2,ZSB_3,ZSB_4,ZSB_5,
                      ZSB_6,ZSB_7,ZSB_8,8-ZSB_9,8-ZSB_10,
                      8-ZSB_11,8-ZSB_12)),
         gen_trust = 8-gen_trust) %>%
  ungroup()

# center predictors ####
toe_data <- toe_data %>%
  mutate(across(c(CWV, SDO, RWA, DWV, ILT, coerc_TOP, collab_TOP, cynicism,
                  coop_primal, confl_temp_best, confl_temp_worst, ZSB, gen_trust), ~scale(., scale=F), .names='{.col}_ctr'))

# correlations ####
toe_data %>%
  select(CWV, DWV, cynicism, coop_primal, confl_temp_best, confl_temp_worst,
         ZSB, gen_trust, SDO, RWA, ILT, coerc_TOP, collab_TOP) %>%
  sjPlot::tab_corr(na.deletion='pairwise', triangle='lower', digits=2, string.diag=rep('-',13),
                   file='study1_kitchensink_corr.doc')",,,
2,variable specification,Generalized trust,2,"# read in anonymized data ####
toe_data <- read.csv('study1_anon.csv') [...] # correlations ####
toe_data %>%
  select(CWV, DWV, cynicism, coop_primal, confl_temp_best, confl_temp_worst,
         ZSB, gen_trust, SDO, RWA, ILT, coerc_TOP, collab_TOP) %>%
  sjPlot::tab_corr(na.deletion='pairwise', triangle='lower', digits=2, string.diag=rep('-',13),
                   file='study1_kitchensink_corr.doc')",Savvy study1.R:40-41;139-144,1,"The authors correlated CWV with generalized trust in Study 1 to examine whether competitive worldviews relate to lower trust in others. CWV was strongly negatively associated with generalized trust (r = −.50, p < .001).",Table 1 Correlations for Individual Difference Measures (Study 1) ... 3. Generalized trust 3.70 1.66 −.50*** −.69*** —,,"toe_data <- toe_data %>% rowwise() %>%
  mutate(SDO = mean(c(SDO_1,SDO_2,8-SDO_3,8-SDO_4,
                      SDO_5,SDO_6,8-SDO_7,8-SDO_8)),
         RWA = mean(c(RWA_1,8-RWA_2,RWA_3,8-RWA_4,RWA_5,
                      8-RWA_6,RWA_7,8-RWA_8,RWA_9,8-RWA_10,
                      RWA_11,8-RWA_12,RWA_13,8-RWA_14,RWA_5)),
         DWV = mean(c(8-DWV_1,DWV_2,DWV_3,8-DWV_4,8-DWV_5,
                      DWV_6,8-DWV_7,DWV_8,8-DWV_9,DWV_10)),
         ILT = mean(c_across(num_range('ILT_',1:6))),
         coerc_TOP = mean(c_across(num_range('TOP_',1:4))),
         collab_TOP = mean(c_across(num_range('TOP_',5:8))),
         cynicism = mean(c_across(num_range('cynicism_',1:8))),
         coop_primal = mean(c(8-coop_primal_1,8-coop_primal_2,
                              8-coop_primal_3,coop_primal_4)),
         ZSB = mean(c(ZSB_1,ZSB_2,ZSB_3,ZSB_4,ZSB_5,
                      ZSB_6,ZSB_7,ZSB_8,8-ZSB_9,8-ZSB_10,
                      8-ZSB_11,8-ZSB_12)),
         gen_trust = 8-gen_trust) %>%
  ungroup()
...
toe_data %>%
  select(CWV, DWV, cynicism, coop_primal, confl_temp_best, confl_temp_worst,
         ZSB, gen_trust, SDO, RWA, ILT, coerc_TOP, collab_TOP) %>%
  sjPlot::tab_corr(na.deletion='pairwise', triangle='lower', digits=2, string.diag=rep('-',13),
                   file='study1_kitchensink_corr.doc')",,1,1
