analysis_id,dimension,human_manuscript_content,human_manuscript_location,human_code_content,human_code_location,human_match_judgement,codebot_brief_description,codebot_manuscript_content,codebot_manuscript_location,codebot_code_content,codebot_code_location,codebot_match_judgement,codebot_human_agreement
1,model specification,"We tested differences between the later born and earlier-born cohort in the prevalence of singles
(Hypothesis 1) using a chi-square test and computed Spearman’s rank correlations to assess the association between the prevalence of singles and satisfaction at T1 (Hypothesis 2).",0;2,"chisq.test(table(prev$relt1, prev$histcoh))",1_descriptive_analyses.R:108,1,"Chi-square test comparing the overall prevalence of singles between the earlier-born cohort (Wave 1; 2008–2009) and the later-born cohort (Wave 11; 2018–2019), using relationship status at T1. The test evaluated whether the proportion single differed between cohorts, finding a higher proportion of singles in the later-born cohort (47%) than in the earlier-born cohort (42%), χ²(1) = 52.73, p < .001.",We tested differences between the later-born and earlier-born cohort in the prevalence of singles (Hypothesis 1) using a chi-square test and computed Spearman’s rank correlations to assess the association between the prevalence of singles and satisfaction at T1 (Hypothesis 2).,,"# H1
chisq.test(table(prev$relt1, prev$histcoh))",,1,1
1,variable specification,"We tested differences between the later born and earlier-born cohort in the prevalence of singles
(Hypothesis 1) using a chi-square test and computed Spearman’s rank correlations to assess the association between the prevalence of singles and satisfaction at T1 (Hypothesis 2).",0;2,"anchor1_3$histcoh <- ""earlier-born""[...]anchor11_13$histcoh <- ""later-born"" [...]data <- rbind(anchor1_3, anchor11_13)  [...] data_prevalence <- data %>% select(id, sex, histcoh, agegroup, aget1, relt1, prevalence, sinsatt1, sinsatt2, sinsatt3, lifesatt1, lifesatt2, lifesatt3)[...]# write.table(data_prevalence, ""data_prevalences.txt"") [...]prev <- read.table(""data_prevalences.txt"") [...]chisq.test(table(prev$relt1, prev$histcoh))","0_clean_data.R ; 0_clean_data.R ; 0_clean_data.R ; 0_clean_data.R ; 0_clean_data.R ; 1_descriptive_analyses.R ; 1_descriptive_analyses.R:88,157,196,219,229,95,108",1,"Chi-square test comparing the overall prevalence of singles between the earlier-born cohort (Wave 1; 2008–2009) and the later-born cohort (Wave 11; 2018–2019), using relationship status at T1. The test evaluated whether the proportion single differed between cohorts, finding a higher proportion of singles in the later-born cohort (47%) than in the earlier-born cohort (42%), χ²(1) = 52.73, p < .001.","To test the prevalence hypotheses (Hypotheses 1 and 2), we used a sample of 17,697 individuals from Wave 1 (2008-2009) as the earlier-born cohort, and from Wave 11 (2018-2019) as the later-born cohort, who provided information on their relationship status. [...] Second, we calculated the proportion of singles at T1 (Wave 1 for earlier-born cohort and Wave 11 for later-born cohort), which was done with the prevalence sample of N = 17,697 participants. Higher values indicated a greater share of singles at T1 in the respective cohort.",,"prev <- read.table(""data_prevalences.txt"")

# across age groups
prev %>% group_by(histcoh) %>%
  summarize(n_single = sum(relt1 == 0), 
            n = n())

# separated by age group
prev %>% group_by(histcoh, agegroup) %>%
  summarize(n_single = sum(relt1 == 0), 
            n = n())

# H1
chisq.test(table(prev$relt1, prev$histcoh))

round(prop.table(table(prev[which(prev$histcoh == ""earlier-born""), ""relt1""])), 3)
round(prop.table(table(prev[which(prev$histcoh == ""later-born""), ""relt1""])), 3)",,1,1
1,transformation,,,,,,"Chi-square test comparing the overall prevalence of singles between the earlier-born cohort (Wave 1; 2008–2009) and the later-born cohort (Wave 11; 2018–2019), using relationship status at T1. The test evaluated whether the proportion single differed between cohorts, finding a higher proportion of singles in the later-born cohort (47%) than in the earlier-born cohort (42%), χ²(1) = 52.73, p < .001.","To prepare the data for the analyses, we created two additional variables: intraindividual change over time and prevalence of singles. ... Second, we calculated the proportion of singles at T1 (Wave 1 for earlier-born cohort and Wave 11 for later-born cohort), which was done with the prevalence sample of N = 17,697 participants. Higher values indicated a greater share of singles at T1 in the respective cohort.",,"{""code_value"":""### Participants from wave 1 ###\nanchor1 <- anchor1 %>% select(id, sex_gen, ethni, cohort, age, sd3, np, sat6, sat2) %>%\n  rename(sex = sex_gen,\n         aget1 = age,\n         relt1 = sd3,\n         prevrel = np,\n         lifesatt1 = sat6,\n         sinsatt1 = sat2) %>%\n  replace(((.) < 0), NA) %>%\n  mutate(sex = sex - 1,\n         relt1 = ifelse(relt1 == 2, 0, relt1))\n...\n### Participants from wave 11 ###\nanchor11 <- anchor11 %>% select(id, sex_gen, ethni, cohort, age, relstat, np, sat6, sat2, starts_with(\""per3i\"")) %>%\n  rename(sex = sex_gen,\n         aget1 = age,\n         lifesatt1 = sat6,\n         sinsatt1 = sat2,\n         prevrel = np) %>%\n  mutate(relt1 = ifelse(relstat == 1 |\n                           relstat == 6 |\n                           relstat == 9, 0, 1),\n         sex = sex - 1) %>% \n  replace(((.) < 0), NA) %>%\n  mutate_at(c(10:30), as.numeric) %>%\n  mutate_at(c(\""per3i1\"", \""per3i11\"", \""per3i9\"", \""per3i2\"", \""per3i12\"", \""per3i17\"", \""per3i8\"", \""per3i21\""),\n            ~ recode(., \""1\"" = 5, \""2\"" = 4, \""3\"" = 3, \n                     \""4\"" = 2, \""5\"" = 1)) %>%\n  rowwise() %>%\n  mutate(extra_M = round(mean(c(per3i1, per3i6, per3i11, per3i16), na.rm = TRUE), 2),\n         neuro_M = round(mean(c(per3i4, per3i9, per3i14, per3i19), na.rm = TRUE), 2),\n         agree_M = round(mean(c(per3i2, per3i7, per3i12, per3i17), na.rm = TRUE), 2),\n         consc_M = round(mean(c(per3i3, per3i8, per3i13, per3i18), na.rm = TRUE), 2),\n         open_M = round(mean(c(per3i5, per3i10, per3i15, per3i20, per3i21), na.rm = TRUE), 2)) %>%\n  select(id, sex, ethni, cohort, aget1, relt1, prevrel, lifesatt1, sinsatt1, extra_M, neuro_M, agree_M, consc_M, open_M)\n...\n### create prevalence data\n\ndata <- data %>% group_by(cohort, histcoh) %>%\n  mutate(prevalence = round(length(which(relt1 == 0)) / (length(which(relt1 == 0)) + length(which(relt1 == 1))), 3))\n\n\data_prevalence <- data %>% select(id, sex, histcoh, agegroup, aget1, relt1, prevalence, sinsatt1, sinsatt2, sinsatt3, lifesatt1, lifesatt2, lifesatt3)\n\n# only participants with information on their relationship duration\n\data_prevalence <- data_prevalence %>% filter(!is.na(relt1))\n\n# only participants who did not participate twice\n\data_prevalence <- data_prevalence %>% group_by(id) %>%\n  mutate(total = sum(n()),\n         unique = ifelse(total == 1, 1, 0)) %>%\n  select(-total) %>% arrange(id) %>% slice_head()\n# write.table(data_prevalences.txt, \""data_prevalences.txt\"")"",""evidence"":{""code_path"":""/Users/jamie/git/codebot-for-psychology/data/raw/main/codebot/materials/codebot_pairs/avilles/0_clean_data.R"",""code_lines"":""### Participants from wave 1 ###\nanchor1 <- anchor1 %>% select(id, sex_gen, ethni, cohort, age, sd3, np, sat6, sat2) %>%\n  rename(sex = sex_gen,\n         aget1 = age,\n         relt1 = sd3,\n         prevrel = np,\n         lifesatt1 = sat6,\n         sinsatt1 = sat2) %>%\n  replace(((.) < 0), NA) %>%\n  mutate(sex = sex - 1,\n         relt1 = ifelse(relt1 == 2, 0, relt1))\n\n...\n\n### Participants from wave 11 ###\nanchor11 <- anchor11 %>% select(id, sex_gen, ethni, cohort, age, relstat, np, sat6, sat2, starts_with(\""per3i\"")) %>%\n  rename(sex = sex_gen,\n         aget1 = age,\n         lifesatt1 = sat6,\n         sinsatt1 = sat2,\n         prevrel = np) %>%\n  mutate(relt1 = ifelse(relstat == 1 |\n                           relstat == 6 |\n                           relstat == 9, 0, 1),\n         sex = sex - 1) %>% \n  replace(((.) < 0), NA) %>%\n  mutate_at(c(10:30), as.numeric) %>%\n  mutate_at(c(\""per3i1\"", \""per3i11\"", \""per3i9\"", \""per3i2\"", \""per3i12\"", \""per3i17\"", \""per3i8\"", \""per3i21\""),\n            ~ recode(., \""1\"" = 5, \""2\"" = 4, \""3\"" = 3, \n                     \""4\"" = 2, \""5\"" = 1)) %>%\n  rowwise() %>%\n  mutate(extra_M = round(mean(c(per3i1, per3i6, per3i11, per3i16), na.rm = TRUE), 2),\n         neuro_M = round(mean(c(per3i4, per3i9, per3i14, per3i19), na.rm = TRUE), 2),\n         agree_M = round(mean(c(per3i2, per3i7, per3i12, per3i17), na.rm = TRUE), 2),\n         consc_M = round(mean(c(per3i3, per3i8, per3i13, per3i18), na.rm = TRUE), 2),\n         open_M = round(mean(c(per3i5, per3i10, per3i15, per3i20, per3i21), na.rm = TRUE), 2)) %>%\n  select(id, sex, ethni, cohort, aget1, relt1, prevrel, lifesatt1, sinsatt1, extra_M, neuro_M, agree_M, consc_M, open_M)\n\n...\n\n### create prevalence data\n\ndata <- data %>% group_by(cohort, histcoh) %>%\n  mutate(prevalence = round(length(which(relt1 == 0)) / (length(which(relt1 == 0)) + length(which(relt1 == 1))), 3))\n\n\data_prevalence <- data %>% select(id, sex, histcoh, agegroup, aget1, relt1, prevalence, sinsatt1, sinsatt2, sinsatt3, lifesatt1, lifesatt2, lifesatt3)\n\n# only participants with information on their relationship duration\n\data_prevalence <- data_prevalence %>% filter(!is.na(relt1))\n\n# only participants who did not participate twice\n\data_prevalence <- data_prevalence %>% group_by(id) %>%\n  mutate(total = sum(n()),\n         unique = ifelse(total == 1, 1, 0)) %>%\n  select(-total) %>% arrange(id) %>% slice_head()\n# write.table(data_prevalences.txt, \""data_prevalences.txt\"")""}}",,1,
1,variable specification,"We tested differences between the later born and earlier-born cohort in the prevalence of singles
(Hypothesis 1) using a chi-square test and computed Spearman’s rank correlations to assess the association between the prevalence of singles and satisfaction at T1 (Hypothesis 2).",0;2,"### create prevalence data

data <- data %>% group_by(cohort, histcoh) %>%
  mutate(prevalence = round(length(which(relt1 == 0)) / (length(which(relt1 == 0)) + length(which(relt1 == 1))), 3))

data_prevalence <- data %>% select(id, sex, histcoh, agegroup, aget1, relt1, prevalence, sinsatt1, sinsatt2, sinsatt3, lifesatt1, lifesatt2, lifesatt3)

# only participants with information on their relationship duration
data_prevalence <- data_prevalence %>% filter(!is.na(relt1))

# only participants who did not participate twice
data_prevalence <- data_prevalence %>% group_by(id) %>%
  mutate(total = sum(n()),
         unique = ifelse(total == 1, 1, 0)) %>%
  select(-total) %>% arrange(id) %>% slice_head()
# write.table(data_prevalence, ""data_prevalences.txt"")[...]prev <- read.table(""data_prevalences.txt"") [...] chisq.test(table(prev$relt1, prev$histcoh))","0_clean_data.R ; 1_descriptive_analyses.R ; 1_descriptive_analyses.R:214-229,95,108",1,"Chi-square test comparing the overall prevalence of singles between the earlier-born cohort (Wave 1; 2008–2009) and the later-born cohort (Wave 11; 2018–2019), using relationship status at T1. The test evaluated whether the proportion single differed between cohorts, finding a higher proportion of singles in the later-born cohort (47%) than in the earlier-born cohort (42%), χ²(1) = 52.73, p < .001.","To test the prevalence hypotheses (Hypotheses 1 and 2), we used a sample of 17,697 individuals from Wave 1 (2008-2009) as the earlier-born cohort, and from Wave 11 (2018-2019) as the later-born cohort, who provided information on their relationship status. [...] Second, we calculated the proportion of singles at T1 (Wave 1 for earlier-born cohort and Wave 11 for later-born cohort), which was done with the prevalence sample of N = 17,697 participants. Higher values indicated a greater share of singles at T1 in the respective cohort.",,"prev <- read.table(""data_prevalences.txt"")

# across age groups
prev %>% group_by(histcoh) %>%
  summarize(n_single = sum(relt1 == 0), 
            n = n())

# separated by age group
prev %>% group_by(histcoh, agegroup) %>%
  summarize(n_single = sum(relt1 == 0), 
            n = n())

# H1
chisq.test(table(prev$relt1, prev$histcoh))

round(prop.table(table(prev[which(prev$histcoh == ""earlier-born""), ""relt1""])), 3)
round(prop.table(table(prev[which(prev$histcoh == ""later-born""), ""relt1""])), 3)",,1,1
1,transformation,,,,,,"Chi-square test comparing the overall prevalence of singles between the earlier-born cohort (Wave 1; 2008–2009) and the later-born cohort (Wave 11; 2018–2019), using relationship status at T1. The test evaluated whether the proportion single differed between cohorts, finding a higher proportion of singles in the later-born cohort (47%) than in the earlier-born cohort (42%), χ²(1) = 52.73, p < .001.","To prepare the data for the analyses, we created two additional variables: intraindividual change over time and prevalence of singles. ... Second, we calculated the proportion of singles at T1 (Wave 1 for earlier-born cohort and Wave 11 for later-born cohort), which was done with the prevalence sample of N = 17,697 participants. Higher values indicated a greater share of singles at T1 in the respective cohort.",,"{""code_value"":""### Participants from wave 1 ###\nanchor1 <- anchor1 %>% select(id, sex_gen, ethni, cohort, age, sd3, np, sat6, sat2) %>%\n  rename(sex = sex_gen,\n         aget1 = age,\n         relt1 = sd3,\n         prevrel = np,\n         lifesatt1 = sat6,\n         sinsatt1 = sat2) %>%\n  replace(((.) < 0), NA) %>%\n  mutate(sex = sex - 1,\n         relt1 = ifelse(relt1 == 2, 0, relt1))\n...\n### Participants from wave 11 ###\nanchor11 <- anchor11 %>% select(id, sex_gen, ethni, cohort, age, relstat, np, sat6, sat2, starts_with(\""per3i\"")) %>%\n  rename(sex = sex_gen,\n         aget1 = age,\n         lifesatt1 = sat6,\n         sinsatt1 = sat2,\n         prevrel = np) %>%\n  mutate(relt1 = ifelse(relstat == 1 |\n                           relstat == 6 |\n                           relstat == 9, 0, 1),\n         sex = sex - 1) %>% \n  replace(((.) < 0), NA) %>%\n  mutate_at(c(10:30), as.numeric) %>%\n  mutate_at(c(\""per3i1\"", \""per3i11\"", \""per3i9\"", \""per3i2\"", \""per3i12\"", \""per3i17\"", \""per3i8\"", \""per3i21\""),\n            ~ recode(., \""1\"" = 5, \""2\"" = 4, \""3\"" = 3, \n                     \""4\"" = 2, \""5\"" = 1)) %>%\n  rowwise() %>%\n  mutate(extra_M = round(mean(c(per3i1, per3i6, per3i11, per3i16), na.rm = TRUE), 2),\n         neuro_M = round(mean(c(per3i4, per3i9, per3i14, per3i19), na.rm = TRUE), 2),\n         agree_M = round(mean(c(per3i2, per3i7, per3i12, per3i17), na.rm = TRUE), 2),\n         consc_M = round(mean(c(per3i3, per3i8, per3i13, per3i18), na.rm = TRUE), 2),\n         open_M = round(mean(c(per3i5, per3i10, per3i15, per3i20, per3i21), na.rm = TRUE), 2)) %>%\n  select(id, sex, ethni, cohort, aget1, relt1, prevrel, lifesatt1, sinsatt1, extra_M, neuro_M, agree_M, consc_M, open_M)\n...\n### create prevalence data\n\ndata <- data %>% group_by(cohort, histcoh) %>%\n  mutate(prevalence = round(length(which(relt1 == 0)) / (length(which(relt1 == 0)) + length(which(relt1 == 1))), 3))\n\n\data_prevalence <- data %>% select(id, sex, histcoh, agegroup, aget1, relt1, prevalence, sinsatt1, sinsatt2, sinsatt3, lifesatt1, lifesatt2, lifesatt3)\n\n# only participants with information on their relationship duration\n\data_prevalence <- data_prevalence %>% filter(!is.na(relt1))\n\n# only participants who did not participate twice\n\data_prevalence <- data_prevalence %>% group_by(id) %>%\n  mutate(total = sum(n()),\n         unique = ifelse(total == 1, 1, 0)) %>%\n  select(-total) %>% arrange(id) %>% slice_head()\n# write.table(data_prevalences.txt, \""data_prevalences.txt\"")"",""evidence"":{""code_path"":""/Users/jamie/git/codebot-for-psychology/data/raw/main/codebot/materials/codebot_pairs/avilles/0_clean_data.R"",""code_lines"":""### Participants from wave 1 ###\nanchor1 <- anchor1 %>% select(id, sex_gen, ethni, cohort, age, sd3, np, sat6, sat2) %>%\n  rename(sex = sex_gen,\n         aget1 = age,\n         relt1 = sd3,\n         prevrel = np,\n         lifesatt1 = sat6,\n         sinsatt1 = sat2) %>%\n  replace(((.) < 0), NA) %>%\n  mutate(sex = sex - 1,\n         relt1 = ifelse(relt1 == 2, 0, relt1))\n\n...\n\n### Participants from wave 11 ###\nanchor11 <- anchor11 %>% select(id, sex_gen, ethni, cohort, age, relstat, np, sat6, sat2, starts_with(\""per3i\"")) %>%\n  rename(sex = sex_gen,\n         aget1 = age,\n         lifesatt1 = sat6,\n         sinsatt1 = sat2,\n         prevrel = np) %>%\n  mutate(relt1 = ifelse(relstat == 1 |\n                           relstat == 6 |\n                           relstat == 9, 0, 1),\n         sex = sex - 1) %>% \n  replace(((.) < 0), NA) %>%\n  mutate_at(c(10:30), as.numeric) %>%\n  mutate_at(c(\""per3i1\"", \""per3i11\"", \""per3i9\"", \""per3i2\"", \""per3i12\"", \""per3i17\"", \""per3i8\"", \""per3i21\""),\n            ~ recode(., \""1\"" = 5, \""2\"" = 4, \""3\"" = 3, \n                     \""4\"" = 2, \""5\"" = 1)) %>%\n  rowwise() %>%\n  mutate(extra_M = round(mean(c(per3i1, per3i6, per3i11, per3i16), na.rm = TRUE), 2),\n         neuro_M = round(mean(c(per3i4, per3i9, per3i14, per3i19), na.rm = TRUE), 2),\n         agree_M = round(mean(c(per3i2, per3i7, per3i12, per3i17), na.rm = TRUE), 2),\n         consc_M = round(mean(c(per3i3, per3i8, per3i13, per3i18), na.rm = TRUE), 2),\n         open_M = round(mean(c(per3i5, per3i10, per3i15, per3i20, per3i21), na.rm = TRUE), 2)) %>%\n  select(id, sex, ethni, cohort, aget1, relt1, prevrel, lifesatt1, sinsatt1, extra_M, neuro_M, agree_M, consc_M, open_M)\n\n...\n\n### create prevalence data\n\ndata <- data %>% group_by(cohort, histcoh) %>%\n  mutate(prevalence = round(length(which(relt1 == 0)) / (length(which(relt1 == 0)) + length(which(relt1 == 1))), 3))\n\n\data_prevalence <- data %>% select(id, sex, histcoh, agegroup, aget1, relt1, prevalence, sinsatt1, sinsatt2, sinsatt3, lifesatt1, lifesatt2, lifesatt3)\n\n# only participants with information on their relationship duration\n\data_prevalence <- data_prevalence %>% filter(!is.na(relt1))\n\n# only participants who did not participate twice\n\data_prevalence <- data_prevalence %>% group_by(id) %>%\n  mutate(total = sum(n()),\n         unique = ifelse(total == 1, 1, 0)) %>%\n  select(-total) %>% arrange(id) %>% slice_head()\n# write.table(data_prevalences.txt, \""data_prevalences.txt\"")""}}",,1,
1,inference criterion,"The chi-square test indicated that the later-born (47%) and earlier-born (42%) cohorts significantly differed in their proportions of singles (χ2(1) = 52.73, p < .001).",0,"chisq.test(table(prev$relt1, prev$histcoh))",1_descriptive_analyses.R:108,,"Chi-square test comparing the overall prevalence of singles between the earlier-born cohort (Wave 1; 2008–2009) and the later-born cohort (Wave 11; 2018–2019), using relationship status at T1. The test evaluated whether the proportion single differed between cohorts, finding a higher proportion of singles in the later-born cohort (47%) than in the earlier-born cohort (42%), χ²(1) = 52.73, p < .001.","An a-priori power analysis based on Monte Carlo simulations (1,000 simulations, .80% power, intraclass correlation coefficient [ICC] = .50, α = .01, two-tailed test) using the package SIMR (Green & MacLeod, 2016) in R (R Core Team, 2020) suggested that the sample size was sufficiently large (N > 1,600) to detect small (b = .10) Level 1 (time) and Level 2 (e.g., cohort) main effects as well as medium (b = .30) cross-level interaction effects (e.g., time × age).
...
Given the number of statistical models, we evaluated significance of the multilevel growth-curve models at α level of .01 to address potentially inflated Type 1 error rates.",,"# H1
chisq.test(table(prev$relt1, prev$histcoh))",,,
2,model specification,"We expected a higher prevalence of singles in the laterborn (vs. earlier-born) cohort (Hypothesis 1) and that the higher prevalence is related to higher satisfaction (i.e., satisfaction with singlehood and life satisfaction; Hypothesis 2). [...] We tested differences between the later born and earlier-born cohort in the prevalence of singles
(Hypothesis 1) using a chi-square test and computed Spearman’s rank correlations to assess the association between the prevalence of singles and satisfaction at T1 (Hypothesis 2).",0;2,"cor.test(prev$prevalence, prev$sinsatt1, type = ""spearman"")",1_descriptive_analyses.R:156,1,"Spearman rank-order correlation between the cohort-level prevalence of singles at T1 and mean singlehood satisfaction at T1 across cohorts and age groups. The analysis tested whether cohorts with a higher share of singles also showed higher singlehood satisfaction, finding a positive association, rs(7,488) = .20, p < .001.","We tested differences between the later-
born and earlier-born cohort in the prevalence of singles (Hypothesis 1) using a chi-square test and computed Spear-
man’s rank correlations to assess the association between the
prevalence of singles and satisfaction at T1 (Hypothesis 2).",,"### Is prevalence related to well-being? ###

prev <- prev %>% filter(relt1 == 0)

cor.test(prev$prevalence, prev$sinsatt1, type = ""spearman"")
cor.test(prev$prevalence, prev$lifesatt1, type = ""spearman"")",,1,1
2,variable specification,"We expected a higher prevalence of singles in the laterborn (vs. earlier-born) cohort (Hypothesis 1) and that the higher prevalence is related to higher satisfaction (i.e., satisfaction with singlehood and life satisfaction; Hypothesis 2). [...] We tested differences between the later born and earlier-born cohort in the prevalence of singles
(Hypothesis 1) using a chi-square test and computed Spearman’s rank correlations to assess the association between the prevalence of singles and satisfaction at T1 (Hypothesis 2).",0;2,"### create prevalence data

data <- data %>% group_by(cohort, histcoh) %>%
  mutate(prevalence = round(length(which(relt1 == 0)) / (length(which(relt1 == 0)) + length(which(relt1 == 1))), 3))

data_prevalence <- data %>% select(id, sex, histcoh, agegroup, aget1, relt1, prevalence, sinsatt1, sinsatt2, sinsatt3, lifesatt1, lifesatt2, lifesatt3)

# only participants with information on their relationship duration
data_prevalence <- data_prevalence %>% filter(!is.na(relt1))

# only participants who did not participate twice
data_prevalence <- data_prevalence %>% group_by(id) %>%
  mutate(total = sum(n()),
         unique = ifelse(total == 1, 1, 0)) %>%
  select(-total) %>% arrange(id) %>% slice_head()
# write.table(data_prevalence, ""data_prevalences.txt"")[...]prev <- read.table(""data_prevalences.txt"")[...]prev <- prev %>% filter(relt1 == 0)[…]cor.test(prev$prevalence, prev$sinsatt1, type = ""spearman"")","0_clean_data.R ; 1_descriptive_analyses.R ; 1_descriptive_analyses.R ; 1_descriptive_analyses.R:214-229,95,154,156",1,"Spearman rank-order correlation between the cohort-level prevalence of singles at T1 and mean singlehood satisfaction at T1 across cohorts and age groups. The analysis tested whether cohorts with a higher share of singles also showed higher singlehood satisfaction, finding a positive association, rs(7,488) = .20, p < .001.","Second, we calculated the proportion of singles at T1 (Wave 1 for earlier-born cohort and Wave 11 for later-born cohort), which was done with the prevalence sample of N = 17,697 participants. Higher values indicated a greater share of singles at T1 in the respective cohort.

We expected a higher prevalence of singles in the later-born (vs. earlier-born) cohort (Hypothesis 1) and that the higher prevalence is related to higher satisfaction (i.e., satisfaction with singlehood and life satisfaction; Hypothesis 2).

We ... computed Spearman’s rank correlations to assess the association between the prevalence of singles and satisfaction at T1 (Hypothesis 2).

The proportion of singles was significantly associated with higher singlehood satisfaction (rs(7,488) = .20, p < .001) and higher life satisfaction (rs(7,637) = .33, p < .001). Thus, in line with Hypothesis 2, the higher the share of singles in a birth cohort, the more satisfied singles were with their singlehood and life in general.",,"### Is prevalence related to well-being? ###

prev <- prev %>% filter(relt1 == 0)

cor.test(prev$prevalence, prev$sinsatt1, type = ""spearman"")
cor.test(prev$prevalence, prev$lifesatt1, type = ""spearman"")",,1,1
2,transformation,,,,,,"Spearman rank-order correlation between the cohort-level prevalence of singles at T1 and mean singlehood satisfaction at T1 across cohorts and age groups. The analysis tested whether cohorts with a higher share of singles also showed higher singlehood satisfaction, finding a positive association, rs(7,488) = .20, p < .001.","Second, we calculated the proportion of singles at T1 (Wave 1 for earlier-born cohort and Wave 11 for later-born cohort), which was done with the prevalence sample of N = 17,697 participants. Higher values indicated a greater share of singles at T1 in the respective cohort.

We tested differences between the later-born and earlier-born cohort in the prevalence of singles (Hypothesis 1) using a chi-square test and computed Spearman’s rank correlations to assess the association between the prevalence of singles and satisfaction at T1 (Hypothesis 2).",,"### create prevalence data

data <- data %>% group_by(cohort, histcoh) %>%
  mutate(prevalence = round(length(which(relt1 == 0)) / (length(which(relt1 == 0)) + length(which(relt1 == 1))), 3))


data_prevalence <- data %>% select(id, sex, histcoh, agegroup, aget1, relt1, prevalence, sinsatt1, sinsatt2, sinsatt3, lifesatt1, lifesatt2, lifesatt3)

# only participants with information on their relationship duration

data_prevalence <- data_prevalence %>% filter(!is.na(relt1))

# only participants who did not participate twice

data_prevalence <- data_prevalence %>% group_by(id) %>%
  mutate(total = sum(n()),
         unique = ifelse(total == 1, 1, 0)) %>%
  select(-total) %>% arrange(id) %>% slice_head()",,1,
2,variable specification,"We expected a higher prevalence of singles in the laterborn (vs. earlier-born) cohort (Hypothesis 1) and that the higher prevalence is related to higher satisfaction (i.e., satisfaction with singlehood and life satisfaction; Hypothesis 2). [...] We tested differences between the later born and earlier-born cohort in the prevalence of singles
(Hypothesis 1) using a chi-square test and computed Spearman’s rank correlations to assess the association between the prevalence of singles and satisfaction at T1 (Hypothesis 2).",0;2,"prev <- read.table(""data_prevalences.txt"")[...]prev <- prev %>% filter(relt1 == 0)[…]cor.test(prev$prevalence, prev$sinsatt1, type = ""spearman"")","1_descriptive_analyses.R:95,154, 156",1,"Spearman rank-order correlation between the cohort-level prevalence of singles at T1 and mean singlehood satisfaction at T1 across cohorts and age groups. The analysis tested whether cohorts with a higher share of singles also showed higher singlehood satisfaction, finding a positive association, rs(7,488) = .20, p < .001.","Second, we calculated the proportion of singles at T1 (Wave 1 for earlier-born cohort and Wave 11 for later-born cohort), which was done with the prevalence sample of N = 17,697 participants. Higher values indicated a greater share of singles at T1 in the respective cohort.

We expected a higher prevalence of singles in the later-born (vs. earlier-born) cohort (Hypothesis 1) and that the higher prevalence is related to higher satisfaction (i.e., satisfaction with singlehood and life satisfaction; Hypothesis 2).

We ... computed Spearman’s rank correlations to assess the association between the prevalence of singles and satisfaction at T1 (Hypothesis 2).

The proportion of singles was significantly associated with higher singlehood satisfaction (rs(7,488) = .20, p < .001) and higher life satisfaction (rs(7,637) = .33, p < .001). Thus, in line with Hypothesis 2, the higher the share of singles in a birth cohort, the more satisfied singles were with their singlehood and life in general.",,"### Is prevalence related to well-being? ###

prev <- prev %>% filter(relt1 == 0)

cor.test(prev$prevalence, prev$sinsatt1, type = ""spearman"")
cor.test(prev$prevalence, prev$lifesatt1, type = ""spearman"")",,1,1
