analysis_id,dimension,human_manuscript_content,human_manuscript_location,human_code_content,human_code_location,human_match_judgement,codebot_brief_description,codebot_manuscript_content,codebot_manuscript_location,codebot_code_content,codebot_code_location,codebot_match_judgement
A1,model specification,"""In the analyses I used Welch’s independent samples t-tests [...] , d = 0.03,""",text,"# SDs & test for ""a little less positive"" before vs after
t.test(data_after$PA_change[data_after$AnchorPA==2], data_before$PA_change[data_before$AnchorPA==2])
cohen.d(data_after$PA_change[data_after$AnchorPA==2],
        data_before$PA_change[data_before$AnchorPA==2],
        pooled=TRUE,paired=FALSE,
        na.rm=TRUE, hedges.correction=FALSE,
        conf.level=0.95)","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R"":487-488; 501-505",1,,,,,,
A1,variable specification,"""For positive affect, the average change scores for people who said they felt a little less positive converged almost perfectly, regardless of whether people saw the anchor before (M = -0.54, SD = 0.68) the PANAS or after""",text,"data[data == "" A little more positive""] <- 4
data[data == ""A little more positive ""] <- 4 […] data$PA_change = data$PANAS_PA_D2mean - data$PANAS_PA_D1mean  [...] data_before = data[data$Anchor.Position==""Anchor Before"", ] […] data_after = data[data$Anchor.Position==""Anchor After"", ] [...] t.test(data_after$PA_change[data_after$AnchorPA==2], data_before$PA_change[data_before$AnchorPA==2])","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R"":39-40; 77; 83; 115-116; 488",1,,,,,,
A1,transformation ,,,,,,,,,,,
A1,variable specification,"""For positive affect, the average change scores for people who said they felt a little less positive converged almost perfectly, regardless of whether people saw the anchor before (M = -0.54, SD = 0.68) the PANAS or after""",text,"data[data == "" A little more positive""] <- 4
data[data == ""A little more positive ""] <- 4 […] data$PA_change = data$PANAS_PA_D2mean - data$PANAS_PA_D1mean  [...] data_before = data[data$Anchor.Position==""Anchor Before"", ] […] data_after = data[data$Anchor.Position==""Anchor After"", ] [...] t.test(data_after$PA_change[data_after$AnchorPA==2], data_before$PA_change[data_before$AnchorPA==2])","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R"":39-40; 77; 83; 115-116; 488",1,,,,,,
A1,transformation ,"""For Time 1 and Time 2 separately, I averaged the positive affect items for each participant to produce a mean score for positive affect, and I did the same for the negative affect items to produce a mean  score for negative affect. To calculate each participant’s change score for positive affect, I subtracted the mean score for positive affect at Time 1 from the mean score for positive affect at Time 2. I did the same to calculate the change scores for negative affect. Thus, each participant had a change score for positive affect and a change score for negative affect.""",text,data$PA_change = data$PANAS_PA_D2mean - data$PANAS_PA_D1mean,"""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R"":77",1,,,,,,
A1,inference criteria,"""regardless of whether people saw the anchor before (M = -0.54, SD = 0.68) the PANAS or after (M = -0.56, SD = 0.69), mean difference = 0.02, CI 95%[-0.21, 0.26], d = 0.03, CI 95%[-0.31, 0.38]""",text,"cohen.d(data_after$PA_change[data_after$AnchorPA==2],
        data_before$PA_change[data_before$AnchorPA==2],
        pooled=TRUE,paired=FALSE,
        na.rm=TRUE, hedges.correction=FALSE,
        conf.level=0.95)","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R""; ""./pilot_paper/anvari_2023/effect_size_d_paired_function.R"":491-495",1,,,,,,
A2,model specification,"""In the analyses I used Welch’s independent samples t-tests [...] , d = 0.03,""",text,"# SDs & test for ""a little more positive"" before vs after
t.test(data_after$PA_change[data_after$AnchorPA==4], data_before$PA_change[data_before$AnchorPA==4])
cohen.d(data_after$PA_change[data_after$AnchorPA==4],
        data_before$PA_change[data_before$AnchorPA==4],
        pooled=TRUE,paired=FALSE,
        na.rm=TRUE, hedges.correction=FALSE,
        conf.level=0.95)","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R""; ""./pilot_paper/anvari_2023/effect_size_d_paired_function.R"":497-498;501-505",1,"Welch independent-samples t-test comparing mean positive affect change scores (Time 2 – Time 1 PANAS positive mean scores) between participants who saw the anchor item before versus after the PANAS, among those who answered “a little more positive” on the positive anchor item.","In the analyses I used Welch's independent samples t-tests.[...]For those who said they felt a little more positive, there was a slight difference in the average change score between those who saw the anchor before (M = 0.20, SD = 0.53) and those who saw the anchor after (M = 0.15, SD = 0.63), but this was not a statistically significant difference, t(351.87) = 0.83, p = .409, mean difference = 0.05, CI 95%[-0.07, 0.17], d = 0.09, CI 95%[-0.12, 0.29].",,"# SDs & test for ""a little more positive"" before vs after
t.test(data_after$PA_change[data_after$AnchorPA==4], data_before$PA_change[data_before$AnchorPA==4])",,1
A2,variable specification,"""For those who said they felt a little more positive, there was a slight difference in the average change score between those who saw the anchor before (M = 0.20, SD = 0.53) and those who saw the anchor after""",text,"data[data == "" A little more positive""] <- 4
data[data == ""A little more positive ""] <- 4 […] data$PA_change = data$PANAS_PA_D2mean - data$PANAS_PA_D1mean  [...] data_before = data[data$Anchor.Position==""Anchor Before"", ] […] data_after = data[data$Anchor.Position==""Anchor After"", ] [...] t.test(data_after$PA_change[data_after$AnchorPA==4], data_before$PA_change[data_before$AnchorPA==4])","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R"":39-40; 77; 83; 115-116; 509",1,"Welch independent-samples t-test comparing mean positive affect change scores (Time 2 – Time 1 PANAS positive mean scores) between participants who saw the anchor item before versus after the PANAS, among those who answered “a little more positive” on the positive anchor item.","“For positive affect, the average change scores for people who said they felt a little less positive converged almost perfectly, regardless of whether people saw the anchor before (M = -0.54, SD = 0.68) the PANAS or after (M = -0.56, SD = 0.69), mean difference = 0.02, CI 95%[-0.21, 0.26], d = 0.03, CI 95%[-0.31, 0.38]; although the confidence intervals are wide due to the relatively small number of people who said that they felt ""a little less positive"". For those who said they felt a little more positive, there was a slight difference in the average change score between those who saw the anchor before (M = 0.20, SD = 0.53) and those who saw the anchor after (M = 0.15, SD = 0.63), but this was not a statistically significant difference, t(351.87) = 0.83, p = .409, mean difference = 0.05, CI 95%[-0.07, 0.17], d = 0.09, CI 95%[-0.12, 0.29].”[...]“To calculate each participant's change score for positive affect, I subtracted the mean score for positive affect at Time 1 from the mean score for positive affect at Time 2.”[...]“In the survey at Time 2, I included an anchoritem for positive affect and an anchor-item for negative affect. Importantly, participants were randomly allocated to respond to the anchor item either before the PANAS or after.”[...]“The anchor items for positive and negative affect included in the survey at Time 2 asked participants, ""Overall, compared to the time when you did this survey yesterday, how positive/negative do you feel right now?"". Participants had five response options for each anchor item: much less positive/negative, a little less positive/negative, the same, a little more positive/negative, and much more positive/negative.”",,"data$AnchorPA <- paste(data$PA.Anchor.Before, data$PA.Anchor.After)
[...]
data[data == "" A little more positive""] <- 4
data[data == ""A little more positive ""] <- 4
[...]
data$PANAS_PA_D1mean = rowMeans(data[ , c('PANASD1_1_Attentive', 'PANASD1_2_Interested', 
  'PANASD1_3_Alert', 'PANASD1_4_Excited', 'PANASD1_5_Enthusiastic', 'PANASD1_6_Inspired', 
  'PANASD1_7_Proud', 'PANASD1_8_Determined', 'PANASD1_9_Strong', 'PANASD1_10_Active')], na.rm=TRUE)

data$PANAS_PA_D2mean = rowMeans(data[ , c('PANASD2_1_Attentive', 'PANASD2_2_Interested', 
  'PANASD2_3_Alert', 'PANASD2_4_Excited', 'PANASD2_5_Enthusiastic', 'PANASD2_6_Inspired', 
  'PANASD2_7_Proud', 'PANASD2_8_Determined', 'PANASD2_9_Strong', 'PANASD2_10_Active')], na.rm=TRUE)

data$PA_change = data$PANAS_PA_D2mean - data$PANAS_PA_D1mean
[...]
data_before = data[data$Anchor.Position==""Anchor Before"", ]
[...]
data_after = data[data$Anchor.Position==""Anchor After"", ]
[...]
# SDs & test for ""a little more positive"" before vs after

t.test(data_after$PA_change[data_after$AnchorPA==4], data_before$PA_change[data_before$AnchorPA==4])
sd(data_before$PA_change[data_before$AnchorPA==4])
sd(data_after$PA_change[data_after$AnchorPA==4])
cohen.d(data_after$PA_change[data_after$AnchorPA==4],
        data_before$PA_change[data_before$AnchorPA==4],
        pooled=TRUE,paired=FALSE,
        na.rm=TRUE, hedges.correction=FALSE,
        conf.level=0.95)",,1
A2,transformation ,,,,,,"Welch independent-samples t-test comparing mean positive affect change scores (Time 2 – Time 1 PANAS positive mean scores) between participants who saw the anchor item before versus after the PANAS, among those who answered “a little more positive” on the positive anchor item.","“For Time 1 and Time 2 separately, I averaged the positive affect items for each participant to produce a mean score for positive affect, and I did the same for the negative affect items to produce a mean score for negative affect. To calculate each participant's change score for positive affect, I subtracted the mean score for positive affect at Time 1 from the mean score for positive affect at Time 2. I did the same to calculate the change scores for negative affect. Thus, each participant had a change score for positive affect and a change score for negative affect.” [...] “As per the anchor-based approach for determining the smallest subjectively experienced difference in affect (Anvari & Lakens, 2021), I subcategorized partic-ipants into five groups based on their responses to the anchor item and, for each subcategory, I calculated the average change score from Time 1 to Time 2. I did this separately for participants who saw the anchor-item before the PANAS and those who saw the anchor-item after.” [...] “I excluded participants for (i) having missing responses on any measures or (ii) giving the same response to all items across the three measures in either the first or second survey... The final dataset for this paper consisted of 903 participants who completed the PANAS on both Time 1 and Time 2.”",,"data$AnchorPA <- paste(data$PA.Anchor.Before, data$PA.Anchor.After)
data$AnchorNA <- paste(data$NA.Anchor.Before, data$NA.Anchor.After)
[...]
data$PANAS_PA_D1mean = rowMeans(data[ , c('PANASD1_1_Attentive', 'PANASD1_2_Interested', 
  'PANASD1_3_Alert', 'PANASD1_4_Excited', 'PANASD1_5_Enthusiastic', 'PANASD1_6_Inspired', 
  'PANASD1_7_Proud', 'PANASD1_8_Determined', 'PANASD1_9_Strong', 'PANASD1_10_Active')], na.rm=TRUE)

data$PANAS_PA_D2mean = rowMeans(data[ , c('PANASD2_1_Attentive', 'PANASD2_2_Interested', 
  'PANASD2_3_Alert', 'PANASD2_4_Excited', 'PANASD2_5_Enthusiastic', 'PANASD2_6_Inspired', 
  'PANASD2_7_Proud', 'PANASD2_8_Determined', 'PANASD2_9_Strong', 'PANASD2_10_Active')], na.rm=TRUE)
[...]
data$PA_change = data$PANAS_PA_D2mean - data$PANAS_PA_D1mean
[...]
data_before = data[data$Anchor.Position==""Anchor Before"", ]
[...]
data_after = data[data$Anchor.Position==""Anchor After"", ]
[...]
# SDs & test for ""a little more positive"" before vs after
t.test(data_after$PA_change[data_after$AnchorPA==4], data_before$PA_change[data_before$AnchorPA==4])",,1
A2,variable specification,"""For those who said they felt a little more positive, there was a slight difference in the average change score between those who saw the anchor before (M = 0.20, SD = 0.53) and those who saw the anchor after""",text,"data[data == "" A little more positive""] <- 4
data[data == ""A little more positive ""] <- 4 […] data$PA_change = data$PANAS_PA_D2mean - data$PANAS_PA_D1mean  [...] data_before = data[data$Anchor.Position==""Anchor Before"", ] […] data_after = data[data$Anchor.Position==""Anchor After"", ] [...] t.test(data_after$PA_change[data_after$AnchorPA==4], data_before$PA_change[data_before$AnchorPA==4])","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R"":39-40; 77; 83; 115-116; 509",1,"Welch independent-samples t-test comparing mean positive affect change scores (Time 2 – Time 1 PANAS positive mean scores) between participants who saw the anchor item before versus after the PANAS, among those who answered “a little more positive” on the positive anchor item.","“For positive affect, the average change scores for people who said they felt a little less positive converged almost perfectly, regardless of whether people saw the anchor before (M = -0.54, SD = 0.68) the PANAS or after (M = -0.56, SD = 0.69), mean difference = 0.02, CI 95%[-0.21, 0.26], d = 0.03, CI 95%[-0.31, 0.38]; although the confidence intervals are wide due to the relatively small number of people who said that they felt ""a little less positive"". For those who said they felt a little more positive, there was a slight difference in the average change score between those who saw the anchor before (M = 0.20, SD = 0.53) and those who saw the anchor after (M = 0.15, SD = 0.63), but this was not a statistically significant difference, t(351.87) = 0.83, p = .409, mean difference = 0.05, CI 95%[-0.07, 0.17], d = 0.09, CI 95%[-0.12, 0.29].”[...]“To calculate each participant's change score for positive affect, I subtracted the mean score for positive affect at Time 1 from the mean score for positive affect at Time 2.”[...]“In the survey at Time 2, I included an anchoritem for positive affect and an anchor-item for negative affect. Importantly, participants were randomly allocated to respond to the anchor item either before the PANAS or after.”[...]“The anchor items for positive and negative affect included in the survey at Time 2 asked participants, ""Overall, compared to the time when you did this survey yesterday, how positive/negative do you feel right now?"". Participants had five response options for each anchor item: much less positive/negative, a little less positive/negative, the same, a little more positive/negative, and much more positive/negative.”",,"data$AnchorPA <- paste(data$PA.Anchor.Before, data$PA.Anchor.After)
[...]
data[data == "" A little more positive""] <- 4
data[data == ""A little more positive ""] <- 4
[...]
data$PANAS_PA_D1mean = rowMeans(data[ , c('PANASD1_1_Attentive', 'PANASD1_2_Interested', 
  'PANASD1_3_Alert', 'PANASD1_4_Excited', 'PANASD1_5_Enthusiastic', 'PANASD1_6_Inspired', 
  'PANASD1_7_Proud', 'PANASD1_8_Determined', 'PANASD1_9_Strong', 'PANASD1_10_Active')], na.rm=TRUE)

data$PANAS_PA_D2mean = rowMeans(data[ , c('PANASD2_1_Attentive', 'PANASD2_2_Interested', 
  'PANASD2_3_Alert', 'PANASD2_4_Excited', 'PANASD2_5_Enthusiastic', 'PANASD2_6_Inspired', 
  'PANASD2_7_Proud', 'PANASD2_8_Determined', 'PANASD2_9_Strong', 'PANASD2_10_Active')], na.rm=TRUE)

data$PA_change = data$PANAS_PA_D2mean - data$PANAS_PA_D1mean
[...]
data_before = data[data$Anchor.Position==""Anchor Before"", ]
[...]
data_after = data[data$Anchor.Position==""Anchor After"", ]
[...]
# SDs & test for ""a little more positive"" before vs after

t.test(data_after$PA_change[data_after$AnchorPA==4], data_before$PA_change[data_before$AnchorPA==4])
sd(data_before$PA_change[data_before$AnchorPA==4])
sd(data_after$PA_change[data_after$AnchorPA==4])
cohen.d(data_after$PA_change[data_after$AnchorPA==4],
        data_before$PA_change[data_before$AnchorPA==4],
        pooled=TRUE,paired=FALSE,
        na.rm=TRUE, hedges.correction=FALSE,
        conf.level=0.95)",,1
