analysis_id,dimension,manuscript_content,manuscript_location,code_content,code_file,code_lines,results,data_needed,data_available,notes,dimension_norm,paper_id,human_analysis_id,codebot_analysis_id,link_type,confidence
A1,model specification,"""In the analyses I used Welch’s independent samples t-tests [...] , d = 0.03,""",text,"# SDs & test for ""a little less positive"" before vs after
t.test(data_after$PA_change[data_after$AnchorPA==2], data_before$PA_change[data_before$AnchorPA==2])
cohen.d(data_after$PA_change[data_after$AnchorPA==2],
        data_before$PA_change[data_before$AnchorPA==2],
        pooled=TRUE,paired=FALSE,
        na.rm=TRUE, hedges.correction=FALSE,
        conf.level=0.95)","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R""",487-488; 501-505 ,1.0,1.0,1.0,var.equal=FALSE per default -> Welch test,model,anvari_2023,A1,,no_match,0.0
A1,variable specification,"""For positive affect, the average change scores for people who said they felt a little less positive converged almost perfectly, regardless of whether people saw the anchor before (M = -0.54, SD = 0.68) the PANAS or after""",text,"data[data == "" A little more positive""] <- 4
data[data == ""A little more positive ""] <- 4 […] data$PA_change = data$PANAS_PA_D2mean - data$PANAS_PA_D1mean  [...] data_before = data[data$Anchor.Position==""Anchor Before"", ] […] data_after = data[data$Anchor.Position==""Anchor After"", ] [...] t.test(data_after$PA_change[data_after$AnchorPA==2], data_before$PA_change[data_before$AnchorPA==2])","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R""",39-40; 77; 83; 115-116; 488,1.0,0.0,1.0,,variables,anvari_2023,A1,,no_match,0.0
A1,transformation ,,,,,,,,,"no transformation took place, only one question with five response options",transform,anvari_2023,A1,,no_match,0.0
A1,variable specification,"""For positive affect, the average change scores for people who said they felt a little less positive converged almost perfectly, regardless of whether people saw the anchor before (M = -0.54, SD = 0.68) the PANAS or after""",text,"data[data == "" A little more positive""] <- 4
data[data == ""A little more positive ""] <- 4 […] data$PA_change = data$PANAS_PA_D2mean - data$PANAS_PA_D1mean  [...] data_before = data[data$Anchor.Position==""Anchor Before"", ] […] data_after = data[data$Anchor.Position==""Anchor After"", ] [...] t.test(data_after$PA_change[data_after$AnchorPA==2], data_before$PA_change[data_before$AnchorPA==2])","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R""",39-40; 77; 83; 115-116; 488,1.0,0.0,1.0,,variables,anvari_2023,A1,,no_match,0.0
A1,transformation ,"""For Time 1 and Time 2 separately, I averaged the positive affect items for each participant to produce a mean score for positive affect, and I did the same for the negative affect items to produce a mean  score for negative affect. To calculate each participant’s change score for positive affect, I subtracted the mean score for positive affect at Time 1 from the mean score for positive affect at Time 2. I did the same to calculate the change scores for negative affect. Thus, each participant had a change score for positive affect and a change score for negative affect.""",text,data$PA_change = data$PANAS_PA_D2mean - data$PANAS_PA_D1mean,"""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R""",77,1.0,0.0,1.0,,transform,anvari_2023,A1,,no_match,0.0
A1,inference criteria,"""regardless of whether people saw the anchor before (M = -0.54, SD = 0.68) the PANAS or after (M = -0.56, SD = 0.69), mean difference = 0.02, CI 95%[-0.21, 0.26], d = 0.03, CI 95%[-0.31, 0.38]""",text,"cohen.d(data_after$PA_change[data_after$AnchorPA==2],
        data_before$PA_change[data_before$AnchorPA==2],
        pooled=TRUE,paired=FALSE,
        na.rm=TRUE, hedges.correction=FALSE,
        conf.level=0.95)","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R""; ""./pilot_paper/anvari_2023/effect_size_d_paired_function.R""",491-495,1.0,0.0,1.0,default t.test() is alpha level 0.05,inference,anvari_2023,A1,,no_match,0.0
A2,model specification,"""In the analyses I used Welch’s independent samples t-tests [...] , d = 0.03,""",text,"# SDs & test for ""a little more positive"" before vs after
t.test(data_after$PA_change[data_after$AnchorPA==4], data_before$PA_change[data_before$AnchorPA==4])
cohen.d(data_after$PA_change[data_after$AnchorPA==4],
        data_before$PA_change[data_before$AnchorPA==4],
        pooled=TRUE,paired=FALSE,
        na.rm=TRUE, hedges.correction=FALSE,
        conf.level=0.95)","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R""; ""./pilot_paper/anvari_2023/effect_size_d_paired_function.R""",497-498;501-505,1.0,1.0,1.0,var.equal=FALSE per default -> Welch test,model,anvari_2023,A2,1,exact,0.97
A2,variable specification,"""For those who said they felt a little more positive, there was a slight difference in the average change score between those who saw the anchor before (M = 0.20, SD = 0.53) and those who saw the anchor after""",text,"data[data == "" A little more positive""] <- 4
data[data == ""A little more positive ""] <- 4 […] data$PA_change = data$PANAS_PA_D2mean - data$PANAS_PA_D1mean  [...] data_before = data[data$Anchor.Position==""Anchor Before"", ] […] data_after = data[data$Anchor.Position==""Anchor After"", ] [...] t.test(data_after$PA_change[data_after$AnchorPA==4], data_before$PA_change[data_before$AnchorPA==4])","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R""",39-40; 77; 83; 115-116; 509,1.0,0.0,1.0,,variables,anvari_2023,A2,1,exact,0.97
A2,transformation ,,,,,,,,,"no transformation took place, only one question with five response options",transform,anvari_2023,A2,1,exact,0.97
A2,variable specification,"""For those who said they felt a little more positive, there was a slight difference in the average change score between those who saw the anchor before (M = 0.20, SD = 0.53) and those who saw the anchor after""",text,"data[data == "" A little more positive""] <- 4
data[data == ""A little more positive ""] <- 4 […] data$PA_change = data$PANAS_PA_D2mean - data$PANAS_PA_D1mean  [...] data_before = data[data$Anchor.Position==""Anchor Before"", ] […] data_after = data[data$Anchor.Position==""Anchor After"", ] [...] t.test(data_after$PA_change[data_after$AnchorPA==4], data_before$PA_change[data_before$AnchorPA==4])","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R""",39-40; 77; 83; 115-116; 509,1.0,0.0,1.0,,variables,anvari_2023,A2,1,exact,0.97
