paper_id,analysis_id,brief_description,dimension,paper_value,code_value,match_status,explanation,paper_evidence,code_evidence
evans,5,"A Pearson correlation examined the relation between quality of work environment and peer influence condition (ethical vs unethical) in the direct replication. The effect was essentially zero (r = .01), suggesting no systematic association between these two experimental manipulations.",Model Specification,"Second, descriptive statistics are presented ( Table 3 ) within a correlation matrix.

Table 3. Direct replication: means, standard deviations, and correlations (* = p < .05; **= p < .01).","#Change column order so it presents correlation matrix in original order
col_order <- c(""QWE"", ""MI"", ""PI"", ""LOCTot"", ""MachTot"",
               ""Sex"", ""SocDesTot"", ""BehIntTot"")
DataCorr <- Data[, col_order]

#Correlation matrix
#Creates an APA correlation matrix and saves it in your working directory as a document
table1 <- apa.cor.table(DataCorr,
                        filename = ""Table3.doc"",
                        table.number = 3)",match,"The paper describes a correlation matrix, and the code generates a correlation table consistent with Pearson correlations, matching the model specification. There is no indication of using any other type of correlation or model in either source.",,
evans,5,"A Pearson correlation examined the relation between quality of work environment and peer influence condition (ethical vs unethical) in the direct replication. The effect was essentially zero (r = .01), suggesting no systematic association between these two experimental manipulations.",Variable Specification,"The categorical independent variables (quality of work experience, peer influence, managerial influence and gender) were dummy coded before being regressed upon behavioural intention alongside Machiavellianism and locus of control total scores. Participants were then randomly allocated to one of eight manipulated vignettes and asked to report their intention to inflate an expense request. These vignettes purportedly differed in three ways: whether they reported a low or high-quality work experience, ethical or unethical peer influence, and ethical or unethical manager influence (see Table 2).","#recode quality of workplace variable from labels to numeric values
Data <- Data %>% mutate_at(vars(QWE),
                           list(
                             ~ recode(.,
                                      `low` = 0,
                                      `high` = 1)))
#recode both manager influence and peer influence variables from labels to numeric values
Data <- Data %>% mutate_at(vars(MI, PI),
                           list(
                             ~ recode(.,
                                      `ethical` = 0,
                                      `unethical` = 1)))

#Change column order so it presents correlation matrix in original order
col_order <- c(""QWE"", ""MI"", ""PI"", ""LOCTot"", ""MachTot"",
               ""Sex"", ""SocDesTot"", ""BehIntTot"")
DataCorr <- Data[, col_order]

#Correlation matrix
#Creates an APA correlation matrix and saves it in your working directory as a document
table1 <- apa.cor.table(DataCorr,
                        filename = ""Table3.doc"",
                        table.number = 3)",match,"The code uses the intended experimental manipulation variables (quality of work environment and peer influence), dummy coded, in a Pearson correlation matrix, consistent with the paper’s description of examining the relation between these two conditions. There is no indication of different variables or roles being used than those described in the paper.",,
evans,5,"A Pearson correlation examined the relation between quality of work environment and peer influence condition (ethical vs unethical) in the direct replication. The effect was essentially zero (r = .01), suggesting no systematic association between these two experimental manipulations.",Transformation Specification,"“The categorical independent variables (quality of work experience, peer influence, managerial influence and gender) were dummy coded before being regressed upon behavioural intention alongside Machiavellianism and locus of control total scores.”

“Please note, from this point, participants who did not report a male or female identity were removed.”","#recode data suitable for analysis
Data <- Data %>% filter(Sex == ""Male"" | Sex == ""Female"")

#recode Sex variable from labels to numeric values
Data <- Data %>% mutate_at(vars(Sex),
                           list(
                             ~ recode(.,
                                      `Male` = 0,
                                      `I do not wish to identify as either` = 0.5,
                                      `Female` = 1)))

#recode quality of workplace variable from labels to numeric values
Data <- Data %>% mutate_at(vars(QWE),
                           list(
                             ~ recode(.,
                                      `low` = 0,
                                      `high` = 1)))
#recode both manager influence and peer influence variables from labels to numeric values
Data <- Data %>% mutate_at(vars(MI, PI),
                           list(
                             ~ recode(.,
                                      `ethical` = 0,
                                      `unethical` = 1)))

#Change column order so it presents correlation matrix in original order
col_order <- c(""QWE"", ""MI"", ""PI"", ""LOCTot"", ""MachTot"",
               ""Sex"", ""SocDesTot"", ""BehIntTot"")
DataCorr <- Data[, col_order]

#Correlation matrix
#Creates an APA correlation matrix and saves it in your working directory as a document
table1 <- apa.cor.table(DataCorr,
                        filename = ""Table3.doc"",
                        table.number = 3)",match,"The code dummy-codes the categorical predictors and removes participants who did not report male or female gender, aligning with the paper’s described transformations prior to the correlation analysis. These transformed variables (QWE, PI, etc.) are then used directly in the correlation matrix that includes the focal Pearson correlation.",,
evans,5,"A Pearson correlation examined the relation between quality of work environment and peer influence condition (ethical vs unethical) in the direct replication. The effect was essentially zero (r = .01), suggesting no systematic association between these two experimental manipulations.",Inference Specification,"Using a power calculation in R, as reported in the power analysis code document on the OSF project page, the number of participants required to observe this effect with 80% power and alpha of .05 is 1799.

Each of the effects associated with the six independent variables are considered replicated in the context of the LeBel et al. ( 2019 ) replication criteria. The results were considered ""consistent"" where confidence intervals overlapped with the main effects previously reported in each of the original two experiments (for the direct replication) or the direct replication (for the conceptual replication). Similarly, where the confidence intervals did not overlap with 0, a signal was considered ""detected.""","#Change column order so it presents correlation matrix in original order
col_order <- c(""QWE"", ""MI"", ""PI"", ""LOCTot"", ""MachTot"",
               ""Sex"", ""SocDesTot"", ""BehIntTot"")
DataCorr <- Data[, col_order]

#Correlation matrix
#Creates an APA correlation matrix and saves it in your working directory as a document
table1 <- apa.cor.table(DataCorr,
                        filename = ""Table3.doc"",
                        table.number = 3)

#FIRST WE MAKE A FUNCTION WHICH CREATES A DATAFRAME OF CORRELATIONS 
#BY OUTCOMES AND DATA COLLECTION GROUP
corrfunc <- function(Data)
{
  return(data.frame(cbind(n = rcorr(Data$BehIntTot, Data$LOCTot, type=c(""pearson""))$n[1,2]),
                    Sex = round(rcorr(Data$BehIntTot, Data$Sex, type=c(""pearson""))$r[1,2], digits=3),
                    Machiavellianism = round(rcorr(Data$BehIntTot, Data$MachTot, type=c(""pearson""))$r[1,2], digits = 3),
                    Locus = round(rcorr(Data$BehIntTot, Data$LOCTot, type=c(""pearson""))$r[1,2], digits=3),
                    Peer = round(rcorr(Data$BehIntTot, Data$PI, type=c(""pearson""))$r[1,2], digits=3),
                    Manager = round(rcorr(Data$BehIntTot, Data$MI, type=c(""pearson""))$r[1,2], digits=3),
                    Quality = round(rcorr(Data$BehIntTot, Data$QWE, type=c(""pearson""))$r[1,2], digits=3)
  ))
}",unknown,"The paper describes general inferential criteria (alpha = .05, CI-overlap rules), but the provided code only computes and formats correlations without explicitly specifying alpha levels, confidence intervals, or replication/inference decisions for this correlation. It is therefore unclear whether the inferential criteria described in the paper are actually implemented in the shown code.",,
evans,6,"A Pearson correlation assessed the association between quality of work environment and locus of control scores in the direct replication. The correlation was near zero (r = −.01), indicating that participants' work locus of control was independent of the assigned work-quality vignette condition.",Model Specification,"Table 3. Direct replication: means, standard deviations, and correlations (* = p < .05; **= p < .01).","#Change column order so it presents correlation matrix in original order
col_order <- c(""QWE"", ""MI"", ""PI"", ""LOCTot"", ""MachTot"",
               ""Sex"", ""SocDesTot"", ""BehIntTot"")
DataCorr <- Data[, col_order]

#Correlation matrix
#Creates an APA correlation matrix and saves it in your working directory as a document
table1 <- apa.cor.table(DataCorr,
                        filename = ""Table3.doc"",
                        table.number = 3)
...
#FIRST WE MAKE A FUNCTION WHICH CREATES A DATAFRAME OF CORRELATIONS 
#BY OUTCOMES AND DATA COLLECTION GROUP
corrfunc <- function(Data)
{
  return(data.frame(cbind(n = rcorr(Data$BehIntTot, Data$LOCTot, type=c(""pearson""))$n[1,2]),
                    Sex = round(rcorr(Data$BehIntTot, Data$Sex, type=c(""pearson""))$r[1,2], digits=3),
                    Machiavellianism = round(rcorr(Data$BehIntTot, Data$MachTot, type=c(""pearson""))$r[1,2], digits = 3),
                    Locus = round(rcorr(Data$BehIntTot, Data$LOCTot, type=c(""pearson""))$r[1,2], digits=3),
                    Peer = round(rcorr(Data$BehIntTot, Data$PI, type=c(""pearson""))$r[1,2], digits=3),
                    Manager = round(rcorr(Data$BehIntTot, Data$MI, type=c(""pearson""))$r[1,2], digits=3),
                    Quality = round(rcorr(Data$BehIntTot, Data$QWE, type=c(""pearson""))$r[1,2], digits=3)
  ))
}",match,"Both the paper and the code specify the use of Pearson correlations for the relevant variables. The code generates a Pearson correlation matrix including QWE and LOCTot, consistent with the described analysis.",,
evans,6,"A Pearson correlation assessed the association between quality of work environment and locus of control scores in the direct replication. The correlation was near zero (r = −.01), indicating that participants' work locus of control was independent of the assigned work-quality vignette condition.",Variable Specification,"Participants were then randomly allocated to one of eight manipulated vignettes and asked to report their intention to inflate an expense request. These vignettes purportedly differed in three ways: whether they reported a low or high-quality work experience, ethical or unethical peer influence, and ethical or unethical manager influence (see Table 2 ).

""The categorical independent variables (quality of work experience, peer influence, managerial influence and gender) were dummy coded before being regressed upon behavioural intention alongside Machiavellianism and locus of control total scores.""","#recode quality of workplace variable from labels to numeric values
Data <- Data %>% mutate_at(vars(QWE),
                           list(
                             ~ recode(.,
                                      `low` = 0,
                                      `high` = 1)))
...
#Change column order so it presents correlation matrix in original order
col_order <- c(""QWE"", ""MI"", ""PI"", ""LOCTot"", ""MachTot"",
               ""Sex"", ""SocDesTot"", ""BehIntTot"")
DataCorr <- Data[, col_order]

#Correlation matrix
#Creates an APA correlation matrix and saves it in your working directory as a document
table1 <- apa.cor.table(DataCorr,
                        filename = ""Table3.doc"",
                        table.number = 3)",match,"The code uses the quality of work environment variable (QWE) and locus of control total scores (LOCTot) in a Pearson correlation matrix, matching the paper’s description of correlating work environment quality with locus of control. QWE is appropriately recoded from categorical labels to numeric values to be used in the correlation, aligning with the paper’s treatment of categorical independent variables.",,
evans,6,"A Pearson correlation assessed the association between quality of work environment and locus of control scores in the direct replication. The correlation was near zero (r = −.01), indicating that participants' work locus of control was independent of the assigned work-quality vignette condition.",Transformation Specification,"The categorical independent variables (quality of work experience, peer influence, managerial influence and gender) were dummy coded before being regressed upon behavioural intention alongside Machiavellianism and locus of control total scores.

Concurrent with the original study, ten items of the Rotter ( 1966 ), Christie and Geis ( 1970 ) and Crowne and Marlowe ( 1960 ) scales (respectively) were adopted using a 5-point likert scale response.

Unethical Behavioural Intention was captured by four items assessed through a 5-point likert scale.","#recode data suitable for analysis
Data <- Data %>% filter(Sex == ""Male"" | Sex == ""Female"")

#recode Sex variable from labels to numeric values
Data <- Data %>% mutate_at(vars(Sex),
                           list(
                             ~ recode(.,
                                      `Male` = 0,
                                      `I do not wish to identify as either` = 0.5,
                                      `Female` = 1)))

#recode quality of workplace variable from labels to numeric values
Data <- Data %>% mutate_at(vars(QWE),
                           list(
                             ~ recode(.,
                                      `low` = 0,
                                      `high` = 1)))
#recode both manager influence and peer influence variables from labels to numeric values
Data <- Data %>% mutate_at(vars(MI, PI),
                           list(
                             ~ recode(.,
                                      `ethical` = 0,
                                      `unethical` = 1)))

#Change column order so it presents correlation matrix in original order
col_order <- c(""QWE"", ""MI"", ""PI"", ""LOCTot"", ""MachTot"",
               ""Sex"", ""SocDesTot"", ""BehIntTot"")
DataCorr <- Data[, col_order]

#Correlation matrix
#Creates an APA correlation matrix and saves it in your working directory as a document
table1 <- apa.cor.table(DataCorr,
                        filename = ""Table3.doc"",
                        table.number = 3)",match,"The paper states that categorical independent variables, including quality of work experience and gender, were dummy coded prior to analysis, and the code implements this by recoding those variables to numeric 0/1 indicators before computing the correlation matrix. No contradictory or additional transformations affecting the QWE–locus of control correlation are evident beyond this dummy coding and use of total scores, which is consistent with the paper’s description.",,
evans,6,"A Pearson correlation assessed the association between quality of work environment and locus of control scores in the direct replication. The correlation was near zero (r = −.01), indicating that participants' work locus of control was independent of the assigned work-quality vignette condition.",Inference Specification,"Using a power calculation in R, as reported in the power analysis code document on the OSF project page, the number of participants required to observe this effect with 80% power and alpha of .05 is 1799.

Each of the effects associated with the six independent variables are considered repli-
cated in the context of the LeBel et al. ( 2019 ) replication criteria. The results were
considered “consistent” where confidence intervals overlapped with the main effects
previously reported in each of the original two experiments (for the direct replication)
or the direct replication (for the conceptual replication). Similarly, where the confidence
intervals did not overlap with 0, a signal was considered “detected.”

Table 3. Direct replication: means, standard deviations, and correlations (* = p < .05; **= p < .01).","#Correlation matrix
#Creates an APA correlation matrix and saves it in your working directory as a document
table1 <- apa.cor.table(DataCorr,
                        filename = ""Table3.doc"",
                        table.number = 3)

...

corrfunc <- function(Data)
{
  return(data.frame(cbind(n = rcorr(Data$BehIntTot, Data$LOCTot, type=c(""pearson""))$n[1,2]),
                    Sex = round(rcorr(Data$BehIntTot, Data$Sex, type=c(""pearson""))$r[1,2], digits=3),
                    Machiavellianism = round(rcorr(Data$BehIntTot, Data$MachTot, type=c(""pearson""))$r[1,2], digits = 3),
                    Locus = round(rcorr(Data$BehIntTot, Data$LOCTot, type=c(""pearson""))$r[1,2], digits=3),
                    Peer = round(rcorr(Data$BehIntTot, Data$PI, type=c(""pearson""))$r[1,2], digits=3),
                    Manager = round(rcorr(Data$BehIntTot, Data$MI, type=c(""pearson""))$r[1,2], digits=3),
                    Quality = round(rcorr(Data$BehIntTot, Data$QWE, type=c(""pearson""))$r[1,2], digits=3)
  ))
}",unknown,"The paper specifies inference criteria involving alpha = .05 and confidence-interval-based replication criteria, but the provided code only shows correlation computations and table generation without explicit alpha or CI settings. It is therefore unclear from the snippet whether the implemented inference procedures fully match those described in the paper.",,
evans,7,"A Pearson correlation evaluated the relationship between quality of work environment and Machiavellianism scores in the direct replication. The correlation was negligible (r = .01), suggesting that trait Machiavellianism did not differ meaningfully by assigned work-quality condition.",Model Specification,"Second, descriptive statistics (means and standard deviations) and omega coefficients were presented within a correlation matrix.

Table 3. Direct replication: means, standard deviations, and correlations (* = p < .05; **= p < .01).","#Change column order so it presents correlation matrix in original order
col_order <- c(""QWE"", ""MI"", ""PI"", ""LOCTot"", ""MachTot"",
               ""Sex"", ""SocDesTot"", ""BehIntTot"")
DataCorr <- Data[, col_order]

#Correlation matrix
#Creates an APA correlation matrix and saves it in your working directory as a document
table1 <- apa.cor.table(DataCorr,
                        filename = ""Table3.doc"",
                        table.number = 3)
...
#FIRST WE MAKE A FUNCTION WHICH CREATES A DATAFRAME OF CORRELATIONS 
#BY OUTCOMES AND DATA COLLECTION GROUP
corrfunc <- function(Data)
{
  return(data.frame(cbind(n = rcorr(Data$BehIntTot, Data$LOCTot, type=c(""pearson""))$n[1,2]),
                    Sex = round(rcorr(Data$BehIntTot, Data$Sex, type=c(""pearson""))$r[1,2], digits=3),
                    Machiavellianism = round(rcorr(Data$BehIntTot, Data$MachTot, type=c(""pearson""))$r[1,2], digits = 3),
                    Locus = round(rcorr(Data$BehIntTot, Data$LOCTot, type=c(""pearson""))$r[1,2], digits=3),
                    Peer = round(rcorr(Data$BehIntTot, Data$PI, type=c(""pearson""))$r[1,2], digits=3),
                    Manager = round(rcorr(Data$BehIntTot, Data$MI, type=c(""pearson""))$r[1,2], digits=3),
                    Quality = round(rcorr(Data$BehIntTot, Data$QWE, type=c(""pearson""))$r[1,2], digits=3)
  ))
}",match,"The paper describes correlations in a correlation matrix, and the code computes Pearson correlations, which matches the stated model specification. Specifically, the relationship between quality of work environment and Machiavellianism is modeled via Pearson correlation in the code.",,
evans,7,"A Pearson correlation evaluated the relationship between quality of work environment and Machiavellianism scores in the direct replication. The correlation was negligible (r = .01), suggesting that trait Machiavellianism did not differ meaningfully by assigned work-quality condition.",Variable Specification,"Participants were then randomly allocated to one of eight manipulated vignettes and asked to report their intention to inflate an expense request. These vignettes purportedly differed in three ways: whether they reported a low or high-quality work experience, ethical or unethical peer influence, and ethical or unethical manager influence (see Table 2).

Locus of Control, Machiavellianism, and Social Desirability – Concurrent with the original study, ten items of the Rotter (1966), Christie and Geis (1970) and Crowne and Marlowe (1960) scales (respectively) were adopted using a 5-point likert scale response.

The categorical independent variables (quality of work experience, peer influence, managerial influence and gender) were dummy coded before being regressed upon behavioural intention alongside Machiavellianism and locus of control total scores.

Table 3. Direct replication: means, standard deviations, and correlations (* = p < .05; **= p < .01).
Variable  M   SD   Omega  1   2   3   4   5   6   7
1. Quality of Work Environment  0.49  0.50
...
5. Machiavellianism  26.20  4.93  .74  .01  .01  .03  .33**","#recode quality of workplace variable from labels to numeric values
Data <- Data %>% mutate_at(vars(QWE),
                           list(
                             ~ recode(.,
                                      `low` = 0,
                                      `high` = 1)))
...
#Change column order so it presents correlation matrix in original order
col_order <- c(""QWE"", ""MI"", ""PI"", ""LOCTot"", ""MachTot"",
               ""Sex"", ""SocDesTot"", ""BehIntTot"")
DataCorr <- Data[, col_order]

#Correlation matrix
#Creates an APA correlation matrix and saves it in your working directory as a document
table1 <- apa.cor.table(DataCorr,
                        filename = ""Table3.doc"",
                        table.number = 3)",match,"The variables used in the correlation analysis (quality of work environment and Machiavellianism total score) match the description in the paper. The code constructs a correlation matrix including QWE and MachTot, aligning with Table 3's correlation between quality of work environment and Machiavellianism.",,
