analysis_id,dimension,manuscript_content,manuscript_location,code_content,code_file,code_lines,results,data_needed,data_available,notes,Unnamed: 11,dimension_norm,paper_id,human_analysis_id,codebot_analysis_id,link_type,confidence
A1.1,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,0.0,data about self-reports not in data file/code but results shown in the table 3,,model,elson_2020,A1.1,1,exact,0.9
A1.1,variable specification,"""2. Significance to media psychology 1""",table,"# NOTE: Self-reported familiarity not included in shareable file cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,"117, 118",,1,0.0,,,variables,elson_2020,A1.1,1,exact,0.9
A1.1,variable specification,"""2. Significance to media psychology 1""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,"117, 118",,1,0.0,1 stands for self-reported familiarity,,variables,elson_2020,A1.1,1,exact,0.9
A1.1,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,inference,elson_2020,A1.1,1,exact,0.9
A1.1,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,transform,elson_2020,A1.1,1,exact,0.9
A1.1,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,transform,elson_2020,A1.1,1,exact,0.9
A1.2,model specification,"""Zero-order correlations are reported in Table 3.""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,118,1.0,1,0.0,data about self-reports not in data file/code but shown in the table 3,,model,elson_2020,A1.2,2,fragment_of,0.9
A1.2,variable specification,"""3. quality of writing 1""",table,"# NOTE: Self-reported familiarity not included in shareable file cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,"117, 118",,1,0.0,1 stands for self-reported familiarity,,variables,elson_2020,A1.2,2,fragment_of,0.9
A1.2,variable specification,"""3. quality of writing 1""",table,"cor(datafile[,5:11])",pilot_paper/elson_2020/analysis_code.R,"117, 118",,1,0.0,,,variables,elson_2020,A1.2,2,fragment_of,0.9
A1.2,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,inference,elson_2020,A1.2,2,fragment_of,0.9
