paper_id,analysis_id,brief_description,dimension,paper_value,code_value,match_status,explanation,paper_evidence,code_evidence
yang,1,Chi-square test comparing gender distribution (male vs female) between the normal control (NC) group (5M/8F) and the aMCI group (3M/10F) to assess whether sex proportions differed by diagnostic group. This test evaluated independence of categorical variables (group by gender) as part of demographic matching.,Model Specification,p value of gender was obtained by chi-square test,,unknown,There is no relevant code provided to verify whether a chi-square test was implemented as described in the paper.,,
yang,1,Chi-square test comparing gender distribution (male vs female) between the normal control (NC) group (5M/8F) and the aMCI group (3M/10F) to assess whether sex proportions differed by diagnostic group. This test evaluated independence of categorical variables (group by gender) as part of demographic matching.,Variable Specification,"Table 1. Demographic data, neuropsychological performance for all subjects (Significant differences were indicated between the two groups)
...
NC(n = 13) aMCI(n = 13)
...
gender 5 M 8 F 3M 10F
...
Note: Data are presented as the mean (SD). p value of gender was obtained by chi-square test; p values for comparison in other demographic data, neuropsychological performance and behavioral data were acquired by independent sample T-test; * denotes p < 0.05, ** denotes p < 0.01.",,unknown,"There is no relevant code provided to verify which variables were used or how they were designated in the chi-square analysis, so alignment with the paper’s variable specification cannot be assessed.",,
yang,1,Chi-square test comparing gender distribution (male vs female) between the normal control (NC) group (5M/8F) and the aMCI group (3M/10F) to assess whether sex proportions differed by diagnostic group. This test evaluated independence of categorical variables (group by gender) as part of demographic matching.,Transformation Specification,"Note: Data are presented as the mean (SD). p value of gender was obtained by chi-square test; p values for comparison in other demographic data, neuropsychological performance and behavioral data were acquired by independent sample T-test; * denotes p < 0.05, ** denotes p < 0.01. SD, standard deviation.",,unknown,"There is insufficient information about any data transformations applied before the chi-square test in either the paper excerpt or the provided code, so correspondence cannot be assessed.",,
yang,1,Chi-square test comparing gender distribution (male vs female) between the normal control (NC) group (5M/8F) and the aMCI group (3M/10F) to assess whether sex proportions differed by diagnostic group. This test evaluated independence of categorical variables (group by gender) as part of demographic matching.,Inference Specification,"Note: Data are presented as the mean (SD). p value of gender was obtained by chi-square test; p values for comparison in other demographic data, neuropsychological performance and behavioral data were acquired by independent sample T-test; * denotes p < 0.05, ** denotes p < 0.01.
...
The conventional significance level of α = .05 was used for the overall analysis.",,unknown,"The paper specifies alpha=0.05 as the conventional significance level, but there is no corresponding code provided to verify how inference criteria were implemented for the chi-square test.",,
yang,4,Independent-samples t-test comparing MMSE scores between NC (27.46±1.33) and aMCI (23.54±3.57) participants to confirm global cognitive impairment in the aMCI group. This test examined group differences in general cognitive status using MMSE.,Model Specification,"p values for comparison in other demographic data, neuropsychological performance and behavioral data were acquired by independent sample T-test;",,unknown,"The paper states that independent-samples t-tests were used, but there is no corresponding code provided to verify the implemented model specification.",,
yang,4,Independent-samples t-test comparing MMSE scores between NC (27.46±1.33) and aMCI (23.54±3.57) participants to confirm global cognitive impairment in the aMCI group. This test examined group differences in general cognitive status using MMSE.,Variable Specification,"Table 1. Demographic data, neuropsychological performance for all subjects (Significant differences were indicated between the two groups)

NC(n = 13) aMCI(n = 13) p
...
MMSE 27.46(1.33) 23.54(3.57) 0.002**
...
Note: Data are presented as the mean (SD). p value of gender was obtained by chi-square test; p values for comparison in other demographic data, neuropsychological performance and behavioral data were acquired by independent sample T-test; * denotes p < 0.05, ** denotes p < 0.01. SD, standard deviation.",,unknown,"No relevant code snippets are provided to verify how MMSE and group variables are implemented for the independent-samples t-test, so alignment with the paper’s description cannot be determined.",,
yang,4,Independent-samples t-test comparing MMSE scores between NC (27.46±1.33) and aMCI (23.54±3.57) participants to confirm global cognitive impairment in the aMCI group. This test examined group differences in general cognitive status using MMSE.,Transformation Specification,Note: Data are presented as the mean (SD).,,unknown,"There is no available code related to this analysis-dimension pairing, so it is not possible to determine whether any data transformations in the implementation match the paper description.",,
yang,4,Independent-samples t-test comparing MMSE scores between NC (27.46±1.33) and aMCI (23.54±3.57) participants to confirm global cognitive impairment in the aMCI group. This test examined group differences in general cognitive status using MMSE.,Inference Specification,"* denotes p < 0.05, ** denotes p < 0.01.",,unknown,"The paper specifies significance thresholds (p < 0.05 and p < 0.01), but there is no corresponding code provided to determine how inference criteria were implemented.",,
yang,5,Independent-samples t-test comparing MoCA-B scores between NC (24.46±3.69) and aMCI (16.15±4.32) groups to assess group differences in more sensitive cognitive screening. The analysis evaluated whether aMCI participants showed significantly lower MoCA-B performance than controls.,Model Specification,"p value of gender was obtained by chi-square test; p values for comparison in other demographic data, neuropsychological performance and behavioral data were acquired by independent sample T-test;",,unknown,"The paper specifies independent-samples t-tests for neuropsychological measures like MoCA-B, but no corresponding code for this analysis is provided, so alignment cannot be assessed.",,
yang,5,Independent-samples t-test comparing MoCA-B scores between NC (24.46±3.69) and aMCI (16.15±4.32) groups to assess group differences in more sensitive cognitive screening. The analysis evaluated whether aMCI participants showed significantly lower MoCA-B performance than controls.,Variable Specification,"Table 1. Demographic data, neuropsychological performance for all subjects (Significant differences were indicated between the two groups)
...
MoCA-B 24.46(3.69) 16.15(4.32) 0.000**

Note: Data are presented as the mean (SD). p value of gender was obtained by chi-square test; p values for comparison in other demographic data, neuropsychological performance and behavioral data were acquired by independent sample T-test; * denotes p < 0.05, ** denotes p < 0.01. SD, standard deviation.",,unknown,"No code related to the MoCA-B group comparison is provided, so it is not possible to determine whether the variables used in the implementation match those described in the paper.",,
