paper_id,analysis_id,brief_description,dimension,paper_value,code_value,match_status,explanation,paper_evidence,code_evidence
berger,1,"In Study 1, a Mann–Whitney U test compared age distributions between Prolific and mTurk participants, showing that Prolific users (M = 27.10, SD = 8.95, n = 469) were significantly younger than mTurk users (M = 35.51, SD = 10.13, n = 444), p = .000. This nonparametric test assessed whether the two recruitment platforms differed in participant age.",Model Specification,*p-values are calculated based on a Mann-Whitney-U Test.,"## Comparing mTurk and Prolific
wilcox.test(gender ~ survey_type, data=data1) 
wilcox.test(age ~ survey_type, data=data1) 
wilcox.test(political ~ survey_type, data=data1) 
wilcox.test(levelOfEducation ~ survey_type, data=data1) 
wilcox.test(income ~ survey_type, data=data1)
wilcox.test(race ~ survey_type, data=data1)",match,"The paper specifies a Mann–Whitney U test and the code uses wilcox.test for comparing age across survey_type, which is the R implementation of the Mann–Whitney U/Wilcoxon rank-sum test for two independent groups.",,
berger,1,"In Study 1, a Mann–Whitney U test compared age distributions between Prolific and mTurk participants, showing that Prolific users (M = 27.10, SD = 8.95, n = 469) were significantly younger than mTurk users (M = 35.51, SD = 10.13, n = 444), p = .000. This nonparametric test assessed whether the two recruitment platforms differed in participant age.",Variable Specification,"Table 1
Study 1: Sample Characteristics of Prolific  and Amazon Mechanical Turk (mTurk) Sample
Samples Prolific  (n = 469) mTurk (n = 444) p-value* Full sample (N = 913)
Age 27.10 (SD = 8.95) 35.51 (SD = 10.13) .000 31.21 (SD = 10.43)
...
*p-values are calculated based on a Mann-Whitney-U Test.","# Prolific Sample
data2 <- data1 %>% 
  filter(survey_type == 0)

# MTurk Sample
data3 <- data1 %>% 
  filter(survey_type == 1)

## Descriptive statistic of participants recruited on Prolific (N=469)
  # Age
mean(data2$age1)
# 27.10448
sd(data2$age1)
# 8.949751

##  Descriptive statistic of participants recruited on mTurk (N=444)
  # Age
mean(data3$age1)
# 35.5518
sd(data3$age1)
# 10.12582

## Comparing mTurk and Prolific
wilcox.test(gender ~ survey_type, data=data1) 
wilcox.test(age ~ survey_type, data=data1) 
wilcox.test(political ~ survey_type, data=data1) 
wilcox.test(levelOfEducation ~ survey_type, data=data1) 
wilcox.test(income ~ survey_type, data=data1)
wilcox.test(race ~ survey_type, data=data1)
",match,"The analysis uses age as the outcome variable and recruitment platform (Prolific vs mTurk, via survey_type) as the grouping variable in a Mann–Whitney U (Wilcoxon rank-sum) test, which matches the paper’s description of comparing age distributions between the two samples. Although descriptive statistics use age1 and the test uses age, both refer to age as the focal variable and survey_type as the platform indicator, consistent with the reported analysis.",,
berger,1,"In Study 1, a Mann–Whitney U test compared age distributions between Prolific and mTurk participants, showing that Prolific users (M = 27.10, SD = 8.95, n = 469) were significantly younger than mTurk users (M = 35.51, SD = 10.13, n = 444), p = .000. This nonparametric test assessed whether the two recruitment platforms differed in participant age.",Transformation Specification,"Overall, we collected 1,169 responses. Following the pre-registered data inclusion protocol, we removed participants who did not finish the study within 60 minutes of starting it or failed crucial attention or comprehension checks. In addition, and in line with the pre-registration, we excluded all participants who completed less than 70% of the decisions in the Carbon Emission Task. The final sample consisted of 913 valid responses (mTurk: n = 444; Prolific: n = 469). Table 1 displays demographic statistics of both sub-samples (see Supplementary Material A.1, Hauser, 2023, for detailed sample characteristics).","## Exclusion of participants according preregistration
data1 <- expdata %>% 
  filter(progress == ""last_page"") %>%           # Remove participants that did not finish study
  filter(svs_17 == -1  & GEBS_25 == 5) %>%      # Remove participants that failed attention check
  filter(decision_sum >= 7.5)                     # only include participants that decided in at least 70% of cases (25 rounds)

## Comparing mTurk and Prolific
wilcox.test(age ~ survey_type, data=data1)",mismatch,"The paper describes excluding participants based on a 60-minute completion-time criterion in addition to attention/comprehension and task-completion criteria, whereas the shown code only implements completion, an attention-check filter, and a task-completion threshold, with no explicit time-based exclusion. Therefore, the transformations applied in the code do not fully match those described in the paper for this analysis.",,
berger,1,"In Study 1, a Mann–Whitney U test compared age distributions between Prolific and mTurk participants, showing that Prolific users (M = 27.10, SD = 8.95, n = 469) were significantly younger than mTurk users (M = 35.51, SD = 10.13, n = 444), p = .000. This nonparametric test assessed whether the two recruitment platforms differed in participant age.",Inference Specification,"Table 1
Study 1: Sample Characteristics of Prolific  and Amazon Mechanical Turk (mTurk) Sample
...
Age 27.10 (SD = 8.95) 35.51 (SD = 10.13) .000 ...
...
*p-values are calculated based on a Mann-Whitney-U Test.","## Comparing mTurk and Prolific
wilcox.test(gender ~ survey_type, data=data1) 
wilcox.test(age ~ survey_type, data=data1) 
wilcox.test(political ~ survey_type, data=data1) 
wilcox.test(levelOfEducation ~ survey_type, data=data1) 
wilcox.test(income ~ survey_type, data=data1)
wilcox.test(race ~ survey_type, data=data1)",match,"The paper specifies that p-values were obtained using a Mann–Whitney U test to compare age across platforms, and the code implements this using wilcox.test (the R function for Mann–Whitney/Wilcoxon rank-sum) on age by survey_type, consistent with the described inference procedure.",,
berger,2,"In Study 1, a Mann–Whitney U test compared gender composition between Prolific and mTurk samples, testing whether the proportion of female participants (39% vs. 38%) differed by platform. The test indicated no statistically significant difference in gender distribution, p = .711.",Model Specification,*p-values are calculated based on a Mann-Whitney-U Test.,"## Comparing mTurk and Prolific
wilcox.test(gender ~ survey_type, data=data1) ",match,"The paper specifies using a Mann–Whitney U test, and the code implements wilcox.test for two independent groups, which is the Mann–Whitney–Wilcoxon test in R. Thus, the model specification in the code aligns with the paper description.",,
berger,2,"In Study 1, a Mann–Whitney U test compared gender composition between Prolific and mTurk samples, testing whether the proportion of female participants (39% vs. 38%) differed by platform. The test indicated no statistically significant difference in gender distribution, p = .711.",Variable Specification,"Table 1
Study 1: Sample Characteristics of Prolific  and Amazon Mechanical Turk (mTurk) Sample

Samples Prolific  (n = 469) mTurk (n = 444) p-value* Full sample (N = 913)
...
Gender (% female) 39 38 .711 38
...
*p-values are calculated based on a Mann-Whitney-U Test.","## Exclusion of participants according preregistration
data1 <- expdata %>% 
  filter(progress == ""last_page"") %>%           # Remove participants that did not finish study
  filter(svs_17 == -1  & GEBS_25 == 5) %>%      # Remove participants that failed attention check
  filter(decision_sum >= 7.5)                     # only include participants that decided in at least 70% of cases (25 rounds)

# Prolific Sample
data2 <- data1 %>% 
  filter(survey_type == 0)

# MTurk Sample
data3 <- data1 %>% 
  filter(survey_type == 1)
...
## Comparing mTurk and Prolific
wilcox.test(gender ~ survey_type, data=data1)",match,The variables used in the code (gender by survey_type) match the paper’s description of comparing gender composition between Prolific and mTurk samples.,,
berger,2,"In Study 1, a Mann–Whitney U test compared gender composition between Prolific and mTurk samples, testing whether the proportion of female participants (39% vs. 38%) differed by platform. The test indicated no statistically significant difference in gender distribution, p = .711.",Transformation Specification,"Following the pre-registered data inclusion protocol, we removed participants who did not finish the study within 60 minutes of starting it or failed crucial attention or comprehension checks. In addition, and in line with the pre-registration, we excluded all participants who completed less than 70% of the decisions in the Carbon Emission Task. The final sample consisted of 913 valid responses (mTurk: n = 444; Prolific: n = 469). Table 1 displays demographic statistics of both sub-samples (see Supplementary Material A.1, Hauser, 2023, for detailed sample characteristics).

Table 1
Study 1: Sample Characteristics of Prolific  and Amazon Mechanical Turk (mTurk) Sample
...
Gender (% female) 39 38 .711 38
...
*p-values are calculated based on a Mann-Whitney-U Test.","# Sum up if decision are made by participants or by bot
expdata <- expdata %>% 
  rowwise() %>% 
  mutate(decision_sum = sum(cet1.decided, cet2.decided, cet3.decided, cet4.decided, cet5.decided, cet6.decided, cet7.decided, cet8.decided, cet9.decided, cet10.decided, cet11.decided, cet12.decided, cet13.decided, cet14.decided, cet15.decided, cet16.decided, cet17.decided, cet18.decided, cet19.decided, cet20.decided, cet21.decided, cet22.decided, cet23.decided, cet24.decided, cet25.decided))

############  Chapter 2.2 Methods - Participants (N=913)
## Exclusion of participants according preregistration
data1 <- expdata %>% 
  filter(progress == ""last_page"") %>%           # Remove participants that did not finish study
  filter(svs_17 == -1  & GEBS_25 == 5) %>%      # Remove participants that failed attention check
  filter(decision_sum >= 7.5)                     # only include participants that decided in at least 70% of cases (25 rounds)
...
## Comparing mTurk and Prolific
wilcox.test(gender ~ survey_type, data=data1)",mismatch,"The code’s data-filtering transformation does not correctly implement the paper’s stated 70% completion criterion (and does not visibly apply the 60-minute limit), so the sample used for the Mann–Whitney U test may differ from what the paper describes. This indicates a mismatch in the transformation specification for the gender-composition comparison.",,
berger,2,"In Study 1, a Mann–Whitney U test compared gender composition between Prolific and mTurk samples, testing whether the proportion of female participants (39% vs. 38%) differed by platform. The test indicated no statistically significant difference in gender distribution, p = .711.",Inference Specification,*p-values are calculated based on a Mann-Whitney-U Test.,"## Comparing mTurk and Prolific
wilcox.test(gender ~ survey_type, data=data1)",match,"The paper states that p-values are calculated using a Mann–Whitney U test, and the code uses wilcox.test (the R implementation of the Mann–Whitney/Wilcoxon rank-sum test) on gender by survey_type. No conflicting inference criteria (e.g., different test or alpha level) are indicated in the code or text.",,
berger,3,"In Study 1, a Mann–Whitney U test compared political ideology (proportion liberal) between Prolific and mTurk samples, with 58% liberals on Prolific and 51% on mTurk. The test showed a statistically significant difference in political ideology distributions across platforms, p = .026.",Model Specification,"Note. In terms of political ideology, all participants who indicated to be “very liberal” to “somewhat liberal” are 
merged and labeled “liberal”.
*p-values are calculated based on a Mann-Whitney-U Test.","## Comparing mTurk and Prolific
wilcox.test(gender ~ survey_type, data=data1) 
wilcox.test(age ~ survey_type, data=data1) 
wilcox.test(political ~ survey_type, data=data1) 
wilcox.test(levelOfEducation ~ survey_type, data=data1) 
wilcox.test(income ~ survey_type, data=data1)
wilcox.test(race ~ survey_type, data=data1)",match,"The paper reports using a Mann–Whitney U test to compare political ideology across platforms, and the code implements this using R’s wilcox.test (the Mann–Whitney/Wilcoxon rank-sum test) on the political variable by survey_type. This aligns the described model specification with the implemented statistical test.",,
berger,3,"In Study 1, a Mann–Whitney U test compared political ideology (proportion liberal) between Prolific and mTurk samples, with 58% liberals on Prolific and 51% on mTurk. The test showed a statistically significant difference in political ideology distributions across platforms, p = .026.",Variable Specification,"Table 1
Study 1: Sample Characteristics of Prolific  and Amazon Mechanical Turk (mTurk) Sample

Samples Prolific  (n = 469) mTurk (n = 444) p-value* Full sample (N = 913)
...
Political ideology (% liberal) 58 51 .026 55
...
Note. In terms of political ideology, all participants who indicated to be “very liberal” to “somewhat liberal” are 
merged and labeled “liberal”.

*p-values are calculated based on a Mann-Whitney-U Test.","##  Descriptive statistic of participants recruited on Prolific (N=469)
  # Political
count(data2, political)
# 39 very liberal
# 134 liberal
# 101 somewhat liberal
# 96 moderate
# 26 somewhat conservative
# 18 conservative
# 4 very conservative
# 51 none of the above
# 274/469 = 58.422

##  Descriptive statistic of participants recruited on mTurk (N=444)
  # Political
count(data3, political)
# 64 very liberal
# 116 liberal
# 46 somewhat liberal
# 64 moderate
# 37 somewhat conservative
# 66 conservative
# 47 very conservative
# 4 none of the above
# 226/444=0.509 liberal

## Comparing mTurk and Prolific
wilcox.test(gender ~ survey_type, data=data1) 
wilcox.test(age ~ survey_type, data=data1) 
wilcox.test(political ~ survey_type, data=data1) 
wilcox.test(levelOfEducation ~ survey_type, data=data1) 
wilcox.test(income ~ survey_type, data=data1)
wilcox.test(race ~ survey_type, data=data1)
",match,"The code uses the same political ideology variable and liberal-category aggregation described in the paper and compares it across Prolific vs. mTurk using a Mann–Whitney U test, matching the variable specification in the article. Political ideology is the outcome and survey_type (platform) is the grouping variable, consistent with the paper’s description.",,
