analysis_id,dimension,human_manuscript_content,human_manuscript_location,human_code_content,human_code_location,human_match_judgement,codebot_brief_description,codebot_manuscript_content,codebot_manuscript_location,codebot_code_content,codebot_code_location,codebot_match_judgement,codebot_human_agreement
1,model specification,"First, convergent validity was assessed by correlating the one-item measure with the related constructs. These were trend skepticism: r = .28, 95% CI [0.22, 0.34], p < .001; attribution skepticism: r = .28, 95% CI [0.24, 0.36], p < .001; perceived impact of climate change: r = -.23, 95% CI [-0.29, -0.17], p < .001; the three factors of the New-Environmental Paradigm, limits to growth: r = .33, 95% CI [0.27, 0.39], p < .001; anti-anthropocentrism: r = .32, 95% CI [0.27, 0.38], p < .001; and concern about ecological damage: r = .50, 95% CI [0.45, 0.55], p < .001; as well as egoistic: r = -.03, 95% CI [-0.09, 0.03], p < .001; altruistic: r = .38, 95% CI [0.32, 0.43], p < .001; and biospheric: r = .38, 95% CI [0.32, 0.43], p < .001; values.",0,"main2 <- data1 %>% dplyr::select(GEB, CET, greenintention,`biospehric_values`, `altruistic_values`, `egoistic_values`, `NEP`, `Impact CC`, `Attribution S.`, `Trend S.`, SIBCC)
#main2 <- data1 %>% select(`biospehric_values`, `altruistic_values`, `egoistic_values`, GEB, NEP, Greenintention, CET, port_3, port_2, port_1, SIBCC)
cor_main2 <- round(cor(main2),2)
p.cor_main2 <- cor_pmat(main2)
ggcorrplot(cor_main2, hc.order = 'False', hc.method = ""complete"", lab = TRUE, sig.level = 0.05,
           type = ""upper"", p.mat = p.cor_main2)",analyses_SIBCC.R:377-382,1,"Study 1 used a Pearson correlation to examine the association between the single-item belief in climate change (SIBCC) and trend skepticism, yielding r = .28, 95% CI [0.22, 0.34], p < .001 (n = 913). Higher SIBCC scores were moderately associated with stronger belief that the world’s climate is changing, supporting convergent validity.","Table 2
Descriptive Statistics and Pearson Correlations for Study Variables (N = 913)
...
Note. SIBCC = Single-Item Belief in Climate Change, CC = Climate Change; Limits to Growth, Anti-anthropocentrism, Ecological Damage are the three factors of the 
New Environmental Paradigm Scale-Revised.
*p < .10. **p < .05. ***p < .01.
...
First, convergent validity was assessed by correlating the one-item measure with the related constructs. These were trend skepticism: r = .28, 95% CI [0.22, 0.34], p < .001; attribution skepticism: r = .28, 95% CI [0.24, 0.36], p < .001; perceived impact of climate change: r = -.23, 95% CI [-0.29, -0.17], p < .001; ...",,"main2 <- data1 %>% dplyr::select(GEB, CET, greenintention,`biospehric_values`, `altruistic_values`, `egoistic_values`, `NEP`, `Impact CC`, `Attribution S.`, `Trend S.`, SIBCC)
cor_main2 <- round(cor(main2),2)
p.cor_main2 <- cor_pmat(main2)",,1,1
1,variable specification,Trend Skepticism,2,"main2 <- data1 %>% dplyr::select(GEB, CET, greenintention,`biospehric_values`, `altruistic_values`, `egoistic_values`, `NEP`, `Impact CC`, `Attribution S.`, `Trend S.`, SIBCC)
#main2 <- data1 %>% select(`biospehric_values`, `altruistic_values`, `egoistic_values`, GEB, NEP, Greenintention, CET, port_3, port_2, port_1, SIBCC)
cor_main2 <- round(cor(main2),2)
p.cor_main2 <- cor_pmat(main2)
ggcorrplot(cor_main2, hc.order = 'False', hc.method = ""complete"", lab = TRUE, sig.level = 0.05,
           type = ""upper"", p.mat = p.cor_main2)",analyses_SIBCC.R:377-382,1,"Study 1 used a Pearson correlation to examine the association between the single-item belief in climate change (SIBCC) and trend skepticism, yielding r = .28, 95% CI [0.22, 0.34], p < .001 (n = 913). Higher SIBCC scores were moderately associated with stronger belief that the world’s climate is changing, supporting convergent validity.","First, convergent validity was assessed by correlating the one-item measure with the related constructs. These were trend skepticism: r = .28, 95% CI [0.22, 0.34], p < .001; attribution skepticism: r = .28, 95% CI [0.24, 0.36], p < .001; perceived impact of climate change: r = -.23, 95% CI [-0.29, -0.17], p < .001; the three factors of the New-Environmental Paradigm, limits to growth: r = .33, 95% CI [0.27, 0.39], p < .001; anti-anthropocentrism: r = .32, 95% CI [0.27, 0.38], p < .001; and concern about ecological damage: r = .50, 95% CI [0.45, 0.55], p < .001; as well as egoistic: r = -.03, 95% CI [-0.09, 0.03], p < .001; altruistic: r = .38, 95% CI [0.32, 0.43], p < .001; and biospheric: r = .38, 95% CI [0.32, 0.43], p < .001; values.",,"############ Chapter 3. Results
    # Correlation Table
main2 <- data1 %>% dplyr::select(GEB, CET, greenintention,`biospehric_values`, `altruistic_values`, `egoistic_values`, `NEP`, `Impact CC`, `Attribution S.`, `Trend S.`, SIBCC)
#main2 <- data1 %>% select(`biospehric_values`, `altruistic_values`, `egoistic_values`, GEB, NEP, Greenintention, CET, port_3, port_2, port_1, SIBCC)
cor_main2 <- round(cor(main2),2)
p.cor_main2 <- cor_pmat(main2)

ggcorrplot(cor_main2, hc.order = 'False', hc.method = ""complete"", lab = TRUE, sig.level = 0.05,
           type = ""upper"", p.mat = p.cor_main2)",,,
1,transformation,"First, we measured Trend Skepticism by asking participants the following question: “You may have heard the idea that the world’s climate is changing due to increases in temperature over the past 100 years. What is your personal opinion on this? Do you think the world’s climate is changing?” Answer options ranged on a 4-point Likert-scale ranging from 1 (Definitely not changing) to 4 (Definitely changing). Following Poortinga et al. (2019), we dichotomized data to climate change believers (n = 839, 91.89%) coded as 1 (Probably/Definitely changing) and climate change deniers (n = 74; 8.11%) as 0 (Probably/Definitely not changing).",0,"expdata <- expdata %>% 
  mutate(`Trend S.` = recode(port_1, '1' = 0, '2' = 0, '3' = 1, '4' = 1))",cleanup_SIBCC.R:96-97,1,"Study 1 used a Pearson correlation to examine the association between the single-item belief in climate change (SIBCC) and trend skepticism, yielding r = .28, 95% CI [0.22, 0.34], p < .001 (n = 913). Higher SIBCC scores were moderately associated with stronger belief that the world’s climate is changing, supporting convergent validity.","Following Poortinga et al. (2019), we dichotomized data to climate change believers (n = 839, 91.89%) coded as 1 (Probably/Definitely changing) and climate change deniers (n = 74; 8.11%) as 0 (Probably/Definitely not changing).

Participants indicated their answer on a 11-point Likert-scale ranging from -5 (Strongly disagree) to +5 (Strongly agree).",,"### Poortinga 
#recode port_1 
expdata <- expdata %>% 
  mutate(`Trend S.` = recode(port_1, '1' = 0, '2' = 0, '3' = 1, '4' = 1))",,,
1,variable specification,SIBCC,2,"main2 <- data1 %>% dplyr::select(GEB, CET, greenintention,`biospehric_values`, `altruistic_values`, `egoistic_values`, `NEP`, `Impact CC`, `Attribution S.`, `Trend S.`, SIBCC)
#main2 <- data1 %>% select(`biospehric_values`, `altruistic_values`, `egoistic_values`, GEB, NEP, Greenintention, CET, port_3, port_2, port_1, SIBCC)
cor_main2 <- round(cor(main2),2)
p.cor_main2 <- cor_pmat(main2)
ggcorrplot(cor_main2, hc.order = 'False', hc.method = ""complete"", lab = TRUE, sig.level = 0.05,
           type = ""upper"", p.mat = p.cor_main2)",analyses_SIBCC.R:377-382,1,"Study 1 used a Pearson correlation to examine the association between the single-item belief in climate change (SIBCC) and trend skepticism, yielding r = .28, 95% CI [0.22, 0.34], p < .001 (n = 913). Higher SIBCC scores were moderately associated with stronger belief that the world’s climate is changing, supporting convergent validity.","First, convergent validity was assessed by correlating the one-item measure with the related constructs. These were trend skepticism: r = .28, 95% CI [0.22, 0.34], p < .001; attribution skepticism: r = .28, 95% CI [0.24, 0.36], p < .001; perceived impact of climate change: r = -.23, 95% CI [-0.29, -0.17], p < .001; the three factors of the New-Environmental Paradigm, limits to growth: r = .33, 95% CI [0.27, 0.39], p < .001; anti-anthropocentrism: r = .32, 95% CI [0.27, 0.38], p < .001; and concern about ecological damage: r = .50, 95% CI [0.45, 0.55], p < .001; as well as egoistic: r = -.03, 95% CI [-0.09, 0.03], p < .001; altruistic: r = .38, 95% CI [0.32, 0.43], p < .001; and biospheric: r = .38, 95% CI [0.32, 0.43], p < .001; values.",,"############ Chapter 3. Results
    # Correlation Table
main2 <- data1 %>% dplyr::select(GEB, CET, greenintention,`biospehric_values`, `altruistic_values`, `egoistic_values`, `NEP`, `Impact CC`, `Attribution S.`, `Trend S.`, SIBCC)
#main2 <- data1 %>% select(`biospehric_values`, `altruistic_values`, `egoistic_values`, GEB, NEP, Greenintention, CET, port_3, port_2, port_1, SIBCC)
cor_main2 <- round(cor(main2),2)
p.cor_main2 <- cor_pmat(main2)

ggcorrplot(cor_main2, hc.order = 'False', hc.method = ""complete"", lab = TRUE, sig.level = 0.05,
           type = ""upper"", p.mat = p.cor_main2)",,,
1,transformation,,,,,,"Study 1 used a Pearson correlation to examine the association between the single-item belief in climate change (SIBCC) and trend skepticism, yielding r = .28, 95% CI [0.22, 0.34], p < .001 (n = 913). Higher SIBCC scores were moderately associated with stronger belief that the world’s climate is changing, supporting convergent validity.","Following Poortinga et al. (2019), we dichotomized data to climate change believers (n = 839, 91.89%) coded as 1 (Probably/Definitely changing) and climate change deniers (n = 74; 8.11%) as 0 (Probably/Definitely not changing).

Participants indicated their answer on a 11-point Likert-scale ranging from -5 (Strongly disagree) to +5 (Strongly agree).",,"### Poortinga 
#recode port_1 
expdata <- expdata %>% 
  mutate(`Trend S.` = recode(port_1, '1' = 0, '2' = 0, '3' = 1, '4' = 1))",,,
1,inference criterion,95% CI […] *p < .10. **p < .05. ***p < .01.,0;2,"# Trend Scepticism
CIr(0.28, 915, 0.95)
# 0.2191673 0.3386643",analyses_SIBCC.R:389-391,1,"Study 1 used a Pearson correlation to examine the association between the single-item belief in climate change (SIBCC) and trend skepticism, yielding r = .28, 95% CI [0.22, 0.34], p < .001 (n = 913). Higher SIBCC scores were moderately associated with stronger belief that the world’s climate is changing, supporting convergent validity.","First, convergent validity was assessed by correlating the one-item measure with the related constructs. These were trend skepticism: r = .28, 95% CI [0.22, 0.34], p < .001; attribution skepticism: r = .28, 95% CI [0.24, 0.36], p < .001; perceived impact of climate change: r = -.23, 95% CI [-0.29, -0.17], p < .001; the three factors of the New-Environmental Paradigm, limits to growth: r = .33, 95% CI [0.27, 0.39], p < .001; anti-anthropocentrism: r = .32, 95% CI [0.27, 0.38], p < .001; and concern about ecological damage: r = .50, 95% CI [0.45, 0.55], p < .001; as well as egoistic: r = -.03, 95% CI [-0.09, 0.03], p < .001; altruistic: r = .38, 95% CI [0.32, 0.43], p < .001; and biospheric: r = .38, 95% CI [0.32, 0.43], p < .001; values.",,"main2 <- data1 %>% dplyr::select(GEB, CET, greenintention,`biospehric_values`, `altruistic_values`, `egoistic_values`, `NEP`, `Impact CC`, `Attribution S.`, `Trend S.`, SIBCC)
cor_main2 <- round(cor(main2),2)
p.cor_main2 <- cor_pmat(main2)
ggcorrplot(cor_main2, hc.order = 'False', hc.method = ""complete"", lab = TRUE, sig.level = 0.05,
           type = ""upper"", p.mat = p.cor_main2)

# Trend Scepticism
CIr(0.28, 915, 0.95)
# 0.2191673 0.3386643",,1,1
2,model specification,"First, convergent validity was assessed by correlating the one-item measure with the related constructs. These were trend skepticism: r = .28, 95% CI [0.22, 0.34], p < .001; attribution skepticism: r = .28, 95% CI [0.24, 0.36], p < .001; perceived impact of climate change: r = -.23, 95% CI [-0.29, -0.17], p < .001; the three factors of the New-Environmental Paradigm, limits to growth: r = .33, 95% CI [0.27, 0.39], p < .001; anti-anthropocentrism: r = .32, 95% CI [0.27, 0.38], p < .001; and concern about ecological damage: r = .50, 95% CI [0.45, 0.55], p < .001; as well as egoistic: r = -.03, 95% CI [-0.09, 0.03], p < .001; altruistic: r = .38, 95% CI [0.32, 0.43], p < .001; and biospheric: r = .38, 95% CI [0.32, 0.43], p < .001; values.",0,"main2 <- data1 %>% dplyr::select(GEB, CET, greenintention,`biospehric_values`, `altruistic_values`, `egoistic_values`, `NEP`, `Impact CC`, `Attribution S.`, `Trend S.`, SIBCC)
#main2 <- data1 %>% select(`biospehric_values`, `altruistic_values`, `egoistic_values`, GEB, NEP, Greenintention, CET, port_3, port_2, port_1, SIBCC)
cor_main2 <- round(cor(main2),2)
p.cor_main2 <- cor_pmat(main2)
ggcorrplot(cor_main2, hc.order = 'False', hc.method = ""complete"", lab = TRUE, sig.level = 0.05,
           type = ""upper"", p.mat = p.cor_main2)",analyses_SIBCC.R:377-382,1,"A Pearson correlation in Study 1 assessed the relationship between SIBCC and attribution skepticism, with r = .28, 95% CI [0.24, 0.36], p < .001 (n = 913). Stronger belief in anthropogenic, harmful climate change was moderately associated with attributing climate change more to human activity rather than natural processes.","Table 2
Descriptive Statistics and Pearson Correlations for Study Variables (N = 913)",,"main2 <- data1 %>% dplyr::select(GEB, CET, greenintention,`biospehric_values`, `altruistic_values`, `egoistic_values`, `NEP`, `Impact CC`, `Attribution S.`, `Trend S.`, SIBCC)
cor_main2 <- round(cor(main2),2)
p.cor_main2 <- cor_pmat(main2)",,1,1
2,variable specification,Attribution Skepticism,2,"main2 <- data1 %>% dplyr::select(GEB, CET, greenintention,`biospehric_values`, `altruistic_values`, `egoistic_values`, `NEP`, `Impact CC`, `Attribution S.`, `Trend S.`, SIBCC)
#main2 <- data1 %>% select(`biospehric_values`, `altruistic_values`, `egoistic_values`, GEB, NEP, Greenintention, CET, port_3, port_2, port_1, SIBCC)
cor_main2 <- round(cor(main2),2)
p.cor_main2 <- cor_pmat(main2)
ggcorrplot(cor_main2, hc.order = 'False', hc.method = ""complete"", lab = TRUE, sig.level = 0.05,
           type = ""upper"", p.mat = p.cor_main2)",analyses_SIBCC.R:377-382,1,"A Pearson correlation in Study 1 assessed the relationship between SIBCC and attribution skepticism, with r = .28, 95% CI [0.24, 0.36], p < .001 (n = 913). Stronger belief in anthropogenic, harmful climate change was moderately associated with attributing climate change more to human activity rather than natural processes.","First, convergent validity was assessed by correlating the one-item measure with the related constructs. These were trend skepticism: r = .28, 95% CI [0.22, 0.34], p < .001; attribution skepticism: r = .28, 95% CI [0.24, 0.36], p < .001; perceived impact of climate change: r = -.23, 95% CI [-0.29, -0.17], p < .001; the three factors of the New-Environmental Paradigm, limits to growth: r = .33, 95% CI [0.27, 0.39], p < .001; anti-anthropocentrism: r = .32, 95% CI [0.27, 0.38], p < .001; and concern about ecological damage: r = .50, 95% CI [0.45, 0.55], p < .001; as well as egoistic: r = -.03, 95% CI [-0.09, 0.03], p < .001; altruistic: r = .38, 95% CI [0.32, 0.43], p < .001; and biospheric: r = .38, 95% CI [0.32, 0.43], p < .001; values.",,"############ Chapter 3. Results
    # Correlation Table
main2 <- data1 %>% dplyr::select(GEB, CET, greenintention,`biospehric_values`, `altruistic_values`, `egoistic_values`, `NEP`, `Impact CC`, `Attribution S.`, `Trend S.`, SIBCC)
#main2 <- data1 %>% select(`biospehric_values`, `altruistic_values`, `egoistic_values`, GEB, NEP, Greenintention, CET, port_3, port_2, port_1, SIBCC)
cor_main2 <- round(cor(main2),2)

    # Confidence Intervals
# Attribution Scepticism
CIr(0.30, 915, 0.95)
# 0.2398535 0.3578522",,1,1
2,transformation,"Second, we assessed Attribution Skepticism with the following item: “Do you think that climate change is caused by natural processes, human activity, or both?”. Likewise, we dichotomized answer options to 0 (Entirely by natural processes, Mainly by natural processes, n = 139, 15.22%) or 1 (Entirely by human activity, Mainly by human activity, about equally by natural processes and human activity, n = 771, 84.45%).",0,"expdata <- expdata %>% 
  mutate(`Attribution S.` = recode(port_2, '1' = 0, '2' = 0, '3' = 1, '4' = 1, '5' = 1, '6' = 0 ))",cleanup_SIBCC.R:100-101,,"A Pearson correlation in Study 1 assessed the relationship between SIBCC and attribution skepticism, with r = .28, 95% CI [0.24, 0.36], p < .001 (n = 913). Stronger belief in anthropogenic, harmful climate change was moderately associated with attributing climate change more to human activity rather than natural processes.","Second, we assessed Attribution Skepticism with the following item: “Do you think that climate change is caused by natural processes, human activity, or both? ”. Likewise, we dichotomized answer options to 0 ( Entirely by natural processes, Mainly by natural processes, n  = 139, 15.22%) or 1 ( Entirely by human activity, Mainly by human activity, about equally by natural processes and human activity, n = 771, 84.45%). We followed Poortinga et al. (2019)  and coded participants ( n = 3, 0.33%) who did not think that climate change is happening as missing values to avoid overlapping with Trend Skepticism.",,"### Poortinga 
#recode port_1 
expdata <- expdata %>% 
  mutate(`Trend S.` = recode(port_1, '1' = 0, '2' = 0, '3' = 1, '4' = 1))

#recode port_2
expdata <- expdata %>% 
  mutate(`Attribution S.` = recode(port_2, '1' = 0, '2' = 0, '3' = 1, '4' = 1, '5' = 1, '6' = 0 ))",,,
2,variable specification,SIBCC,2,"main2 <- data1 %>% dplyr::select(GEB, CET, greenintention,`biospehric_values`, `altruistic_values`, `egoistic_values`, `NEP`, `Impact CC`, `Attribution S.`, `Trend S.`, SIBCC)
#main2 <- data1 %>% select(`biospehric_values`, `altruistic_values`, `egoistic_values`, GEB, NEP, Greenintention, CET, port_3, port_2, port_1, SIBCC)
cor_main2 <- round(cor(main2),2)
p.cor_main2 <- cor_pmat(main2)
ggcorrplot(cor_main2, hc.order = 'False', hc.method = ""complete"", lab = TRUE, sig.level = 0.05,
           type = ""upper"", p.mat = p.cor_main2)",analyses_SIBCC.R:377-382,1,"A Pearson correlation in Study 1 assessed the relationship between SIBCC and attribution skepticism, with r = .28, 95% CI [0.24, 0.36], p < .001 (n = 913). Stronger belief in anthropogenic, harmful climate change was moderately associated with attributing climate change more to human activity rather than natural processes.","First, convergent validity was assessed by correlating the one-item measure with the related constructs. These were trend skepticism: r = .28, 95% CI [0.22, 0.34], p < .001; attribution skepticism: r = .28, 95% CI [0.24, 0.36], p < .001; perceived impact of climate change: r = -.23, 95% CI [-0.29, -0.17], p < .001; the three factors of the New-Environmental Paradigm, limits to growth: r = .33, 95% CI [0.27, 0.39], p < .001; anti-anthropocentrism: r = .32, 95% CI [0.27, 0.38], p < .001; and concern about ecological damage: r = .50, 95% CI [0.45, 0.55], p < .001; as well as egoistic: r = -.03, 95% CI [-0.09, 0.03], p < .001; altruistic: r = .38, 95% CI [0.32, 0.43], p < .001; and biospheric: r = .38, 95% CI [0.32, 0.43], p < .001; values.",,"############ Chapter 3. Results
    # Correlation Table
main2 <- data1 %>% dplyr::select(GEB, CET, greenintention,`biospehric_values`, `altruistic_values`, `egoistic_values`, `NEP`, `Impact CC`, `Attribution S.`, `Trend S.`, SIBCC)
#main2 <- data1 %>% select(`biospehric_values`, `altruistic_values`, `egoistic_values`, GEB, NEP, Greenintention, CET, port_3, port_2, port_1, SIBCC)
cor_main2 <- round(cor(main2),2)

    # Confidence Intervals
# Attribution Scepticism
CIr(0.30, 915, 0.95)
# 0.2398535 0.3578522",,1,1
