analysis_id,dimension,human_manuscript_content,human_manuscript_location,human_code_content,human_code_location,human_match_judgement,codebot_brief_description,codebot_manuscript_content,codebot_manuscript_location,codebot_code_content,codebot_code_location,codebot_match_judgement,codebot_human_agreement
1,model specification,"We first performed a one-way ANOVA to compare French and German participants’ level of political system justification with a standard instruction. As expected, political system justification was substantially higher in Germany (Mean = 3.96, SD = 1.15) than in France (Mean = 2.82, SD = 1.14), F(1, 377) = 94.82, p < .001, η2 = .201.",0.0,"jmv::ANOVA(
formula = `Mean PSJ (standard)` ~ Country,
data = data,
effectSize = ""eta"")",Analyses French and German data.pdf,1,"A one-way ANOVA compared French and German participants' personal (standard-instruction) political system justification scores, with country (France vs. Germany) as the independent variable and mean political system justification as the dependent variable. The analysis showed substantially higher political system justification in Germany (M = 3.96, SD = 1.15) than in France (M = 2.82, SD = 1.14), F(1, 377) = 94.82, p < .001, η² = .201.",We first performed a one-way ANOVA to compare French and German participants’ level of political system justification with a standard instruction.,,,,,
1,variable specification ,"We first performed a one-way ANOVA to compare French and German participants’ level of political system justification with a standard instruction. As expected, political system justification was substantially higher in Germany (Mean = 3.96, SD = 1.15) than in France (Mean = 2.82, SD = 1.14), F(1, 377) = 94.82, p < .001, η2 = .201.",1.0,"jmv::ANOVA(
formula = `Mean PSJ (standard)` ~ Country,
data = data,
effectSize = ""eta"")",Analyses French and German data.pdf,1,"A one-way ANOVA compared French and German participants' personal (standard-instruction) political system justification scores, with country (France vs. Germany) as the independent variable and mean political system justification as the dependent variable. The analysis showed substantially higher political system justification in Germany (M = 3.96, SD = 1.15) than in France (M = 2.82, SD = 1.14), F(1, 377) = 94.82, p < .001, η² = .201.",We first performed a one-way ANOVA to compare French and German participants’ level of political system justification with a standard instruction.,,,,,
1,transformation,,,,,,"A one-way ANOVA compared French and German participants' personal (standard-instruction) political system justification scores, with country (France vs. Germany) as the independent variable and mean political system justification as the dependent variable. The analysis showed substantially higher political system justification in Germany (M = 3.96, SD = 1.15) than in France (M = 2.82, SD = 1.14), F(1, 377) = 94.82, p < .001, η² = .201.",We calculated composite scores for political system justification in the self-presentation and standard condition (all Cronbach’s αs > .80). Table 1 shows mean system justification for each condition in each country.,,,,,
1,variable specification ,"We first performed a one-way ANOVA to compare French and German participants’ level of political system justification with a standard instruction. As expected, political system justification was substantially higher in Germany (Mean = 3.96, SD = 1.15) than in France (Mean = 2.82, SD = 1.14), F(1, 377) = 94.82, p < .001, η2 = .201.",0.0,"jmv::ANOVA(
formula = `Mean PSJ (standard)` ~ Country,
data = data,
effectSize = ""eta"")",Analyses French and German data.pdf,1,"A one-way ANOVA compared French and German participants' personal (standard-instruction) political system justification scores, with country (France vs. Germany) as the independent variable and mean political system justification as the dependent variable. The analysis showed substantially higher political system justification in Germany (M = 3.96, SD = 1.15) than in France (M = 2.82, SD = 1.14), F(1, 377) = 94.82, p < .001, η² = .201.",We first performed a one-way ANOVA to compare French and German participants’ level of political system justification with a standard instruction.,,,,,
1,transformation,"We calculated composite scores for political system justification
in the self-presentation and standard condition (all Cronbach’s as > .80). ",0.0,,Analyses French and German data.pdf,0,"A one-way ANOVA compared French and German participants' personal (standard-instruction) political system justification scores, with country (France vs. Germany) as the independent variable and mean political system justification as the dependent variable. The analysis showed substantially higher political system justification in Germany (M = 3.96, SD = 1.15) than in France (M = 2.82, SD = 1.14), F(1, 377) = 94.82, p < .001, η² = .201.",We calculated composite scores for political system justification in the self-presentation and standard condition (all Cronbach’s αs > .80). Table 1 shows mean system justification for each condition in each country.,,,,,
1,inference criterion,,,,,,"A one-way ANOVA compared French and German participants' personal (standard-instruction) political system justification scores, with country (France vs. Germany) as the independent variable and mean political system justification as the dependent variable. The analysis showed substantially higher political system justification in Germany (M = 3.96, SD = 1.15) than in France (M = 2.82, SD = 1.14), F(1, 377) = 94.82, p < .001, η² = .201.","We first performed a one-way ANOVA to compare French and German participants ’ level of political system justification with a standard instruction. As expected, political system justification was substantially higher in Germany (Mean =3 . 9 6 ,SD = 1.15) than in France (Mean =2 . 8 2 , SD = 1.14), F(1, 377) = 94.82, p <. 0 0 1 , η
2 =. 2 0 1 .",,,,,
2,model specification,"We then performed an overall 2 (self-presentation instruction) × 2 (context) × 2 (country) ANOVA to check for differences in self-presentation strategies. Results revealed no main effect of self-presentation instruction, F(1, 371) =0.00, p = .950, ηp 2 < .001. However, we found two interactions, first a significant self-presentation instruction × context interaction, F(1, 371) = 22.18, p < .001, ηp2 = .056.",0.0,"jmv::ANOVA(
formula = `Mean PSJ (self presentation)` ~ `Instruction Valence` + Context + Country + `Instruction Valence`:Context + `Instruction Valence`:Country
data = data,
effectSize = ""partEta"",
postHoc = ~ `Instruction Valence`:Context + `Instruction Valence`:Country)",Analyses French and German data.pdf,1,"A 2 (self-presentation instruction: normative vs. counter-normative) × 2 (context: social utility vs. social desirability) × 2 (country: France vs. Germany) between-participants ANOVA was conducted on political system justification scores given under the self-presentation instruction. The analysis tested main effects and interactions of instruction, context, and country on self-presentational political system justification; it found no main effect of instruction, F(1, 371) = 0.00, p = .950, ηp² < .001, but significant instruction × context, F(1, 371) = 22.18, p < .001, ηp² = .056, and instruction × country interactions, F(1, 371) = 45.33, p < .001, ηp² = .109, while the three-way interaction was nonsignificant, F(1, 371) = 0.07, p = .783, ηp² = .001.","We then performed an overall 2 (self-presentation
instruction) × 2 (context) × 2 (country) ANOVA to check for
differences in self-presentation strategies.",,,,,
2,variable specification ,"We then performed an overall 2 (self-presentation instruction) × 2 (context) × 2 (country) ANOVA to check for differences in self-presentation strategies. Results revealed no main effect of self-presentation instruction, F(1, 371) =0.00, p = .950, ηp 2 < .001. However, we found two interactions, first a significant self-presentation instruction × context interaction, F(1, 371) = 22.18, p < .001, ηp2 = .056.",0.0,"jmv::ANOVA(
formula = `Mean PSJ (self presentation)` ~ `Instruction Valence` + Context + Country + `Instruction Valence`:Context + `Instruction Valence`:Country
data = data,
effectSize = ""partEta"",
postHoc = ~ `Instruction Valence`:Context + `Instruction Valence`:Country)",Analyses French and German data.pdf,1,"A 2 (self-presentation instruction: normative vs. counter-normative) × 2 (context: social utility vs. social desirability) × 2 (country: France vs. Germany) between-participants ANOVA was conducted on political system justification scores given under the self-presentation instruction. The analysis tested main effects and interactions of instruction, context, and country on self-presentational political system justification; it found no main effect of instruction, F(1, 371) = 0.00, p = .950, ηp² < .001, but significant instruction × context, F(1, 371) = 22.18, p < .001, ηp² = .056, and instruction × country interactions, F(1, 371) = 45.33, p < .001, ηp² = .109, while the three-way interaction was nonsignificant, F(1, 371) = 0.07, p = .783, ηp² = .001.",We calculated composite scores for political system justification in the self-presentation and standard condition (all Cronbach’s αs > .80). … We then performed an overall 2 (self-presentation instruction) × 2 (context) × 2 (country) ANOVA to check for differences in self-presentation strategies.,,,,,
2,transformation,"We calculated composite scores for political system justification
in the self-presentation and standard condition (all Cronbach’s as > .80). ",0.0,,Analyses French and German data.pdf,0,"A 2 (self-presentation instruction: normative vs. counter-normative) × 2 (context: social utility vs. social desirability) × 2 (country: France vs. Germany) between-participants ANOVA was conducted on political system justification scores given under the self-presentation instruction. The analysis tested main effects and interactions of instruction, context, and country on self-presentational political system justification; it found no main effect of instruction, F(1, 371) = 0.00, p = .950, ηp² < .001, but significant instruction × context, F(1, 371) = 22.18, p < .001, ηp² = .056, and instruction × country interactions, F(1, 371) = 45.33, p < .001, ηp² = .109, while the three-way interaction was nonsignificant, F(1, 371) = 0.07, p = .783, ηp² = .001.",We calculated composite scores for political system justification in the self-presentation and standard condition (all Cronbach’s αs > .80).,,,,,
2,variable specification ,"We then performed an overall 2 (self-presentation instruction) × 2 (context) × 2 (country) ANOVA to check for differences in self-presentation strategies. Results revealed no main effect of self-presentation instruction, F(1, 371) =0.00, p = .950, ηp 2 < .001. However, we found two interactions, first a significant self-presentation instruction × context interaction, F(1, 371) = 22.18, p < .001, ηp2 = .056.",0.0,"jmv::ANOVA(
formula = `Mean PSJ (self presentation)` ~ `Instruction Valence` + Context + Country + `Instruction Valence`:Context + `Instruction Valence`:Country
data = data,
effectSize = ""partEta"",
postHoc = ~ `Instruction Valence`:Context + `Instruction Valence`:Country)",Analyses French and German data.pdf,1,"A 2 (self-presentation instruction: normative vs. counter-normative) × 2 (context: social utility vs. social desirability) × 2 (country: France vs. Germany) between-participants ANOVA was conducted on political system justification scores given under the self-presentation instruction. The analysis tested main effects and interactions of instruction, context, and country on self-presentational political system justification; it found no main effect of instruction, F(1, 371) = 0.00, p = .950, ηp² < .001, but significant instruction × context, F(1, 371) = 22.18, p < .001, ηp² = .056, and instruction × country interactions, F(1, 371) = 45.33, p < .001, ηp² = .109, while the three-way interaction was nonsignificant, F(1, 371) = 0.07, p = .783, ηp² = .001.",We calculated composite scores for political system justification in the self-presentation and standard condition (all Cronbach’s αs > .80). … We then performed an overall 2 (self-presentation instruction) × 2 (context) × 2 (country) ANOVA to check for differences in self-presentation strategies.,,,,,
