analysis_id,brief_description,dimension,paper_text,code_text,match_status,explanation,dimension_norm
1,"Welch independent-samples t-test comparing mean positive affect change scores (Time 2 – Time 1 PANAS positive mean scores) between participants who saw the anchor item before versus after the PANAS, among those who answered “a little more positive” on the positive anchor item.",Model Specification,"In the analyses I used Welch's independent samples t-tests.[...]For those who said they felt a little more positive, there was a slight difference in the average change score between those who saw the anchor before (M = 0.20, SD = 0.53) and those who saw the anchor after (M = 0.15, SD = 0.63), but this was not a statistically significant difference, t(351.87) = 0.83, p = .409, mean difference = 0.05, CI 95%[-0.07, 0.17], d = 0.09, CI 95%[-0.12, 0.29].","# SDs & test for ""a little more positive"" before vs after
t.test(data_after$PA_change[data_after$AnchorPA==4], data_before$PA_change[data_before$AnchorPA==4])",match,"The paper specifies a Welch independent-samples t-test comparing change scores between before vs after anchor positions for the 'a little more positive' group, and the code implements this with an R t.test on two separate PA_change vectors for that subgroup (which uses Welch's two-sample t-test by default). Thus, the model specification in the code matches the test described in the paper.",model
1,"Welch independent-samples t-test comparing mean positive affect change scores (Time 2 – Time 1 PANAS positive mean scores) between participants who saw the anchor item before versus after the PANAS, among those who answered “a little more positive” on the positive anchor item.",Variable Specification,"“For positive affect, the average change scores for people who said they felt a little less positive converged almost perfectly, regardless of whether people saw the anchor before (M = -0.54, SD = 0.68) the PANAS or after (M = -0.56, SD = 0.69), mean difference = 0.02, CI 95%[-0.21, 0.26], d = 0.03, CI 95%[-0.31, 0.38]; although the confidence intervals are wide due to the relatively small number of people who said that they felt ""a little less positive"". For those who said they felt a little more positive, there was a slight difference in the average change score between those who saw the anchor before (M = 0.20, SD = 0.53) and those who saw the anchor after (M = 0.15, SD = 0.63), but this was not a statistically significant difference, t(351.87) = 0.83, p = .409, mean difference = 0.05, CI 95%[-0.07, 0.17], d = 0.09, CI 95%[-0.12, 0.29].”[...]“To calculate each participant's change score for positive affect, I subtracted the mean score for positive affect at Time 1 from the mean score for positive affect at Time 2.”[...]“In the survey at Time 2, I included an anchoritem for positive affect and an anchor-item for negative affect. Importantly, participants were randomly allocated to respond to the anchor item either before the PANAS or after.”[...]“The anchor items for positive and negative affect included in the survey at Time 2 asked participants, ""Overall, compared to the time when you did this survey yesterday, how positive/negative do you feel right now?"". Participants had five response options for each anchor item: much less positive/negative, a little less positive/negative, the same, a little more positive/negative, and much more positive/negative.”","data$AnchorPA <- paste(data$PA.Anchor.Before, data$PA.Anchor.After)
[...]
data[data == "" A little more positive""] <- 4
data[data == ""A little more positive ""] <- 4
[...]
data$PANAS_PA_D1mean = rowMeans(data[ , c('PANASD1_1_Attentive', 'PANASD1_2_Interested', 
  'PANASD1_3_Alert', 'PANASD1_4_Excited', 'PANASD1_5_Enthusiastic', 'PANASD1_6_Inspired', 
  'PANASD1_7_Proud', 'PANASD1_8_Determined', 'PANASD1_9_Strong', 'PANASD1_10_Active')], na.rm=TRUE)

data$PANAS_PA_D2mean = rowMeans(data[ , c('PANASD2_1_Attentive', 'PANASD2_2_Interested', 
  'PANASD2_3_Alert', 'PANASD2_4_Excited', 'PANASD2_5_Enthusiastic', 'PANASD2_6_Inspired', 
  'PANASD2_7_Proud', 'PANASD2_8_Determined', 'PANASD2_9_Strong', 'PANASD2_10_Active')], na.rm=TRUE)

data$PA_change = data$PANAS_PA_D2mean - data$PANAS_PA_D1mean
[...]
data_before = data[data$Anchor.Position==""Anchor Before"", ]
[...]
data_after = data[data$Anchor.Position==""Anchor After"", ]
[...]
# SDs & test for ""a little more positive"" before vs after

t.test(data_after$PA_change[data_after$AnchorPA==4], data_before$PA_change[data_before$AnchorPA==4])
sd(data_before$PA_change[data_before$AnchorPA==4])
sd(data_after$PA_change[data_after$AnchorPA==4])
cohen.d(data_after$PA_change[data_after$AnchorPA==4],
        data_before$PA_change[data_before$AnchorPA==4],
        pooled=TRUE,paired=FALSE,
        na.rm=TRUE, hedges.correction=FALSE,
        conf.level=0.95)",match,"In the paper, the outcome is the positive affect change score (Time 2 minus Time 1 PANAS positive mean) and the grouping variable is anchor position (before vs after PANAS) among those reporting ""a little more positive"" on the positive anchor. The code implements this by computing PA_change as PANAS_PA_D2mean − PANAS_PA_D1mean and running an independent-samples t-test comparing data_before vs data_after restricted to cases with AnchorPA==4 (coded from ""A little more positive"").",variables
1,"Welch independent-samples t-test comparing mean positive affect change scores (Time 2 – Time 1 PANAS positive mean scores) between participants who saw the anchor item before versus after the PANAS, among those who answered “a little more positive” on the positive anchor item.",Transformation Specification,"“For Time 1 and Time 2 separately, I averaged the positive affect items for each participant to produce a mean score for positive affect, and I did the same for the negative affect items to produce a mean score for negative affect. To calculate each participant's change score for positive affect, I subtracted the mean score for positive affect at Time 1 from the mean score for positive affect at Time 2. I did the same to calculate the change scores for negative affect. Thus, each participant had a change score for positive affect and a change score for negative affect.” [...] “As per the anchor-based approach for determining the smallest subjectively experienced difference in affect (Anvari & Lakens, 2021), I subcategorized partic-ipants into five groups based on their responses to the anchor item and, for each subcategory, I calculated the average change score from Time 1 to Time 2. I did this separately for participants who saw the anchor-item before the PANAS and those who saw the anchor-item after.” [...] “I excluded participants for (i) having missing responses on any measures or (ii) giving the same response to all items across the three measures in either the first or second survey... The final dataset for this paper consisted of 903 participants who completed the PANAS on both Time 1 and Time 2.”","data$AnchorPA <- paste(data$PA.Anchor.Before, data$PA.Anchor.After)
data$AnchorNA <- paste(data$NA.Anchor.Before, data$NA.Anchor.After)
[...]
data$PANAS_PA_D1mean = rowMeans(data[ , c('PANASD1_1_Attentive', 'PANASD1_2_Interested', 
  'PANASD1_3_Alert', 'PANASD1_4_Excited', 'PANASD1_5_Enthusiastic', 'PANASD1_6_Inspired', 
  'PANASD1_7_Proud', 'PANASD1_8_Determined', 'PANASD1_9_Strong', 'PANASD1_10_Active')], na.rm=TRUE)

data$PANAS_PA_D2mean = rowMeans(data[ , c('PANASD2_1_Attentive', 'PANASD2_2_Interested', 
  'PANASD2_3_Alert', 'PANASD2_4_Excited', 'PANASD2_5_Enthusiastic', 'PANASD2_6_Inspired', 
  'PANASD2_7_Proud', 'PANASD2_8_Determined', 'PANASD2_9_Strong', 'PANASD2_10_Active')], na.rm=TRUE)
[...]
data$PA_change = data$PANAS_PA_D2mean - data$PANAS_PA_D1mean
[...]
data_before = data[data$Anchor.Position==""Anchor Before"", ]
[...]
data_after = data[data$Anchor.Position==""Anchor After"", ]
[...]
# SDs & test for ""a little more positive"" before vs after
t.test(data_after$PA_change[data_after$AnchorPA==4], data_before$PA_change[data_before$AnchorPA==4])",match,"Both the paper and the code aggregate PANAS positive items into mean scores at each time point, compute Time 2 minus Time 1 change scores, and compare anchor-before versus anchor-after groups within the “a little more positive” anchor category. The code’s additional details (numeric recoding of anchors, use of na.rm=TRUE) are implementation choices consistent with the described transformations rather than deviations.",transform
1,"Welch independent-samples t-test comparing mean positive affect change scores (Time 2 – Time 1 PANAS positive mean scores) between participants who saw the anchor item before versus after the PANAS, among those who answered “a little more positive” on the positive anchor item.",Inference Specification,"In the analyses I used Welch's independent samples t-tests.[...]For those who said they felt a little more positive, there was a slight difference in the average change score between those who saw the anchor before (M = 0.20, SD = 0.53) and those who saw the anchor after (M = 0.15, SD = 0.63), but this was not a statistically significant difference, t(351.87) = 0.83, p = .409, mean difference = 0.05, CI 95%[-0.07, 0.17], d = 0.09, CI 95%[-0.12, 0.29].","# SDs & test for ""a little more positive"" before vs after
t.test(data_after$PA_change[data_after$AnchorPA==4], data_before$PA_change[data_before$AnchorPA==4])
[...]
cohen.d(data_after$PA_change[data_after$AnchorPA==4],
        data_before$PA_change[data_before$AnchorPA==4],
        pooled=TRUE,paired=FALSE,
        na.rm=TRUE, hedges.correction=FALSE,
        conf.level=0.95)",match,"The paper describes using Welch independent-samples t-tests with p-values, 95% confidence intervals, and effect size d (with its 95% CI) to judge statistical significance, and the code implements a Welch two-sample t-test plus cohen.d with conf.level=0.95 on the same subgroup comparison. Both thus use the same inferential framework of p-values and 95% CIs without specifying a different alpha level.",inference
2,"Welch independent-samples t-test comparing mean negative affect change scores between participants who saw the anchor item before versus after the PANAS, among those who answered “a little less negative” on the negative anchor item.",Model Specification,"“In the analyses I used Welch's independent samples t-tests.” [...] “For negative affect, of the people who said they felt a little less negative, those who saw the anchor before (M = -0.22, SD = 0.50) the PANAS had a slightly lower change score, in absolute terms, as compared to those who saw the anchor after (M = -0.29, SD = 0.56), though this difference wasn't statistically significant, t(347.49) = 1.10, p = .272, mean difference = 0.07, CI 95%[-0.05, 0.17], d = 0.12, CI 95%[-0.09, 0.33].”","# SDs & test for ""a little less negative"" before vs after
t.test(data_after$NA_change[data_after$AnchorNA==2], data_before$NA_change[data_before$AnchorNA==2])",match,"The paper specifies using Welch’s independent-samples t-tests for this comparison, and the code uses R’s t.test with two groups (which implements the Welch Two Sample t-test by default) on the negative-affect change scores for the “a little less negative” before vs after groups. Thus, the model specification matches between paper and code.",model
2,"Welch independent-samples t-test comparing mean negative affect change scores between participants who saw the anchor item before versus after the PANAS, among those who answered “a little less negative” on the negative anchor item.",Variable Specification,"“To calculate each participant's change score for positive affect, I subtracted the mean score for positive affect at Time 1 from the mean score for positive affect at Time 2. I did the same to calculate the change scores for negative affect. Thus, each participant had a change score for positive affect and a change score for negative affect.”[...]“For negative affect, of the people who said they felt a little less negative, those who saw the anchor before (M = -0.22, SD = 0.50) the PANAS had a slightly lower change score, in absolute terms, as compared to those who saw the anchor after (M = -0.29, SD = 0.56), though this difference wasn't statistically significant, t(347.49) = 1.10, p = .272, mean difference = 0.07, CI 95%[-0.05, 0.17], d = 0.12, CI 95%[-0.09, 0.33].”","data[data == "" A little less negative""] <- 2
[...]
data$PANAS_NA_D1mean = rowMeans(data[ , c('PANASD1_11_Distressed', 'PANASD1_12_Upset', 
  'PANASD1_13_Hostile', 'PANASD1_14_Irritable', 'PANASD1_15_Scared', 'PANASD1_16_Afraid', 
  'PANASD1_17_Ashamed', 'PANASD1_18_Guilty', 'PANASD1_19_Nervous', 'PANASD1_20_Jittery')], na.rm=TRUE)

data$PANAS_NA_D2mean = rowMeans(data[ , c('PANASD2_11_Distressed', 'PANASD2_12_Upset', 
  'PANASD2_13_Hostile', 'PANASD2_14_Irritable', 'PANASD2_15_Scared', 'PANASD2_16_Afraid', 
  'PANASD2_17_Ashamed', 'PANASD2_18_Guilty', 'PANASD2_19_Nervous', 'PANASD2_20_Jittery')], na.rm=TRUE)

data$NA_change = data$PANAS_NA_D2mean - data$PANAS_NA_D1mean
[...]
data_before = data[data$Anchor.Position==""Anchor Before"", ]
[...]
data_after = data[data$Anchor.Position==""Anchor After"", ]
[...]
# SDs & test for ""a little less negative"" before vs after
 t.test(data_after$NA_change[data_after$AnchorNA==2], data_before$NA_change[data_before$AnchorNA==2])
 sd(data_before$NA_change[data_before$AnchorNA==2])
 sd(data_after$NA_change[data_after$AnchorNA==2])
 cohen.d(data_after$NA_change[data_after$AnchorNA==2],
        data_before$NA_change[data_before$AnchorNA==2],
        pooled=TRUE,paired=FALSE,
        na.rm=TRUE, hedges.correction=FALSE,
        conf.level=0.95)",match,"The paper specifies a comparison of negative affect change scores between before- vs after-anchor groups among participants who reported feeling “a little less negative,” and the code implements this using `NA_change` as the outcome, subsetting to `AnchorNA==2` and splitting by `Anchor.Position` (before vs after). Thus, the roles and definitions of the dependent and grouping variables align between paper and code.",variables
2,"Welch independent-samples t-test comparing mean negative affect change scores between participants who saw the anchor item before versus after the PANAS, among those who answered “a little less negative” on the negative anchor item.",Transformation Specification,"“For Time 1 and Time 2 separately, I averaged the positive affect items for each participant to produce a mean score for positive affect, and I did the same for the negative affect items to produce a mean score for negative affect. To calculate each participant's change score for positive affect, I subtracted the mean score for positive affect at Time 1 from the mean score for positive affect at Time 2. I did the same to calculate the change scores for negative affect. Thus, each participant had a change score for positive affect and a change score for negative affect.” [...] “I excluded participants for (i) having missing responses on any measures or (ii) giving the same response to all items across the three measures in either the first or second survey. [...] The final dataset for this paper consisted of 903 participants who completed the PANAS on both Time 1 and Time 2.” [...] “As per the anchor-based approach for determining the smallest subjectively experienced difference in affect (Anvari & Lakens, 2021), I subcategorized partic-ipants into five groups based on their responses to the anchor item and, for each subcategory, I calculated the average change score from Time 1 to Time 2. I did this separately for participants who saw the anchor-item before the PANAS and those who saw the anchor-item after.” [...] “For negative affect, of the people who said they felt a little less negative, those who saw the anchor before (M = -0.22, SD = 0.50) the PANAS had a slightly lower change score, in absolute terms, as compared to those who saw the anchor after (M = -0.29, SD = 0.56)… ”","data$AnchorNA <- paste(data$NA.Anchor.Before, data$NA.Anchor.After) data$AnchorNA = as.character(data$AnchorNA) [...] data[data == "" Much less negative""] <- 1 data[data == ""Much less negative ""] <- 1 data[data == "" A little less negative""] <- 2 data[data == ""A little less negative ""] <- 2 data[data == "" A little more negative""] <- 4 data[data == ""A little more negative ""] <- 4 data[data == "" Much more negative""] <- 5 data[data == ""Much more negative ""] <- 5 [...] data[, 77:78] <- sapply(data[, 77:78], as.integer) [...] data$PANAS_NA_D1mean = rowMeans(data[ , c('PANASD1_11_Distressed', 'PANASD1_12_Upset',   'PANASD1_13_Hostile', 'PANASD1_14_Irritable', 'PANASD1_15_Scared', 'PANASD1_16_Afraid',   'PANASD1_17_Ashamed', 'PANASD1_18_Guilty', 'PANASD1_19_Nervous', 'PANASD1_20_Jittery')], na.rm=TRUE) data$PANAS_NA_D2mean = rowMeans(data[ , c('PANASD2_11_Distressed', 'PANASD2_12_Upset',   'PANASD2_13_Hostile', 'PANASD2_14_Irritable', 'PANASD2_15_Scared', 'PANASD2_16_Afraid',   'PANASD2_17_Ashamed', 'PANASD2_18_Guilty', 'PANASD2_19_Nervous', 'PANASD2_20_Jittery')], na.rm=TRUE) [...] data$NA_change = data$PANAS_NA_D2mean - data$PANAS_NA_D1mean [...] data_before = data[data$Anchor.Position==""Anchor Before"", ] [...] data_after = data[data$Anchor.Position==""Anchor After"", ] [...] t.test(data_after$NA_change[data_after$AnchorNA==2], data_before$NA_change[data_before$AnchorNA==2])",match,"Both paper and code construct negative affect mean scores at each time point, compute change scores as Time 2 minus Time 1, recode anchor responses into ordered categories, and subset to the “a little less negative” group split by anchor position before comparing their negative affect change scores. There is no evident transformation step in the code that contradicts or omits a transformation described for this specific analysis in the paper.",transform
2,"Welch independent-samples t-test comparing mean negative affect change scores between participants who saw the anchor item before versus after the PANAS, among those who answered “a little less negative” on the negative anchor item.",Inference Specification,"For negative affect, of the people who said they felt a little less negative, those who saw the anchor before (M = -0.22, SD = 0.50) the PANAS had a slightly lower change score, in absolute terms, as compared to those who saw the anchor after (M = -0.29, SD = 0.56), though this difference wasn't statistically significant, t(347.49) = 1.10, p = .272, mean difference = 0.07, CI 95%[-0.05, 0.17], d = 0.12, CI 95%[-0.09, 0.33].","# SDs & test for ""a little less negative"" before vs after
t.test(data_after$NA_change[data_after$AnchorNA==2], data_before$NA_change[data_before$AnchorNA==2])
sd(data_before$NA_change[data_before$AnchorNA==2])
sd(data_after$NA_change[data_after$AnchorNA==2])
cohen.d(data_after$NA_change[data_after$AnchorNA==2],
        data_before$NA_change[data_before$AnchorNA==2],
        pooled=TRUE,paired=FALSE,
        na.rm=TRUE, hedges.correction=FALSE,
        conf.level=0.95)",match,"The paper reports inference from a Welch independent-samples t-test with a p-value, a 95% confidence interval for the mean difference, and an effect size d with its 95% CI, and the code implements an (R default Welch) t.test and cohen.d with conf.level=0.95 for this same comparison. Both thus use 95% confidence intervals and standard null-hypothesis significance testing without specifying any different inferential criterion.",inference
3,"Welch independent-samples t-test comparing mean negative affect change scores between participants who saw the anchor item before versus after the PANAS, among those who answered “a little more negative” on the negative anchor item.",Model Specification,"“In the analyses I used Welch's independent samples t-tests.”[...]“For people who said they felt a little more negative, those who saw the anchor before (M = 0.41, SD = 0.58) the PANAS had a slightly higher change score as compared to those who saw the anchor after (M = 0.26, SD = 0.67), though this difference was also not statistically significant, t(133.53) = 1.40, p = .165, mean difference = 0.15, CI 95%[-0.03, 0.36], d = 0.24, CI 95%[-0.10, 0.58].”","# SDs & test for ""a little more negative"" before vs after
t.test(data_after$NA_change[data_after$AnchorNA==4], data_before$NA_change[data_before$AnchorNA==4])
sd(data_before$NA_change[data_before$AnchorNA==4])
sd(data_after$NA_change[data_after$AnchorNA==4])
cohen.d(data_after$NA_change[data_after$AnchorNA==4],
        data_before$NA_change[data_before$AnchorNA==4],
        pooled=TRUE,paired=FALSE,
        na.rm=TRUE, hedges.correction=FALSE,
        conf.level=0.95)",match,"The paper specifies a “Welch's independent samples t-test” for this comparison, and the code uses R's two-sample t.test (which by default is Welch) on the two independent NA_change groups for AnchorNA == 4. Thus, the implemented model specification matches the one described in the paper for this analysis.",model
3,"Welch independent-samples t-test comparing mean negative affect change scores between participants who saw the anchor item before versus after the PANAS, among those who answered “a little more negative” on the negative anchor item.",Variable Specification,"For people who said they felt a little more negative, those who saw the anchor before (M = 0.41, SD = 0.58) the PANAS had a slightly higher change score as compared to those who saw the anchor after (M = 0.26, SD = 0.67), though this difference was also not statistically significant, t(133.53) = 1.40, p = .165, mean difference = 0.15, CI 95%[-0.03, 0.36], d = 0.24, CI 95%[-0.10, 0.58].[...]I did the same to calculate the change scores for negative affect. Thus, each participant had a change score for positive affect and a change score for negative affect.[...]Importantly, participants were randomly allocated to respond to the anchor item either before the PANAS or after.[...]Participants had five response options for each anchor item: much less positive/negative, a little less positive/negative, the same, a little more positive/negative, and much more positive/negative.","data$NA_change = data$PANAS_NA_D2mean - data$PANAS_NA_D1mean[...]data[data == "" A little more negative""] <- 4[...]data[data == ""A little more negative ""] <- 4[...]t.test(data_after$NA_change[data_after$AnchorNA==4], data_before$NA_change[data_before$AnchorNA==4])",match,"In both the paper and the code, the dependent variable is the negative affect change score (NA_change), and the comparison is between anchor-before versus anchor-after groups within the subgroup who responded ""a little more negative"" on the negative anchor. The code implements this by subsetting NA_change to AnchorNA==4 (coded from ""A little more negative"") for the before and after groups and running an independent-samples t-test on these two groups.",variables
