analysis_id,dimension,human_manuscript_content,human_manuscript_location,human_code_content,human_code_location,human_match_judgement,codebot_brief_description,codebot_manuscript_content,codebot_manuscript_location,codebot_code_content,codebot_code_location,codebot_match_judgement,codebot_human_agreement
1,model specification,"Children in the Generating Predictions group correctly answered on average eight out of 12 questions at pretest (M = 0.64, 95% CI [0.62, 0.66]). Similarly, children in the Retrieve group also correctly answered on average eight out of 12 questions at pretest (M = 0.64, 95% CI [0.62, 0.66]). To investigate these differences, we used a two-sample t-test for null hypothesis significance testing, and an equivalence test, via two one-sided tests with α-level of .05. [...] t(86) = −0.05, p = .961, d = −0.010, 95% CI[−0.43,0.41],",0.0,"# Pretest performance (overall)

```{r}
t.test(data$Pre.test.overall[data$Condition==""GENERATE""],data$Pre.test.overall[data$Condition==""RETRIEVE""],var.equal = T)
library(effsize)
cohen.d(data$Pre.test.overall[data$Condition==""GENERATE""],data$Pre.test.overall[data$Condition==""RETRIEVE""])",generate-v-retrieve-analyses.Rmd:52-57,1,"A two-sample t-test compared overall pretest accuracy (proportion of 12 items correct, including critical and catch items) between children in the Generating Predictions condition and those in the Retrieve condition to verify baseline equivalence of prior knowledge. The test evaluated whether the mean proportion correct differed between conditions before the lesson.","To investigate these differences, we used a two-sample t-test for null hypothesis significance testing, and an equivalence test, via two one-sided tests with α-level of .05.",,"t.test(data$Pre.test.overall[data$Condition==""GENERATE""],data$Pre.test.overall[data$Condition==""RETRIEVE""],var.equal = T)
library(effsize)
cohen.d(data$Pre.test.overall[data$Condition==""GENERATE""],data$Pre.test.overall[data$Condition==""RETRIEVE""])",,1,1
1,variable specification,"Children in the Generating Predictions group correctly answered on average eight out of 12 questions at pretest (M = 0.64, 95% CI [0.62, 0.66]). Similarly, children in the Retrieve group also correctly answered on average eight out of 12 questions at pretest (M = 0.64, 95% CI [0.62, 0.66]). To investigate these differences, we used a two-sample t-test for null hypothesis significance testing, and an equivalence test, via two one-sided tests with α-level of .05. [...] t(86) = −0.05, p = .961, d = −0.010, 95% CI[−0.43,0.41],",0.0,"# Pretest performance (overall)

```{r}
t.test(data$Pre.test.overall[data$Condition==""GENERATE""],data$Pre.test.overall[data$Condition==""RETRIEVE""],var.equal = T)
library(effsize)
cohen.d(data$Pre.test.overall[data$Condition==""GENERATE""],data$Pre.test.overall[data$Condition==""RETRIEVE""])",generate-v-retrieve-analyses.Rmd:52-57,1,"A two-sample t-test compared overall pretest accuracy (proportion of 12 items correct, including critical and catch items) between children in the Generating Predictions condition and those in the Retrieve condition to verify baseline equivalence of prior knowledge. The test evaluated whether the mean proportion correct differed between conditions before the lesson.","Children in the Generating Predictions group correctly answered on average eight out of 12 questions at pretest (M = 0.64, 95% CI [0.62, 0.66]). Similarly, children in the Retrieve group also correctly answered on average eight out of 12 questions at pretest (M = 0.64, 95% CI [0.62, 0.66]). To investigate these differences, we used a two-sample t-test for null hypothesis significance testing, and an equivalence test, via two one-sided tests with α-level of .05.",,"t.test(data$Pre.test.overall[data$Condition==""GENERATE""],data$Pre.test.overall[data$Condition==""RETRIEVE""],var.equal = T)
library(effsize)
cohen.d(data$Pre.test.overall[data$Condition==""GENERATE""],data$Pre.test.overall[data$Condition==""RETRIEVE""])

# age effects?
m_pre_age <- lm(Pre.test.overall~Condition*FIXED.GRADE.LEVEL,data=data)
summary(m_pre_age)",,1,1
1,transformation,,,,generate-v-retrieve-analyses.Rmd,,"A two-sample t-test compared overall pretest accuracy (proportion of 12 items correct, including critical and catch items) between children in the Generating Predictions condition and those in the Retrieve condition to verify baseline equivalence of prior knowledge. The test evaluated whether the mean proportion correct differed between conditions before the lesson.","Children in the Generating Predictions group correctly answered on average eight out of 12 questions at pretest (M = 0.64, 95% CI [0.62, 0.66]). Similarly, children in the Retrieve group also correctly answered on average eight out of 12 questions at pretest (M = 0.64, 95% CI [0.62, 0.66]). … Accuracy by question type and a total score was calculated. Participants who had 50% or less accuracy on the catch trials were excluded from the analyses (n = 2, one participant from each condition).",,"data <- read.csv(""Generate vs. Retrieve Study Data.csv"")
data <- data[which(data$Pretest.Catch>.60),]

t.test(data$Pre.test.overall[data$Condition==""GENERATE""],data$Pre.test.overall[data$Condition==""RETRIEVE""],var.equal = T)",,0,
1,variable specification,"Children in the Generating Predictions group correctly answered on average eight out of 12 questions at pretest (M = 0.64, 95% CI [0.62, 0.66]). Similarly, children in the Retrieve group also correctly answered on average eight out of 12 questions at pretest (M = 0.64, 95% CI [0.62, 0.66]). To investigate these differences, we used a two-sample t-test for null hypothesis significance testing, and an equivalence test, via two one-sided tests with α-level of .05. [...] t(86) = −0.05, p = .961, d = −0.010, 95% CI[−0.43,0.41],",0.0,"# Pretest performance (overall)

```{r}
t.test(data$Pre.test.overall[data$Condition==""GENERATE""],data$Pre.test.overall[data$Condition==""RETRIEVE""],var.equal = T)
library(effsize)
cohen.d(data$Pre.test.overall[data$Condition==""GENERATE""],data$Pre.test.overall[data$Condition==""RETRIEVE""])",generate-v-retrieve-analyses.Rmd:52-57,1,"A two-sample t-test compared overall pretest accuracy (proportion of 12 items correct, including critical and catch items) between children in the Generating Predictions condition and those in the Retrieve condition to verify baseline equivalence of prior knowledge. The test evaluated whether the mean proportion correct differed between conditions before the lesson.","Children in the Generating Predictions group correctly answered on average eight out of 12 questions at pretest (M = 0.64, 95% CI [0.62, 0.66]). Similarly, children in the Retrieve group also correctly answered on average eight out of 12 questions at pretest (M = 0.64, 95% CI [0.62, 0.66]). To investigate these differences, we used a two-sample t-test for null hypothesis significance testing, and an equivalence test, via two one-sided tests with α-level of .05.",,"t.test(data$Pre.test.overall[data$Condition==""GENERATE""],data$Pre.test.overall[data$Condition==""RETRIEVE""],var.equal = T)
library(effsize)
cohen.d(data$Pre.test.overall[data$Condition==""GENERATE""],data$Pre.test.overall[data$Condition==""RETRIEVE""])

# age effects?
m_pre_age <- lm(Pre.test.overall~Condition*FIXED.GRADE.LEVEL,data=data)
summary(m_pre_age)",,1,1
1,transformation,Accuracy by question type and a total score was calculated,0.0,,generate-v-retrieve-analyses.Rmd,,"A two-sample t-test compared overall pretest accuracy (proportion of 12 items correct, including critical and catch items) between children in the Generating Predictions condition and those in the Retrieve condition to verify baseline equivalence of prior knowledge. The test evaluated whether the mean proportion correct differed between conditions before the lesson.","Children in the Generating Predictions group correctly answered on average eight out of 12 questions at pretest (M = 0.64, 95% CI [0.62, 0.66]). Similarly, children in the Retrieve group also correctly answered on average eight out of 12 questions at pretest (M = 0.64, 95% CI [0.62, 0.66]). … Accuracy by question type and a total score was calculated. Participants who had 50% or less accuracy on the catch trials were excluded from the analyses (n = 2, one participant from each condition).",,"data <- read.csv(""Generate vs. Retrieve Study Data.csv"")
data <- data[which(data$Pretest.Catch>.60),]

t.test(data$Pre.test.overall[data$Condition==""GENERATE""],data$Pre.test.overall[data$Condition==""RETRIEVE""],var.equal = T)",,0,
1,inference criterion,"Children in the Generating Predictions group correctly answered on average eight out of 12 questions at pretest (M = 0.64, 95% CI [0.62, 0.66]). Similarly, children in the Retrieve group also correctly answered on average eight out of 12 questions at pretest (M = 0.64, 95% CI [0.62, 0.66]). To investigate these differences, we used a two-sample t-test for null hypothesis significance testing, and an equivalence test, via two one-sided tests with α-level of .05. [...] t(86) = −0.05, p = .961, d = −0.010, 95% CI[−0.43,0.41],",0.0,"# Pretest performance (overall)

```{r}
t.test(data$Pre.test.overall[data$Condition==""GENERATE""],data$Pre.test.overall[data$Condition==""RETRIEVE""],var.equal = T)
library(effsize)
cohen.d(data$Pre.test.overall[data$Condition==""GENERATE""],data$Pre.test.overall[data$Condition==""RETRIEVE""])",generate-v-retrieve-analyses.Rmd:52-57,1,"A two-sample t-test compared overall pretest accuracy (proportion of 12 items correct, including critical and catch items) between children in the Generating Predictions condition and those in the Retrieve condition to verify baseline equivalence of prior knowledge. The test evaluated whether the mean proportion correct differed between conditions before the lesson.","To investigate these differences, we used a two-sample t-test for null hypothesis significance testing, and an equivalence test, via two one-sided tests with α-level of .05. These tested the null hypotheses that true mean difference is equal to 0 (null hypothesis significance testing), and true mean difference is more extreme than −0.1667 and 0.1667, equivalent to one question difference in the pretest, on average, between the two conditions (two one-sided tests).",,"t.test(data$Pre.test.overall[data$Condition==""GENERATE""],data$Pre.test.overall[data$Condition==""RETRIEVE""],var.equal = T)",,0,0
2,model specification,"Children in the Generating Predictions group correctly answered on average eight out of 12 questions at pretest (M = 0.64, 95% CI [0.62, 0.66]). Similarly, children in the Retrieve group also correctly answered on average eight out of 12 questions at pretest (M = 0.64, 95% CI [0.62, 0.66]). To investigate these differences, we used a two-sample t-test for null hypothesis significance testing, and an equivalence test, via two one-sided tests with α-level of .05. [...] t(86) = −12, p < .01, mean difference = −0.0013, 90% CI [−0.048, 0.045]; Hedges’g(av) = −0.010, 90% CI [−0.36, 0.34].",0.0,,generate-v-retrieve-analyses.Rmd,,,,,,,,
2,variable specification,"Children in the Generating Predictions group correctly answered on average eight out of 12 questions at pretest (M = 0.64, 95% CI [0.62, 0.66]). Similarly, children in the Retrieve group also correctly answered on average eight out of 12 questions at pretest (M = 0.64, 95% CI [0.62, 0.66]). To investigate these differences, we used a two-sample t-test for null hypothesis significance testing, and an equivalence test, via two one-sided tests with α-level of .05. [...] t(86) = −12, p < .01, mean difference = −0.0013, 90% CI [−0.048, 0.045]; Hedges’g(av) = −0.010, 90% CI [−0.36, 0.34].",0.0,,generate-v-retrieve-analyses.Rmd,,,,,,,,
2,transformation,,,,generate-v-retrieve-analyses.Rmd,,,,,,,,
2,variable specification,"Children in the Generating Predictions group correctly answered on average eight out of 12 questions at pretest (M = 0.64, 95% CI [0.62, 0.66]). Similarly, children in the Retrieve group also correctly answered on average eight out of 12 questions at pretest (M = 0.64, 95% CI [0.62, 0.66]). To investigate these differences, we used a two-sample t-test for null hypothesis significance testing, and an equivalence test, via two one-sided tests with α-level of .05. [...] t(86) = −12, p < .01, mean difference = −0.0013, 90% CI [−0.048, 0.045]; Hedges’g(av) = −0.010, 90% CI [−0.36, 0.34].",0.0,,generate-v-retrieve-analyses.Rmd,,,,,,,,
