paper_id,analysis_id,brief_description,dimension,paper_value,code_value,match_status,explanation,paper_evidence,code_evidence
yeung,1,"In Study 1, the authors computed a zero-order Pearson correlation between trait object imagery (OSIQ Object subscale) and PTSD symptom severity (IES-R total score) among trauma-exposed adults (n = 806, with correlation n likely 792 after excluding missing gender). The correlation was positive (r = .15, p < .001), indicating that higher object imagery was associated with more PTSD symptoms.",Model Specification,"Zero-order correlations with PTSD symptoms were r = .15 for OSIQ-O and r  = −.16 for OSIQ-S (ps < .001), which were significantly different from each other (p  < .001).","df_master_cor <-
  df_master %>% 
  filter(
    !is.na(ies_recent_total), !is.na(phq_total_cen),
    !is.na(osiq_o_cen), !is.na(osiq_s_cen),
    !is.na(gender_flup_clean),
    !(gender_flup_clean == ""Other/Prefer not to answer""),
    ### only among those with demo data
    recorded_data_demo == ""DEM"",
    ### only among those with self-reported trauma exposure
    str_detect(trauma, ""Yes""),
    ) %>% 
  select(ies_recent_total, osiq_o, osiq_s)

df_master_cor %$% 
  cor.test(.$ies_recent_total, .$osiq_o)

df_master_cor %$% 
  cor.test(.$ies_recent_total, .$osiq_s)
",match,"The paper reports zero-order correlations between PTSD symptoms and OSIQ subscales, and the code computes Pearson correlations using cor.test on these variables. This aligns with the described model specification.",,
yeung,1,"In Study 1, the authors computed a zero-order Pearson correlation between trait object imagery (OSIQ Object subscale) and PTSD symptom severity (IES-R total score) among trauma-exposed adults (n = 806, with correlation n likely 792 after excluding missing gender). The correlation was positive (r = .15, p < .001), indicating that higher object imagery was associated with more PTSD symptoms.",Variable Specification,"Zero-order correlations with PTSD symptoms were r = .15 for OSIQ-O and r = −.16 for OSIQ-S (ps < .001), which were significantly different from each other (p < .001). The relationship between imagery abilities and trauma outcome was assessed using a linear regression with object (OSIQ Object [OSIQ-O] subscale) and spatial imagery (OSIQ Spatial [OSIQ-S] subscale) as mean-centered predictors and PTSD symptoms (IES-R) as the outcome.","```{r ies osiq correlations}
#| warning: false

df_master_cor <-
  df_master %>% 
  filter(
    !is.na(ies_recent_total), !is.na(phq_total_cen),
    !is.na(osiq_o_cen), !is.na(osiq_s_cen),
    !is.na(gender_flup_clean),
    !(gender_flup_clean == ""Other/Prefer not to answer""),
    ### only among those with demo data
    recorded_data_demo == ""DEM"",
    ### only among those with self-reported trauma exposure
    str_detect(trauma, ""Yes""),
    ) %>% 
  select(ies_recent_total, osiq_o, osiq_s)

df_master_cor %$% 
  cor.test(.$ies_recent_total, .$osiq_o)

df_master_cor %$% 
  cor.test(.$ies_recent_total, .$osiq_s)

df_master_cor %>% 
  as.data.frame() %>% 
  cocor::cocor(~ies_recent_total + osiq_o | ies_recent_total + osiq_s, data = .)
```",match,"The code computes zero-order correlations between the OSIQ Object and Spatial subscales and IES-R total PTSD symptoms, matching the variables and roles described in the paper for this analysis.",,
yeung,1,"In Study 1, the authors computed a zero-order Pearson correlation between trait object imagery (OSIQ Object subscale) and PTSD symptom severity (IES-R total score) among trauma-exposed adults (n = 806, with correlation n likely 792 after excluding missing gender). The correlation was positive (r = .15, p < .001), indicating that higher object imagery was associated with more PTSD symptoms.",Transformation Specification,"“Total scores reflecting object and spatial imagery are calculated by averaging the raw scores of all the items in each domain.”

“The relationship between imagery abilities and trauma outcome was assessed using a linear regression with object (OSIQ Object [OSIQ-O] subscale) and spatial imagery (OSIQ Spatial [OSIQ-S] subscale) as mean-centered predictors and PTSD symptoms (IES-R) as the outcome.”

“Two items on the OSIQ-O were conceptually similar to PTSD-related intrusions (i.e., ‘Sometimes my images are so vivid and persistent that it is difficult to ignore them,’ ‘My visual images are in my head all the time. They are just right there’). Likewise, one item on the IES-R was conceptually similar to trait object imagery (i.e., ‘Pictures about it popped into my mind’). To ensure that any associations were not simply due to overlap between items on scales, we reran the same regression after recalculating OSIQ-O and IES-R scores without these three items.”","df_master_cor <-
  df_master %>% 
  filter(
    !is.na(ies_recent_total), !is.na(phq_total_cen),
    !is.na(osiq_o_cen), !is.na(osiq_s_cen),
    !is.na(gender_flup_clean),
    !(gender_flup_clean == ""Other/Prefer not to answer""),
    ### only among those with demo data
    recorded_data_demo == ""DEM"",
    ### only among those with self-reported trauma exposure
    str_detect(trauma, ""Yes""),
    ) %>% 
  select(ies_recent_total, osiq_o, osiq_s)

df_master_cor %$% 
  cor.test(.$ies_recent_total, .$osiq_o)

df_master_cor %$% 
  cor.test(.$ies_recent_total, .$osiq_s)

df_master_cor %>% 
  as.data.frame() %>% 
  cocor::cocor(~ies_recent_total + osiq_o | ies_recent_total + osiq_s, data = .)",unknown,"The code operates on precomputed scale variables (e.g., osiq_o, ies_recent_total), so it is not possible to verify from the provided snippet whether item scores were averaged or otherwise transformed as described in the paper. No item-level computations or item-exclusion recalculations are shown for this correlation analysis.",,
yeung,1,"In Study 1, the authors computed a zero-order Pearson correlation between trait object imagery (OSIQ Object subscale) and PTSD symptom severity (IES-R total score) among trauma-exposed adults (n = 806, with correlation n likely 792 after excluding missing gender). The correlation was positive (r = .15, p < .001), indicating that higher object imagery was associated with more PTSD symptoms.",Inference Specification,"Zero-order correlations with PTSD symptoms were r = .15 for OSIQ-O and r  = −.16 for OSIQ-S (p s < .001), which were significantly different from each other (p  < .001).","df_master_cor <-
  df_master %>% 
  filter(
    !is.na(ies_recent_total), !is.na(phq_total_cen),
    !is.na(osiq_o_cen), !is.na(osiq_s_cen),
    !is.na(gender_flup_clean),
    !(gender_flup_clean == ""Other/Prefer not to answer""),
    ### only among those with demo data
    recorded_data_demo == ""DEM"",
    ### only among those with self-reported trauma exposure
    str_detect(trauma, ""Yes""),
    ) %>% 
  select(ies_recent_total, osiq_o, osiq_s)

df_master_cor %$% 
  cor.test(.$ies_recent_total, .$osiq_o)

df_master_cor %$% 
  cor.test(.$ies_recent_total, .$osiq_s)

df_master_cor %>% 
  as.data.frame() %>% 
  cocor::cocor(~ies_recent_total + osiq_o | ies_recent_total + osiq_s, data = .)
",match,"The paper reports p-values for each correlation and for the test of difference between correlations, and the code implements standard null-hypothesis significance tests for each correlation and their difference using default settings. This aligns with the implied inference approach in the paper (p-value based significance testing, with results reported as p < .001).",,
yeung,2,"In Study 1, a zero-order Pearson correlation was calculated between trait spatial imagery (OSIQ Spatial subscale) and PTSD symptom severity (IES-R total score) in trauma-exposed adults. The correlation was negative (r = −.16, p < .001), suggesting that higher spatial imagery was associated with fewer PTSD symptoms.",Model Specification,"Zero-order correlations with PTSD symptoms were r = .15 for OSIQ-O and r  = −.16 for OSIQ-S (p s < .001), which were significantly different from each other (p  < .001).","df_master_cor %$% 
  cor.test(.$ies_recent_total, .$osiq_s)",match,"The paper describes computing a zero-order correlation between PTSD symptoms and OSIQ-S, and the code implements a Pearson correlation test between these same variables, which matches the stated model specification.",,
yeung,2,"In Study 1, a zero-order Pearson correlation was calculated between trait spatial imagery (OSIQ Spatial subscale) and PTSD symptom severity (IES-R total score) in trauma-exposed adults. The correlation was negative (r = −.16, p < .001), suggesting that higher spatial imagery was associated with fewer PTSD symptoms.",Variable Specification,"Zero-order correlations with PTSD symptoms were r = .15 for OSIQ-O and r  = −.16 for OSIQ-S (p s < .001), which were significantly different from each other (p  < .001).","df_master_cor <-
  df_master %>% 
  filter(
    !is.na(ies_recent_total), !is.na(phq_total_cen),
    !is.na(osiq_o_cen), !is.na(osiq_s_cen),
    !is.na(gender_flup_clean),
    !(gender_flup_clean == ""Other/Prefer not to answer""),
    ### only among those with demo data
    recorded_data_demo == ""DEM"",
    ### only among those with self-reported trauma exposure
    str_detect(trauma, ""Yes""),
    ) %>% 
  select(ies_recent_total, osiq_o, osiq_s)

df_master_cor %$% 
  cor.test(.$ies_recent_total, .$osiq_o)

df_master_cor %$% 
  cor.test(.$ies_recent_total, .$osiq_s)

df_master_cor %>% 
  as.data.frame() %>% 
  cocor::cocor(~ies_recent_total + osiq_o | ies_recent_total + osiq_s, data = .)
",match,"The code computes zero-order correlations between PTSD symptoms (ies_recent_total) and both OSIQ-O and OSIQ-S, matching the paper’s description of correlating PTSD symptoms with OSIQ-S (spatial imagery).",,
yeung,2,"In Study 1, a zero-order Pearson correlation was calculated between trait spatial imagery (OSIQ Spatial subscale) and PTSD symptom severity (IES-R total score) in trauma-exposed adults. The correlation was negative (r = −.16, p < .001), suggesting that higher spatial imagery was associated with fewer PTSD symptoms.",Transformation Specification,"Total scores reflecting object and spatial imagery are calculated by averaging the raw scores of all the items in each domain.

The relationship between imagery abilities and trauma outcome was assessed using a linear regression with object (OSIQ Object [OSIQ-O] subscale) and spatial imagery (OSIQ Spatial [OSIQ-S] subscale) as mean-centered predictors and PTSD symptoms (IES-R) as the outcome.

Zero-order correlations with PTSD symptoms were r = .15 for OSIQ-O and r  = −.16 for OSIQ-S (ps < .001), which were significantly different from each other (p  < .001).","### Center numeric predictors in later regression models

df_master <-
  df_master %>% 
  mutate(
    ### osiq_o
    osiq_o_cen = scale(osiq_o, scale = FALSE),
    osiq_o_drop_cen = scale(osiq_o_drop, scale = FALSE),
    ### osiq_s
    osiq_s_cen = scale(osiq_s, scale = FALSE),
    ### osivq_v
    osivq_v_cen = scale(osivq_v, scale = FALSE),
    ### phq_total
    phq_total_cen = scale(phq_total, scale = FALSE),
    ### osiq diff score
    osiq_diff_o_s_cen = scale(osiq_diff_o_s, scale = FALSE),
    ### age
    age_flup_cen = scale(age_flup, scale = FALSE),
    ### pte_exposure_count
    pte_exposure_count_cen = scale(pte_exposure_count, scale = FALSE),
    ### grammatical reasoning
    final_score_raw_gr_cen = scale(final_score_raw_gr, scale = FALSE),
    ### odd-one-out
    final_score_raw_oo_cen = scale(final_score_raw_oo, scale = FALSE),
    ### paired associates
    avg_score_raw_pa_cen = scale(avg_score_raw_pa, scale = FALSE),
    ### mental rotation
    final_score_raw_ro_cen = scale(final_score_raw_ro, scale = FALSE),
    ### education
    edu_flup_cen = scale(edu_flup, scale = FALSE),
    )

### Zero-order correlations between OSIQ-O / OSIQ-S and IES-R total (trauma-exposed adults)

df_master_cor <-
  df_master %>% 
  filter(
    !is.na(ies_recent_total), !is.na(phq_total_cen),
    !is.na(osiq_o_cen), !is.na(osiq_s_cen),
    !is.na(gender_flup_clean),
    !(gender_flup_clean == ""Other/Prefer not to answer""),
    ### only among those with demo data
    recorded_data_demo == ""DEM"",
    ### only among those with self-reported trauma exposure
    str_detect(trauma, ""Yes""),
    ) %>% 
  select(ies_recent_total, osiq_o, osiq_s)",unknown,"The paper specifies that OSIQ subscale scores are computed as averages of item scores, but the provided code only shows centering existing OSIQ variables and using them (uncentered) in the correlation without revealing how those variables were derived. Therefore, it is not possible to determine from the snippet whether the item-averaging transformation matches the paper’s description.",,
yeung,2,"In Study 1, a zero-order Pearson correlation was calculated between trait spatial imagery (OSIQ Spatial subscale) and PTSD symptom severity (IES-R total score) in trauma-exposed adults. The correlation was negative (r = −.16, p < .001), suggesting that higher spatial imagery was associated with fewer PTSD symptoms.",Inference Specification,"Zero-order correlations with PTSD symptoms were r = .15 for OSIQ-O and r  = −.16 for OSIQ-S (p s < .001), which were significantly different from each other (p  < .001).","df_master %>% 
  filter(
    !is.na(gender_flup_clean),
    !(gender_flup_clean == ""Other/Prefer not to answer""),
    ### only among those with demo data
    recorded_data_demo == ""DEM"",
    ### only among those with self-reported trauma exposure
    str_detect(trauma, ""Yes""),
    ) %>% 
  select(
    phq_9, osiq_o, osiq_s, 
    ies_recent_total, # ies_recent_int, ies_recent_avd, ies_recent_hyp,
    final_score_raw_gr, final_score_raw_oo, final_score_raw_ro, avg_score_raw_pa,
    # sam_epi_zscore_demo, sam_sem_zscore_demo, sam_spa_zscore_demo, sam_fut_zscore_demo, 
    ) %>% 
  rename(
    cbs_gr = final_score_raw_gr,
    cbs_oo = final_score_raw_oo,
    cbs_ro = final_score_raw_ro,
    cbs_pa = avg_score_raw_pa,
  ) %>%
  # nrow()
  rstatix::cor_mat() %>% 
  rstatix::cor_mark_significant()

...

df_master_cor <-
  df_master %>% 
  filter(
    !is.na(ies_recent_total), !is.na(phq_total_cen),
    !is.na(osiq_o_cen), !is.na(osiq_s_cen),
    !is.na(gender_flup_clean),
    !(gender_flup_clean == ""Other/Prefer not to answer""),
    ### only among those with demo data
    recorded_data_demo == ""DEM"",
    ### only among those with self-reported trauma exposure
    str_detect(trauma, ""Yes""),
    ) %>% 
  select(ies_recent_total, osiq_o, osiq_s)

df_master_cor %$% 
  cor.test(.$ies_recent_total, .$osiq_o)

df_master_cor %$% 
  cor.test(.$ies_recent_total, .$osiq_s)

df_master_cor %>% 
  as.data.frame() %>% 
  cocor::cocor(~ies_recent_total + osiq_o | ies_recent_total + osiq_s, data = .)",match,"The paper reports two‑sided p‑values (ps < .001, p < .001) to assess significance of the correlations and their difference, and the code uses standard cor.test and cocor calls with default (two‑sided) settings to obtain these p‑values without specifying any alternative inference criteria. There is no indication of any alpha or sidedness discrepancy between the paper’s described inference and the implemented tests.",,
yeung,3,"The authors formally compared the two dependent correlations from Study 1—OSIQ Object vs. IES-R (r = .15) and OSIQ Spatial vs. IES-R (r = −.16)—using the R package cocor. The difference between these correlations was statistically significant (p < .001), indicating that the associations of object and spatial imagery with PTSD symptoms differed in magnitude and direction.",Model Specification,"Analyses were conducted in R (Version 4.2.2), including stats  for linear regressions and correlations (R Core Team, 2022), cocor for testing significant differences among correlations (Diedenhofen & Musch, 2015), and rstatix for correlation matrices (Kassambara, 2023).","df_master_cor <-
  df_master %>% 
  filter(
    !is.na(ies_recent_total), !is.na(phq_total_cen),
    !is.na(osiq_o_cen), !is.na(osiq_s_cen),
    !is.na(gender_flup_clean),
    !(gender_flup_clean == ""Other/Prefer not to answer""),
    ### only among those with demo data
    recorded_data_demo == ""DEM"",
    ### only among those with self-reported trauma exposure
    str_detect(trauma, ""Yes""),
    ) %>% 
  select(ies_recent_total, osiq_o, osiq_s)

df_master_cor %$% 
  cor.test(.$ies_recent_total, .$osiq_o)

df_master_cor %$% 
  cor.test(.$ies_recent_total, .$osiq_s)

df_master_cor %>% 
  as.data.frame() %>% 
  cocor::cocor(~ies_recent_total + osiq_o | ies_recent_total + osiq_s, data = .)",match,"The paper specifies using cocor to test the difference between two dependent correlations, and the code implements this exactly with cocor on the two correlations involving ies_recent_total, osiq_o, and osiq_s.",,
yeung,3,"The authors formally compared the two dependent correlations from Study 1—OSIQ Object vs. IES-R (r = .15) and OSIQ Spatial vs. IES-R (r = −.16)—using the R package cocor. The difference between these correlations was statistically significant (p < .001), indicating that the associations of object and spatial imagery with PTSD symptoms differed in magnitude and direction.",Variable Specification,"Zero-order correlations with PTSD symptoms were r = .15 for OSIQ-O and r = −.16 for OSIQ-S (ps < .001), which were significantly different from each other (p < .001).","df_master_cor <-
  df_master %>% 
  filter(
    !is.na(ies_recent_total), !is.na(phq_total_cen),
    !is.na(osiq_o_cen), !is.na(osiq_s_cen),
    !is.na(gender_flup_clean),
    !(gender_flup_clean == ""Other/Prefer not to answer""),
    ### only among those with demo data
    recorded_data_demo == ""DEM"",
    ### only among those with self-reported trauma exposure
    str_detect(trauma, ""Yes""),
    ) %>% 
  select(ies_recent_total, osiq_o, osiq_s)

df_master_cor %$% 
  cor.test(.$ies_recent_total, .$osiq_o)

df_master_cor %$% 
  cor.test(.$ies_recent_total, .$osiq_s)

df_master_cor %>% 
  as.data.frame() %>% 
  cocor::cocor(~ies_recent_total + osiq_o | ies_recent_total + osiq_s, data = .)",match,"The code uses the IES-R total score as the PTSD symptom variable and the OSIQ Object and Spatial scales as the two imagery variables, matching the variables described for the zero-order correlations and cocor comparison in the paper. For a correlational comparison, the designation of these variables (predictor/outcome) is symmetric, so the specification aligns with the description.",,
