analysis_id,dimension,human_manuscript_content,human_manuscript_location,human_code_content,human_code_location,human_match_judgement,codebot_brief_description,codebot_manuscript_content,codebot_manuscript_location,codebot_code_content,codebot_code_location,codebot_match_judgement,codebot_human_agreement
1,model specification,"Pearson r correlations were employed to explore the relationship between cognitive abilities and subjects’ performance of these two experiments As shown in Table 5, the results revealed that there existed a significant relationship between Boston Naming and the reaction time of the Antonym experiment, (r=−.421, p=.032), and the accuracy of the Category experiment (r=.538, p=.005). The scores of Verbal Fluency test were positively related with the accuracy of the Category experiment (r=.480, p=.013), and negatively with the reaction time −.605, p=.001). (r=",0.0,,ANT.r;CAT.r;diff.r,0,"Pearson correlation between Boston Naming Test scores and category task accuracy (CAT-ACC) examined whether naming ability predicted performance in the category judgment task. The correlation was significantly positive (r=0.538, p=0.005), indicating that higher naming scores were associated with higher category accuracy.","Pearson r correlations were employed to explore the relationship between cognitive abilities and subjects’ performance of these two experiments. As shown in Table 5, the results revealed that there existed a significant relationship between Boston Naming and the reaction time of the Antonym experiment, ( r = −.421, p = .032), and the accuracy of the Category experiment ( r = .538, p = .005).",,,,,
1,variable specification,ANT-ACC,2.0,,ANT.r;CAT.r;diff.r,0,"Pearson correlation between Boston Naming Test scores and category task accuracy (CAT-ACC) examined whether naming ability predicted performance in the category judgment task. The correlation was significantly positive (r=0.538, p=0.005), indicating that higher naming scores were associated with higher category accuracy.","Pearson r correlations were employed to explore the relationship between cognitive abilities and subjects’ performance of these two experiments. As shown in Table 5, the results revealed that there existed a significant relationship between Boston Naming and the reaction time of the Antonym experiment, ( r = −.421, p = .032), and the accuracy of the Category experiment ( r = .538, p = .005).",,,,,
1,transformation,,,,,,"Pearson correlation between Boston Naming Test scores and category task accuracy (CAT-ACC) examined whether naming ability predicted performance in the category judgment task. The correlation was significantly positive (r=0.538, p=0.005), indicating that higher naming scores were associated with higher category accuracy.","Mean accuracy (Percentages of Correct Judgments), mean response time (in Milliseconds) and N400 amplitude of the Category Test for the NC and aMCI group
...
Table 5. Pearson correlation coefficient r ( p-value) between cognitive abilities and accuracy of different materials
...
As shown in Table 5,
the results revealed that there existed a significant relationship between Boston
Naming and the reaction time of the Antonym experiment, ( r = −.421, p = .032),
and the accuracy of the Category experiment ( r = .538, p = .005).",,,,,
1,variable specification,Boston Naming,2.0,,ANT.r;CAT.r;diff.r,0,"Pearson correlation between Boston Naming Test scores and category task accuracy (CAT-ACC) examined whether naming ability predicted performance in the category judgment task. The correlation was significantly positive (r=0.538, p=0.005), indicating that higher naming scores were associated with higher category accuracy.","Pearson r correlations were employed to explore the relationship between cognitive abilities and subjects’ performance of these two experiments. As shown in Table 5, the results revealed that there existed a significant relationship between Boston Naming and the reaction time of the Antonym experiment, ( r = −.421, p = .032), and the accuracy of the Category experiment ( r = .538, p = .005).",,,,,
1,transformation,,,,,,"Pearson correlation between Boston Naming Test scores and category task accuracy (CAT-ACC) examined whether naming ability predicted performance in the category judgment task. The correlation was significantly positive (r=0.538, p=0.005), indicating that higher naming scores were associated with higher category accuracy.","Mean accuracy (Percentages of Correct Judgments), mean response time (in Milliseconds) and N400 amplitude of the Category Test for the NC and aMCI group
...
Table 5. Pearson correlation coefficient r ( p-value) between cognitive abilities and accuracy of different materials
...
As shown in Table 5,
the results revealed that there existed a significant relationship between Boston
Naming and the reaction time of the Antonym experiment, ( r = −.421, p = .032),
and the accuracy of the Category experiment ( r = .538, p = .005).",,,,,
1,inference criterion,Note. *p < .05. **p < .01. ***p < .001,2.0,,ANT.r;CAT.r;diff.r,0,"Pearson correlation between Boston Naming Test scores and category task accuracy (CAT-ACC) examined whether naming ability predicted performance in the category judgment task. The correlation was significantly positive (r=0.538, p=0.005), indicating that higher naming scores were associated with higher category accuracy.",The conventional significance level of α = .05 was used for the overall analysis.,,,,,
2,model specification,"Pearson r correlations were employed to explore the relationship between cognitive abilities and subjects’ performance of these two experiments As shown in Table 5, the results revealed that there existed a significant relationship between Boston Naming and the reaction time of the Antonym experiment, (r=−.421, p=.032), and the accuracy of the Category experiment (r=.538, p=.005). The scores of Verbal Fluency test were positively related with the accuracy of the Category experiment (r=.480, p=.013), and negatively with the reaction time −.605, p=.001). (r=",0.0,,ANT.r;CAT.r;diff.r,0,"Regression analyses (type not fully specified but described generally as regression) were conducted to explore relationships among cognitive measures (e.g., Boston Naming, Verbal Fluency) and behavioral/ERP variables from the antonym and category experiments. These analyses are mentioned as a general approach to examine multivariate associations but detailed coefficients or model structures are not reported in the text.",Regression analysis was adopted to explore the relationship between all variables.,,,,,
2,variable specification,ANT-ACC,2.0,,ANT.r;CAT.r;diff.r,0,"Regression analyses (type not fully specified but described generally as regression) were conducted to explore relationships among cognitive measures (e.g., Boston Naming, Verbal Fluency) and behavioral/ERP variables from the antonym and category experiments. These analyses are mentioned as a general approach to examine multivariate associations but detailed coefficients or model structures are not reported in the text.","Regression analysis was adopted to explore the relationship between all variables.

Pearson r correlations were employed to explore the relationship between cognitive abilities and subjects’ performance of these two experiments. As shown in Table 5, the results revealed that there existed a significant relationship between Boston Naming and the reaction time of the Antonym experiment, ( r = −.421, p = .032), and the accuracy of the Category experiment ( r = .538, p = .005). The scores of Verbal Fluency test were positively related with the accuracy of the Category experiment ( r = .480, p = .013), and negatively with the reaction time ( r = −.605, p = .001).",,,,,
2,transformation,,,,,,"Regression analyses (type not fully specified but described generally as regression) were conducted to explore relationships among cognitive measures (e.g., Boston Naming, Verbal Fluency) and behavioral/ERP variables from the antonym and category experiments. These analyses are mentioned as a general approach to examine multivariate associations but detailed coefficients or model structures are not reported in the text.","To analyze the reaction times (RTs), we standardized the reaction times using Z-score normalization and removed outliers with Z-scores greater than 3 or less than −3. ... ERPs were time-locked to the onset of the target word, and the ERP data for a total period of 1200 milliseconds (including 200 ms before the presence of the stimulus and 1000 ms after the presentation) were analyzed offline with filtering (30Hz), removing electrooculogram artifacts, being referenced to the average of the left and right mastoids and being baseline-corrected with respect to a 200ms pre-stimulus recording interval. ... Regression analysis was adopted to explore the relationship between all variables.",,,,,
2,variable specification,Verbal Fluency,2.0,,ANT.r;CAT.r;diff.r,0,"Regression analyses (type not fully specified but described generally as regression) were conducted to explore relationships among cognitive measures (e.g., Boston Naming, Verbal Fluency) and behavioral/ERP variables from the antonym and category experiments. These analyses are mentioned as a general approach to examine multivariate associations but detailed coefficients or model structures are not reported in the text.","Regression analysis was adopted to explore the relationship between all variables.

Pearson r correlations were employed to explore the relationship between cognitive abilities and subjects’ performance of these two experiments. As shown in Table 5, the results revealed that there existed a significant relationship between Boston Naming and the reaction time of the Antonym experiment, ( r = −.421, p = .032), and the accuracy of the Category experiment ( r = .538, p = .005). The scores of Verbal Fluency test were positively related with the accuracy of the Category experiment ( r = .480, p = .013), and negatively with the reaction time ( r = −.605, p = .001).",,,,,
