analysis_id,dimension,human_manuscript_content,human_manuscript_location,human_code_content,human_code_location,human_match_judgement,codebot_brief_description,codebot_manuscript_content,codebot_manuscript_location,codebot_code_content,codebot_code_location,codebot_match_judgement,codebot_human_agreement
1,model specification,"Second, we ran paired-samples t tests comparing these carelessresponses-index scores among the content items with the gibberish items. […] Cohen’s d",0; 2,"t.test(data = filtered_data, sd ~ condition, paired = TRUE)
cohen.d(data = filtered_data, sd ~ condition, paired = TRUE)",code_Study1.R:721-722,1,"In Study 1, a paired-samples t-test compared the standard deviation of item responses between gibberish scales and content scales for the same respondents. The test evaluated whether response variability (within-person SD across items) was lower on gibberish items (M = 0.5) than on meaningful content items (M = 2.0), as an indicator of careless responding patterns. Results showed a large, statistically significant difference, t(619) = -41.1, p < .001, Cohen’s d = -2.23.","Second, we ran paired-samples t tests comparing these careless-responses-index scores among the content items with the gibberish items. … Table 1 presents the results of the paired-samples t test, indicating significant differences for all examined metrics.",,"# Deleting two respondents who do not have both types of scales,
# so that we can do a paired samples t-test
counts <- table(data_study_1$Participant_ID)
single_row_ids <- names(counts[counts < 2])
filtered_data <- data_study_1[!data_study_1$Participant_ID %in% single_row_ids, ]
filtered_data <- filtered_data %>%
  arrange(Participant_ID, condition)

# Paired t-tests between gibberish and content
t.test(data = filtered_data, sd ~ condition, paired = TRUE)
cohen.d(data = filtered_data, sd ~ condition, paired = TRUE)",,1,1
1,variable specification,M gibberish M content,2,"
t.test(data = filtered_data, sd ~ condition, paired = TRUE)
cohen.d(data = filtered_data, sd ~ condition, paired = TRUE)",code_Study1.R:721-722,1,"In Study 1, a paired-samples t-test compared the standard deviation of item responses between gibberish scales and content scales for the same respondents. The test evaluated whether response variability (within-person SD across items) was lower on gibberish items (M = 0.5) than on meaningful content items (M = 2.0), as an indicator of careless responding patterns. Results showed a large, statistically significant difference, t(619) = -41.1, p < .001, Cohen’s d = -2.23.","Second, we ran paired-samples t tests comparing these careless-responses-index scores among the content items with the gibberish items.

Table 1.  Comparison of Classification Metrics Between Gibberish and Content Responses Using Paired-Samples t  Test
Method M gibberish M content Difference 95% CI t(df = 619) p value Cohen’s d
Standard deviation 0.5 2.0 −1.5 [−1.6, −1.4] −41.1 < .001 −2.23",,"# Calculation of within-subject indices to identify careless responses 
# (indices also based on the responses of all respondents in the sample 
# will be calculated later, after splitting the data into training and testing)
data_study_1$sd <- careless::irv(data_study_1[,1:16])
...
# Deleting two respondents who do not have both types of scales,
# so that we can do a paired samples t-test
counts <- table(data_study_1$Participant_ID)
single_row_ids <- names(counts[counts < 2])
filtered_data <- data_study_1[!data_study_1$Participant_ID %in% single_row_ids, ]
filtered_data <- filtered_data %>%
  arrange(Participant_ID, condition)

# Paired t-tests between gibberish and content
t.test(data = filtered_data, sd ~ condition, paired = TRUE)
cohen.d(data = filtered_data, sd ~ condition, paired = TRUE)",,1,1
1,transformation,,,,,,"In Study 1, a paired-samples t-test compared the standard deviation of item responses between gibberish scales and content scales for the same respondents. The test evaluated whether response variability (within-person SD across items) was lower on gibberish items (M = 0.5) than on meaningful content items (M = 2.0), as an indicator of careless responding patterns. Results showed a large, statistically significant difference, t(619) = -41.1, p < .001, Cohen’s d = -2.23.","IRV is the standard deviation of each person’s responses. This measure examines the extent to which respondents are self-similar. If IRV is either exceptionally small or large, it may indicate careless responding.

The data set originally contained 32 columns comprising two types of scales: 16 columns with gibberish questions and 16 columns with content questions. We transformed the data into long format by stacking the 32 columns into 16 columns representing the questions and adding a 17th column to indicate whether each row originated from the gibberish or content scale. The analysis included six steps. First, we calculated six indexes of careless responses for each row: long string, standard deviation, the correlation between two half scales, Mahalanobis distance by the R package careless (Yentes & Wilhelm, 2021), and two person-fit indices by the R package PerFit (Tendeiro et al., 2016). Second, we ran paired-samples t tests comparing these careless-responses-index scores among the content items with the gibberish items.

Table 1.  Comparison of Classification Metrics Between Gibberish and Content Responses Using Paired-Samples t  Test
Method M gibberish M content Difference 95% CI t(df = 619) p value Cohen’s d
Standard deviation 0.5 2.0 −1.5 [−1.6, −1.4] −41.1 < .001 −2.23",,"# Calculation of within-subject indices to identify careless responses 
# (indices also based on the responses of all respondents in the sample 
# will be calculated later, after splitting the data into training and testing)
data_study_1$sd <- careless::irv(data_study_1[,1:16])
data_study_1$longstring <- longstring(data_study_1[,1:16])
data_study_1$personal_relialibity <- careless::evenodd(data_study_1[,1:16], factors = c(4,4,8))
data_study_1$personal_relialibity <- ifelse(is.na(data_study_1$personal_relialibity), 1, data_study_1$personal_relialibity) 
...
# Deleting two respondents who do not have both types of scales,
# so that we can do a paired samples t-test
counts <- table(data_study_1$Participant_ID)
single_row_ids <- names(counts[counts < 2])
filtered_data <- data_study_1[!data_study_1$Participant_ID %in% single_row_ids, ]
filtered_data <- filtered_data %>%
  arrange(Participant_ID, condition)

# Paired t-tests between gibberish and content
t.test(data = filtered_data, sd ~ condition, paired = TRUE)
cohen.d(data = filtered_data, sd ~ condition, paired = TRUE)",,1,
1,variable specification,Standard deviation,2,"
t.test(data = filtered_data, sd ~ condition, paired = TRUE)
cohen.d(data = filtered_data, sd ~ condition, paired = TRUE)",code_Study1.R:721-722,1,"In Study 1, a paired-samples t-test compared the standard deviation of item responses between gibberish scales and content scales for the same respondents. The test evaluated whether response variability (within-person SD across items) was lower on gibberish items (M = 0.5) than on meaningful content items (M = 2.0), as an indicator of careless responding patterns. Results showed a large, statistically significant difference, t(619) = -41.1, p < .001, Cohen’s d = -2.23.","Second, we ran paired-samples t tests comparing these careless-responses-index scores among the content items with the gibberish items.

Table 1.  Comparison of Classification Metrics Between Gibberish and Content Responses Using Paired-Samples t  Test
Method M gibberish M content Difference 95% CI t(df = 619) p value Cohen’s d
Standard deviation 0.5 2.0 −1.5 [−1.6, −1.4] −41.1 < .001 −2.23",,"# Calculation of within-subject indices to identify careless responses 
# (indices also based on the responses of all respondents in the sample 
# will be calculated later, after splitting the data into training and testing)
data_study_1$sd <- careless::irv(data_study_1[,1:16])
...
# Deleting two respondents who do not have both types of scales,
# so that we can do a paired samples t-test
counts <- table(data_study_1$Participant_ID)
single_row_ids <- names(counts[counts < 2])
filtered_data <- data_study_1[!data_study_1$Participant_ID %in% single_row_ids, ]
filtered_data <- filtered_data %>%
  arrange(Participant_ID, condition)

# Paired t-tests between gibberish and content
t.test(data = filtered_data, sd ~ condition, paired = TRUE)
cohen.d(data = filtered_data, sd ~ condition, paired = TRUE)",,1,1
1,transformation,"First, we calculated six indexes 
of careless responses for each row: long string, standard 
deviation, the correlation between two half scales, 
Mahalanobis distance by the R package careless (Yentes 
& Wilhelm, 2021), and two person-fit indices by the 
R package PerFit (Tendeiro et al., 2016).",0,"data_study_1$sd <- careless::irv(data_study_1[,1:16])",code_Study1.R:36,1,"In Study 1, a paired-samples t-test compared the standard deviation of item responses between gibberish scales and content scales for the same respondents. The test evaluated whether response variability (within-person SD across items) was lower on gibberish items (M = 0.5) than on meaningful content items (M = 2.0), as an indicator of careless responding patterns. Results showed a large, statistically significant difference, t(619) = -41.1, p < .001, Cohen’s d = -2.23.","IRV is the standard deviation of each person’s responses. This measure examines the extent to which respondents are self-similar. If IRV is either exceptionally small or large, it may indicate careless responding.

The data set originally contained 32 columns comprising two types of scales: 16 columns with gibberish questions and 16 columns with content questions. We transformed the data into long format by stacking the 32 columns into 16 columns representing the questions and adding a 17th column to indicate whether each row originated from the gibberish or content scale. The analysis included six steps. First, we calculated six indexes of careless responses for each row: long string, standard deviation, the correlation between two half scales, Mahalanobis distance by the R package careless (Yentes & Wilhelm, 2021), and two person-fit indices by the R package PerFit (Tendeiro et al., 2016). Second, we ran paired-samples t tests comparing these careless-responses-index scores among the content items with the gibberish items.

Table 1.  Comparison of Classification Metrics Between Gibberish and Content Responses Using Paired-Samples t  Test
Method M gibberish M content Difference 95% CI t(df = 619) p value Cohen’s d
Standard deviation 0.5 2.0 −1.5 [−1.6, −1.4] −41.1 < .001 −2.23",,"# Calculation of within-subject indices to identify careless responses 
# (indices also based on the responses of all respondents in the sample 
# will be calculated later, after splitting the data into training and testing)
data_study_1$sd <- careless::irv(data_study_1[,1:16])
data_study_1$longstring <- longstring(data_study_1[,1:16])
data_study_1$personal_relialibity <- careless::evenodd(data_study_1[,1:16], factors = c(4,4,8))
data_study_1$personal_relialibity <- ifelse(is.na(data_study_1$personal_relialibity), 1, data_study_1$personal_relialibity) 
...
# Deleting two respondents who do not have both types of scales,
# so that we can do a paired samples t-test
counts <- table(data_study_1$Participant_ID)
single_row_ids <- names(counts[counts < 2])
filtered_data <- data_study_1[!data_study_1$Participant_ID %in% single_row_ids, ]
filtered_data <- filtered_data %>%
  arrange(Participant_ID, condition)

# Paired t-tests between gibberish and content
t.test(data = filtered_data, sd ~ condition, paired = TRUE)
cohen.d(data = filtered_data, sd ~ condition, paired = TRUE)",,1,1
1,inference criterion,95% CI,2,"t.test(data = filtered_data, sd ~ condition, paired = TRUE)",code_Study1.R:721,1,"In Study 1, a paired-samples t-test compared the standard deviation of item responses between gibberish scales and content scales for the same respondents. The test evaluated whether response variability (within-person SD across items) was lower on gibberish items (M = 0.5) than on meaningful content items (M = 2.0), as an indicator of careless responding patterns. Results showed a large, statistically significant difference, t(619) = -41.1, p < .001, Cohen’s d = -2.23.","Table 1.  Comparison of Classification Metrics Between Gibberish and Content Responses Using Paired-Samples t  Test
Method M gibberish M content Difference 95% CI t(df = 619) p value Cohen’s d
Standard deviation 0.5 2.0 −1.5 [−1.6, −1.4] −41.1 < .001 −2.23",,"# Paired t-tests between gibberish and content
t.test(data = filtered_data, sd ~ condition, paired = TRUE)
cohen.d(data = filtered_data, sd ~ condition, paired = TRUE)",,1,1
2,model specification,"Second, we ran paired-samples t tests comparing these carelessresponses-index scores among the content items with the gibberish items. […] Cohen’s d",0; 2,"t.test(data = filtered_data, longstring ~ condition)#, paired = TRUE)
cohen.d(data = filtered_data, longstring ~ condition, paired = TRUE)",code_Study1.R:723-724,0,"In Study 1, a paired-samples t-test compared the long-string index (maximum run of identical responses) between gibberish and content scales within respondents. The analysis tested whether gibberish scales had longer stretches of identical responses (M = 12.5) than content scales (M = 5.0), consistent with straightlining as a form of carelessness. The difference was statistically significant and large, t(619) = 36.6, p < .001, Cohen’s d = 2.02.","Second, we ran paired-samples t tests comparing these careless-responses-index scores among the content items with the gibberish items.",,"# Paired t-tests between gibberish and content
t.test(data = filtered_data, sd ~ condition, paired = TRUE)
cohen.d(data = filtered_data, sd ~ condition, paired = TRUE)
t.test(data = filtered_data, longstring ~ condition)#, paired = TRUE)
cohen.d(data = filtered_data, longstring ~ condition, paired = TRUE)",,0,1
2,variable specification,M gibberish M content,2,"t.test(data = filtered_data, longstring ~ condition)#, paired = TRUE)
cohen.d(data = filtered_data, longstring ~ condition, paired = TRUE)",code_Study1.R:723-724,1,"In Study 1, a paired-samples t-test compared the long-string index (maximum run of identical responses) between gibberish and content scales within respondents. The analysis tested whether gibberish scales had longer stretches of identical responses (M = 12.5) than content scales (M = 5.0), consistent with straightlining as a form of carelessness. The difference was statistically significant and large, t(619) = 36.6, p < .001, Cohen’s d = 2.02.","First, we calculated six indexes of careless responses for each row: long string, standard deviation, the correlation between two half scales, Mahalanobis distance by the R package careless (Yentes & Wilhelm, 2021), and two person-fit indices by the  R package PerFit (Tendeiro et al., 2016). Second, we ran paired-samples t tests comparing these careless-responses-index scores among the content items with the gibberish items.
...
Table 1.  Comparison of Classification Metrics Between Gibberish and Content Responses Using Paired-Samples t  Test
Method M gibberish M content Difference 95% CI t(df = 619) p value Cohen’s d
...
Long string 12.5 5.0 7.5 [7.1, 7.9] 36.6 < .001 2.02",,"# Calculation of within-subject indices to identify careless responses 
# (indices also based on the responses of all respondents in the sample 
# will be calculated later, after splitting the data into training and testing)
data_study_1$sd <- careless::irv(data_study_1[,1:16])
data_study_1$longstring <- longstring(data_study_1[,1:16])
...
# Deleting two respondents who do not have both types of scales,
# so that we can do a paired samples t-test
counts <- table(data_study_1$Participant_ID)
single_row_ids <- names(counts[counts < 2])
filtered_data <- data_study_1[!data_study_1$Participant_ID %in% single_row_ids, ]
filtered_data <- filtered_data %>%
  arrange(Participant_ID, condition)

# Paired t-tests between gibberish and content
...
t.test(data = filtered_data, longstring ~ condition)#, paired = TRUE)
cohen.d(data = filtered_data, longstring ~ condition, paired = TRUE)",,1,1
2,transformation,,,,,,"In Study 1, a paired-samples t-test compared the long-string index (maximum run of identical responses) between gibberish and content scales within respondents. The analysis tested whether gibberish scales had longer stretches of identical responses (M = 12.5) than content scales (M = 5.0), consistent with straightlining as a form of carelessness. The difference was statistically significant and large, t(619) = 36.6, p < .001, Cohen’s d = 2.02.","The data set originally contained 32 columns comprising two types of scales: 16 columns with gibberish questions and 16 columns with content questions. We transformed the data into long format by stacking the 32 columns into 16 columns representing the questions and adding a 17th column to indicate whether each row originated from the gibberish or content scale. ... Before conducting these t tests, we removed two respondents who did not have both content and gibberish responses to ensure the analysis included only complete data from all participants.",,"# Calculation of within-subject indices to identify careless responses 
# (indices also based on the responses of all respondents in the sample 
# will be calculated later, after splitting the data into training and testing)
data_study_1$sd <- careless::irv(data_study_1[,1:16])
data_study_1$longstring <- longstring(data_study_1[,1:16])
data_study_1$personal_relialibity <- careless::evenodd(data_study_1[,1:16], factors = c(4,4,8))
data_study_1$personal_relialibity <- ifelse(is.na(data_study_1$personal_relialibity), 1, data_study_1$personal_relialibity) 
...
# Deleting two respondents who do not have both types of scales,
# so that we can do a paired samples t-test
counts <- table(data_study_1$Participant_ID)
single_row_ids <- names(counts[counts < 2])
filtered_data <- data_study_1[!data_study_1$Participant_ID %in% single_row_ids, ]
filtered_data <- filtered_data %>%
  arrange(Participant_ID, condition)",,1,
2,variable specification,Long string,2,"t.test(data = filtered_data, longstring ~ condition)#, paired = TRUE)
cohen.d(data = filtered_data, longstring ~ condition, paired = TRUE)",code_Study1.R:723-724,1,"In Study 1, a paired-samples t-test compared the long-string index (maximum run of identical responses) between gibberish and content scales within respondents. The analysis tested whether gibberish scales had longer stretches of identical responses (M = 12.5) than content scales (M = 5.0), consistent with straightlining as a form of carelessness. The difference was statistically significant and large, t(619) = 36.6, p < .001, Cohen’s d = 2.02.","First, we calculated six indexes of careless responses for each row: long string, standard deviation, the correlation between two half scales, Mahalanobis distance by the R package careless (Yentes & Wilhelm, 2021), and two person-fit indices by the  R package PerFit (Tendeiro et al., 2016). Second, we ran paired-samples t tests comparing these careless-responses-index scores among the content items with the gibberish items.
...
Table 1.  Comparison of Classification Metrics Between Gibberish and Content Responses Using Paired-Samples t  Test
Method M gibberish M content Difference 95% CI t(df = 619) p value Cohen’s d
...
Long string 12.5 5.0 7.5 [7.1, 7.9] 36.6 < .001 2.02",,"# Calculation of within-subject indices to identify careless responses 
# (indices also based on the responses of all respondents in the sample 
# will be calculated later, after splitting the data into training and testing)
data_study_1$sd <- careless::irv(data_study_1[,1:16])
data_study_1$longstring <- longstring(data_study_1[,1:16])
...
# Deleting two respondents who do not have both types of scales,
# so that we can do a paired samples t-test
counts <- table(data_study_1$Participant_ID)
single_row_ids <- names(counts[counts < 2])
filtered_data <- data_study_1[!data_study_1$Participant_ID %in% single_row_ids, ]
filtered_data <- filtered_data %>%
  arrange(Participant_ID, condition)

# Paired t-tests between gibberish and content
...
t.test(data = filtered_data, longstring ~ condition)#, paired = TRUE)
cohen.d(data = filtered_data, longstring ~ condition, paired = TRUE)",,1,1
