paper_id,analysis_id,brief_description,dimension,paper_value,code_value,match_status,explanation,paper_evidence,code_evidence
helm,1,"Binary logistic regression in the mock crime study testing identification accuracy (correct vs. incorrect) as a function of participant race (White, Black), lineup race (White, Black), and their interaction. Using the full N=209 sample, the participant race × lineup race interaction was significant (B=1.38, SE=0.63, Wald=4.84, p=.03, OR=3.97), indicating a cross-race effect primarily for White participants.",Model Specification,"To examine whether people were more accurate at identifying a perpetrator of their race than a perpetrator of another race, we conducted a binary logistic regression on identification accuracy (correct vs. incorrect) with participant race (White, Black), lineup race (White, Black), and the interaction between participant race and lineup race as predictors.","## ACCURACY ANALYSES
# binary logistic regression - target race and participant race only
acc_glm = glm(Accuracy ~ Target_race*Participant_race, family = ""binomial"", data = df)
summary(acc_glm)
exp(cbind(coef(acc_glm), confint(acc_glm)))",match,"The code implements a binary logistic regression with accuracy as the outcome and participant race, lineup/target race, and their interaction as predictors, matching the model described in the paper.",,
helm,1,"Binary logistic regression in the mock crime study testing identification accuracy (correct vs. incorrect) as a function of participant race (White, Black), lineup race (White, Black), and their interaction. Using the full N=209 sample, the participant race × lineup race interaction was significant (B=1.38, SE=0.63, Wald=4.84, p=.03, OR=3.97), indicating a cross-race effect primarily for White participants.",Variable Specification,"To examine whether people were more accurate at identifying a perpetrator of their race than a perpetrator of another race, we conducted a binary logistic regression on identification accuracy (correct vs. incorrect) with participant race (White, Black), lineup race (White, Black), and the interaction between participant race and lineup race as predictors.","# set factors
df$Participant_race = ifelse(df$Participant_race == 1, ""White"", ""Black"")
df$Participant_race = as.factor(df$Participant_race)
df = within(df, Participant_race <- relevel(Participant_race, ref = ""White""))
...
df$Target_race = as.factor(df$Target_race)
df = within(df, Target_race <- relevel(Target_race, ref = ""White""))
...
## ACCURACY ANALYSES
# binary logistic regression - target race and participant race only
acc_glm = glm(Accuracy ~ Target_race*Participant_race, family = ""binomial"", data = df)
summary(acc_glm)
exp(cbind(coef(acc_glm), confint(acc_glm)))

# target race
glm_tr = wald.test(Sigma = vcov(acc_glm), b = coef(acc_glm), Terms = 2) 
glm_tr

# participant race x target race
glm_ptr = wald.test(Sigma = vcov(acc_glm), b = coef(acc_glm), Terms = 4) 
round(glm_ptr$result$chi2, 3)
(emmeans(acc_glm, ~ pairwise ~ Target_race | Participant_race, type = ""response""))",match,"The code fits a binary logistic regression with accuracy as the outcome and participant race, lineup/target race, and their interaction as predictors, matching the paper’s description of the variables and their roles.",,
helm,1,"Binary logistic regression in the mock crime study testing identification accuracy (correct vs. incorrect) as a function of participant race (White, Black), lineup race (White, Black), and their interaction. Using the full N=209 sample, the participant race × lineup race interaction was significant (B=1.38, SE=0.63, Wald=4.84, p=.03, OR=3.97), indicating a cross-race effect primarily for White participants.",Transformation Specification,"To examine whether people were more accurate at identifying a perpetrator of their race than a perpetrator of another race, we conducted a binary logistic regression on identification accuracy (correct vs. incorrect) with participant race (White, Black), lineup race (White, Black), and the interaction between participant race and lineup race as predictors. ... We ran the analysis on our entire sample, and a reduced sample with equal sample sizes for White and Black participants (i.e., 61 participants in each group).","# data
df = read.csv(""RaceinEvaluationsofMemory_UnderlyingStimuli_FullDataset.csv"")
df_red = read.csv(""RaceinEvaluationsofMemory_UnderlyingStimuli_Experiment1Set.csv"")

# set factors
df$Participant_race = ifelse(df$Participant_race == 1, ""White"", ""Black"")
df$Participant_race = as.factor(df$Participant_race)
df = within(df, Participant_race <- relevel(Participant_race, ref = ""White""))
df %>% group_by(Participant_race) %>% tally() %>% ungroup()


df$Target_race = as.factor(df$Target_race)
df = within(df, Target_race <- relevel(Target_race, ref = ""White""))

df$Lineup_type = ifelse(df$Participant_race == df$Target_race, ""Own-race"", ""Cross-race"")


# full vs reduced sample
df_red$Participant_race = ifelse(df_red$Participant_race == 1, ""White"", ""Black"")

make_cre_summary = function(data){
  data %>% group_by(Target_race, Participant_race) %>% 
    summarise(correct = length(which(Accuracy == 1)), total_n = length(Accuracy), acc = (BinomCI(correct, total_n)[1])*100, lowCI = (BinomCI(correct, total_n)[2])*100, highCI = (BinomCI(correct, total_n)[3])*100, confidence = mean(ConfidenceinPick))
}


## ACCURACY ANALYSES
# binary logistic regression - target race and participant race only
acc_glm = glm(Accuracy ~ Target_race*Participant_race, family = ""binomial"", data = df)
summary(acc_glm)
exp(cbind(coef(acc_glm), confint(acc_glm)))",match,"The code applies only straightforward recoding of participant and target race and appears to implement the full-sample logistic regression as described, while also loading a reduced dataset consistent with the paper’s mention of a reduced, equal-sized sample. No additional data transformations beyond what is implied in the paper (race recoding and use of full vs. reduced sample) are evident in the snippet.",,
helm,1,"Binary logistic regression in the mock crime study testing identification accuracy (correct vs. incorrect) as a function of participant race (White, Black), lineup race (White, Black), and their interaction. Using the full N=209 sample, the participant race × lineup race interaction was significant (B=1.38, SE=0.63, Wald=4.84, p=.03, OR=3.97), indicating a cross-race effect primarily for White participants.",Inference Specification,"The model revealed a significant interaction between participant race and lineup race (B = 1.38, SE = 0.63, Wald = 4.84, p = .03, odds ratio, OR = 3.97, 95% confidence interval [CI] [1.16, 13.65])... No other effects were significant (p > .05).","## ACCURACY ANALYSES
# binary logistic regression - target race and participant race only
acc_glm = glm(Accuracy ~ Target_race*Participant_race, family = ""binomial"", data = df)
summary(acc_glm)
exp(cbind(coef(acc_glm), confint(acc_glm)))

# target race
glm_tr = wald.test(Sigma = vcov(acc_glm), b = coef(acc_glm), Terms = 2) 
glm_tr

# participant race x target race
glm_ptr = wald.test(Sigma = vcov(acc_glm), b = coef(acc_glm), Terms = 4) 
round(glm_ptr$result$chi2, 3)
(emmeans(acc_glm, ~ pairwise ~ Target_race | Participant_race, type = ""response""))",match,"Both the paper and code use standard null-hypothesis significance testing with p-values and 95% confidence intervals as the basis for inference, and treat effects with p < .05 as significant. There is no indication of any differing alpha level or alternative inferential criterion between the description and implementation.",,
helm,2,"Binary logistic regression in the mock crime study identical to Analysis 1, but run on a reduced subsample with equal numbers of White and Black participants (61 per group). This model also examined identification accuracy (correct vs. incorrect) predicted by participant race, lineup race, and their interaction, and the key interaction effect between participant race and lineup race replicated the full-sample finding.",Model Specification,"To examine whether people were more accurate at identifying a perpetrator of their race than a perpetrator of another race, we conducted a binary logistic regression on identification accuracy (correct vs. incorrect) with participant race (White, Black), lineup race (White, Black), and the interaction between participant race and lineup race as predictors.","## ACCURACY ANALYSES
# binary logistic regression - target race and participant race only
acc_glm = glm(Accuracy ~ Target_race*Participant_race, family = ""binomial"", data = df)
summary(acc_glm)
exp(cbind(coef(acc_glm), confint(acc_glm)))",match,"The code implements a binary logistic regression with Accuracy as the outcome and participant/lineup (target) race and their interaction as predictors, which matches the described model specification in the paper.",,
helm,2,"Binary logistic regression in the mock crime study identical to Analysis 1, but run on a reduced subsample with equal numbers of White and Black participants (61 per group). This model also examined identification accuracy (correct vs. incorrect) predicted by participant race, lineup race, and their interaction, and the key interaction effect between participant race and lineup race replicated the full-sample finding.",Variable Specification,"{""paper_value"": ""To examine whether people were more accurate at identifying a perpetrator of their race than a perpetrator of another race, we conducted a binary logistic regression on identification accuracy (correct vs. incorrect) with participant race (White, Black), lineup race (White, Black), and the interaction between participant race and lineup race as predictors. All analyses were conducted in R 4.2.3. We ran the analysis on our entire sample, and a reduced sample with equal sample sizes for White and Black participants (i.e., 61 participants in each group). We also ran the analysis including Target Presence and all two-way interactions with Target Presence as predictors."", ""evidence"": {""paper_span"": ""Design\nA mock crime study with a 2 (Witness race: White, Black) \u00d7 2 (Lineup race: White, Black) \u00d7 2 (Target presence: present, absent) between-subjects design.\n...\nIdentifying the CRE\nTo examine whether people were more accurate at identifying a perpetrator of their race than a perpetrator of another race, we conducted a\nbinary logistic regression on identi\u00ef\u00ac\u00bewcation accuracy (correct vs. incor-\nrect) with participant race (White, Black), lineup race (White, Black),\nand the interaction between participant race and lineup race as predic-\ntors. All analyses were conducted in R 4.2.3. We ran the analysis on\nour entire sample, and a reduced sample with equal sample sizes for\nWhite and Black participants (i.e., 61 participants in each group).\nWe also ran the analysis including Target Presence and all two-way\ninteractions with Target Presence as predictors. Our key \u00ef\u00ac\u00bwnding of\ninterest (the interaction between participant race and lineup race)\nwas replicated in both analyses. Full results of these analyses can be\nfound in S3 in the online supplemental materials.\nThe model revealed a signi\u00ef\u00ac\u00bfcant interaction between participant\nrace and lineup race ( B = 1.38, SE = 0.63, Wald = 4.84, p = .03,\nodds ratio, OR = 3.97, 95% con\u00ef\u00ac\u00bf dence interval [CI] [1.16,\n13.65])."", ""location"": ""Design subsection and Results – Mock Crime Study, 'Identifying the CRE', pp. 362–363""}}","df$Participant_race = ifelse(df$Participant_race == 1, ""White"", ""Black"")
df$Participant_race = as.factor(df$Participant_race)
df = within(df, Participant_race <- relevel(Participant_race, ref = ""White""))

df$Target_race = as.factor(df$Target_race)
df = within(df, Target_race <- relevel(Target_race, ref = ""White""))

# binary logistic regression - target race and participant race only
acc_glm = glm(Accuracy ~ Target_race*Participant_race, family = ""binomial"", data = df)",match,"The code uses identification Accuracy as the binary outcome and includes participant race, lineup/target race, and their interaction as predictors, matching the paper’s described model for this analysis. The variable roles and types align with the paper’s specification, even though lineup race is named Target_race in the code.",,
helm,2,"Binary logistic regression in the mock crime study identical to Analysis 1, but run on a reduced subsample with equal numbers of White and Black participants (61 per group). This model also examined identification accuracy (correct vs. incorrect) predicted by participant race, lineup race, and their interaction, and the key interaction effect between participant race and lineup race replicated the full-sample finding.",Transformation Specification,"To examine whether people were more accurate at identifying a perpetrator of their race than a perpetrator of another race, we conducted a binary logistic regression on identification accuracy (correct vs. incorrect) with participant race (White, Black), lineup race (White, Black), and the interaction between participant race and lineup race as predictors. All analyses were conducted in R 4.2.3. We ran the analysis on our entire sample, and a reduced sample with equal sample sizes for White and Black participants (i.e., 61 participants in each group).",,unknown,"There is insufficient information about the code to determine whether the reduced, equal-sized subsample and any other transformations were implemented as described in the paper.",,
helm,2,"Binary logistic regression in the mock crime study identical to Analysis 1, but run on a reduced subsample with equal numbers of White and Black participants (61 per group). This model also examined identification accuracy (correct vs. incorrect) predicted by participant race, lineup race, and their interaction, and the key interaction effect between participant race and lineup race replicated the full-sample finding.",Inference Specification,"The model revealed a significant interaction between participant
race and lineup race ( B = 1.38, SE = 0.63, Wald = 4.84, p = .03,
odds ratio, OR = 3.97, 95% confidence interval [CI] [1.16,
13.65]). ... No other
effects were significant ( p . .05).",,unknown,"The paper reports significance tests and confidence intervals, but there is no available code snippet to verify how these inferences were implemented. Without code details on p-value thresholds or CI computation, alignment cannot be assessed.",,
helm,3,"Binary logistic regression in the mock crime study predicting identification accuracy (correct vs. incorrect) from participant race, lineup race, target presence (present vs. absent), and all two-way interactions involving target presence. The focal participant race × lineup race interaction remained significant in this expanded model, indicating the CRE effect persisted after accounting for whether the target was present in the lineup.",Model Specification,"To examine whether people were more accurate at identifying a perpetrator of their race than a perpetrator of another race, we conducted a binary logistic regression on identification accuracy (correct vs. incorrect) with participant race (White, Black), lineup race (White, Black), and the interaction between participant race and lineup race as predictors. ... We also ran the analysis including Target Presence and all two-way interactions with Target Presence as predictors.","## ACCURACY ANALYSES
# binary logistic regression - target race and participant race only
acc_glm = glm(Accuracy ~ Target_race*Participant_race, family = ""binomial"", data = df)
summary(acc_glm)
exp(cbind(coef(acc_glm), confint(acc_glm)))",mismatch,"The paper describes a binary logistic regression including Target Presence and all two-way interactions with Target Presence, but the provided code only includes participant race, target/lineup race, and their interaction as predictors.",,
helm,3,"Binary logistic regression in the mock crime study predicting identification accuracy (correct vs. incorrect) from participant race, lineup race, target presence (present vs. absent), and all two-way interactions involving target presence. The focal participant race × lineup race interaction remained significant in this expanded model, indicating the CRE effect persisted after accounting for whether the target was present in the lineup.",Variable Specification,"To examine whether people were more accurate at identifying a perpetrator of their race than a perpetrator of another race, we conducted a binary logistic regression on identification accuracy (correct vs. incorrect) with participant race (White, Black), lineup race (White, Black), and the interaction between participant race and lineup race as predictors. … We also ran the analysis including Target Presence and all two-way interactions with Target Presence as predictors.","# set factors
df$Participant_race = ifelse(df$Participant_race == 1, ""White"", ""Black"")
df$Participant_race = as.factor(df$Participant_race)
df = within(df, Participant_race <- relevel(Participant_race, ref = ""White""))

df$Target_race = as.factor(df$Target_race)
df = within(df, Target_race <- relevel(Target_race, ref = ""White""))


## ACCURACY ANALYSES
# binary logistic regression - target race and participant race only
acc_glm = glm(Accuracy ~ Target_race*Participant_race, family = ""binomial"", data = df)
summary(acc_glm)
exp(cbind(coef(acc_glm), confint(acc_glm)))

# target race
glm_tr = wald.test(Sigma = vcov(acc_glm), b = coef(acc_glm), Terms = 2) 
glm_tr

# participant race x target race
glm_ptr = wald.test(Sigma = vcov(acc_glm), b = coef(acc_glm), Terms = 4) 
round(glm_ptr$result$chi2, 3)
(emmeans(acc_glm, ~ pairwise ~ Target_race | Participant_race, type = ""response""))


#follow up on white witnesses and target race
ww_acc_glm = glm(Accuracy ~ Target_race, family = ""binomial"", data = df[df$Participant_race == ""White"",])
summary(ww_acc_glm)

ww_acc_wald = wald.test(Sigma = vcov(ww_acc_glm), b = coef(ww_acc_glm), Terms = 2) 
round(ww_acc_wald$result$chi2, 3)
exp(cbind(coef(ww_acc_glm), confint(ww_acc_glm)))


#follow up on black witnesses and target race
bw_acc_glm = glm(Accuracy ~ Target_race, family = ""binomial"", data = df[df$Participant_race == ""Black"",])
summary(bw_acc_glm)

bw_acc_wald = wald.test(Sigma = vcov(bw_acc_glm), b = coef(bw_acc_glm), Terms = 2) 
round(bw_acc_wald$result$chi2, 3)
exp(cbind(coef(bw_acc_glm), confint(bw_acc_glm)))",mismatch,"The paper describes a model including participant race, lineup/target race, target presence, and all two-way interactions with target presence, but the provided code only includes participant race, target race, and their interaction without any target presence variable or interactions involving it.",,
