analysis_id,brief_description,dimension,paper_text,code_text,match_status,explanation,dimension_norm
1,Correlation between reviewers’ self-reported familiarity with the topic of the fictitious abstract and their rating of the abstract’s significance to media psychology.,Model Specification,Table 3 .3 Zero-Order Correlations[...]Zero-order correlations are reported in Table 3.,"###########################
# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",match,"Both the paper and the code specify that this analysis is conducted using zero-order (bivariate) correlations. The code implements this with the base R cor() function to compute a correlation matrix, matching the paper’s described model specification.",model
1,Correlation between reviewers’ self-reported familiarity with the topic of the fictitious abstract and their rating of the abstract’s significance to media psychology.,Variable Specification,"“Evaluation. On a scale from 0 to 10, in 2-point steps (0,2,4,6,8,10), each abstract was evaluated on the following five criteria: significance to media psychology, quality of the writing, sophistication of the theory and conceptualization, appropriateness of the methods and research design, and quality of the presentation and discussion of results.”[...]“Additional variables. The reviewers were asked to indicate their own familiarity with each assigned abstract's topic (on a scale from 0 to 10, in 2-point steps).”[...]“Zero-order correlations are reported in Table 3.”[...]“Table 3 .3Zero-Order CorrelationsVariable123456781. Self-reported familiarity with the topic-2. Significance to media psychology.249-...”","###########################
# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",mismatch,"In the paper, the zero-order correlation matrix explicitly includes both “Self-reported familiarity with the topic” and “Significance to media psychology” as variables, with their pairwise correlation reported. In the code, the zero-order correlations are computed only for columns 5–11 of the dataset and explicitly state that “Self-reported familiarity” is not included, so the implemented analysis omits one of the two variables from the paper’s specified correlation.",variables
1,Correlation between reviewers’ self-reported familiarity with the topic of the fictitious abstract and their rating of the abstract’s significance to media psychology.,Transformation Specification,"“Additional variables. The reviewers were asked to indicate their own familiarity with each assigned abstract's topic (on a scale from 0 to 10, in 2-point steps).” [...] “Evaluation. On a scale from 0 to 10, in 2-point steps (0,2,4,6,8,10), each abstract was evaluated on the following five criteria: significance to media psychology, quality of the writing, sophistication of the theory and conceptualization, appropriateness of the methods and research design, and quality of the presentation and discussion of results.”","“###########################
# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])”",match,"The paper describes both variables as single-item 0–10 ratings with no mention of any transformations, and the code computes the correlation matrix directly on the raw columns without applying transformations. Thus, along the transformation dimension, the implementation matches the description (both use untransformed scores).",transform
1,Correlation between reviewers’ self-reported familiarity with the topic of the fictitious abstract and their rating of the abstract’s significance to media psychology.,Inference Specification,"Zero-order correlations are reported in Table 3.[...]The final sample of 127 reviewers provided 80% power to detect bivariate correlations greater than .245 (90% power for r > .282, and 95% power for r > .312 ).","########################
# SENSITIVITY ANALYSES #
########################

pwr.r.test(n=127, sig.level = .05, power = .80)
pwr.r.test(n=127, sig.level = .05, power = .90)
pwr.r.test(n=127, sig.level = .05, power = .95)

[...]
###########################
# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",match,"Both the paper and code treat the zero-order correlation as descriptive and accompany it only with a sensitivity/power analysis, without specifying any additional alpha- or CI-based decision rule for interpreting the correlation itself. The code’s use of sig.level = .05 in the power function is consistent with the power values reported in the paper and does not introduce a conflicting inference criterion.",inference
2,Correlation between reviewers’ self-reported familiarity with the topic and their rating of the quality of the writing in the abstract.,Model Specification,“Zero-order correlations are reported in Table 3.” [...] “Table 3 .3 Zero-Order Correlations [...] 1. Self-reported familiarity with the topic [...] 3. Quality of writing .138”,"# ZERO ORDER CORRELATIONS
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",mismatch,"The paper specifies and reports a zero-order correlation including “Self-reported familiarity with the topic” and “Quality of writing,” whereas the code computes a correlation matrix using cor() but explicitly omits the self-reported familiarity variable, so this specific analysis is not implemented. Thus, the statistical method class matches (zero-order/Pearson correlation), but the implementation for this particular variable pair is missing.",model
2,Correlation between reviewers’ self-reported familiarity with the topic and their rating of the quality of the writing in the abstract.,Variable Specification,"“The reviewers were asked to indicate their own familiarity with each assigned abstract's topic (on a scale from 0 to 10, in 2-point steps).”[...]“Evaluation. On a scale from 0 to 10, in 2-point steps (0,2,4,6,8,10), each abstract was evaluated on the following five criteria: significance to media psychology, quality of the writing, sophistication of the theory and conceptualization, appropriateness of the methods and research design, and quality of the presentation and discussion of results.”[...]“Table 3 .3 Zero-Order CorrelationsVariable123456781. Self-reported familiarity with the topic-2. Significance to media psychology.249-3. Quality of writing.138.455-”","# ZERO ORDER CORRELATIONS #
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",mismatch,"In the paper, the zero-order correlation explicitly involves the variables “Self-reported familiarity with the topic” and “Quality of writing,” whereas in the code the correlation matrix is computed only for columns 5–11, with a note that self-reported familiarity is not included. Thus, the implemented variable set for the correlation omits the familiarity variable used in the paper’s analysis.",variables
2,Correlation between reviewers’ self-reported familiarity with the topic and their rating of the quality of the writing in the abstract.,Transformation Specification,"“On a scale from 0 to 10, in 2-point steps (0,2,4,6,8,10), each abstract was evaluated on the following five criteria: significance to media psychology, quality of the writing, sophistication of the theory and conceptualization, appropriateness of the methods and research design, and quality of the presentation and discussion of results.” [...] “The reviewers were asked to indicate their own familiarity with each assigned abstract's topic (on a scale from 0 to 10, in 2-point steps).” [...] “Zero-order correlations are reported in Table 3.” [...] “Table 3 .3Zero-Order CorrelationsVariable123456781. Self-reported familiarity with the topic-2. Significance to media psychology.249-3. Quality of writing.138.455-”","# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",mismatch,"The paper describes computing zero-order correlations using the raw 0–10 single-item ratings for self-reported familiarity and quality of writing, with both variables included in the correlation matrix. The code instead computes correlations on a subset of columns from a dataset in which self-reported familiarity has been removed, constituting an unreported transformation (variable omission) relative to the analysis described in the paper.",transform
2,Correlation between reviewers’ self-reported familiarity with the topic and their rating of the quality of the writing in the abstract.,Inference Specification,"“The final sample of 127 reviewers provided 80% power to detect bivariate correlations greater than .245 (90% power for r > .282, and 95% power for r > .312).”","########################
# SENSITIVITY ANALYSES #
########################

pwr.r.test(n=127, sig.level = .05, power = .80)
pwr.r.test(n=127, sig.level = .05, power = .90)
pwr.r.test(n=127, sig.level = .05, power = .95)
...
###########################
# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",match,"Both the paper and code specify the same sensitivity (power) analysis for bivariate correlations with n = 127, and neither applies any additional explicit inferential decision rule (e.g., alpha threshold) to the zero-order correlations themselves. The code’s pwr.r.test calls reproduce the power values reported in the paper, indicating alignment in the inference specification for this correlation analysis.",inference
3,Correlation between reviewers’ self-reported familiarity with the topic and their rating of the sophistication of the theory and conceptualization.,Model Specification,"“Zero-order correlations are reported in Table 3.”[...]“Table 3 .3 Zero-Order Correlations”[...]“The final sample of 127 reviewers provided 80% power to detect bivariate correlations greater than .245 (90% power for r > .282, and 95% power for r > .312 ).”","“###########################
# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])”",match,"Both the paper and the code specify the use of zero-order (bivariate) correlations, implemented in the code via a correlation matrix using cor(). Although the shared code notes that self-reported familiarity is not in the public file, the statistical model type remains a zero-order correlation.",model
3,Correlation between reviewers’ self-reported familiarity with the topic and their rating of the sophistication of the theory and conceptualization.,Variable Specification,"“Additional variables. The reviewers were asked to indicate their own familiarity with each assigned abstract's topic (on a scale from 0 to 10, in 2-point steps).” [...] “Evaluation. On a scale from 0 to 10, in 2-point steps (0,2,4,6,8,10), each abstract was evaluated on the following five criteria: significance to media psychology, quality of the writing, sophistication of the theory and conceptualization, appropriateness of the methods and research design, and quality of the presentation and discussion of results.” [...] “Table 3 .3 Zero-Order Correlations Variable 1 2 3 4 5 6 7 8 1. Self-reported familiarity with the topic - [...] 4. Sophistication of theory .186 [...]”","“###########################
# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])”",mismatch,"The paper specifies a zero-order correlation between “Self-reported familiarity with the topic” and “Sophistication of theory,” whereas the code explicitly omits self-reported familiarity from the correlation matrix and only correlates columns 5–11. Thus, the specific correlation reported in the paper is not implemented in the provided code.",variables
